versionTitle,count,Short Title
"The Sefaria Midrash Rabbah, 2022",1,
"Moses Cordovero's Introduction to Kabbalah, Annotated trans. of Or ne'erav, Ira Robinson, 1994.",1,
Kallah Rabbathi,1,
"Tosafot Yom Tov Introduction to the Mishnah, trans. Moshe Hollender ",1,
Birnbaum 1949,1,
section on Bnot Zelophchad,1,
"The Metsudah Machzor. Metsudah Publications, New York - Eng (paragraph ed.)",1,
"Jewish perspectives, Jewish communal Affairs Department, NY. 1986",1,
Pirkei Avot Chapter 2,1,
"Pirke de Rabbi Eliezer, trans. and annotated by Rabbi Gerald Friedlander, London, 1916",1,
"Ritual de oraciones para todo el ano. Traducción, adaptación y notas de Marshall T. Meyer y Mordejai Edery, 1965 [es]",1,
"New York: Sanhedrin Press, c1979",1,
"The Chaldee Paraphrase on the Prophet Isaiah, 1871 - revised",1,
Translation by Double AA on Mi Yodeya,1,
"Likutey Moharan Volumes 12-15, trans. by Moshe Mykoff. Breslov Research Inst., 1986-2012",1,
"Shulchan Aruch de Yosef Karo , traduit de l'hébreu par Wikisource",1,
Kohelet by Bruce Heitler,1,
"S.H. Glick. En Jacob: Agada of the Babylonian Talmud. New York, 1916-1921",1,
Sefaria Community Translation – Spanish [es],1,
"Selected Paragraphs from Arfilei Tohar, trans. Yaacov Dovid Shulman",1,
talmud.de German Translation of the Mishna [de],1,
"Trans. Paul Fraylich, 2020",1,
Tales of Rabbi Nachman -- Wikisource,1,
Traduction française sous la direction du Grand-Rabbin Zadoc Kahn [fr],1,
itorah.com/pele-yoetz,1,
"Flames of Faith, New York: Kodesh Press, 2014",1,
"The Beginning of Wisdom, trans. by Rabbi Amiram Markel and Michoel Tzvi Wolkenfeld, 2004-2006",1,
Iggeret Teiman,1,
JPS Footnotes,1,
Tikkun HaKlali - Wikisource ,1,
"The Biblical Exegesis of Don Isaac Abrabanel. PhD thesis by Dr. David E. Cohen, University of London, 2015",1,
"Advice. Breslov Research Inst., 2015",1,
Ha-Siddur Ha-Shalem (1949),1,
"Midrash Rabbah, Translated Into English With Notes, Glossary And Indices Under The Editorship Of Rabbi Dr. H. Freedman, B.A., Ph.D. And Maurice Simon, M.A. ",1,
"Targum Obadiah, translated by Thomas Lenihan",1,
"Conservative Yeshiva, Rabbi Mordechai Silverstein",1,
Tum'at Tsara'at,1,
Tosefta Shabbat 16:17,1,
"The Wisdom of Ben Sira, Cambridge University Press, 1899",1,
"Sefer HaMitzvot LaRambam, Mitzvot Ase : Mitzvah 109 (partial)",1,
The Scientific and the Religious World View,1,
"Duties of the Heart, trans. by Rabbi Moses Hyamson, New York, 1925",1,
Responsa in Wartime,1,
Translated by Jay Dinovitser,1,
Introduction,1,
"Mishna Berahot, translation J. Wilhelm, 2019 [fr] ",1,
Responsa Responsa Anthology,1,
Artscroll Talmud Bavli Sanhedrin 24b,1,
"Shev Shmat'ta, Sponsored by Jacob and Suzanne Doft, trans. Rabbi Francis Nataf, 2018",1,
Rabbi Mark B Greenspan,1,
The Tosefta Blog,1,
halachaed,1,
Halakhah.com,1,
Avadim - Chapter 2,1,
Sociedade Biblica Britânica [pt],1,
"Kitzur Shulchan Aruch, trans. Rabbi Avrohom Davis, Metsudah Pub., 1996",1,
BJC - [pt],1,
English Translation by Jay Treat,1,
"Ben Ish Chai  by Yosef Chayim, translated by Wikisource",1,
"The Cycles of the Renewal of the Moon. Trans. Eliyahu Touger, 2017",1,
Translation v.1,1,
Found online,1,
"In the narrow places, Erica Brown. New Milford, CT. Maggid Books, 2011",1,
The Saying of the Jewish Fathers: Gorfinkle 1913,1,
La bible d'André Chouraqui [fr],1,
The Rebellious Son – Sanhedrin 68b by Rabbi Mordechai Silverstein,1,
"Pataḥ Eliyahu, translated by Avraham Sutton",1,
reisner t'shuvah / wired to the kadosh baruch hu,1,
"Rabbi Mark Greenspan, 2021",1,
"Testaments of the Twelve Patriarchs, R. H. Charles,1908",1,
"Ezekiel, English translation by S. Fisch, Soncino Press, 1950",1,
Koren/Steinsaltz,1,
Wikisource Shulchan Aruch - English,1,
VBM Parshat Hukat,1,
responsum from rabbi Golinkin,1,
"Maamer Mezake Es HaRabim. Trans. Meisels and Kutnowski, Ontario, 2019 ",1,
"Ktav Pub. House, NY, 1974",1,
Ibn Ezra on the Pentateuch - trans. by Jay F. Shachter,1,
