Index Title,Jerusalem Talmud Shekalim NEW
Jerusalem Talmud Shekalim 2:5:20,אין דור שאין בו ליצנין בדורו של דוד מה היו פרוצי הדור עושין היו הולכין אצל חלונותיו של דוד אומרין לו דוד דוד אימתי יבנה בית המקדש אימתי בית ה׳ נלך
Jerusalem Talmud Shekalim 2:5:21,והיה דוד אומר אף על פי שמתכוונין להכעיסני יבא עלי אם לא הייתי שמח בדבריהם דכתיב שמחתי באומרים לי בית ה׳ נלך והיה כי ימלאו ימיך ושכבת את אבותיך אמר לו הקדוש ברוך הוא לדוד ימים שלמים אני מונה לך ולא ימים חסרים כלום שלמה בנך יבנה בית המקדש אלא להקריב קרבנות ציבור וחביב עלי צדקה ומשפט שאתה עושה יותר מן הקרבן שנאמר עשה צדקה ומשפט נבחר לה׳ מזבח
Jerusalem Talmud Shekalim 2:5:22,הדרן עלך מצרפין שקלים
Jerusalem Talmud Shekalim 3:1:1,<strong>הלכה א <big>מתני׳</big></strong> בשלשה פרקים בשנה תורמין את הלשכה
Jerusalem Talmud Shekalim 3:1:2,בפרוס הפסח בפרוס העצרת בפרוס החג
Jerusalem Talmud Shekalim 3:1:3,והם גרנות של מעשר בהמה דברי רבי עקיבא
Jerusalem Talmud Shekalim 3:1:4,בן עזאי אומר בעשרים ותשעה באדר ובאחד בסיון ובעשרים ותשעה באב
Jerusalem Talmud Shekalim 3:1:5,רבי לעזר ורבי שמעון אומרים באחד בניסן באחד בסיון בעשרים ותשעה באלול
Jerusalem Talmud Shekalim 3:1:6,ולמה אמרו בעשרים ותשעה באלול ולא אמרו באחד בתשרי מפני שהוא יום טוב ואי אפשר לעשר ביום טוב לפיכך הקדימוהו בעשרים ותשעה באלול
Jerusalem Talmud Shekalim 3:1:7,<strong>גמ׳</strong> אמר רבי אבהו כל הן דתנינן פרס פלגא פלגא דשלשים יום קודם למועד שדורשים בהלכותיו
Jerusalem Talmud Shekalim 3:1:8,והן גרנות וכו׳ אמר רבי יוחנן מפני שהן פירקי לידה
Jerusalem Talmud Shekalim 3:1:9,רבי אחא ורבי תנחום בר חייה בשם רבי יהושע בן לוי כדי שתהיה הבהמה מצויה לעולי רגלים
Jerusalem Talmud Shekalim 3:1:10,אמר רבי יודן שלא יבא לידי בל תאחר אמר רבי יוסה כל המשהה טבלו עובר בבל תאחר
Jerusalem Talmud Shekalim 3:1:11,<sup><b>[דף ח.]</b></sup> תמן תנינן רבי מאיר אומר באחד באלול ראש השנה למעשר בהמה רבי אלעזר ורבי שמעון אומרים באחד בתשרי בן עזאי אומר האלוליים מתעשרין בפני עצמן
Jerusalem Talmud Shekalim 3:1:12,אמר רבי חונה טעמא דרבי מאיר עד כאן הן מתמצות לילד מן הישנות מכאן ואילך הן מתחילות לילד מן החדשות
Jerusalem Talmud Shekalim 3:1:13,רבי יוסה בר רבי בון בשם רב חונה טעמא דרבי אלעזר ורבי שמעון לבשו כרים הצאן אלו הבכירות ועמקים יעטפו בר אלו האפילות יתרועעו אף ישירו אלו ואלו נכנסים לדיר להתעשר
Jerusalem Talmud Shekalim 3:1:14,אמר בן עזאי הואיל ואלו אומרים כך ואלו אומרים כך יהו האלוליים מתעשרין בפני עצמן
Jerusalem Talmud Shekalim 3:1:15,הא כיצד נולד לו בחמשה באב וחמשה באלול וחמשה בתשרי אין מצטרפין נולד לו בחמשה בתשרי וחמשה באב הרי אלו מצטרפין
Jerusalem Talmud Shekalim 3:1:16,ובן עזאי מכריע על דברי תלמידיו אתא רבי ירמיה ורבי מיישא בשם רבי שמואל בר רבי יצחק שכן נחלקו עליה אבות העולם
Jerusalem Talmud Shekalim 3:1:17,ומאן נינהו אבות העולם תנא רבי יונה קומי רבי ירמיה רבי ישמעאל ורבי עקיבא
Jerusalem Talmud Shekalim 3:1:18,זאת אומרת בן עזאי חבר ותלמיד הוה דרבי עקיבא אין תימר רביה אית בר נש אמר לרביה הואיל ואלו אמרו כך ואלו אמרו כך
Jerusalem Talmud Shekalim 3:1:19,רבי אבון בשם רבי שמואל בר רב יצחק שמע לה מן הדא אמר לו בן עזאי על החלוקין אנו מצטערין אלא שבאת לחלוק עלינו את השווין זאת אומרת בן עזאי חבר ותלמיד הוה לרבי עקיבא אין תימר רביה אית בר נש אמר לרביה אלא שבאת לחלוק עלינו את השווין
Jerusalem Talmud Shekalim 3:1:20,תמן תנינן כל הנולדין מאחד מתשרי עד עשרים ותשעה באלול הרי אלו מצטרפין חמשה לפני ראש השנה וחמשה לאחר ראש השנה אין מצטרפין חמשה לפני הגורן וחמשה לאחר הגורן הרי אלו מצטרפין
Jerusalem Talmud Shekalim 3:1:21,אמר רבי יוסה הדא אומרת מעשר בהמה לא עשו אותה לא כחנט ולא כשליש
Jerusalem Talmud Shekalim 3:1:22,אין תימר כחנט ליתני כל המעוברים מאחד בתשרי עד עשרים ותשעה באלול
Jerusalem Talmud Shekalim 3:1:23,אין תימר כשליש ליתני כל הנולדים עד עשרים ושנים באלול
Jerusalem Talmud Shekalim 3:1:24,רבי שמאי בשם רבי ביבי ברבי חייא כשליש עשו אותה כרבי שמעון דאמר רבי שמעון מחוסר זמן נכנס לדיר להתעשר
Jerusalem Talmud Shekalim 3:1:25,קם רבי מנא עם רבי שמאי אמר ליה את אמרת חדא מילתא תמן תנינן בן עזאי אומר האלוליים מתעשרין לעצמן לא אפילו נולד עד עשרים ותשעה באלול
Jerusalem Talmud Shekalim 3:1:26,אית לך מימר בן עזאי כרבי שמעון ולא כרבנן
Jerusalem Talmud Shekalim 3:1:27,כמה דאת אמר על דרבנן מניחן לשנה הבאה והן מתעשרין עם בני שנתן
Jerusalem Talmud Shekalim 3:1:28,כן את אמר על דבן עזאי מניחן לגורן הבא והן מתעשרין עם בני אלולים
Jerusalem Talmud Shekalim 3:1:29,אמר רבי חייא זאת אומרת ימים שהבכור מחוסר זמן בהן עולין לו לתוך שנתו
Jerusalem Talmud Shekalim 3:1:30,אמר רבי מנא אמר רבי יונה אבא שמע לה מן הדא כל הבכור אשר יולד וגו׳ הזכר תקדיש הא כיצד משעת לידתו את מונה לו שנה
Jerusalem Talmud Shekalim 3:2:1,"<strong>הלכה ב <big>מתני׳</big></strong> בשלש קופות של שלש שלש סאין תורמין את הלשכה, וכתוב עליהן אל״ף בי״ת גימ״ל. רבי ישמעאל אומר: יונית כתוב עליהן, אלפ״א בית״א גמ״א."
Jerusalem Talmud Shekalim 3:2:2,אין התורם נכנס לא בפרגוד חפות ולא במנעל ולא בסנדל ולא בתפילין ולא בקמע שמא יעני ויאמרו מעון הלשכה העני או שמא יעשיר ויאמרו מתרומת הלשכה העשיר
Jerusalem Talmud Shekalim 3:2:3,שאדם צריך לצאת ידי הבריות כדרך שהוא צריך לצאת ידי המקום שנאמר והייתם נקיים מה׳ ומישראל ואומר ומצא חן ושכל טוב בעיני אלהים ואדם
Jerusalem Talmud Shekalim 3:2:4,<strong>גמ׳</strong> תמן תנינן מפנין אפילו ארבע וחמש קופות רבי זעירא שאל את רבי יאשיה כמה הוא שיעורן של קופות אמר ליה
Jerusalem Talmud Shekalim 3:2:5,<sup><b>[דף ח:]</b></sup> נלמוד סתום מן המפורש דתניא בשלש קופות של שלש שלש סאין שהן תשעה סאין שהן עשרים ושבע סאין תורמין את הלשכה וכתוב עליהן אלף בית גימל
Jerusalem Talmud Shekalim 3:2:6,מפני מה כתוב עליהן אלף בית גימל לומר מסתפק מן הראשונה קודם לשניה ומן השניה קודם לשלישית
Jerusalem Talmud Shekalim 3:2:7,תמן תנינן המוציא יין כדי מזיגת הכוס
Jerusalem Talmud Shekalim 3:2:8,רבי זעירא שאל את רבי יאשיה כמה שיעורן של כוס אמר ליה נלמד סתום מן המפורש דתני רבי חייא ארבע כוסות שאמרו ישנן רביעית של יין באיטלקי אמר רבי יוסי בר אבין משום רבי יוחנן דרבי יהודה היא דתני דמים כדי גמיע רבי יהודה אומר כדי לשוף בהן את הקילור יין כדי גמיע רבי יהודה אומר כדי מזיגת הכוס
Jerusalem Talmud Shekalim 3:2:9,מזוג בכמה נשמעינה מן הדא מים כדי גמיע רבי יהודה אומר כדי לשוף בהן את הקילור יין כדי גמיע רבי יהודה אומר כדי מזיגת הכוס הדא אמרה מזוג כדי מזיגת הכוס
Jerusalem Talmud Shekalim 3:2:10,כמה שיעורן של כוס רבי אבין אמר טיטרטון ורביע
Jerusalem Talmud Shekalim 3:2:11,מהו לשתותן בכרך אחד מדאמר רבי מנא אמר רבי יוסי הלל אם שמען בבית הכנסת יצא הדא אמרה אם שתאן בכרך אחד יצא
Jerusalem Talmud Shekalim 3:2:12,מהו לשתותן בפיסקן כלום אמרו שישתה לא כדי שישתה ולא שישתכר אם שתה בפיסקן אף הוא אינו משתכר
Jerusalem Talmud Shekalim 3:2:13,מהו לצאת ביין של שביעית תני רב אושעיא יוצאין ביין של שביעית
Jerusalem Talmud Shekalim 3:2:14,מהו לצאת בקונדיטין מדתני בר קפרא קונדיטין כיין הדא אמרה יוצאין ביין קונדיטין
Jerusalem Talmud Shekalim 3:2:15,מהו לצאת ביין מזוגין מדתני רב חייא ארבעה כוסות שאמרו יוצאין בהן בין חיין ובין מזוגין ובלבד שיהא בהן טעם ומראה יין
Jerusalem Talmud Shekalim 3:2:16,אמר רבי ירמיה מצוה לצאת ביין אדום שנאמר אל תרא יין כי יתאדם כי יתן בכוס עינו וגו׳
Jerusalem Talmud Shekalim 3:2:17,תאני מבושל כמתובל מהו לצאת ביין מבושל אמר רבי יונה יוצאין ביין מבושל רבי יונה לטעמיה דרבי יונה כד הוה שתי ארבע כסי דפסחא הוה חזיק רישא עד חגא
Jerusalem Talmud Shekalim 3:2:18,חמיתיה חדא מטרוניתא אפוי נהירין אמרה סבא סבא חדא מהני תלת מלין אית בך או דשתוי חמרא את או דמלוי בריבית את או דמגדל חזירי את אמר ליה תיפח רוחא דההיא איתתא דחדא מאלין תלת מיליא לית בי אלא אולפני שכיח לי דהכי כתיב חכמת אדם תאיר פניו
Jerusalem Talmud Shekalim 3:2:19,רבי אבהו אתי לטבריא חמוניה תלמידוי דרבי יוחנן אפוי נהורין אמרון תלמידים לרבי יוחנן אשכח רבי אבהו סימא אתא לגביה אמר ליה מאי אורייתא חדתא שמעת אמר ליה תוספתא עתיקא קרא עליה חכמת אדם תאיר פניו
Jerusalem Talmud Shekalim 3:2:20,אמר רבי חנין לוגא דאורייתא תמונתא עתיקא דמורייסא דציפורי אמר רבי יונה וחכמנא לה דבית רבי ינאי הוה מכילין בה דבש
Jerusalem Talmud Shekalim 3:2:21,תני חצי שמינית טברנית <sup><b>[דף ט.]</b></sup> הישנה
Jerusalem Talmud Shekalim 3:2:22,אמר רבי יוחנן הדין דידן הוא ולמה קרי ליה עתיקה מן בגין דהוה ביומי
Jerusalem Talmud Shekalim 3:2:23,אית דאמרי דהות זעירא ורבתיא ואית דאמרי דאזעירא ולא אזעירא כמה דהות
Jerusalem Talmud Shekalim 3:2:24,כמה הוא שיעור של כוס רבי יוסי בשם רבי יוסי בן פזי ורבי יוסי בר ביבי בשם רבי שמואל אצבעיים על אצבעיים על רום אצבע ומחצה ושליש אצבע (תני יבש כזית דברי רבי נתן)
Jerusalem Talmud Shekalim 3:2:25,רבנן דקיסרי ורבי יוסי בר ביבי בשם שמואל אתיא דרבי נתן כרבי שמעון כמה דרבי שמעון אמר ברביעית כן אמר רבי נתן ברביעית לכשיקרש ויהא בו כזית
Jerusalem Talmud Shekalim 3:2:26,רבי סימון בשם רבי יהושע בן לוי מעשה בפרדת רבי שמתה וטהרו את דמה משום נבילה ושאל רבי אליעזר את רבי סימון עד כמה
Jerusalem Talmud Shekalim 3:2:27,ולא אשגח ביה ושאל לרבי יהושע בן לוי ואמר ליה עד רביעית טהור יותר מרביעית טמא ובאש לרבי אלעזר על דלא חזר ליה רבי סימון שמועתא
Jerusalem Talmud Shekalim 3:2:28,רב ביבי הוה יתיב מתני הדין עובדא אמר ליה רבי יצחק בר כהנה עד רביעית טהור יותר מכאן טמא
Jerusalem Talmud Shekalim 3:2:29,ובעט ביה אמר ליה רבי זריקא בגין דשאיל לך את בעט ביה אמר ליה בגין דלא הות דעתי בי בעיטנא ביה
Jerusalem Talmud Shekalim 3:2:30,דאמר רבי חנן והיו חייך תלואים לך מנגד זה שלוקח חטים לשנה ופחדת לילה ויומם זה הלוקח מן הסדקי ולא תאמין בחייך זה הלוקח מן הפלטור
Jerusalem Talmud Shekalim 3:2:31,ואנא סמיכנא אפלטור
Jerusalem Talmud Shekalim 3:2:32,ומהו כדון העיד רבי יהושע בן פתורה על דם נבילה שהוא טהור
Jerusalem Talmud Shekalim 3:2:33,מהו טהור טהור מלהכשיר אבל לטמות מטמא
Jerusalem Talmud Shekalim 3:2:34,תמן תנינן דם השרץ כבשרו מטמא ואינו מכשיר ואין לנו כיוצא בו
Jerusalem Talmud Shekalim 3:2:35,ושיעור טומאתו שדמו מטמא כבשרו
Jerusalem Talmud Shekalim 3:2:36,אמר רבי יוסי פליגי בה תרין אמוראין חד אמר טמא וחד אמר טהור מאן דאמר טמא כרבי יהודה ומאן דאמר טהור כרבי יהושע בן פתורה
Jerusalem Talmud Shekalim 3:2:37,אמר ליה רב אבדומה דמן נחותה ויאות דרבי יהודה מוריינא דבי נשיאה הוה
Jerusalem Talmud Shekalim 3:2:38,שמא יעני ויאמרו כו׳ תני רבי ישמעאל קווץ לא יתרום מפני החשד תני הגזברין היו מפספסין בקילקין
Jerusalem Talmud Shekalim 3:2:39,תני מדברין היו עמו משעה שהוא נכנס עד שעה שהוא יוצא וימלא פומיה מוי אמר רבי תנחומא מפני הברכה
Jerusalem Talmud Shekalim 3:2:40,רבי שמואל בר נחמן בשם רבי יונתן בתורה ובנביאים ובכתובים מצאנו שאדם צריך לצאת ידי הבריות כדרך שהוא צריך לצאת ידי המקום בתורה מנין דכתיב והייתם נקיים מה׳ ומישראל בנביאים מנין דכתיב אל אלהים ה׳ וגו׳ וישראל הוא ידע בכתובים מנין דכתיב ומצא חן ושכל טוב בעיני אלהים ואדם
Jerusalem Talmud Shekalim 3:2:41,גמליאל זוגא שאל לרבי יוסי בר רבי בון איזהו המחוור שבכולם אמר ליה והייתם נקיים מה׳ ומישראל
Jerusalem Talmud Shekalim 3:3:1,"<strong>הלכה ג <big>מתני׳</big></strong> של בית רבן גמליאל היה נכנס ושקלו בין אצבעותיו וזרקו לפני התורם, והתורם מתכוין ודחפו לתוך הקופה."
Jerusalem Talmud Shekalim 3:3:2,אין התורם תורם עד שהוא אומר להם אתרום והן אומרין לו תרום תרום תרום שלש פעמים
Jerusalem Talmud Shekalim 3:3:3,תרם את הראשונה וחיפה בקטבליאות השניה וחיפה בקטבליאות השלישית לא היה מחפה
Jerusalem Talmud Shekalim 3:3:4,ולמה היה מחפה שמא ישכח ויתרום מן הדבר התרום
Jerusalem Talmud Shekalim 3:3:5,תרם את הראשונה לשם ארץ ישראל והשניה לשם כרכים המוקפין לה והשלישית לשם בבל ולשם מדי ולשם <sup><b>[דף ט:]</b></sup> מדינות הרחוקות
Jerusalem Talmud Shekalim 3:3:6,<strong>גמ׳</strong> של בית רבן גמליאל וכו׳ אילו היו שני כריים ותרם מאחד מהן על חבירו שמא לא פטר חבירו
Jerusalem Talmud Shekalim 3:3:7,הנחת רוח היא להם שלא יהא קרבן מתקרב אלא משלהן תחלה
Jerusalem Talmud Shekalim 3:3:8,תני שמט את הקטבליאות נעשו כולן שיריים
Jerusalem Talmud Shekalim 3:3:9,תני שלישית היא היתה עשירה שבכולן שהיו בה אסטריאות של זהוב ודרכונות של זהוב
Jerusalem Talmud Shekalim 3:3:10,תני תרם את הראשונה לשם ארץ ישראל ולשם כל ישראל שניה לשם כרכים המוקפים ולשם כל ישראל והשלישית לשם בבל ומדי ולשם מדינות הרחוקות ולשם כל ישראל
Jerusalem Talmud Shekalim 3:3:11,תני נטל מן הראשונה אף על פי שיש בראשונה נוטל מן השניה נטל מן השניה אף על פי שיש בשניה נוטל מן השלישית
Jerusalem Talmud Shekalim 3:3:12,שלמה שלישית חוזר לשניה שלמה שניה חוזר לראשונה שלמו שלשתן חוזר ושוקל
Jerusalem Talmud Shekalim 3:3:13,רבי מאיר אומר חוזר לשיריים שהיה רבי מאיר אומר מועלים בשיריים שמא יצטרכו להן בסוף
Jerusalem Talmud Shekalim 3:3:14,וכן היה רבי פנחס בן יאיר אומר זריזות מביאה לידי נקיות נקיות מביאה לידי טהרה טהרה מביאה לידי קדושה קדושה מביאה לידי ענוה
Jerusalem Talmud Shekalim 3:3:15,ענוה מביאה לידי יראת חטא יראת חטא מביאה לידי חסידות חסידות מביאה לידי רוח הקודש רוח הקודש מביאה לידי תחיית המתים תחיית המתים מביאה לידי אליהו זכור לטוב
Jerusalem Talmud Shekalim 3:3:16,זריזות מביאה לידי נקיות דכתיב וכלה מכפר נקיות מביאה לידי טהרה דכתיב וכפר עליה הכהן וטהרה
Jerusalem Talmud Shekalim 3:3:17,טהרה מביאה לידי קדושה דכתיב וטהרו וקדשו קדושה מביאה לידי ענוה דכתיב כי כה אמר רם ונשא שוכן עד וקדוש שמו מרום וקדוש אשכון ואת דכא ושפל רוח
Jerusalem Talmud Shekalim 3:3:18,ענוה מביאה לידי יראת חטא דכתיב עקב ענוה יראת ה׳ יראת חטא מביאה לידי חסידות דכתיב וחסד ה׳ מעולם ועד עולם על יראיו
Jerusalem Talmud Shekalim 3:3:19,חסידות מביאה לידי רוח הקדש דכתיב אז דברת בחזון לחסידיך רוח הקדש מביאה לידי תחיית המתים דכתיב ונתתי רוחי בכם וחייתם תחיית המתים מביאה לידי אליהו זכור לטוב דכתיב הנה אנכי שולח לכם את אליה הנביא לפני בא יום ה׳ הגדול והנורא
Jerusalem Talmud Shekalim 3:3:20,תנא בשם רבי מאיר כל מי שקבוע בארץ ישראל ומדבר בלשון הקודש ואוכל פירותיו בטהרה וקורא קריאת שמע בבוקר ובערב יהא מבושר שבן עולם הבא הוא
Jerusalem Talmud Shekalim 3:3:21,הדרן עלך פרק בשלשה פרקים
Jerusalem Talmud Shekalim 4:1:1,"<strong>הלכה א <big>מתני׳</big></strong> התרומה מה היו עושין בה? לוקחין בה תמידין ומוספין ונסכיהם, העומר ושתי לחם ולחם הפנים, וכל קרבנות הציבור."
Jerusalem Talmud Shekalim 4:1:2,שומרי ספיחין בשביעית נוטלין שכרן מתרומת הלשכה רבי יוסי אומר אף הרוצה מתנדב שומר חנם אמרו לו אף אתה אומר שאין באין אלא <sup><b>[דף י.]</b></sup> משל צבור
Jerusalem Talmud Shekalim 4:1:3,<strong>גמ׳</strong> מה ראה זמן עצי כהנים והעם להימנות
Jerusalem Talmud Shekalim 4:1:4,אלא בשעה שעלו ישראל מן הגולה ולא מצאו עצים בלשכה ועמדו אלו ונתנדבו עצים משל עצמן ומסרום לצבור וקרבו מהן קרבנות צבור והתנו עמהן נביאים שביניהן שאפילו לשכה מליאה עצים ועמדו אלו ונתנדבו עצים משל עצמן שלא יהא קרבן מתקרב אלא משלהן תחילה
Jerusalem Talmud Shekalim 4:1:5,אמר רבי אחא דרבי יוסה היא דרבי יוסה אומר אף הרוצה מתנדב שומר חנם רבי יוסי בשם רבי אילא דברי הכל היא מה פליגין בגופו של קרבן אבל במכשירי קרבן כל עמא מודיי שהוא משתנה קרבן יחיד לקרבן צבור
Jerusalem Talmud Shekalim 4:1:6,תני אשה שעשתה כתונת לבנה כשירה ובלבד שתמסרנה לצבור
Jerusalem Talmud Shekalim 4:1:7,אמר רבי אחא דרבי יוסי היא דרבי יוסי אומר אף הרוצה מתנדב שומר חנם רבי יוסי בשם רבי אילא דברי הכל היא מה פליגין בגופו של קרבן אבל במכשירי קרבן כל עמא מודיי שהוא משתנה קרבן יחיד לקרבן צבור
Jerusalem Talmud Shekalim 4:1:8,מתניתא פליגי על רבי יוסי אותן הימים נוהגין בשעת קרבן ושלא בשעת קרבן רבי יוסי אומר אינן נוהגין אלא בשעת קרבן בלבד
Jerusalem Talmud Shekalim 4:1:9,ועוד מן הדא דתניא אמר רבי אליעזר בי רבי צדוק אנו היינו מבני סנאה בן בנימין וחל תשעה באב להיות בשבת ודחינו אותו למוצאי שבת והיינו מתענין ולא משלימין
Jerusalem Talmud Shekalim 4:1:10,העומר ושתי הלחם ולחם הפנים וכל קרבנות הצבור תמן תנינן כל קרבנות היחיד והצבור באין מן הארץ ומן חוצה לארץ מן החדש ומן הישן חוץ מן העומר ושתי לחם שאין באין אלא מן החדש ומן הארץ
Jerusalem Talmud Shekalim 4:1:11,רב חונה בשם רבי ירמיה דרבי ישמעאל היא דרבי ישמעאל אומר אין העומר בא מן הסוריא
Jerusalem Talmud Shekalim 4:1:12,תמן תנינן עשר קדושות הן ארץ ישראל מקודשת מכל הארצות ומה היא קדושתה שמביאין ממנה העומר והביכורים ושתי לחם מה שאין מביאין כן מכל הארצות רבי חייא בשם רבי ירמיה דרבי ישמעאל היא דרבי ישמעאל אמר אין העומר בא מן הסוריא
Jerusalem Talmud Shekalim 4:1:13,תמן תנינן רבי ישמעאל אומר מה חריש רשות אף קציר רשות יצא קציר העומר שהוא מצוה
Jerusalem Talmud Shekalim 4:1:14,רבי ישמעאל כדעתיה דרבי ישמעאל דאמר אין העומר בא מן הסוריא כדעתיה דאמר יצא קציר העומר שהוא מצוה
Jerusalem Talmud Shekalim 4:1:15,מאן תנא שומרי ספיחין בשביעית נוטלין שכרן מתרומת הלשכה רבי ישמעאל היא אמר רבי יוסה דברי הכל היא לא מצאו בסוריא מביאין אותן מספיחין שבארץ ישראל
Jerusalem Talmud Shekalim 4:1:16,ההן עומר מהו שיזרע בתחילה רבי חייא בר אדא בעי קומי רבי מנא לא נמצא כקומץ על השיריים שאינן נאכלין
Jerusalem Talmud Shekalim 4:1:17,אמר ליה נעשה כחמשה דברים שהן באין בטומאה ואין נאכלין בטומאה
Jerusalem Talmud Shekalim 4:1:18,כיצד הוא עושה נוטל מעות מן השולחני ונותן לקוצרין ולשומרין עד שלא יקרב העומר ומביא מעות מתרומת הלשכה ומחללין עליו
Jerusalem Talmud Shekalim 4:1:19,וטבות כן רבי אחא בשם רבי בא כל מה שיתן הן הן דמיו משעה הראשונה
Jerusalem Talmud Shekalim 4:1:20,תנא אף בפתחי אבנים כן כיצד הוא עושה נוטל מעות משולחני ונותן לחוצבין ולסתתין עד שלא תינתן על גבי הדימוס ומשניתן על הדימוס מביא מעות מתרומת הלשכה ומחללין עליה
Jerusalem Talmud Shekalim 4:1:21,וטבת כן רבי יוסי בי רבי בון בשם שמואל כל מה שיתן הן הן דמיה משעה הראשונה
Jerusalem Talmud Shekalim 4:2:1,"<sup><b>[דף י:]</b></sup> <strong>הלכה ב <big>מתני׳</big></strong> פרה, ושעיר המשתלח, ולשון של זהורית – באין מתרומת הלשכה."
Jerusalem Talmud Shekalim 4:2:2,כבש פרה וכבש שעיר המשתלח ולשון שבין קרניו ואמת המים וחומות העיר ומגדלותיה וכל צרכי העיר באין משירי הלשכה אבא שאול אומר כבש פרה כהנים גדולים עושין משל עצמן
Jerusalem Talmud Shekalim 4:2:3,מותר שירי לשכה מה היו עושין בהן לוקחין בהן יינות שמנים וסלתות והשכר להקדש דברי רבי ישמעאל רבי עקיבא אומר אין משתכרין בשל הקדש אף לא משל עניים
Jerusalem Talmud Shekalim 4:2:4,מותר התרומה מה היו עושין בה רקועי זהב ציפוי לבית קודש הקדשים רבי ישמעאל אומר מותר הפירות קיץ המזבח מותר תרומה לכלי שרת
Jerusalem Talmud Shekalim 4:2:5,רבי עקיבא אומר מותר תרומה לקיץ המזבח מותר נסכים לכלי שרת רבי חנניה סגן הכהנים אומר מותר נסכים קיץ המזבח מותר התרומה לכלי שרת זה וזה לא היו מודים בפירות
Jerusalem Talmud Shekalim 4:2:6,<strong>גמ׳</strong> כבש פרה כו׳ רבי ישמעאל בר נחמן בשם רבי יונתן שלש לשונות הן של שעיר בסלע של מצורע בשקל של פרה בשתי סלעים
Jerusalem Talmud Shekalim 4:2:7,רבי חוניה דברת חוורין רבי בא בר זבדא בשם רבי שמעון בן חלפתא של פרה בשתי סלעים ומחצה ואית דמפקין לישנא בעשרה זוז
Jerusalem Talmud Shekalim 4:2:8,רבי יהודא בשם רבי שמואל תלמידי חכמים המלמדין את הכהנים הלכות שחיטה הלכות קבלה הלכות זריקה נוטלין שכרן מתרומת הלישכה רבי יצחק בר רדיפה בשם רבי אימי מבקרי מומי קדשים נוטלין שכרן מתרומת הלישכה רבי אחא רבי תנחום בר חייא בשם רבי שמלאי מגיהי ספר העזרה נוטלין שכרן מתרומת הלשכה
Jerusalem Talmud Shekalim 4:2:9,גידל בר בנימין בשם רבי אסי שני דייני גזילות נוטלין שכרן מתרומת הלשכה שמואל אמר נשים האורגות בפרוכת נוטלין שכרן מתרומת הלשכה רב חונה אמר מתרומת בדק הבית מה פליג שמואל עבד ליה כקרבן רב הונא עבד לה כבנין
Jerusalem Talmud Shekalim 4:2:10,אמר רבי חזקיה תנא רבי יהודה גדגדות הקטרת וכל קרבנות הצבור באין מתרומת הלשכה מזבח הזהב וכל כלי שרת באין ממותר נסכים מזבח העולה וההיכל והעזרות באין משירי הלשכה חוץ לעזרות באין מלשכת בדק הבית
Jerusalem Talmud Shekalim 4:2:11,והא תני אבני המזבח ההיכל והעזרות מועלין בהן וכי יש מעילה בשיריים אלא כרבי מאיר דרבי מאיר אמר מועלין בשיריים
Jerusalem Talmud Shekalim 4:2:12,אמר רבי חייא כלום אמר רבי מאיר אלא בתוך שנתו והכא חוץ לשנתו אנן קיימין
Jerusalem Talmud Shekalim 4:2:13,אמר רבי חזקיה תנא רבי יהודה גדגניות השלחן והמנורה והמזבחות והפרוכת מעכבים את הקרבנות דברי רבי מאיר וחכמים אומרים אין לך מעכב את הקרבן אלא הכיור והכן בלבד
Jerusalem Talmud Shekalim 4:2:14,ולא כן אמר רבי אליעזר ורבי יוסי בן חנינה תריהון אמרין כל הן דכתיב נכח מעכב צלע אינו מעכב
Jerusalem Talmud Shekalim 4:2:15,ואמר רבי שמואל בר נחמן בשם רבי יונתן ואפילו צלע מעכב ואמר רבי אילא בשם <sup><b>[דף יא.]</b></sup> רבי שמואל בר נחמן ואפילו שימה מעכב
Jerusalem Talmud Shekalim 4:2:16,אמר רבי חנינא כאן בעבודות שבפנים כאן בעבודות שבחוץ
Jerusalem Talmud Shekalim 4:2:17,אמר רבי חנינא שחצית גדולה היתה בבני כהנים גדולים שיותר מששים ככרי זהב היו מוציאין בה שהיה כבשה של פרה עומד ולא היה אחד מהן מוציא פרתו בכבשו של חבירו אלא סותרו ובונה אותו משלו
Jerusalem Talmud Shekalim 4:2:18,התיב רבי עולא קומי רבי מנא והא תני שמעון הצדיק שתי פרות עשה לא בכבש שהוציא את זו הוציא את זו אית לך למימר שמעון הצדיק שחץ היה מאי כדון על שם מעלה היא בפרה סלסול היא בפרה
Jerusalem Talmud Shekalim 4:2:19,תני זיזין וכתלים היו יוצאין מכאן ומכאן כדי שלא יציצו הכהנים ויטמאו
Jerusalem Talmud Shekalim 4:2:20,רבי עקיבא אומר אין משתכרין כו׳ אלא אם רצה יהיה ההפסד שלו והשכר להקדש מותר
Jerusalem Talmud Shekalim 4:2:21,כהדא בר זמינא איתפקד גביה מדל דיתמין אתא ושאל לרבי מנא אמר ליה אין בעית די ההפסדה דידך ואגרה דתרויכון שרי רבי חייה בר אדא איתפקד גביה מדל דיתמין ועביד כן
Jerusalem Talmud Shekalim 4:2:22,מותר פירות כו׳ מתניתין דרבי ישמעאל היא דרבי חייה בר יוסף פתר מתניתא מותר פירות שכר להקדש
Jerusalem Talmud Shekalim 4:2:23,מותר נסכים זו סאה רביעית
