Old	New	Hebrew
04 – The Laws Concerning Interruptions in Pesukei d’Zimrah	04. The Laws Concerning Interruptions in Pesukei d'Zimrah	ד – דיני הפסקה בפסוקי דזמרה
05 – What Parts May Be Omitted to Enable Praying in a Minyan?	05. What Parts May Be Omitted to Enable Praying in a Minyan?	ה – על מה ראוי לדלג כדי להגיע לתפילה במניין
06 – The Order of Preference Regarding Omissions	06. The Order of Preference Regarding Omissions	ו – סדרי עדיפות בדילוג
15 - Keriat Shema	15. Keriat Shema	פרק טו - קריאת שמע
01 – The Mitzvah of Keriat Shema (The Recital of Shema)	01. The Mitzvah of Keriat Shema (The Recital of Shema)	א – מצוות קריאת שמע
02 – Remembering the Exodus	02. Remembering the Exodus	ב – זכירת יציאת מצרים
03 – The Content of the Shema Paragraph	03. The Content of the Shema Paragraph	ג – תוכן פרשת שמע
04 – The Second and Third Paragraphs	04. The Second and Third Paragraphs	ד – הפרשה השנייה והשלישית
05 – The Significance of the Exodus	05. The Significance of the Exodus	ה – משמעותה של יציאת מצרים
06 – Kavanah While Reciting the First Verse	06. Kavanah While Reciting the First Verse	ו – כוונה בפסוק הראשון
07 – The Second Verse and Its Kavanah	07. The Second Verse and Its Kavanah	ז – פסוק שני וכוונתו
08 – Mitzvot Require Kavanah	08. Mitzvot Require Kavanah	ח – מצוות צריכות כוונה
09 – The Laws of Reciting Shema	09. The Laws of Reciting Shema	ט – דיני אמירתה
10 – The Manner in which to Recite Shema	10. The Manner in which to Recite Shema	י – אופן אמירתה
11 – Tefillin and Tzitzit while Reciting Shema	11. Tefillin and Tzitzit while Reciting Shema	יא – תפילין וציצית בקריאת שמע
12 – 248 Words	12. 248 Words	יב – רמ"ח תיבות
16 - Birkot Keriat Shema	16. Birkot Keriat Shema	פרק טז - ברכות קריאת שמע
01 – The Significance of the Berachot	01. The Significance of the Berachot	א – משמעות הברכות
02 – The Link between Pesukei d’Zimrah and Birkot Keriat Shema	02. The Link between Pesukei d'Zimrah and Birkot Keriat Shema	ב – החיבור בין פסוקי דזמרה לברכות ק"ש
03 – Barchu	03. Barchu	ג – ברכו
04 – Kedushat Yotzer and Responding Amen to the Berachot	04. Kedushat Yotzer and Responding Amen to the Berachot	ד – קדושת יוצר ואמן על הברכות
05 – Responding to Matters of Sanctity in Birkot Keriat Shema	05. Responding to Matters of Sanctity in Birkot Keriat Shema	ה – עניית דברים שבקדושה בברכות קריאת שמע
06 – Interruption for a Respected Person	06. Interruption for a Respected Person	ו – הפסקה מפני אדם מכובד
07 – Adjoining Redemption to Prayer	07. Adjoining Redemption to Prayer	ז – סמיכת גאולה לתפילה
17 - The Amidah	17. The Amidah	פרק יז - תפילת עמידה
01 – The Amidah Is the Essence of Prayer	01. The Amidah Is the Essence of Prayer	א – תפילת עמידה עיקר התפילה
02 – Three Steps Forward Before the Amidah	02. Three Steps Forward Before the Amidah	ב – שלוש פסיעות לקראת התפילה
03 – Facing Jerusalem	03. Facing Jerusalem	ג – לכיוון ירושלים
04 – Standing and Putting One’s Feet Together	04. Standing and Putting One's Feet Together	ד – עמידה ורגליים צמודות
05 – Body and Hand Positions	05. Body and Hand Positions	ה – תנוחת הגוף והידיים
06 – Bowing Down During the Amidah	06. Bowing Down During the Amidah	ו – הכריעות בתפילה
07 – Praying Silently	07. Praying Silently	ז – תפילה בלחש
08 – In Any Language	08. In Any Language	ח – בכל לשון
09 – Kavanah	09. Kavanah	ט – כוונה
10 – The Order of the Berachot	10. The Order of the Berachot	י – סדר הברכות בתפילת שמונה עשרה
11 – Personal Requests in the Amidah	11. Personal Requests in the Amidah	יא – בקשות אישיות בתפילה
12 – The Conclusion of the Amidah	12. The Conclusion of the Amidah	יב – סיום התפילה
13 – Three Steps Back	13. Three Steps Back	יג – שלוש פסיעות לאחריו
14 – How Long Must One Stand at a Distance	14. How Long Must One Stand at a Distance	יד – עד מתי יעמוד בריחוק מקום
15 – When Is It Permissible to Interrupt the Amidah?	15. When Is It Permissible to Interrupt the Amidah?	טו – מתי מותר להפסיק בתפילת עמידה
16 – One Who Is Traveling When the Time to Pray Arrives	16. One Who Is Traveling When the Time to Pray Arrives	טז – הנוסע והגיע זמן תפילה
17 – One May Not Sit Within Four Amot of a Person Reciting the Amidah	17. One May Not Sit Within Four Amot of a Person Reciting the Amidah	יז – אין לשבת בתוך ד' אמות של המתפלל
18 – It Is Forbidden to Pass in Front of People Reciting the Amidah	18. It Is Forbidden to Pass in Front of People Reciting the Amidah	יח – אסור לעבור כנגד המתפללים
19 – The Practical Halachah	19. The Practical Halachah	יט – הלכה למעשה
20 – One Who Finishes Reciting the Amidah	20. One Who Finishes Reciting the Amidah	כ – המסיים תפילתו
21 – Additional Details of Certain Laws	21. Additional Details of Certain Laws	כא – עוד פרטי דינים
18 - Errors, Additions, and Omissions in the Amidah	18. Errors, Additions, and Omissions in the Amidah	פרק יח - טעויות הזכרות ושכחה
01 – Error, Omission, and Interruption in the Amidah	01. Error, Omission, and Interruption in the Amidah	א – דילוג טעות והפסק בתפילה
02 – Additions Pertaining to Particular Days	02. Additions Pertaining to Particular Days	ב – תוספות מעניינו של יום
03 – The Voluntary Prayer (Tefillat Nedavah) and Laws in Situations of Uncertainty	03. The Voluntary Prayer (Tefillat Nedavah) and Laws in Situations of Uncertainty	ג – תפילת נדבה ודיני ספקות
19 - The Chazan’s Repetition of the Amidah	19. The Chazan's Repetition of the Amidah	פרק יט - חזרת הש"ץ
01 – The Enactment of the Amidah Repetition (Chazarat HaShatz)	01. The Enactment of the Amidah Repetition (Chazarat HaShatz)	א – תקנת חזרת הש"ץ
02 – Who May Fulfill His Obligation by Hearing the Amidah Repetition?	02. Who May Fulfill His Obligation by Hearing the Amidah Repetition?	ב – מי יכול לצאת ידי חובתו בשמיעת חזרת הש"ץ
03 – The Listener’s Conduct	03. The Listener's Conduct	ג – הנהגת השומעים
04 – Must Nine Men Respond to Chazarat HaShatz?	04. Must Nine Men Respond to Chazarat HaShatz?	ד – האם חובה שיהיו תשעה עונים לחזרת הש"ץ
05 – When Is the Amidah Repetition Not Recited?	05. When Is the Amidah Repetition Not Recited?	ה – מתי אין אומרים חזרת הש"ץ
06 – Kedushah	06. Kedushah	ו – קדושה
07 – When Does the Chazan Recite the Verses of Kedushah?	07. When Does the Chazan Recite the Verses of Kedushah?	ז – מתי יאמר החזן את פסוקי הקדושה
08 – Modim D’Rabbanan and Additional Laws	08. Modim D'Rabbanan and Additional Laws	ח – מודים דרבנן ועוד דינים
09 – Is It Possible to Make Up the Amidah Repetition?	09. Is It Possible to Make Up the Amidah Repetition?	ט – האם אפשר להשלים חזרת הש"ץ
20 - Birkat Kohanim – The Priestly Blessing	20. Birkat Kohanim. The Priestly Blessing	פרק כ - ברכת כהנים
01 – The Mitzvah of Birkat Kohanim	01. The Mitzvah of Birkat Kohanim	א – מצוות ברכת כהנים
02 – Yisrael’s Kavanah	02. Yisrael's Kavanah	ב – כוונת ישראל
03 – The Place Where the Congregation Stands	03. The Place Where the Congregation Stands	ג – מקום עמידת המתברכים
04 – Four Biblical Halachot	04. Four Biblical Halachot	ד – ארבע הלכות מהתורה
05 – The Connection of Birkat Kohanim to the Amidah and the Korbanot	05. The Connection of Birkat Kohanim to the Amidah and the Korbanot	ה – הקשר בין ברכת כהנים לתפילה ולקרבנות
06 – Washing Hands Before the Blessing	06. Washing Hands Before the Blessing	ו – נטילת ידיים לפני הברכה
07 – Yisrael’s Participation in Birkat Kohanim	07. Yisrael's Participation in Birkat Kohanim	ז – שותפות ישראל בברכת כהנים
08 – The Kohen’s Obligation to Remove His Shoes Before the Blessing	08. The Kohen's Obligation to Remove His Shoes Before the Blessing	ח – חובת חליצת הנעליים לפני הברכה
09 – The Role of the Kohanim	09. The Role of the Kohanim	ט – תפקיד הכהנים
10 – An Evil Kohen	10. An Evil Kohen	י – כהן רשע
11 – A Kohen Who Has Killed Is Ineligible to Ascend the Duchan	11. A Kohen Who Has Killed Is Ineligible to Ascend the Duchan	יא – כהן שהרג פסול לדוכן
21 - Nefillat Apayim and the Prayers of Supplication	21. Nefillat Apayim and the Prayers of Supplication	פרק כא - נפילת אפיים ותחנונים
01 – The Uniqueness of the Nefillat Apayim Prayer	01. The Uniqueness of the Nefillat Apayim Prayer	א – יחודה של תפילת נפילת אפיים
02 – The Custom of Its Recital	02. The Custom of Its Recital	ב – מנהג אמירתה
03 – What Is Nefillat Apayim?	03. What Is Nefillat Apayim?	ג – מהי נפילת אפיים
04 – How to Perform Nefillat Apayim	04. How to Perform Nefillat Apayim	ד – נפילת אפיים כיצד (לנוהגים ליפול)
05 – The Thirteen Attributes of Mercy	05. The Thirteen Attributes of Mercy	ה – י"ג מידות רחמים
06 – The Passages of Supplication and Nefillat Apayim	06. The Passages of Supplication and Nefillat Apayim	ו – סדר התחנונים ונפילת אפיים
07 – Days on Which Tachanun Is Not Recited	07. Days on Which Tachanun Is Not Recited	ז – ימים שאין אומרים בהם תחנון
08 – Chatan, Ba’alei Brit, and Other Ba’alei Simchah	08. Chatan, Ba'alei Brit, and Other Ba'alei Simchah	ח – חתן ובעלי ברית ובעלי שמחה אחרים
22 - Several Laws of Torah Reading	22. Several Laws of Torah Reading	פרק כב - מדיני קריאת התורה
01 – The Establishment of Torah Reading	01. The Establishment of Torah Reading	א – תקנת הקריאה בתורה
02 – The Torah Scroll	02. The Torah Scroll	ב – ספר התורה
03 – Taking Out the Torah and Returning It to the Ark	03. Taking Out the Torah and Returning It to the Ark	ג – הוצאת ספר התורה והחזרתו
04 – The Lifting of the Torah Scroll (Hagbahah) and Its Return to the Ark	04. The Lifting of the Torah Scroll (Hagbahah) and Its Return to the Ark	ד – הגבהה והחזרת הספר
05 – The Torah Reader	05. The Torah Reader	ה – הקורא
06 – The One Who Is Called Up and the Torah Blessings	06. The One Who Is Called Up and the Torah Blessings	ו – העולה וברכות התורה
07 – The Order of the People Called Up	07. The Order of the People Called Up	ז – סדר העולים
08 – The Congregation’s Conduct During Torah Reading	08. The Congregation's Conduct During Torah Reading	ח – התנהגות הציבור בעת הקריאה בתורה
09 – An Individual and a Congregation Who Did Not Hear the Torah Reading	09. An Individual and a Congregation Who Did Not Hear the Torah Reading	ט – דין יחיד וציבור שלא קראו בתורה
23 - The Conclusion of Shacharit and the Laws of Kaddish	23. The Conclusion of Shacharit and the Laws of Kaddish	פרק כג - סיום שחרית ודיני קדיש
01 – Ashrei and Lamenatze’ach	01. Ashrei and Lamenatze'ach	א – אשרי ולמנצח
02 – Kedushah D’Sidra – U’va L’Tzion	02. Kedushah D'Sidra. U'va L'Tzion	ב – קדושה דסדרא – ובא לציון
03 – A Person Who Is in a Hurry – When to Exit and What to Skip	03. A Person Who Is in a Hurry. When to Exit and What to Skip	ג -הממהר לצאת מהתפילה מתי יצא ועל מה ידלג
04 – Shir Shel Yom – Psalm of the Day	04. Shir Shel Yom. Psalm of the Day	ד – שיר של יום
05 – Pitum HaKetoret and Aleinu L’Shabe’ach	05. Pitum HaKetoret and Aleinu L'Shabe'ach	ה – פיטום הקטורת ועלינו לשבח
06 – The Kaddish and Its Virtue	06. The Kaddish and Its Virtue	ו – הקדיש ומעלתו
07 – The Various Kinds of Kaddish	07. The Various Kinds of Kaddish	ז – סוגי הקדיש
08 – The Order of the Kaddishim Recited at the End of the Prayer Service	08. The Order of the Kaddishim Recited at the End of the Prayer Service	ח – סדר הקדישים שבסיום התפילה
09 – Barchu	09. Barchu	ט – ברכו
10 – Is Another Kaddish Recited After Aleinu L’Shabe’ach?	10. Is Another Kaddish Recited After Aleinu L'Shabe'ach?	י – אם אומרים עוד קדיש אחר "עלינו לשבח"
11 – The Laws of Kaddish	11. The Laws of Kaddish	יא – דיני קדיש
12 – Kaddish After Learning	12. Kaddish After Learning	יב – קדיש אחר לימוד
24 - The Minchah Prayer	24. The Minchah Prayer	פרק כד - תפילת מנחה
01 – Its Objective	01. Its Objective	א – עניינה
02 – The Order of the Prayer	02. The Order of the Prayer	ב – סדר התפילה
03 – Minchah Time Corresponds to the Time of the Tamid Offering	03. Minchah Time Corresponds to the Time of the Tamid Offering	ג – זמנה כנגד זמן התמיד
04 – The Final Time to Recite Minchah	04. The Final Time to Recite Minchah	ד – סוף זמנה
05 – Forbidden Activities Before Minchah	05. Forbidden Activities Before Minchah	ה – דברים האסורים לפני מנחה
06 – A Meal Before Minchah	06. A Meal Before Minchah	ו – סעודה לפני תפילת מנחה
07 – Rabbi Yehudah’s Opinion	07. Rabbi Yehudah's Opinion	ז – דעת רבי יהודה
25 - The Ma’ariv Prayer	25. The Ma'ariv Prayer	פרק כה - תפילת מעריב
01 – Keriat Shema and Its Berachot	01. Keriat Shema and Its Berachot	א – קריאת שמע וברכותיה
02 – The Ma’ariv Amidah	02. The Ma'ariv Amidah	ב – תפילת עמידה של ערבית
03 – The Order of the Ma’ariv Prayer	03. The Order of the Ma'ariv Prayer	ג – סדר תפילת ערבית
04 – Adjoining Redemption to Prayer	04. Adjoining Redemption to Prayer	ד – סמיכת גאולה לתפילה
05 – The Time to Recite Keriat Shema Begins at Tzeit HaKochavim	05. The Time to Recite Keriat Shema Begins at Tzeit HaKochavim	ה – תחילת זמן קריאת שמע מצאת הכוכבים
06 – The Time of the Amidah According to the Chachamim and Rabbi Yehudah	06. The Time of the Amidah According to the Chachamim and Rabbi Yehudah	ו – תחילת זמן תפילה לחכמים ורבי יהודה
07 – The B’dieved Custom Linking Minchah to Ma’ariv Before Its Proper Time	07. The B'dieved Custom Linking Minchah to Ma'ariv Before Its Proper Time	ז – מנהג דיעבד בהצמדת מנחה למעריב לפני הזמן
08 – The Final Time to Recite Keriat Shema and the Amidah of Ma’ariv	08. The Final Time to Recite Keriat Shema and the Amidah of Ma'ariv	ח – סוף זמן קריאת שמע ותפילת ערבית
09 – Forbidden Activities Prior to Praying Ma’ariv	09. Forbidden Activities Prior to Praying Ma'ariv	ט – דברים האסורים לפני תפילת ערבית
26 - The Bedtime Shema	26. The Bedtime Shema	פרק כו - קריאת שמע על המיטה
01 – The Passages of the Bedtime Shema	01. The Passages of the Bedtime Shema	א – סדר קריאת שמע שעל המיטה
02 – The HaMapil Blessing	02. The HaMapil Blessing	ב – ברכת המפיל
03 – Additional Laws	03. Additional Laws	ג – דינים נוספים
06. The Fixed Formula (Nusaĥ)	06. The Fixed Formula (Nusah)	ו – הנוסח הקבוע
01. A Brief Outline of Women’s Obligation	01. A Brief Outline of Women's Obligation	א – מצוות הנשים בקיצור
02. According to Most Poskim Women Are Obligated to Pray Shaĥarit and Minĥa	02. According to Most Poskim Women Are Obligated to Pray Shaharit and Minha	ב – לרוב הפוסקים נשים חייבות בשחרית ומנחה
04. The Poskim Who Maintain that Women Fulfill Their Obligation with Birkhot Ha-shaĥar and Birkhot Ha-Torah	04. The Poskim Who Maintain that Women Fulfill Their Obligation with Birkhot Ha'shahar and Birkhot HaTorah	ד – הסוברים שיוצאות בברכות השחר והתורה
08. Are Women Permitted to Recite Blessings on Time-Bound Mitzvot?	08. Are Women Permitted to Recite Blessings on Time Bound Mitzvot?	ח – האם נשים רשאיות לברך על מצוות שהזמן גרמן
01. Men and Women – Mutually Complementary	01. Men and Women. Mutually Complementary	א – ההשלמה ההדדית שבין איש לאשה
02. Why Women Are Exempt from Positive Time-Bound Mitzvot	02. Why Women Are Exempt from Positive Time Bound Mitzvot	ב – טעם שנשים פטורות ממצוות עשה שהזמן גרמן
09. Women’s Prayer	09. Women's Prayer	ט – תפילת הנשים
02. Modesty (Tzni’ut)	02. Modesty (Tzni'ut)	ב – צניעות
02. Ru’aĥ Ra’ah (Evil Spirit)	02. Ru'ah Ra'ah (Evil Spirit)	ב – רוח-רעה
03. Ru’aĥ Ra’ah Today	03. Ru'ah Ra'ah Today	ג – רוח-רעה בזמננו
Chapter 06: Birkhot Ha-shaĥar – The Morning Blessings	Chapter 06. Birkhot Ha'shahar: The Morning Blessings	ו - ברכות השחר
02. She-asani Ki-rtzono – For Having Made Me According to His Will	02. She'asani Ki'rtzono. For Having Made Me According to His Will	ב – שעשני כרצונו
04. Birkhot Ha-shaĥar for One Who Does Not Derive Pleasure	04. Birkhot Ha'shahar for One Who Does Not Derive Pleasure	ד – ברכות השחר למי שלא נהנה
05. Until When May One Recite Birkhot Ha-shaĥar?	05. Until When May One Recite Birkhot Ha'shahar?	ה – עד מתי זמנן של ברכות השחר
06. The Time to Recite Birkhot Ha-shaĥar when Waking Up in the Middle of the Night	06. The Time to Recite Birkhot Ha'shahar when Waking Up in the Middle of the Night	ו – זמן ברכות השחר למי שקמה באמצע הלילה
Chapter 07: Birkhot Ha-Torah – The Blessings on the Torah	Chapter 07. Birkhot HaTorah: The Blessings on the Torah	ז - ברכות התורה
01. Women’s Connection to Torah	01. Women's Connection to Torah	א – שייכות הנשים לתורה
03. The Content of Birkhot Ha-Torah and Their Pertinence to Women	03. The Content of Birkhot HaTorah and Their Pertinence to Women	ג – תוכן ברכת התורה ושייכותה לנשים
04. The Value of Birkhot Ha-Torah	04. The Value of Birkhot HaTorah	ד – ערכה של ברכת התורה
05. Whether the Recitation of Birkhot Ha-Torah is a Biblical Mitzva and the Status of Birkat Ahavat Olam	05. Whether the Recitation of Birkhot HaTorah is a Biblical Mitzva and the Status of Birkat Ahavat Olam	ה – האם חיוב הברכה מהתורה ודין ברכת אהבת עולם
07. Birkhot Ha-Torah for the Whole Day	07. Birkhot HaTorah for the Whole Day	ז – ברכת התורה לכל היום
Chapter 08: The Shaĥarit Prayer and the Laws Prior to its Recitation	Chapter 08. The Shaharit Prayer and the Laws Prior to its Recitation	ח - תפילת שחרית והדינים שלפניה
01. The Time of Shaĥarit	01. The Time of Shaharit	א – זמן תפילת שחרית
03. Order of Preference in the Shaĥarit Service	03. Order of Preference in the Shaharit Service	ג – סדרי עדיפויות בתפילת שחרית
02. Preparing One’s Body for the Amida	02. Preparing One's Body for the Amida	ב – הכנת הגוף לתפילת עמידה
05. The Status of One Who Needs to Relieve Herself vis-à-vis Other Sacred Matters	05. The Status of One Who Needs to Relieve Herself vis a vis Other Sacred Matters	ה – דין הנצרכת לנקביה לשאר עניינים שבקדושה
08. What is the Law Be-di’avad?	05. The Status of One Who Needs to Relieve Herself vis a vis Other Sacred Matters	ח – מה הדין בדיעבד
11. The Prohibition of Reciting Sacred Words in the Presence of “Erva”	11. The Prohibition of Reciting Sacred Words in the Presence of "Erva"	Missing Section
03. Standing and Putting One’s Feet Together	03. Standing and Putting One's Feet Together	ג – עמידה ורגליים צמודות
10. The Status of Ĥutz La-aretz	10. The Status of Hutz La'aretz	י – דין חוץ לארץ
Chapter 15: Korbanot and Pesukei De-zimra	Chapter 15. Korbanot and Pesukei De'zimra	ט"ו - קרבנות ופסוקי דזמרה
01. Women’s Recitation of Korbanot: A Pious Custom	01. Women's Recitation of Korbanot: A Pious Custom	א – אמירת קרבנות לנשים מנהג חסידוּת
03. The Reason for the Recitation of Pesukei De-zimra	03. The Reason for the Recitation of Pesukei De'zimra	ג – טעם אמירת פסוקי דזמרה
04. Is the Recitation of Pesukei De-zimra Obligatory?	04. Is the Recitation of Pesukei De'zimra Obligatory?	ד – האם חובה לומר פסוקי דזמרה
05. What Are Pesukei De-zimra?	05. What Are Pesukei De'zimra?	ה – מהם פסוקי דזמרה
Chapter 16: Keri’at Shema and Its Berakhot	Chapter 16. Keri'at Shema and Its Berakhot	ט"ז - קריאת שמע וברכותיה
01. Women with Regard to the Mitzva of Keri’at Shema and Its Berakhot	01. Women with Regard to the Mitzva of Keri'at Shema and Its Berakhot	א – נשים במצוות קריאת שמע וברכותיה
12. The Berakhot Are an Extension of Keri’at Shema	12. The Berakhot Are an Extension of Keri'at Shema	יב – הברכות הן הרחבה של קריאת שמע
14. Interruption between Keri’at Shema and Its Berakhot	14. Interruption between Keri'at Shema and Its Berakhot	יד – הפסקה באמצע קריאת שמע וברכותיה
03. Reciting Taĥanun Today	03. Reciting Tahanun Today	ג – מנהג אמירת תחנונים כיום
05. The Taĥanun Passages	05. The Tahanun Passages	ה – סדר התחנונים
06. Ashrei, La-menatze’ach, and U-va Le-Tziyon	06. Ashrei, La'menatze'ach, and U'va LeTziyon	ו – אשרי למנצח ובא לציון
07. Shir shel Yom, Pitum Ha-ketoret, and Aleinu Le-shabe’aĥ	07. Shir shel Yom, Pitum Ha'ketoret, and Aleinu Le'shabe'ah	ז – שיר של יום, פיטום הקטורת ועלינו
Chapter 18: Minĥa and Ma’ariv	Chapter 18. Minha and Ma'ariv	י"ח - מנחה וערבית
01. The Time for Minĥa	01. The Time for Minha	א – זמן תפילת מנחה
02. Keri’at Shema of Ma’ariv and its Berakhot	02. Keri'at Shema of Ma'ariv and its Berakhot	ב – קריאת שמע וברכות של ערבית
03. The Ma’ariv Amida	03. The Ma'ariv Amida	ג – תפילת ערבית
02. Ha-mapil	02. Ha'mapil	ב – ברכת המפיל
01. Men’s Obligation to Pray with a Minyan and in a Synagogue	01. Men's Obligation to Pray with a Minyan and in a Synagogue	א – חיוב הגברים להתפלל במניין ובבית הכנסת
02 – Yisrael’s Kavanah	02. Yisrael's Kavanah	ב – נשים פטורות מתפילה בבית הכנסת ובמניין
06. Ĥazarat Ha-shatz	06. Hazarat Ha'shatz	ו – חזרת השץ (השליח ציבור)
07. Some Laws of Ĥazarat Ha-shatz and Responding “Amen”	07. Some Laws of Hazarat Ha'shatz and Responding "Amen"	ז – מדיני חזרת השץ ועניית אמן
16. The Ĥazan	16. The Hazan	טז – החזן
17. Ĥazanut for the Sake of Heaven	17. Hazanut for the Sake of Heaven	יז – חזנות לשם שמים
18. The Mourner’s Prayer and the Recitation of the Mourner’s Kaddish	18. The Mourner's Prayer and the Recitation of the Mourner's Kaddish	יח – תפילת האבלים ואמירת קדיש יתום
03. Va-yekhulu and Magen Avot	03. Va'yekhulu and Magen Avot	ג – ויכולו ומגן אבות
04. Pesukei De-zimra, Torah Reading, and Musaf	04. Pesukei De'zimra, Torah Reading, and Musaf	ד – פסוקי דזמרה, קריאת התורה ומוסף
01. Rosh Ĥodesh and Birkat Ha-levana	01. Rosh Hodesh and Birkat Ha'levana	א – ראש חודש וברכת הלבנה
04. “They too Participated in that Miracle” – Pesaĥ, Purim, and Ĥanuka	04. "They too Participated in that Miracle". Pesah, Purim, and Hanuka	ד – אף הן היו באותו הנס – פסח, פורים וחנוכה
5. Ĥanuka	5. Hanuka	ה – חנוכה
11. Birkat Ha-ilanot – The Blessing on the Trees	11. Birkat Ha'ilanot. The Blessing on the Trees	יא – ברכת האילנות
Chapter 24: Prayer Rites (Nusaĥ) and Customs of Different Communities	Chapter 24. Prayer Rites (Nusah) and Customs of Different Communities	כ"ד - נוסחי התפילה ומנהגי העדות
01. Differences in Nusaĥ	01. Differences in Nusah	א – שינויי הנוסחים
02. No Nusaĥ should be Considered Better than Another	02. No Nusah should be Considered Better than Another	ב – אין להחשיב נוסח אחד כעדיף מחבירו
05. In What Cases may one Change her Nusaĥ?	05. In What Cases may one Change her Nusah?	ה – באיזה מקרים מותר לשנות את הנוסח
1-The Meaning of the Holiday	1. The Meaning of the Holiday	א - משמעות החג
1. The Festival of Matzot and the Festival of Pesaĥ	1. The Festival of Matzot and the Festival of Pesah	א – חג המצות וחג הפסח
2. The Festival of Freedom – the Revelation of Morality	2. The Festival of Freedom. the Revelation of Morality	ב – חג החירות – גילוי המוסר
3. Spiritual liberation from Material Enslavement	3. Spiritual liberation from Material Enslavement	ג – יציאת מצרים – שחרור הרוח משעבוד החומר
4. At the Exodus, the Material World Became a Vehicle for God’s Shekhina	4. At the Exodus, the Material World Became a Vehicle for God's Shekhina	ד – ביציאת מצרים נעשה החומר מרכבה לשכינה
5. The Meaning of the Prohibition against Ĥametz – Pride in Relation to God	5. The Meaning of the Prohibition against Hametz. Pride in Relation to God	ה – משמעות איסור חמץ – גאווה כלפי שמיים
8. One Inquires about the Laws of Pesaĥ Beginning Thirty Days before Pesaĥ	8. One Inquires about the Laws of Pesah Beginning Thirty Days before Pesah	ח – שואלים בהלכות הפסח קודם לפסח שלושים יום
2 - General Rules of the Prohibition against Ĥametz	2. General Rules of the Prohibition against Hametz	ב - כללי איסור חמץ
1. Four Mitzvot Concerning the Prohibition against Ĥametz	1. Four Mitzvot Concerning the Prohibition against Hametz	א – ארבע מצוות באיסור חמץ
2. The Times When Ĥametz Is Prohibited by Torah Law and by Rabbinic Law	2. The Times When Hametz Is Prohibited by Torah Law and by Rabbinic Law	ב – זמני איסור חמץ מהתורה ומדברי חכמים
3. What Is Ĥametz and What Is Se’or?	3. What Is Hametz and What Is Se'or?	ג – מהו חמץ ומהו שאור
5. Ĥametz Nuksheh (Hardened Ĥametz)	5. Hametz Nuksheh (Hardened Hametz)	ה – חמץ נוקשה
6. Ĥametz So Spoiled That a Dog Would Not Eat It	6. Hametz So Spoiled That a Dog Would Not Eat It	ו – חמץ שנפסל ממאכל כלב
3 - The Mitzva of Getting Rid of Ĥametz	3. The Mitzva of Getting Rid of Hametz	ג - מצוות השבתת החמץ
1. The Mitzvot Associated with Getting Rid of Ĥametz	1. The Mitzvot Associated with Getting Rid of Hametz	א – המצוות הקשורות בהשבתת חמץ
2. The Prohibition against Ĥametz One Owns	2. The Prohibition against Hametz One Owns	ב – האיסור על חמץ השייך לו
3. Ĥametz That Has Been Guaranteed by a Jew and the Status of Stocks	3. Hametz That Has Been Guaranteed by a Jew and the Status of Stocks	ג – חמץ שבאחריות ישראל ודין מניות
4. How One Fulfills the Mitzva of Removing the Ĥametz	4. How One Fulfills the Mitzva of Removing the Hametz	ד – כיצד מקיימים את מצוות השבתת החמץ
5. The Essence of the Mitzva	5. The Essence of the Mitzva	ה – מהות המצווה
6. When the Prohibitions of Eating and Benefiting from Ĥametz Begin	6. When the Prohibitions of Eating and Benefiting from Hametz Begin	ו – זמני כניסת איסור אכילה והנאה מחמץ
7. The Procedure for Getting Rid of Ĥametz	7. The Procedure for Getting Rid of Hametz	ז – סדר השבתת החמץ
4 - Bedikat Ĥametz – the Search for Ĥametz	4. Bedikat Hametz. the Search for Hametz	ד - בדיקת חמץ
1. The Time for Bedikat Ĥametz	1. The Time for Bedikat Hametz	א – זמן בדיקת חמץ בתחילת ליל י"ד
2. Activities Rabbinically Forbidden before Bedikat Ĥametz	2. Activities Rabbinically Forbidden before Bedikat Hametz	ב – דברים שאסרו חכמים קודם הבדיקה
3. The Berakha	3. The Berakha	ג – הברכה
4. Places That Must Be Searched	4. Places That Must Be Searched	ד – מקומות החייבים בבדיקה
5. The Candle and the Flashlight	5. The Candle and the Flashlight	ה – הנר ופנס
6. Must One Search for Less than a Kezayit of Ĥametz?	6. Must One Search for Less than a Kezayit of Hametz?	ו – האם צריך לבדוק אחר פירורים קטנים מכזית
7. Do Books Require Bedikat Ĥametz?	7. Do Books Require Bedikat Hametz?	ז – האם צריך לבדוק את הספרים
8. Do We Rely upon the Cleaning Done before Pesaĥ?	8. Do We Rely upon the Cleaning Done before Pesah?	ח – האם סומכים על הניקוי שלפני פסח
9. Hiding Pieces of Bread and Receiving Help from Family Members	9. Hiding Pieces of Bread and Receiving Help from Family Members	ט – הנחת פתיתי חמץ והאפשרות להעזר בבני ביתו
10. One Who Travels	10. One Who Travels	י – היוצא למדינת הים
11. Does Renting One’s Entire House to a Gentile Exempt It from Bedikat Ĥametz?	11. Does Renting One's Entire House to a Gentile Exempt It from Bedikat Hametz?	י"א – אם השכרת כל הבית לגוי פוטרתו מבדיקה
12. Bedikat Ĥametz after the Proper Time and the Status of One Who Rents a Hotel Room	12. Bedikat Hametz after the Proper Time and the Status of One Who Rents a Hotel Room	י"ב – בדיקת חמץ אחר זמנה, ודין השוכר חדר במלון
