mishnah_ref|german_text|hebrew_text|is_one_to_one|flagged_for_manual|flag_msg|list_rn
Mishnah Yoma 1:6||אִם הָיָה חָכָם, דּוֹרֵשׁ. וְאִם לָאו, תַּלְמִידֵי חֲכָמִים דּוֹרְשִׁין לְפָנָיו. וְאִם רָגִיל לִקְרוֹת, קוֹרֵא. וְאִם לָאו, קוֹרִין לְפָנָיו. וּבַמֶּה קוֹרִין לְפָנָיו, בְּאִיּוֹב וּבְעֶזְרָא וּבְדִבְרֵי הַיָּמִים. זְכַרְיָה בֶּן קְבוּטָל אוֹמֵר, פְּעָמִים הַרְבֵּה קָרִיתִי לְפָנָיו בְּדָנִיֵּאל: |True|True|Roman numeral mismatch|['vi']
Mishnah Yoma 1:7|<b>W</b>ILL ER EINSCHLUMMERN SO SCHNALZEN DIE JUNGEN PRIESTER MIT DEM MITTELFINGER UND SPRECHEN zu IHM: HERR HOCHPRIESTER STEHE AUF UND ERMUNTERE DICH EIN WENIG AUF DEM PFLASTER. MAN UNTERHÄLT IHN BIS DIE ZEIT DES SCHLACHTENS HERANREICHT.|בִּקֵּשׁ לְהִתְנַמְנֵם, פִּרְחֵי כְהֻנָּה מַכִּין לְפָנָיו בְּאֶצְבַּע צְרֵדָה, וְאוֹמְרִים לוֹ, אִישִׁי כֹהֵן גָּדוֹל, עֲמֹד וְהָפֵג אַחַת עַל הָרִצְפָּה. וּמַעֲסִיקִין אוֹתוֹ עַד שֶׁיַּגִּיעַ זְמַן הַשְּׁחִיטָה: |True|False||[]
Mishnah Yoma 1:8|<b>A</b>N JEDEM ANDEREN TAGE HEBT MAN DIE ASCHE VOM ALTAR BEIM EAHNENRUF AB ODER NAHE DIESEM OB VORHER ODER NACHHER AM VERSÖHNUNGSTAGE ABER VON MITTERNACHT AN UND AN DEN FESTEN VON DER ERSTEN NACHTWACHE AN. NOCH VERNAHM MAN DEN HAHNENRUF NICHT ALS SCHON DER TEMPELHOF VON JISRAÉLITEN VOLL WAR.|בְּכָל יוֹם תּוֹרְמִין אֶת הַמִּזְבֵּחַ בִּקְרִיאַת הַגֶּבֶר אוֹ סָמוּךְ לוֹ, בֵּין לְפָנָיו בֵּין לְאַחֲרָיו. בְּיוֹם הַכִּפּוּרִים מֵחֲצוֹת, וּבָרְגָלִים מֵאַשְׁמוּרָה הָרִאשׁוֹנָה, וְלֹא הָיְתָה קְרִיאַת הַגֶּבֶר מַגַּעַת עַד שֶׁהָיְתָה עֲזָרָה מְלֵאָה מִיִּשְׂרָאֵל: |True|False||[]
Mishnah Yoma 2:1| <b>A</b>NFANGS DURFTE JEDER DER DIE ASCHE VOM ALTAR ABHEBEN WOLLTE SIE ABHEBEN. WAREN ES MEHRERE SO LIEFEN SIE DIE ALTARRAMPE HINAUF UND WER FRÜHER ALS DIE ANDEREN DIE LETZTEN VIER ELLEN ERREICHTE HATTE GESIEGT. WAREN ZWEI GLEICH WEIT SO SPRACH DER BEAMTE ZU IHNEN: DIE FINGER HOCH! WIEVIEL STRECKTEN SIE VOR? EINEN ODER ZWEI: DEN DAUMEN ABER STRECKTE MAN IM TEMPEL NICHT VOR. |בָּרִאשׁוֹנָה כָּל מִי שֶׁרוֹצֶה לִתְרֹם אֶת הַמִּזְבֵּחַ, תּוֹרֵם. וּבִזְמַן שֶׁהֵן מְרֻבִּין, רָצִין וְעוֹלִין בַּכֶּבֶשׁ, וְכָל הַקּוֹדֵם אֶת חֲבֵרוֹ בְאַרְבַּע אַמּוֹת זָכָה. וְאִם הָיוּ שְׁנֵיהֶם שָׁוִין, הַמְמֻנֶּה אוֹמֵר לָהֶם הַצְבִּיעוּ. וּמָה הֵן מוֹצִיאִין, אַחַת אוֹ שְׁתַּיִם, וְאֵין מוֹצִיאִין אֲגֻדָּל בַּמִּקְדָּשׁ: |True|False||['i', 'ii']
Mishnah Yoma 2:2| EINST LIEFEN ZWEI PRIESTER DIE ALTARRAMPE HINAUF UND WAREN GLEICH WEIT; DA STIESS EINER SEINEN GENOSSEN UND DIESER FIEL HINUNTER UND BRACH EIN BEIN. ALS NUN DER GERICHTSHOF SAH DASS MAN DADURCH IN GEFAHR GERÄT ORDNETE ER AN DASS MAN DIE ASCHE VOM ALTAR NUR DURCH DAS LOS ABHEBE. VIERMAL TÄGLICH ERFOLGTE DA DIE AUSLOSUNG UND DIES WAR DIE ERSTE AUSLOSUNG.|מַעֲשֶׂה שֶׁהָיוּ שְׁנֵיהֶם שָׁוִין וְרָצִין וְעוֹלִין בַּכֶּבֶשׁ, וְדָחַף אֶחָד מֵהֶן אֶת חֲבֵרוֹ, וְנָפַל וְנִשְׁבְּרָה רַגְלוֹ. וְכֵיוָן שֶׁרָאוּ בֵית דִּין שֶׁבָּאִין לִידֵי סַכָּנָה, הִתְקִינוּ שֶׁלֹּא יְהוּ תוֹרְמִין אֶת הַמִּזְבֵּחַ אֶלָּא בְפַיִס. אַרְבָּעָה פְיָסוֹת הָיוּ שָׁם, וְזֶה הַפַּיִס הָרִאשׁוֹן: |True|False||['i', 'ii']
Mishnah Yoma 2:3|DIE ZWEITE AUSLOSUNG BESTIMMTE WER SCHLACHTEN WER SPRENGEN WER DEN INNEREN ALTAR ENTASCHEN WER DIE LEUCHTE ENTRUSSEN \n UND WER DIE OPFERTEILE KOPF UND EINEN HLNTERFUSS BEIDE VORDERFÜSSE STEISS UND EINEN HINTERFUSS BRUST UND SCHLUND BEIDE FLANKEN DIE EINGEWEIDE DAS MEHL DAS PFANNOPFERGEBÄCK UND DEN WEIN ZUR ALTARRAMPE BRINGEN SOLL; DIES FIEL DREIZEHN PRIESTERN ZU. BEN A͑ZAJ SPRACH VOR R. A͑QIBA IM NAMEN R. JEHOŠUÁS: WIE DIE REIHENFOLGE BEIM GEHEN SO WURDE DAS OPFER DARGEBRACHT.|הַפַּיִס הַשֵּׁנִי, מִי שׁוֹחֵט, מִי זוֹרֵק, וּמִי מְדַשֵּׁן מִזְבֵּחַ הַפְּנִימִי, וּמִי מְדַשֵּׁן אֶת הַמְּנוֹרָה, וּמִי מַעֲלֶה אֵבָרִים לַכֶּבֶשׁ, הָרֹאשׁ וְהָרֶגֶל, וּשְׁתֵּי הַיָּדַיִם, הָעֹקֶץ וְהָרֶגֶל, הֶחָזֶה וְהַגֵּרָה, וּשְׁתֵּי הַדְּפָנוֹת, וְהַקְּרָבַיִם, וְהַסֹּלֶת, וְהַחֲבִתִּין, וְהַיָּיִן. שְׁלשָׁה עָשָׂר כֹּהֲנִים זָכוּ בוֹ. אָמַר בֶּן עַזַּאי לִפְנֵי רַבִּי עֲקִיבָא מִשּׁוּם רַבִּי יְהוֹשֻׁעַ, דֶּרֶךְ הִלּוּכוֹ הָיָה קָרֵב: |True|False||[]
Mishnah Yoma 2:4|<b>D</b>IE DRITTE AUSLOSUNG: NEULINGE KOMMT ZUM RÄUCHERWERKE LOSEN. DIE VIERTE AUSLOSUNG: NEULINGE UND ERFAHRENE LOSET WER DIE OPFERGLIEDER VON DER ALTARRAMPE AUF DEN ALTAR BRINGEN SOLL.|הַפַּיִס הַשְּׁלִישִׁי, חֲדָשִׁים לַקְּטֹרֶת בֹּאוּ וְהָפִיסוּ. וְהָרְבִיעִי, חֲדָשִׁים עִם יְשָׁנִים, מִי מַעֲלֶה אֵבָרִים מִן הַכֶּבֶשׁ וְלַמִּזְבֵּחַ: |True|False||[]
Mishnah Yoma 2:5|<b>D</b>AS BESTÄNDIGE OPFERWIRD DURCH NEUN ZEHN ELF ODER ZWÖLF PRIESTER DARGEBRACHT NICHT WENIGER UND NICHT MEHR. UND ZWAR: DIESES SELBST DURCH NEUN UND AM HÜTTENFESTE HIELT EINER DIE WASSERSCHALE IN DER HAND ALSO ZEHN; \n ABENDS DURCH ELF: DIESES SELBST DURCH NEUN UND ZWEI HIELTEN DIE ZWEI HOLZSCHEITE IN DER HAND; AM ŠABBATH DURCH ELF: DIESES SELBST DURCH NEUN UND ZWEI HIELTEN DIE ZWEI SCHALEN WEIHRAUCH DES SCHAUBROTES IN DER HAND; AM ŠABBATH DES HÜTTENFESTES HIELT NOCH EINER DIE WASSERSCHALE IN DER HAND.|תָּמִיד קָרֵב בְּתִשְׁעָה, בַּעֲשָׂרָה, בְּאַחַד עָשָׂר, בִּשְׁנֵים עָשָׂר, לֹא פָחוֹת וְלֹא יוֹתֵר. כֵּיצַד. עַצְמוֹ בְּתִשְׁעָה. בֶּחָג, בְּיַד אֶחָד צְלוֹחִית שֶׁל מַיִם, הֲרֵי כָאן עֲשָׂרָה. בֵּין הָעַרְבַּיִם, בְּאַחַד עָשָׂר, הוּא עַצְמוֹ בְּתִשְׁעָה, וּשְׁנַיִם בְּיָדָם שְׁנֵי גְזִירֵי עֵצִים. וּבְשַׁבָּת בְּאַחַד עָשָׂר, הוּא עַצְמוֹ בְּתִשְׁעָה, וּשְׁנַיִם בְּיָדָם שְׁנֵי בְזִיכֵי לְבוֹנָה שֶׁל לֶחֶם הַפָּנִים. וּבְשַׁבָּת שֶׁבְּתוֹךְ הֶחָג, בְּיַד אֶחָד צְלוֹחִית שֶׁל מָיִם: |True|False||[]
Mishnah Yoma 2:6|<b>E</b>IN WIDDER WIRD DURCH ELF PRIESTER DARGEBRACHT: DAS FLEISCH DURCH FÜNF DIE EINGEWEIDE DAS MEHL UND DER WEIN DURCH JEZWEI. <sup>vii</sup> EIN FARRE WIRD DURCH VIERUNDZWANZIG PRIESTER DARGEBRACHT: VON KOPF UND HINTERFUSS DER KOPF DURCH EINEN UND DER HINTERFUSS DURCH ZWEI; VON STEISS UND HINTERFUSS DER STEISS DURCH ZWEI UND DER HINTERFUSS DURCH ZWEI; VON BRUST UND SCHLUND DIE BRUST DURCH EINEN UND DER SCHLUND DURCH DREI; BEIDE VORDERFÜSSE DURCH ZWEI BEIDE FLANKEN DURCH ZWEI; EINGEWEIDE MEHL UND WEIN DURCH JE DREI. DIES GILT NUR VON GEMEINDEOPFERN PRIVATOPFER ABER KANN AUCH EINER WENN ER ES WILL HERRICHTEN. ENTHÄUTÜNG UND ZERLEGUNG WAREN BEI DIESEN UND JENEN GLEICH.|אַיִל קָרֵב בְּאַחַד עָשָׂר, הַבָּשָׂר בַּחֲמִשָּׁה, הַקְּרָבַיִם וְהַסֹּלֶת וְהַיַּיִן בִּשְׁנַיִם שְׁנָיִם: |True|True|Roman numeral mismatch|['vii']
Mishnah Yoma 2:7||פַּר קָרֵב בְּעֶשְׂרִים וְאַרְבָּעָה, הָרֹאשׁ וְהָרֶגֶל, הָרֹאשׁ בְּאֶחָד, וְהָרֶגֶל בִּשְׁנַיִם. הָעֹקֶץ וְהָרֶגֶל, הָעֹקֶץ בִּשְׁנַיִם, וְהָרֶגֶל בִּשְׁנַיִם. הֶחָזֶה וְהַגֵּרָה, הֶחָזֶה בְּאֶחָד, וְהַגֵּרָה בִּשְׁלשָׁה. שְׁתֵּי יָדַיִם בִּשְׁנַיִם. שְׁתֵּי דְפָנּוֹת בִּשְׁנַיִם. הַקְּרָבַיִם וְהַסֹּלֶת וְהַיַּיִן בִּשְׁלשָׁה שְׁלשָׁה. בַּמֶּה דְבָרִים אֲמוּרִים, בְּקָרְבְּנוֹת צִבּוּר. אֲבָל בְּקָרְבַּן יָחִיד, אִם רָצָה לְהַקְרִיב, מַקְרִיב. הֶפְשֵׁטָן וְנִתּוּחָן שֶׁל אֵלּוּ וָאֵלּוּ שָׁוִין: |True|True|Roman numeral mismatch|['vii']
Mishnah Yoma 3:1|<sup>ii</sup> <b>D</b>ER BEAMTE SPRACH ZU IHNEN: GEHT UND SCHAUET OB DIE ZEIT ZUM SCHLACHTEN SCHON HERANGEREICHT IST. SOBALD SIE HERANREICHTE SPRACH DER BEOBACHTENDE: EIN LICHTSCHEIN! ALSDANN SPRACH MATHJAB.ŠEMUÉL: IST DIE GANZE OSTSEITE HELL? BIS ḤEBRON? UND DIESER ERWIDERTE: JAWOHL. WOZU WAR DIES ALLES NÖTIG? WEIL SIE EINMAL ALS DAS MONDLICHT AUFGEGANGEN WAR GLAUBTEN DAS MORGENLICHT SEI IM OSTEN AUFGEGANGEN UND SIE SCHLACHTETEN DAS BESTÄNDIGE OPFER DAS SIE NACHHER IN DEN VERBRENNUNGSRAUM BRACHTEN. HIERAUF FÜHRTE MAN DEN HOCHPRIESTER IN DEN BADERAUM HINUNTER. FOLGENDE BESTIMMUNG WAR IM TEMPEL EINGEFÜHRT: WER SEINE NOTDURFT VERRICHTET MUSS EIN TAUCHBAD NEHMEN WER WASSER LÄSST MUSS HÄNDE UND FÜSSE WASCHEN.|אָמַר לָהֶם הַמְמֻנֶּה, צְאוּ וּרְאוּ אִם הִגִּיעַ זְמַן הַשְּׁחִיטָה. אִם הִגִּיעַ, הָרוֹאֶה אוֹמֵר, בַּרְקַאי. מַתִּתְיָא בֶּן שְׁמוּאֵל אוֹמֵר, הֵאִיר פְּנֵי כָל הַמִּזְרָח עַד שֶׁבְּחֶבְרוֹן. וְהוּא אוֹמֵר הֵן: |True|True|Roman numeral mismatch|['ii']
Mishnah Yoma 3:2||וְלָמָה הֻצְרְכוּ לְכָךְ, שֶׁפַּעַם אַחַת עָלָה מְאוֹר הַלְּבָנָה וְדִמּוּ שֶׁהֵאִיר מִזְרָח, וְשָׁחֲטוּ אֶת הַתָּמִיד, וְהוֹצִיאוּהוּ לְבֵית הַשְּׂרֵפָה. הוֹרִידוּ כֹהֵן גָּדוֹל לְבֵית הַטְּבִילָה. זֶה הַכְּלָל הָיָה בַמִּקְדָּשׁ, כָּל הַמֵּסֵךְ אֶת רַגְלָיו טָעוּן טְבִילָה, וְכָל הַמַּטִּיל מַיִם טָעוּן קִדּוּשׁ יָדַיִם וְרַגְלָיִם: |True|True|Roman numeral mismatch|['ii']
Mishnah Yoma 3:3|<b>N</b>IEMAND DARF OHNE AORHER UNTERGETAUCHT ZU HABEN IN DEN TEMPELHOF ZUM TEMPELDIENSTE EINTRETEN AUCH NICHT EIN REINER. AN DIESEM TAGE NAHM DER HOCHPRIESTER FÜNF TAUCHBÄDER UND MACHTE ZEHN WASCHUNGEN ALLE IM HEILIGTUME ÜBER DER PARVAKAMMER AUSGENOMMEN DIESES EINE. <sup>iv1</sup> MAN BREITETE ZWISCHEN IHM UND DEM VOLKE EIN LAKEN AUS BYSSUS AUS.|אֵין אָדָם נִכְנָס לָעֲזָרָה לָעֲבוֹדָה, אֲפִלּוּ טָהוֹר, עַד שֶׁיִּטְבֹּל. חָמֵשׁ טְבִילוֹת וַעֲשָׂרָה קִדּוּשִׁין טוֹבֵל כֹּהֵן גָּדוֹל וּמְקַדֵּשׁ בּוֹ בַיּוֹם, וְכֻלָּן בַּקֹּדֶשׁ עַל בֵּית הַפַּרְוָה, חוּץ מִזּוֹ בִלְבָד: |True|True|Roman numeral mismatch|['iv']
Mishnah Yoma 3:4|<b>E</b>R ZOG SICH AUS STIEG HINAB UND TAUCHTE UNTER STIEG HERAUF UND TROCKNETE SICH AB UND MAN BRACHTE IHM DIE GOLDENEN GEWÄNDER DIE ER ANZOG UND ER WUSCH SICH HÄNDE UND FÜSSE. HIERAUF BRACHTE MAN IHM DAS BESTÄNDIGE OPFER UND ER SCHNITT DEN HALS EIN WÄHREND EIN ANDERER AN SEINER SEITE DAS SCHLACHTEN VOLLENDETE NAHM DAS BLUT AUF UND SPRENGTE ES. DANN TRAT ER EIN DAS MORGENRÄUCHERWERK ZU RÄUCHERN DIE LAMPEN ZU PUTZEN UND DEN KOPF DIE OPFERGLIEDER DAS PFANNOPFERGEBÄCK UND DEN WEIN DARZUBRINGEN. <sup>v</sup> DAS MORGENRÄUCHERWERK WURDE ZWISCHEN DEM BLUTEUND DER AUFRÄUCHERUNG DER OPFERGLIEDER DARGEBRACHT DAS DES ABENDS ZWISCHEN DER AUFRÄUCHERUNG DER OPFERGLIEDER UND DEM GUSSOPFER. WAR DER HOCHPRIESTER ALT ODER EMPFINDLICH SO BEREITETE MAN IHM HEISSES WASSER VOR UND GOSS ES IN DAS KALTE UM DIE KÄLTE ZU MILDERN.|פֵּרְסוּ סָדִין שֶׁל בּוּץ בֵּינוֹ לְבֵין הָעָם. פָּשַׁט, יָרַד וְטָבַל, עָלָה וְנִסְתַּפֵּג. הֵבִיאוּ לוֹ בִגְדֵי זָהָב, וְלָבַשׁ וְקִדֵּשׁ יָדָיו וְרַגְלָיו. הֵבִיאוּ לוֹ אֶת הַתָּמִיד. קְרָצוֹ, וּמֵרַק אַחֵר שְׁחִיטָה עַל יָדוֹ. קִבֵּל אֶת הַדָּם וּזְרָקוֹ. נִכְנַס לְהַקְטִיר קְטֹרֶת שֶׁל שַׁחַר, וּלְהֵטִיב אֶת הַנֵּרוֹת, וּלְהַקְרִיב אֶת הָרֹאשׁ וְאֶת הָאֵבָרִים וְאֶת הַחֲבִתִּין וְאֶת הַיָּיִן: |True|True|Roman numeral mismatch|['v']
Mishnah Yoma 3:5||קְטֹרֶת שֶׁל שַׁחַר הָיְתָה קְרֵבָה בֵּין דָּם לָאֵבָרִים. שֶׁל בֵּין הָעַרְבַּיִם, בֵּין אֵבָרִים לַנְּסָכִים. אִם הָיָה כֹהֵן גָּדוֹל זָקֵן אוֹ אִסְטְנִיס, מְחַמִּין לוֹ חַמִּין וּמְטִילִין לְתוֹךְ הַצּוֹנֵן, כְּדֵי שֶׁתָּפוּג צִנָּתָן: |True|True|Roman numeral mismatch|['v']
Mishnah Yoma 3:6|<b>M</b>AN BRACHTE IHN IN DIE PARVAKAMMER DIE AUF HEILIGEM GEBIETE LAG UND BREITETE ZWISCHEN IHM UND DEM VOLKE EIN LAKEN AUS BYSSUS AUS; HIERAUF WUSCH ER SICH HÄNDE UND FÜSSE UND ZOG SICH AUS. R. MEÍR SAGT ER ZOG SICH AUS UND WUSCH SICH HÄNDE UND FÜSSE. SODANN STIEG ER HINAB UND TAUCHTE UNTER STIEG HERAUF UND TROCKNETE SICH AB UND MAN BRACHTE IHM DIE WEISSEN GEWÄNDER; ER ZOG SIE AN UND WUSCH SICH HÄNDE UND FÜSSE. <sup>vii</sup> MORGENS LEGTE ER PELUSISCHESIM WERTE VON ZWÖLF MINEN AN ABENDS INDISCHESIM WERTE VON ACHTHUNDERT ZUZ – SO R. MEÍR. DIE WEISEN SAGEN: MORGENS LEGTE ER SOLCHE IM WERTE VON ACHTZEHN MINEN AN ABENDS IM WERTE VON ZWÖLF MINEN ZUSAMMEN ALSO DREISSIG MINEN. DIESE WAREN AUS GEMEINDEMITTELN; WOLLTE ER MEHR SO FÜGTE ER AUS EIGNEM HINZU.|הֱבִיאוּהוּ לְבֵית הַפַּרְוָה, וּבַקֹּדֶשׁ הָיְתָה. פָּרְסוּ סָדִין שֶׁל בּוּץ בֵּינוֹ לְבֵין הָעָם, קִדֵּשׁ יָדָיו וְרַגְלָיו וּפָשַׁט. רַבִּי מֵאִיר אוֹמֵר, פָּשַׁט, קִדֵּשׁ יָדָיו וְרַגְלָיו. יָרַד וְטָבַל, עָלָה וְנִסְתַּפֵּג. הֵבִיאוּ לוֹ בִגְדֵי לָבָן, לָבַשׁ וְקִדֵּשׁ יָדָיו וְרַגְלָיו: |True|True|Roman numeral mismatch|['vii']
Mishnah Yoma 3:7||בַּשַּׁחַר הָיָה לוֹבֵשׁ פִּלּוּסִין שֶׁל שְׁנֵים עָשָׂר מָנֶה, וּבֵין הָעַרְבַּיִם הִנְדְּוִין שֶׁל שְׁמֹנֶה מֵאוֹת זוּז, דִּבְרֵי רַבִּי מֵאִיר. וַחֲכָמִים אוֹמְרִים, בַּשַּׁחַר הָיָה לוֹבֵשׁ שֶׁל שְׁמֹנָה עָשָׂר מָנֶה, וּבֵין הָעַרְבַּיִם שֶׁל שְׁנֵים עָשָׂר מָנֶה, הַכֹּל שְׁלשִׁים מָנֶה. אֵלּוּ מִשֶּׁל צִבּוּר. וְאִם רָצָה לְהוֹסִיף, מוֹסִיף מִשֶּׁלּוֹ: |True|True|Roman numeral mismatch|['vii']
Mishnah Yoma 3:8|<b>D</b>ER FOLGENDEN GEDACHTE MAN ZUM TADEL: DIE ANGEHÖRIGEN DER FAMILIE GARMO WOLLTEN ÜBER DIE ZUBEREITUNG DER SCHAUBROTE NICHTS LEHREN; DIE ANGEHÖRIGEN DER FAMILIE EUTINOS WOLLTEN ÜBER DIE ANFERTIGUNG DES RÄUCHERWERKES NICHTS LEHREN; HYGROS DER LEVITEWAR KUNDIG IM GESANGE WOLLTE ABER NICHT LEHREN; BEN QAMÇAR WOLLTE ÜBER DAS KUNSTSCHREIBENNICHTS LEHREN. ÜBER JENE HEISST ES:die Erinnerung des Frommen bleibl zum Segen ÜBER DIESE HEISST ES:der Name der Gottlosen wird verwesen.|בָּא לוֹ אֵצֶל פָּרוֹ, וּפָרוֹ הָיָה עוֹמֵד בֵּין הָאוּלָם וְלַמִּזְבֵּחַ, רֹאשׁוֹ לַדָּרוֹם וּפָנָיו לַמַּעֲרָב, וְהַכֹּהֵן עוֹמֵד בַּמִּזְרָח וּפָנָיו לַמַּעֲרָב, וְסוֹמֵךְ שְׁתֵּי יָדָיו עָלָיו וּמִתְוַדֶּה. וְכָךְ הָיָה אוֹמֵר, אָנָּא הַשֵּׁם, עָוִיתִי פָּשַׁעְתִּי חָטָאתִי לְפָנֶיךָ אֲנִי וּבֵיתִי. אָנָּא הַשֵּׁם, כַּפֶּר נָא לָעֲוֹנוֹת וְלַפְּשָׁעִים וְלַחֲטָאִים, שֶׁעָוִיתִי וְשֶׁפָּשַׁעְתִּי וְשֶׁחָטָאתִי לְפָנֶיךָ אֲנִי וּבֵיתִי, כַּכָּתוּב בְּתוֹרַת משֶׁה עַבְדֶּךָ (ויקרא טז), כִּי בַיּוֹם הַזֶּה יְכַפֵּר עֲלֵיכֶם לְטַהֵר אֶתְכֶם מִכֹּל חַטֹּאתֵיכֶם לִפְנֵי יְיָ תִּטְהָרוּ. וְהֵן עוֹנִין אַחֲרָיו, בָּרוּךְ שֵׁם כְּבוֹד מַלְכוּתוֹ לְעוֹלָם וָעֶד: |False|True|Not one to one, Roman numeral mismatch|[]
Mishnah Yoma 3:9||בָּא לוֹ לְמִזְרַח הָעֲזָרָה, לִצְפוֹן הַמִּזְבֵּחַ, הַסְּגָן מִימִינוֹ וְרֹאשׁ בֵּית אָב מִשְּׂמֹאלוֹ. וְשָׁם שְׁנֵי שְׂעִירִים, וְקַלְפִּי הָיְתָה שָׁם וּבָהּ שְׁנֵי גוֹרָלוֹת. שֶׁל אֶשְׁכְּרוֹעַ הָיוּ, וַעֲשָׂאָן בֶּן גַּמְלָא שֶׁל זָהָב, וְהָיוּ מַזְכִּירִין אוֹתוֹ לְשָׁבַח: |False|True|Not one to one, Roman numeral mismatch|[]
Mishnah Yoma 3:10||בֶּן קָטִין עָשָׂה שְׁנֵים עָשָׂר דַּד לַכִּיּוֹר, שֶׁלֹּא הָיוּ לוֹ אֶלָּא שְׁנַיִם. וְאַף הוּא עָשָׂה מוּכְנִי לַכִּיּוֹר, שֶׁלֹּא יִהְיו מֵימָיו נִפְסָלִין בְּלִינָה. מֻנְבַּז הַמֶּלֶךְ הָיָה עוֹשֶׂה כָל יְדוֹת הַכֵּלִים שֶׁל יוֹם הַכִּפּוּרִים שֶׁל זָהָב. הִילְנִי אִמּוֹ עָשְׂתָה נִבְרֶשֶׁת שֶׁל זָהָב עַל פִּתְחוֹ שֶׁל הֵיכָל. וְאַף הִיא עָשְׂתָה טַבְלָא שֶׁל זָהָב שֶׁפָּרָשַׁת סוֹטָה כְתוּבָה עָלֶיהָ. נִיקָנוֹר נַעֲשׂוּ נִסִּים לְדַלְתוֹתָיו, וְהָיוּ מַזְכִּירִין אוֹתוֹ לְשָׁבַח: |False|True|Not one to one, Roman numeral mismatch|[]
Mishnah Yoma 3:11||וְאֵלּוּ לִגְנַאי, שֶׁל בֵּית גַּרְמוּ לֹא רָצוּ לְלַמֵּד עַל מַעֲשֵׂה לֶחֶם הַפָּנִים. שֶׁל בֵּית אַבְטִינָס לֹא רָצוּ לְלַמֵּד עַל מַעֲשֵׂה הַקְּטֹרֶת. הֻגְרַס בֶּן לֵוִי הָיָה יוֹדֵעַ פֶּרֶק בַּשִּׁיר וְלֹא רָצָה לְלַמֵּד. בֶּן קַמְצָר לֹא רָצָה לְלַמֵּד עַל מַעֲשֵׂה הַכְּתָב. עַל הָרִאשׁוֹנִים נֶאֱמַר (משלי י), זֵכֶר צַדִּיק לִבְרָכָה. וְעַל אֵלּוּ נֶאֱמַר (שם) וְשֵׁם רְשָׁעִים יִרְקָב: |False|True|Not one to one, Roman numeral mismatch|[]
Mishnah Yoma 4:1|<b>E</b>R RÜHRTE DIE URNE UM UND HOLTE DIE ZWEI LOSE HERVOR; AUF DEM EINEN STAND ‘FÜR GOTT’ AUF DEM ANDEREN STAND FÜR A͑ZAZEL’. DER PRIESTERPRÄSES ZU SEINER RECHTEN UND DER OBMANN DER FAMILIENWACHE ZU SEINER LINKEN. GERIET DAS LOS ‘FÜR GOTT’ IN SEINE RECHTE SO SPRACH DER PRIESTERPRÄSES ZU IHM: HERR HOCHPRIESTER ERHEBE DEINE RECHTE; GERIET DAS LOS ‘FÜR GOTT’ IN SEINE LINKE SO SPRACH DER OBMANN DER FAMILIENWACHE ZU IHM: HERR HOCHPRIESTER ERHEBE DEINE LINKE. ALSDANN LEGTE ER SIE AUF BEIDE BÖCKE UND SPRACH : EIN SÜNDOPFER FÜR GOTT. R. JIŠMA͑ÉL SAGT ER BRAUCHTE ‘EIN SÜNDOPFER’ NICHT ZU SAGEN SONDERN NUR: FÜR GOTT. UND SIE STIMMTEN NACH IHM EIN: GEPRIESEN SEI DER NAME SEINER KÖNIGLICHEN MAJESTÄT AUF IMMER UND EWIG.|טָרַף בַּקַּלְפִּי וְהֶעֱלָה שְׁנֵי גוֹרָלוֹת. אֶחָד כָּתוּב עָלָיו לַשֵּׁם וְאֶחָד כָּתוּב עָלָיו לַעֲזָאזֵל. הַסְּגָן בִּימִינוֹ וְרֹאשׁ בֵּית אָב מִשְּׂמֹאלוֹ. אִם שֶׁל שֵׁם עָלָה בִימִינוֹ, הַסְּגָן אוֹמֵר לוֹ, אִישִׁי כֹהֵן גָּדוֹל, הַגְבֵּהַּ יְמִינֶךָ. וְאִם שֶׁל שֵׁם עָלָה בִשְׂמֹאלוֹ, רֹאשׁ בֵּית אָב אוֹמֵר לוֹ, אִישִׁי כֹהֵן גָּדוֹל, הַגְּבֵּהַּ שְׂמֹאלֶךָ. נְתָנוֹ עַל שְׁנֵי הַשְּׂעִירִים וְאוֹמֵר, לַיְיָ חַטָּאת. רַבִּי יִשְׁמָעֵאל אוֹמֵר, לֹא הָיָה צָרִיךְ לוֹמַר חַטָּאת, אֶלָּא לַיְיָ. וְהֵן עוֹנִין אַחֲרָיו, בָּרוּךְ שֵׁם כְּבוֹד מַלְכוּתוֹ לְעוֹלָם וָעֶד: |True|False||[]
