tikkun,daf,paragraph,line,phrase,formatting,footnotes
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,2,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,2,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,2,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,2,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,2,"…and it wasevening, and it was morning,",,FootnoteType.CITATION/None[…and]:Gen. 1:31
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,3,"the sixth day,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,3,for this,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,3,is:],,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,4,Hei◘‹◘ה›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,4,of,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,4,‘the’,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,4,sixth‹Ha-shishy›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,4,day,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,4,is,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,4,"Malkhut, the seventh,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,5,and it is called,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,5,,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,5,"ʼAB‹cloud›‹72›,",Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,6,and in it rides Vav◘‹◘ו›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,6,"to redeem Israel,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,7,this is what is written:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,8,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,8,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,8,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,8,Behold Y”Y,Formatting.ITALICS,FootnoteType.CITATION/None[Behold Y”Y]:Is. 19:1
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,8,rides on a light cloud‹ʼab›…,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,9,because it,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,9,Malkhut,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,9,is inclusive of the three,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,9,"Patriarchs,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,10,from whom are suspended the 72‹ʼab›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,10,Names,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[66b],124,11,and they are included in it.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,0,And corresponding to the three,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,0,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,0,"Patriarchs,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,1,it is stated of,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,1,the passage,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,1,of:,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,1,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,1,And they were completed‹vaye-khulu,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,1,"›‹72›,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,2,three times,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,2,‘seventh’,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,3,– and this is the mystery of the Sabbath:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,4,BaT‹daughter›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,4,of,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,4,Shyn◘‹◘ש›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,4,which are:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,5,And he travelled… and he came… and he stretched…,Formatting.ITALICS,FootnoteType.CITATION/None[And he travelled… and he came… and he stretched…]:Ex. 14:19-21
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,6,which are included in,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],125,6,BaT.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,0,"At that time,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,1,the merit of the,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,1,"Patriarchs will take effect,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,2,"for from the day the Temple was destroyed,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,3,the world is called:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,3,"chaos and void,",Formatting.ITALICS,"FootnoteType.CITATION/None[chaos and void,]:Gen. 1:2"
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,4,from there onwards is fulfilled the verse:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,5,"For I have said the world will be built in kindness‹ḥesed›‹72›,",Formatting.ITALICS,"FootnoteType.CITATION/None[For I have said the world will be built in kindness‹ḥesed›‹72›,]:Ps. 89:3"
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,6,ḤeSeD‹kindness›,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],126,6,adds up to the numerical value of 72 Names.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,0,"And this is the mystery,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,1,that ‘the seventh’ is bound up with the first day.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,2,And Who is,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,2,the seventh?,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,3,It is the Righteous-One,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,4,–,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,4,the sign of Sabbath and Festivals.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,5,And the mystery of the word:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,6,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,6,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,6,As Y”Y,Formatting.ITALICS,FootnoteType.CITATION/None[As Y”Y]:Ruth 3:13
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,6,lives! Lie down until the morning,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,7,"– and this is the ‘morning of Abraham’,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,8,that of which it is stated:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,9,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,9,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,9,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,9,And Abraham arose early in the morning,Formatting.ITALICS,FootnoteType.CITATION/None[And Abraham arose early in the morning]:Gen. 19:27
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,10,– and,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,10,that,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,10,is his,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],127,10,‘Ḥesed’.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,0,"Because,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,0,with this,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,0,Ḥesed,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,0,"is the throne repaired,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,1,which is,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,1,in a state of,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,1,"‘fallenness’, i t is this that",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,2,is written:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,3,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,3,And the throne,Formatting.ITALICS,FootnoteType.CITATION/None[And the throne]:Is. 16:5
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,3,is,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,3,established,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,3,,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,3,"with kindness,",Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,4,and through it,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,4,Ḥesed,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,4,"will She rise,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,5,and the mystery of the matter:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,6,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,6,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,6,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,6,"…and with eternal kindness‹ḥesed›,",Formatting.ITALICS,"FootnoteType.CITATION/None[…and with eternal kindness‹ḥesed›,]:Is. 54:8"
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],128,7,I am merciful to you…,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,0,And all,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,0,sephirot,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,0,"are bound by the right-side,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,1,because of it is stated:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,2,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,2,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,2,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,2,"…from His right hand a fiery law for them,",Formatting.ITALICS,"FootnoteType.CITATION/None[…from His right hand a fiery law for them,]:Deut. 33:2"
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,3,from the right-hand side,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,3,"is given the Torah,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,4,because of this:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,4,"He led by the right hand of Moses,",Formatting.ITALICS,"FootnoteType.CITATION/None[He led by the right hand of Moses,]:Is. 63:12"
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,5,the arm of his glory‹tipheret›…,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],129,6,and it splits the sea of the Torah from there.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,0,From the,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,0,Hei◘‹◘ה›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,0,of,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,0,"AVRaHaM,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,1,"in order to be for Him an eternal Name through Her,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,2,and with it is completed the,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,2,Hei◘‹◘ה›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,2,of,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,2,the name,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,2,"Moses‹MoSheH›, w h i c h",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,3,is,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,3,‘on loan’,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,3,"in relation to Abraham,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,4,"through Moses who brought the Torah,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,5,until he,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,5,Moses,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,5,redeems his,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,5,Abraham’s,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,5,children.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,6,And the mystery of the matter:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,6,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,6,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,6,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,6,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,6,"As the days of your going out of Egypt,",Formatting.ITALICS,"FootnoteType.CITATION/None[As the days of your going out of Egypt,]:Mic. 7:15"
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],130,7,I shall show him wonders.,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,0,"And the mystery of the redemption is with this seal,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,1,of which it is stated:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,2,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,2,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,2,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,2,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,2,For in joy‹be-simḥah›,Formatting.ITALICS,FootnoteType.CITATION/None[For in joy‹be-simḥah›]:Is. 55:12
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,2,,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,2,"you shall go out,",Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,3,and in peace you shall be led…,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,4,be-simḥah‹in joy›‹355›,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,4,amounts to the,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,4,numeric,Formatting.FADED,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,4,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,4,value:,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,4,"ADeN‹55›,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,5,which is ADNY,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,5,–,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,5,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,5,"The ark of the covenant,",Formatting.ITALICS,"FootnoteType.CITATION/None[The ark of the covenant,]:Josh. 3:11"
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,5,,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,5,,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,6,of the,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,6,‘Lord’‹ADoN›,Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,6,"of all the earth,",Formatting.ITALICS,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,6,it is called,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,6,,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,6,–,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,7,apart from the letter,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,7,Shyn◘‹◘ש›‹300›,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,7,"which is three-hundred,",,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,8,and they are the three,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],131,8,Patriarchs that are joined in it.,,
Tiqun  22 [ENDNOTE_REFERENCE] for Day 12 [ENDNOTE_REFERENCE],[67a],132,0,And the letters of,,
