ב.	<b>רש"י בד"ה שתים כתיבי כו' הן ולאו ולהבא דלהרע כו'</b> כצ"ל:
	<b>תוס' בד"ה מושבע כנשבע כו' וליכא למימר דהיא גופה כו' כפריה ועבריה</b> כצ"ל והס"ד ואח"כ מ"ה חדש ה"ג כו' איתא נמי לשעבר כו' כצ"ל:
לד:	<b>רש"י בד"ה מכדי כו' ברישא לא עשה כו'</b> הד"א:
	<b>בד"ה מקמי כו' דס"ל דהא הוה גמיר כו'</b> כצ"ל:
	<b>תוס' בד"ה כי היכי כו' היינו משום דלבתר כו'</b> נ"ב פי' עיקר פירכא דהכא גבי שבועת עדות חייבו הכתוב במושבע משא"כ בפקדון דלא חייבו במושבע אלא דוקא בנשבע מפי עצמו ואף שיש לשם נמי חומרא שחייב בנשבע משא"כ בשבועת העדות לפי ס"ד דהשתא מ"מ איכא פירכא כי אין מכריעין בין החמורות וק"ל א"כ שפיר קפריך ר"ש אלא דלא הוה ליה למינקט פה שעשה בו מושבע כנשבע דלמא לפי בתר דקים ליה כו' נקטיה דבע"כ לא תמצא בשבועת העדות נשבע כי אם בתר ג"ש ודו"ק:
	<b>בד"ה הנך כו' עדיפא דמעילה ממעילה לאו כו'</b> כצ"ל:
לה.	<b>גמ' מפקדון דמזיד דלאו כשוגג כו'</b> כצ"ל:
	<b>שם במתני' וכן יככה אלהים כו'</b> נ"ב ברי"ף גרס בתרוייהו שם י"ה ולא אלהים אכן גם גירסא זו ישרה וקמ"ל אף שזה הקורא בתורה קורא בשם של יו"ד ה"א והוא אומר וכן יככה אלהים אפי' הכי הוי אלה וק"ל:
	<b>רש"י בד"ה זו היא כו' לעדים וכן</b> כצ"ל:
	<b>בד"ה אל יככם כו' תעידוני וכפרו</b> כצ"ל:
	<b>בד"ה ר"מ מחייב דמכלל כו' אם תעידוני ואם לא תעידוני יככם</b> כצ"ל:
	<b>בד"ה בצואה כו' דכתיב בפ' נדרים</b> כצ"ל:
לה:	<b>גמ' בסוף עמוד ה"ק ומנין לעשות שבועה שאין עמה אלה כשבועה שיש עמה אלה ת"ל ושמעה קול אלה ושמעה אלה ושמעה קול א"ר אבהו כו'</b> כצ"ל והשאר נמחק:
	<b>רש"י בד"ה כתב אלף כו' דהאמצע קרא אדון כו'</b> נ"ב ותימה דהא נקט בקרא אדנ"י בקמ"ץ ואם היה קורא לאחד אדון הל"ל אדני בחירי"ק אלא לכולם קראם אדונים ולגדול שבהם אמר אל נא תעבור וגו' וכן פי' בחומש:
	בד"ה במיכה כו' לבני וגו' הס"ד ואח"כ צריך להתחיל הדבור י"ה קודש וה"ק הקדש הקדשתי הכסף וגו' והס"ד. ואח"כ מ"ה הרי הוא אסור כו':
	<b>בד"ה הם לא כו' אלא האלך ולא התתנהו בידי</b> כצ"ל:
	<b>בד"ה ומאתים כו' הניחום ויעסקו כו' כצ"ל</b> ונ"ב פי' תניחם מאנגריא של מלך וק"ל:
	בד"ה מה כאן צ"ל מה להלן וד"ה ומה כאן צ"ל ומה להלן:
	<b>בד"ה דשבועה צ"ל אלה דשבועה כו' קול אלה דמשמע דבשבועה משתעי</b> כצ"ל:
לו.	<b>גמ' וכדר' אבין אמר כו'</b> כצ"ל:
	שם בפיסקא יככה אלהים צ"ל יככה ה':
	<b>רש"י בד"ה ושמעה אלה כו' דהיא שבועה שיש בה כו'</b> כצ"ל:
	<b>בד"ה ואמרה האשה כו' מהם דכופרים אחר כו'</b> כצ"ל:
	<b>תוס' בד"ה והוא דאמר כו' ולאו דשבועה כו'</b> נ"ב פי' למלקות ולקרבן וכן דעת הרמב"ם והסמ"ג:
לו:	<b>רש"י בד"ה ושאני סוטה כו' בספרים ישנים דלא אתמר בלא תיפוך כו'</b> כצ"ל:
	<b>תוס' בד"ה ה"ג כו' ואינהו אאלהים קאי ואע"ג כו' גבי נדר דלית ליה כו'</b> כצ"ל:
	סליק פרק שבועת העדות
	<b>גמ' תובעין אותו ואמרו לו כו'</b> כצ"ל:
	<b>רש"י בד"ה בפני ב"ד כו' וכחש בעמיתו כל דהו</b> נ"ב לא ידענא למאי הזכיר רש"י קרא זה אי לאשמועינן מינה בין בפני ב"ד בין שלא בפני ב"ד הלא מונשבע על שקר שמעי' כדפרש"י לעיל דף ל"א. ואם על מפי עצמו קאי לא שייך לומר כל שהוא דהא עדיף ממושבע מפי אחרים כדיליף לעיל בפ' שבועת העדות ק"ו כו' ועוד קרא דאשר ישבע עליו היינו מפי עצמו וצ"ל דרש"י בא לפרש דחייב מפי עצמו אף בלא טענת התובע ואמר לו תן לו פקדוני כו' לאו דוקא קאמר וזהו דשמעי' מוכחש בעמיתו כל דהו כדלעיל דף ל"ב [עיין במהרש"א]:
לז.	<b>גמ' והכא מייתי קרבן לא שנא כו'</b> כצ"ל:
	<b>רש"י בד"ה לא אם אמרת כו' קאי לא אם אמרת</b> כצ"ל:
	<b>בד"ה פרט למודה כו' והשני כפר</b> נ"ב היינו כמו שמפרש לקמן:
	<b>תוס' בד"ה הזיד כו' דמי יודע שהם כו'</b> נ"ב ותימה שמא המתרים שמעו מהם שיודעין לו עדות א"נ שהם היו אצלם כשראו עדות זו אלא שהם קרובים ותדע דאל"כ גבי פקדון אין יכולין להתרות כו' מאחר שהם יודעים יעידו עליו אם לא שהם קרובים ודו"ק [עיין במהרש"א]:
	<b>מאי אינו כו' גבי נזיר בפתע להביא את אונס פתאום כו'</b> כצ"ל:
	<b>בא"ד כאן שחייב את השוגג כו'</b> נ"ב פי' שוגג גרידתא והוא אונס דלעיל וק"ל:
	<b>בא"ד וכפר מאשר חטא וגו'</b> נ"ב לאו דוקא דמוכפר ילפי' אלא מפתאום רק שמביא האי קרא דכתיב ביה קרבן ואפתאום קסמיך וק"ל [עיין במהרש"א]:
לז:	<b>גמ' חיי נינהו ולא שכיבי כו' חייב בשטר פטור כו' קרקע פליגי ר' יוחנן ור"א כו'</b> כצ"ל:
	<b>תוס' בד"ה ואין מביאין כו' וצ"ל דאליביה משכחת כו'</b> כצ"ל:
לח.	רש"י בד"ה הכל מודים כו' לא לך כללא הס"ד:
	<b>בד"ה פרטא הוי כו' ושוב אין מחשבה כו'</b> נ"ב פי' דמחשבת חוץ לזמנו עושה פגול אבל מחשבת חוץ למקומו פוסל ואינו מפגל וק"ל:
	<b>בד"ה חד אמר כו' דמיחייב ליה אכל אחד כו' אלא אחת פרוטה כו' מחייב מיהא חדא</b> כצ"ל:
	<b>תוס' בד"ה אנסת כו' הכלי כל מה שיחייבוהו ב"ד</b> כצ"ל:
	סליק פרק שבועת הפקדון
לח:	<b>גמ' ונפקא מינה כו' וכדרבא דאמר רבא כו'</b> כצ"ל:
	<b>רש"י בד"ה אין לך כו' שאין ההודאה כו'</b> נ"ב דוקא לשמואל דלא בעי בכפירה שתי כסף וק"ל:
לט.	<b>תוס' בד"ה ואם אמר כו' לא מקני ליה כפילה כו'</b> נ"ב קאי על שומר חנם שטען טענת גנב בפקדון ואינו רוצה לישבע אלא לשלם שאז אם נמצא הגנב שלו אז הוי הכפל שלו ולא לבעלים וק"ל:
לט:	<b>גמ' ותנן נמי ה' פרוטות הן האונאה בפרוטה והודאה בפרוטה ואילו כפירת פרוטה לא קתני וקרא כותיה כו' כצ"ל ונמחק האונאה בפרוטה</b> ונ"ב מתני' היא בבבא מציעא:
מ.	<b>תוס' בד"ה הודה במקצת כו' כטוענו חטין והודה לו בשעורין</b> נ"ב פי' דלא תימא דס"ל דאפי' טענו בשני מינים והודה בא' הוי כמו טענו חטין והודה בשעורין דפטור וק"ל:
מ:	<b>גמ' הא קמ"ל דכי הודה כו' שתי מחטין והודה כו'</b> כצ"ל:
מא.	<b>רש"י בד"ה ונקטיה לכובסיה צ"ל לנקטיה כו' לו טלית שעליו כו' אזול גרמא ומחייה לכובס ואתר תמרי כו' באלו הן הגולין </b> כצ"ל:
	<b>תוס' בד"ה מאן דתני כו' וכן משמע כו'</b> נ"ב חוזר אקצת נראה דהשביע וק"ל [ועיין במהרש"א]:
מא:	<b>תוס' בד"ה כל האומר כו' גבי לא נטמאתי דמתרצינן כו'</b> כצ"ל:
מב.	<b>גמ' ואתית ואיתיבת אמסחתא כו' איתרע שטרא התם כו' רב פפי אמר לא כו'</b> כצ"ל:
	<b>שם והאמרת אין נשבעין על טענת כו'</b> נ"ב פי' מאחר שאין נשבעין לקטן על טענת עצמו אם לא שבא בטענת אביו א"כ טענתו כמאן דליתא דמי והוי כטענת עצמו והוי משיב אבידה ודו"ק:
	רש"י בד"ה ההוא לוה דאמר כולי פרעתיך הס"ד:
מב:	<b>גמ' הכא דלא אמר ברי כו'</b> כצ"ל:
	<b>רש"י בד"ה אדם עושה כו' עשה רמייה עליו כו'</b> כצ"ל:
	<b>תוס' בד"ה על כל כו' חד כלל ופרט כו'</b> נ"ב לאו דוקא כלל ופרט וכלל אלא כל הוא ריבוי וכל הני פרטי למעוטי אתו כדלקמן וק"ל:
	<b>בא"ד מעל כל דבר פשע כו'</b> נ"ב פי' דליכא למימר דתרוייהו דכי יתן וגו' הוא דאתו א"כ הני פרטי דעל כל דבר פשע ל"ל אלא מעל כל דבר פשע ילפינן הכל והני פרטי דכי יתן וגו' אתו למה כלים שנים כו' ודו"ק:
	<b>בא"ד דקאמר שם אי ס"ד כו' כצ"ל</b> ונ"ב פי' ולומר מה הפרט מפורש דבר שמטמא כו' אבל עופות טמאים לא א"כ נכתוב להני פרטי בקרא קמא ומדלא כתיב כן ש"מ דאינו כלל ופרט אלא כל ריבויי הוא ומרבה הכל והני פרטי חד למעוטי כו':
מד.	<b>תוס' בד"ה שומר כו' לאסמכתא בעלמא נקט קרא בדבריו וברייתא כו'</b> כצ"ל:
	<b>בא"ד וה"פ אי כו'</b> נ"ב אין זה תולה בהאי ועוד י"ל דעכ"פ צריכים אנו לפרש כן דאל"כ נהי דרבה קבלה מ"מ מה היה דעתו של המקשה אי לאו שנפרש כן וכן איתא להדיא בתוס' דהכונס ועיין בהגהתי בפרק אלו מציאות [עיין במהרש"א]:
	סליק פרק שבועות הדיינין
מד:	<b>תוס' בד"ה התקבלתי מהן כו' סוף הדיבור יותר פחות משליש פרוטה</b> נ"ב פי' כי המעה הוא ל"ב פרוטות ופונדיון שהוא חצי מעה הוא ט"ז פרוטות נמצא שמ"ח שלישיות של פרוטה הוא פונדיון מכוון וק"ל:
מה.	<b>רש"י בד"ה כל שהפירות כו' ארישא פליג כדקתני כו'</b> כצ"ל:
מה:	<b>גמ' איכא דאמרי מישהה הוה שהי ליה ושתיק וא"ד מישתא כו' כצ"ל</b> ונ"ב עיין לעיל בדף מ':
	<b>תוס' בד"ה כי מטי כו' ואין נותן לב כו'</b> נ"ב וממילא נמי כשכפר קודם שפסקו עליו שבועה וק"ל:
מו.	<b>גמ' אחמירו קא מחמיר</b> נ"ב פי' ואם רבנן דמקילים בשכיר מודו בקציצה משום דמדכיר דכירי כל שכן ר"י דמחמיר ודו"ק:
	<b>תוס' בד"ה בטוענו כלים כו' דר' חייא כרבנן דר"ג דפטרי טענו חטים כו' כצ"ל</b> ונ"ב פי' דפריך התם לר' חייא מכי הוא זה דחד אתא למודה מקצת וחד אתא דעל הודאת פיו אתה מחייבו ולא על העדאת עדים ומשני ר' חייא דחד אתא למודה מקצת ואידך אתא דוקא למודה ממין הטענה ולמעוטי טענו חטין והודה בשעורין וק"ל:
מו:	<b>תוס' בד"ה בטוענו כלים כו' ואיכא למיפרך מה להצד השוה כו'</b> נ"ב פי' דר' חייא יליף מהודאת פיו ומעד א' דמהודאת פיו לחוד ליכא למילף משום דאיכא למיפרך מה לפיו שכן מחייבו אשם כו' ואעד א' איכא למיפרך נמי כו' עד דאתי במה הצד כו':
	<b>בד"ה בקונטרס גרסינן לא אמרן כו'</b> כצ"ל:
מז:	<b>תוס' בד"ה מתוך כו' כדאשכחן דסבר ר' אבא בעלמא כו'</b> נ"ב הג"ה ועוד י"ל דטעמא דרב נחמן בששניהם חשודים משום כיון דמחויב התובע נמי שבועה מדרבנן ואין יכול לישבע מפסיד החצי וזה התי' אין נראה דא"כ היתומים מן היתומים נמי יסבור רב נחמן ור' אבא כשמואל מתוך שאין יכולין בני המלוה לישבע יפסידו ובכולי שמעתין משמע דפליגי ואם בני הלוה נמי חשיבי דאין יכולים לישבע מ"מ לא יפסידו כי אם החצי ואמאי לר' אלעזר נשבעין ונוטלין הכל ומשמע דר"א הוי כר' אבא ורב נחמן ע"כ הג"ה:
מח.	<b>גמ' לדבריו דר' אמי קאמר כו'</b> כצ"ל:
	<b>תוס' בד"ה נשבע בעל הבית כו' לא נטלן חנווני כו' כצ"ל.</b> ונ"ב כל אלו דבורים שייכים למתני' עד ד"ה דמורו היתירא כו':
מח:	<b>רש"י בד"ה והאב אילו כו' בשבועה ומדקתני כו'</b> כצ"ל:
	<b>בד"ה הא שאר כו' שאין הודאה אטו כו'</b> כצ"ל:
מט:	גמ' חייב זה הכלל כו' צ"ע הני כללי דמתנית' למאי אתו לרבויי ודו"ק:
	סליק
