"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.1",According to the Order of Treatises
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.72","The treatise concerning the rejected from the altar embraces fourteen commandments, four mandatory and ten prohibitive, namely: (1) to offer only unblemished sacrifices; (2) not to hallow the blemished for the altar; (3) not to slaughter it; (4) not to sprinkle its blood; (5) not to offer its fat; (6) not to bring as sacrifice the temporary blemished; (7) not to offer the blemished as sacrifices even when presented by strangers; (8) not to put a blemish in hallowed animals; (9) to redeem disqualified sacrifice animals; (10) to bring as offering such animals as are eight days old and over, for before such age it is disqualified because of want of seasoning; (11) not to offer the hire of a harlot or the price of a dog; (12) not to offer leaven or honey in a sacrifice; (13) to have salt in all sacrifices (14) not to suffer the lacking of salt from meat-offerings."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.73","The treatise concerning the preparation of sacrifices embraces twenty-three commandments, ten mandatory and thirteen prohibitive, namely: (1) to prepare the burnt-offering after the prescribed manner; (2) not to eat the meat of a burnt-offering; (3) the manner of preparing the sin-offering shall be followed; (4) not to partake of the meat of the sin-offering prepared within; (5) not to tear asunder the fowl of a sin-offering; (6) to prepare the trespass offering in the manner prescribed; (7) the priests shall eat the meat of sacrifices wherewith the atonement was made within the Sanctuary; (8) not to eat thereof outside of the Court; (9) a stranger shall not eat thereof; (10) to prepare the peace-offering after the prescribed manner; (11) not to eat the meat of light-offerings before sprinkling the blood thereof; (12) to prepare the meat-offering after the manner prescribed in the Torah; (13) not to put oil upon the meat-offering of the poor; (14) nor put frankincense thereon; (15) the meat-offering of a priest shall not be eaten; (16) the meat-offering shall not be baked leaven; (17) what is left thereof shall be eaten by the priests; (18) to bring all vows and free-will offerings on the holiday immediately following such vow or offering; (19) not to delay to pay such vow, or free-will offering, or other obligations; (20) to offer all sacrifice in the Chosen House; (21) to bring all things hallowed beyond the boundaries of Eretz Yisrael to the Chosen House; (22) not to slaughter sacrifices outside of the Court; (23) not to offer sacrifices outside of the Court."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.74","The treatise concerning daily and additional sacrifices embraces nineteen commandments, eighteen mandatory and one prohibitive, namely: (1) to offer two sheep daily; (2) to kindle fire daily upon the altar; (3) not to put it out; (4) to clean the ashes therefrom daily; (5) to burn incense daily; (6) to light lamps daily; (7) the high-priest shall bring a daily offering (Habitin); (8) to offer on the Sabbath two additional sheep; (9) to make show-bread; (10) to offer additions on the new moon; (11) to offer additions on Passover; (12) to offer the Omer; (13) each person shall count seven weeks from the day the Omer is offered; (14) to offer additions on She'buot; (15) to offer two wave-loaves together with the special offering thereon on She'buot; (16) to offer additions on Rosh ha-Shanah; (17) to offer additions on the Day of Atonement; (18) to offer addition on Sukkot; (19) to offer additions on She'mini Azeret."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.75","The treatise concerning disqualified offerings embraces eight commandments, two mandatory and six prohibitive, namely: (1) not to eat disqualified or blemished offerings; (2) not to eat condemned sacrifices; (3) not to eat sacrifices after the alloted time; (4) not to eat the remnants of sacrifices; (5) not to eat contaminated sacrifices; (6) an unclean person shall not eat of the sacrifices; (7) to burn the remnants of sacrifices; (8) to burn contaminated sacrifices."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.76","The treatise concerning the service of the Day of Atonement embraces one mandatory commandment, namely: to perform the service as prescribed in Lev. 16. the sacrifices, confessions, sending away of the goat, and the rest of the service."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.77","The treatise concerning Me'ilah embraces three commandments, one mandatory and two prohibitive, namely: (1) to make restitution and add the fifth part thereto, in addition to a sacrifice, for doing amiss in a holy thing, which is the law of one who commits Me'ilah; (2) not to work with animals set aside for sacrifices; (3) not to fleece sacrifices. Consequently, the total number of commandments in this book is one hundred and three, forty-seven mandatory and fifty-six prohibitive."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.78","T<small>HE</small> B<small>OOK OF</small> S<small>ACRIFICES</small>: Consists of six treatises, they are a treatise concerning the Paschal Lamb; a treatise concerning celebrations; a treatise concerning the firstborn; a treatise concerning erring; a treatise concerning want of atonement; a treatise concerning alteration."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.79","The treatise concerning the Paschal Lamb embraces sixteen commandments, four mandatory and twelve prohibitive, namely: (1) to kill the Paschal Lamb on the prescribed time; (2) not to kill it while there is yet leaven; (3) not to let its fat remain overnight; (4) to kill a second Paschal Lamb on the fourteenth of Iyor; (5) to eat the flesh of the Paschal Lamb on the night of the fifteenth of Nissan together with Mazzah and bitter herbs; (6) to eat the flesh of the second Paschal Lamb on the night of the fifteenth of Iyor; (7) not to eat it raw or sodden; (8) not to carry forth flesh of the Paschal Lamb outside of the family; (9) no apostate Israelite shall eat thereof; (10) no guest or hired man shall eat thereof; (11) no uncircumcised person shall eat thereof; (12) not to break a bone thereof; (13) not to break a bone of the second Paschal Lamb; (14) not to leave part thereof till morning; (15) not to leave part of the second Paschal Lamb till morning; (16) the flesh of the sacrifice of the fourteenth day shall not be left over till the third day thereafter."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.80","The treatise concerning celebrations embraces six commandments, four mandatory and two prohibitive, namely: (1) to appear before the Lord; (2) to celebrate the Three Festivals; (3) to rejoice on the Festivals; (4) not to appear empty-handed; (5) not to neglect the Levite, to make him rejoice and give him presents during holidays; (6) to assemble the people on the feast of Sukkot at the end of every Sabbatical year."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.81","The treatise concerning firstborn embraces five commandments, two mandatory and three prohibitive, namely: (1) to separate the firstborn; (2) not to eat the pure firstling without Jerusalem; (3) not to redeem the firstling; (4) to separate tithes from cattle; (5) not to redeem the tithes from cattle. Note: I have included tithes of cattle among the laws of firstlings because the form of service in offering both is identical. Holy Writ itself united them together, for it is said: ""Thou shalt sprinkle their blood, etc."" (Num. 18.17); which was traditionally accepted that it includes both, the blood of the tithes of cattle and the blood of firstlings."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.82","The treatise concerning erring embraces five mandatory commandments, namely: (1) that an individual who sinned in error bring an immutible-offering; (2) that one who is in doubt whether or not he sinned shall bring a conditional trespass-offering; (3) that a trespass-offering be brought by the sinner who knows the sins committed; (4) that such trespass-offering shall be, by the rich, a cattle, and by the poor, a fowl, or one tenth of an epho flour; such is an up-and-down-offering; (5) that an erring Sanhedrin in a capital case shall bring an offering."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.83","The treatise concerning want of atonement embraces four mandatory commandments, namely: (1) that a woman having an issue shall bring an offering before regaining her state of cleanness; (2) that a woman after childbirth shall bring an offering; (3) that a man having an issue shall bring an offering before regaining his state of cleanness; (4) that the leper shall bring an offering before regaining his state of cleanness."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.84","The treatise concerning alteration embraces three commandments, one mandatory and two prohibitive, namely: (1) not to alter or change; (2) that if he did exchange or alter, both, the holy object and the changed or altered shall become holy; (3) not to convert holy things from one object of holiness to another. Consequently, the total number of commandments in this book is thirty-nine; twenty mandatory and nineteen prohibitive."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.85","T<small>HE</small> B<small>OOK OF</small> P<small>URIFICATION</small>: Consists of eight treatises, they are: a treatise concerning contamination of the dead; a treatise concerning the red heifer; a treatise concerning the contamination of leprosy; a treatise concerning the contamination of bed and chair; a treatise concerning other head-sources of contamination; a treatise concerning contamination of food; a treatise concerning vessels; a treatise concerning water-fonts."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.86","The treatise concerning the contamination of the dead embraces one mandatory commandment, namely: to heed the law of contamination of the dead."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.87","The treatise concerning the red heifer embraces two mandatory commandments, namely: (1) to heed the law concerning the red heifer; (2) to heed the law concerning the water of sprinkling and its power of purification."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.88","The treatise concerning the contamination of leprosy embraces eight commandments, six mandatory and two prohibitive, namely: (1) to teach concerning leprosy in man according to the law of the Torah; (2) not to blot out the marks of leprosy; (3) not to shave the scall; (4) that the leper be designated by rent garment, bareheadedness, and covered mouth; (5) to heed the laws of purification of leprosy; (6) that the leper, on becoming purified shall shave all his hair; (7) to heed the laws concerning leprosy of a garment; (8) to heed the laws concerning leprosy of a house."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.89","The treatise concerning the contamination of bed and chair embraces four mandatory commandments, namely: (1) to heed the law of a menstrous woman (2) to heed the law of a woman in childbirth; (3) to heed the law of a woman who has a running issue; (4) to heed the law of a man who has a running issue."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.90","The treatise concerning other head-sources of contamination embraces three mandatory commandments, namely: (1) to heed the law of contamination of that which died of itself; (2) to heed the law of contamination of a creeping thing; (3) to heed the law of contamination of seed of copulation. Note: objects of idolatry contaminate alike with creeping things, and that they contaminate was declared by the Sophrim."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.91","The treatise concerning contamination of food, embraces one mandatory commandment, namely: to heed the law of contamination of food and liquids, and the aptness thereof to become contaminated."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.92","The treatise concerning vessels comprises the subject of how to know the kind of vessels which are apt to be contaminated from all the head-sources of contamination, and the kind of vessels which are not apt to be contaminated, and how such vessels receive and transmit contamination."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.93","The treatise concerning water-font, embraces one mandatory commandment, namely: that all contaminated shall receive immersion in running water before regaining the state of cleanness. Consequently the total number of commandments in this book is twenty, eighteen mandatory and two prohibitive."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.94","T<small>HE</small> B<small>OOK OF</small> T<small>ORTS</small>: Consists of five treatises, they are: a treatise concerning pecuniary damages; a treatise concerning theft; a treatise concerning robbery and lost articles; a treatise concerning mayhem and injuries; a treatise concerning murder and safety of person."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.95","The treatise concerning pecuniary damages embraces four mandatory commandments, namely: (1) to heed the law concerning an ox; (2) to heed the law concerning an incendiary; (3) to heed the law concerning a pit; (4) to heed the law of arson."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.96","The treatise concerning theft embraces seven commandments, two mandatory and five prohibitive, namely: (1) not to steal anything of value; (2) to heed the law concerning the thief; (3) to have just measures and scales; (4) not to cheat in measuring or weighing; (5) not to have in one's possession two kinds of weights or measures, even though he does not use it in buying or selling; (6) not to encroach upon another man's boundary; (7) not to abduct."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.97","The treatise concerning robbery and lost articles embraces seven commandments, two mandatory, and five prohibitive, namely: (1) not to rob; (2) not to defraud; (3) not to covet; (4) not to desire; (5) to restore robbed articles; (6) not to withdraw when seeing somethings getting lost; (7) to restore a lost article to its owner."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.98","The treatise concerning mayhem and injury, consists of one mandatory commandment, namely: to heed the law concerning one who commits mayhem upon his fellow, or damages his fellow's property."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.99","The treatise concerning murder and safety of person embraces seventeen commandments, seven mandatory and ten prohibitive, namely: (1) not to kill; (2) not to take redemption money for the person of a murderer; (3) to exile one who commits excusable homicide; (4) not to take redemption money for the exiled; (5) that the murderer shall not be put to death before he stands trial; (6) to save the persecuted even with the life of the persecutor; (7) not to pity the persecutor; (8) not to stand idly by the blood of a neighbor; (9) to set apart cities for the exiled and to direct him the way; (10) to break the neck of the heifer in the rough valley; (11) not to till nor seed such valley; (12) not to bring about bloodshed; (13) to erect a battlement; (14) not to cause injury to the simple; (15) to help unload him who met with accident by the way; (16) to help him lift up again; (17) not to leave him by the way, confused by his burden, and go hence. Consequently, the total number of commandments in this book is thirty-six, sixteen mandatory and twenty prohibitive."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.100","T<small>HE</small> B<small>OOK OF</small> B<small>ARGAINING</small>: Consists of five treatises, they are: a treatise concerning selling; a treatise concerning acquisition and bequest; a treatise concerning adjoining neighbors; a treatise concerning agents and partners; a treatise concerning servants."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.101","The treatise concerning selling, embraces four commandments, one mandatory and three prohibitive, namely: (1) to heed the law of buying and selling; (2) not to deceive in buying and selling; (3) not to deceive by word of mouth; (4) not to defraud a proselyte of his money."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.102","The treatise concerning acquisition and bequest embraces the subject of these laws, To know how and by what means one may acquire ownerless property, and the law of one who makes a bequest, and of the recipient thereof, and what bequest is revertable and what is not revertable."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.103","The treatise of adjoining neighbors embraces the subject of these laws, To know how land may be divided among partners, and the prevention of damage to either, and how to judge on the question of boundaries."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.104","The treatise of agents and partners embraces the subject of these laws, To know the law of a man's agent and of partners in reference to their buying and selling, their profits and losses."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.105","The treatise concerning servants embraces thirteen commandments, five mandatory and eight prohibitive, namely: (1) to heed the law of the purchase of a Hebrew servant; (2) that he be not sold as a slave; (3) not to burden him with oppressive work; (4) not to allow the erstwhile alien to burden him with oppressive work; (5) not to compel him to do the work of a bond-servant; (6) to reward him liberally when he is liberated; (7) he shall not go forth empty handed; (8) to redeem a Hebrew maid-servant; (9) to betroth her; (10) not to sell her; (11) to hold an idolatrous slave forever, save when the master sever one of his main limbs; (12) not to deliver an escaped slave from Eretz Yisrael abroad; (13) not to deceive such escaped slave. Consequently, the total number of commandments in this book is eighteen; six mandatory and twelve prohibitive."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.106","T<small>HE BOOK OF</small> C<small>IVIL</small> L<small>AW</small>: Consists of five treatises, they are: a treatise concerning hire; a treatise concerning loans and trusteeship; a treatise concerning creditor and debtor; a treatise concerning plaintiff and defendant; a treatise concerning inheritance."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.107","The treatise concerning hire embraces seven commandments, three mandatory and four prohibitive, namely: (1) to heed the law of the hired and of the paid guardian; (2) to pay the wages on the day the labor was done; (3) not to delay the wages of the hired man; (4) the hired shall be permitted to eat the fruit of the field or vineyard after he worked; (5) that the hired shall not eat thereof while at work; (6) that the hired shall not take more than he can eat; (7) not to muzzle the ox when he thresheth out the corn which applies also to other animals."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.108","The treatise concerning loans and trusteeship, embraces two mandatory commandments, namely: (1) to heed the law of the borrower; (2) to heed the law of the trustee without pay."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.109","The treatise concerning creditor and debtor embraces twelve commandments, four mandatory and eight prohibitive, namely: (1) to lend to the poor and needy; (2) not to press such poor and needy for payment; (3) to press the idolater; (4) not to take a pledge by force; (5) to return the pledge to one who needs its use; (6) not to withold the pledge from the poor when he needs it; (7) not to take a pledge from a widow; (8) not to take in pledge tools wherewith one makes his living; (9) not to give a loan on usury; (10) not to take a loan on usury; (11) not to intervene in a loan on usury, not to be a witness, or endorse, or write an instrument between such creditor and debtor; (12) to make a loan to, and take a loan of, an idolater on usury."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.110","The treatise concerning plaintiff and defendent embraces one mandatory commandment, namely: to heed the law of pleading, confession, or denial."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.111","The treatise concerning inheritance embraces one mandatory commandment, namely; to heed the law of procedure in matters of inheritance. Consequently, the total number of commandments in this book is, twenty-three; eleven mandatory and twelve prohibitive."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.112","T<small>HE</small> B<small>OOK OF</small> J<small>UDICIAL</small> P<small>ROCEDURE</small>: Consists of five treatises, they are: a treatise concerning the Sanhedrin and their punitive powers; a treatise concerning evidence; a treatise concerning rebels; a treatise concerning the mourner; a treatise concerning kings and their wars."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.113","The treatise concerning the Sanhedrin and their punitive powers embraces thirty commandments, ten mandatory and twenty prohibitive, namely: (1) to appoint judges; (2) not to appoint a judge who is ignorant of judicial procedure; (3) to follow the majority when judges disagree; (4) not to follow a majority of one in capital case; (5) that one who pleaded for, shall not plead against a defendant in a capital case; (6) to put to death by stoning; (7) by burning; (8) by sword; (9) by strangling; (10) by hanging; (11) to bury the hung the day he was put to death; (12) not to suffer his body to remain hanging over night; (13) not to suffer a witch to live; (14) to give lashes to the guilty; (15) not to add stripes to the prescribed number; (16) not to put to death on mere presumption; (17) not to punish the victim of rape; (18) not to pity the murderer or the injurer; (19) not to pity the poor in his cause; (20) not to countenance the great in his cause; (21) not to wrest judgment of the wrongdoer, even though he be a sinner; (22) not to pervert justice; (23) not to pervert the judgment of a stranger or orphan; (24) to judge in righteousness; (25) not to fear the power of any man when rendering judgment; (26) not to take bribery; (27) not to receive a false report; (28) not to curse judges; (29) not to curse a ruler; (30) not to curse any other righteous man in Israel."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.114","The treatise concerning evidence embraces eight commandments, three mandatory and five prohibitive, namely: (1) to testify before the judges when one has evidence to offer; (2) to examine and cross-examine witnesses; (3) the one who gave evidence against a person in a capital case shall not sit among the judges; (4) no capital guilt shall be established by the testimony of one witness; (5) not to accept the testimony of the wicked; (6) a relative shall not testify; (7) not to give false testimony; (8) to do unto the false witness as he intended to do."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.115","The treatise concerning rebels embraces nine commandments, three mandatory and six prohibitive, namely: (1) to do according to the Torah as the Great Tribunal instruct it; (2) not to turn away from their decision; (3) not to add to the Torah, either to the commandments of Holy Writ or to the oral explanation as we have learned to know by tradition; (4) not to diminish any from all of the commandments; (5) not to curse a father or mother; (6) not to smite a father or mother; (7) to honor a father and mother; (8) to fear a father and mother; (9) that the son shall not be rebellious against his father and mother."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.116","The treatise concerning the mourner embraces four commandments, one mandatory and three prohibitive, namely: (1) to mourn the death of relatives; even a priest must contaminate himself and mourn the death of relatives; but no one mourns for those who are put to death by authority of a tribunal. I have included these laws in this book, because they concern burial of the dead on the day of the demise, as are the legally condemned, which is a mandatory commandment; (2) the high-priest shall not contaminate himself for relatives; (3) that he shall not enter the vicinity of the dead; (4) that the priest shall not contaminate himself for any person, save for his relatives."
"Glazer_Vol1, OVERVIEW OF MISHNEH TORAH CONTENTS.117","The treatise concerning kings and their wars embraces twenty-three commandments, ten mandatory and thirteen prohibitive, namely: (1) to appoint an Israelite as a king; (2) not to appoint him from among strangers; (3) that he shall not have over-many wives; (4) that he shall not have over-many horses; (5) that he shall not have over-much silver and gold; (6) to destroy the seven (Canaanite) nations; (7) not to let a soul from among them live; (8) to blot out the seed of Amalek; (9) to remember what Amalek did to us; (10) not to forget his evil deeds, and his conspiracy on the way; (11) not to settle permanently in Egypt; (12) to offer peace to a besieged city, and to deal with it as it is prescribed in the Torah whether peace is made or not; (13) not to offer peace to Amon and Moab when they are besieged; (14) not to destroy fruit-trees in besieging; (15) to make place for sanitation without the camp; (16) to have a spade along with the weapons; (17) to anoint a priest for war to speak to the army in war time; (18) the bridegroom, or one who dedicates a new house, or the planter of a vineyard shall rejoice a full year at home, and be excused from military service; (19) not to draft them for military or any public service or like duty whatever; (20) not to be afraid of the enemy and not to retreat in battle; (21) to heed the law of a beautiful captive; (22) not to sell her; (23) not to treat her as a hand-maid. Consequently, the number of commandments in this book is seventy-four, twenty-seven mandatory and forty-seven prohibitive. And, consequently the total number of treatises in these fourteen books is eighty-three. And now I will, with the help of Almighty, begin to expound the laws in connection with each and every commandment, and all the ordinances belonging thereto, and to its number, according to the order of treatises."
