Index Title,Be'er Mayim Chaim on Torah,
"Be'er Mayim Chaim on Torah, Genesis 12:2:7","והשלישי הוא, על דרך שאמרו חז""ל <small>(קידושין ל""ט:)</small> כל העושה מצוה אחת כו' ועיין שם במשנה וגמרא. וכלל הדבר הוא אשר מי שרובו זכויות ומיעוט עוונות נפרעין ממנו על מיעוט עוונותיו בעולם הזה כדי שיהיה לו תיקון לעולם הבא להוציאו מעונשי גיהנם עבור העבירות שעשה ואמרו חז""ל <small>(בספרי מובא בשל""ה בעשרה מאמרות מאמר ה')</small> תניא ר' אליעזר בן יעקב אומר כל זמן שאדם שרוי בשלוה אין מתכפרין לו מעוונותיו כלום ועל ידי יסורין הוא מתרצה לפני המקום שנאמר <small>(משלי ג', י""ב)</small> כי את אשר יאהב ה' יוכיח. ואמרו <small>(ברכות ה'.)</small> נאמר ברית במלח ונאמר ברית ביסורין מה ברית האמור במלח מלח ממתקת את הבשר אף ברית האמור ביסורין, יסורין ממרקין כל עוונותיו של אדם. וזה הוא דמיון הרופא שמרפא את האדם מחולי הגוף ונותן לו לשתות או לאכול סמים רעים ומרים למאוד עד אשר ילאה לב האדם לשתותם מפני מרירותם. או שנוטל ושואב ממנו דמו מהיד או מהרגל בכדי לרפאתו מחליו, ואלו היסורין שעושה לו הרופא בודאי לטובה גדולה יחשב וחסד גדול הוא כי חיים הוא נותן לו בזה, ואגר אסיא יקבל.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:8","וכן הוא בדרך הזה ביסורי עולם הזה מה שמגיע אל האדם בבני חיי ומזוני הכל הוא לרפאות נפשו מחולי הנפשות למרק עוונותיו שיזכה לחיי העולם הבא, ובודאי כל יסורי עולם הזה אינם חשובים לאחת מאלף מעונשים הקשים ומרים עונשי גיהנם כנודע, הרי עוד דרך ביסורין שהוא למען מירוק עוונותיו לזכות לחיי עולם הבא ולפטור מעונשי גינהם.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:9","והרביעי הוא, ברשע גמור אשר עוונותיו מרובין מזכויותיו והקב""ה משלם לו שכר מיעוט זכויותיו בעולם הזה בכדי לטורדו מן העולם הבא כמאמר הכתוב <small>(דברים ז', י')</small> ומשלם לשונאיו אל פניו להאבידו, ומתרגם האונקלוס ומשלם לשנאוהי טבין דאינון עבדין קדמוהי בחייהון לאובדיהון וגו', ואכן לא כל ימיו שרוי בטובה על זה כי אם זמן מה כפי רצון תמים דעות וכל ימיו רעים הן כמו שכתוב בתוספות קידושין שם על מה שכתוב דעבדין ליה יום טוב ויום ביש, ועיקר היסורין האלה הוא לו בעולם הזה (כי על עוונותיו היה די בעונשי גיהנם שהוא יסורים שאין כמוהם) רק מחמת שהקב""ה חפץ חסד האמיתי, ומיסרו למען זה אשר אולי על ידי היסורין הרעים שיעברו עליו יחזור מדרכו הרעה וישוב עדיו בתשובה שלימה אמיתית לפני בורא עולם ויקבל עליו מעתה לעזוב פשעיו ויתחיל ללכת בדרכי ה' ומצוותיו על דרך מאמר חז""ל <small>(ברכות שם)</small> אם רואה אדם שיסורין באין עליו יפשפש במעשיו ואמרו <small>(סנהדרין ק""א.)</small> נענה רבי עקיבא ואמר חביבין יסורין, מקרא אני דורש <small>(מלכים-ב כ""א, א')</small> בן שתים עשרה שנה מנשה במלכו וכו' עד וכי חזקיה מלך יהודה לכל העולם כולו לימד תורה ולמנשה בנו לא לימד אלא מכל טורח שטרח בו ומכל עמל שעמל בו לא העלהו למוטב אלא יסורין שנאמר <small>(דברי הימיםפ ב' ל""ג, י""א-י""ב)</small> וילכדו את מנשה בחוחים וגו' וכהיצר לו חילה את פני ה' אלהיו ויכנע מאוד מלפני אלהי אבותיו ויתפלל אליו ויעתר לו וגו', הא למדת שחביבין יסורין וכו'. הרי לפניך עוד דרך ביסורין שהוא למען יכנע מאת פני ה' אלהיו לחזור בתשובה לפניו.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:10","ונמצאת למד מכל זה אשר כל מיני היסורין לתכלית שלימות טובות אמיתיות וחסדים גדולים מבורא עולם אשר משגיח על כל בריה מבריותיו לראות לפניו עצה טובה כאשר יוכל, בכדי לזכותו להאיר לפניו לעולם הבא לזכות לראות פני השכינה וליהנות מזיו אורה ולהתעדן ולהתענג בחמדת שעשועים עם כל הצדיקים במקום אשר לא שלטא ביה עין כל בריה בגו עדן גינתא, בחמר מרת דמבראשית נטיר ביה נעותא ועל זה אמרו <small>(בראשית רבה ט',)</small> בפסוק והנה טוב מאוד, טוב זה מדת הטוב, מאוד זה מדת היסורין וכי יסורים טובים הן אתמהא, אלא שעל ידי יסורין אדם זוכה לחיי העולם הבא וכו'. כי באמת טוב מאוד המה שעל ידן יזכה אדם לעולם הבא שאין טוב כמוהו ובזה צדיקים מהפכין מדת הדין כי כאשר יסורים באים עליהם אז הם מאמינים באמת שהוא טובה גדולה להם באחד מד' בחינות שהזכרנו ומברכין על הרעה בשלימות לבבם בשמחה כמו על הטובה ממש מפני שבאמת יודעים אשר הוא מחסדי אל, ונמצא עושין ממדת דינו של הקב""ה מדת הרחמים לומר שהדין הזה הוא רחמים גמורים, ובזה השלימות הלב מהפכין ממש הדין לרחמים, והדין נמתק בשורשו. כי שורש הדין מה שיורד לעולם הוא רחמים וחסדים אמיתיים כאשר ביארנו וממשיכים על עצמן בזה כל טוב וברכה מבחינת החסדים ממש, והבן.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:11","ועל כן אמרו <small>(בראשית רבה ס""ו,)</small> צדיקים תחילתן יסורים וסופן שלוה. כי בעת בוא היסורין עליהם, מרוב אהבתם לה' יתברך ושכלם הזך והנקי, מבחינים ומכירין בזה טובת הבורא יתברך יותר מבחינת החסדים כי הלא בצרתם לו צר וכשהאדם מצטער שכינה מה הלשון אומרת קלני מראשי קלני מזרועי כמאמר חז""ל <small>(דסנהדרין מ""ו.)</small>. כי הנה מדרך הטוב להיטיב בכל היכולת, ואם הוא כובש רחמיו וחסדיו ושולח לאיש הזה צער ויסורין מבחינת הגבורות ודאי צער לפניו יתברך שמו, והנה ברוב רחמיו וחסדיו לפי שיודע אשר טוב וחסד לפני האיש הזה שיקבל היסורים האלה, ואז למען טובתו לוקח כביכול צער לפניו יתברך שמו בכדי להיטיב לאדם, היש חסדים וטובות גדולות מאלו, בינה זאת. ונמצא הצדיק מכיר טובות וחסדי הבורא מהגבורות ממה שמכיר טובתו מבחינת החסדים, ובזו הכוונה הטובה ממילא נמתק הדין ונכלל ברחמים והקב""ה משפיע להם כידו הגדולה רוב ברכות וישועות מבחינת החסדים, והיה ראשיתם מצער ואחריתם ישגה מאוד ועל כן סופן שלוה ועל כן לפעמים נקראים הגבורות בשם גדולות כמו שאמרו חז""ל <small>(תענית ב'.)</small> בפסוק עושה גדולות ואין חקר <small>(איוב ט', י')</small>, ואתיא חקר חקר מברייתו של עולם, דכתיב <small>(ישעיה מ', כ""ח)</small> הלא ידעת אם לא שמעת וגו' אין חקר לתבונתו וגו', כי באמת כל הגבורות הם חסדים אמיתיים ממש, כאשר ביארנו, ועל כן ג' מתנות טובות נתן הקב""ה לעמו וכולן על ידי יסורים כי הכל מוכרח להיות בבחינת תחילתן יסורין וסופן שלוה והוא כעין נסיון שהקב""ה מנסה את האדם לראות אם באמת אוהבו בכל נפשו אפילו הוא נוטל את נפשך ואחר כך מברכו ומגדלו כאמור.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:12","וזה היה בחינת יצחק אבינו ע""ה שהורה לכל העולם מדת היראה ופחד והראה להם איך שכל הגבורות ויסורים הכל המה חסדים אמיתיים, כאמור, ועל כן נאמר <small>(בראשית כ""ו, י""ב)</small> ויזרע יצחק בארץ ההוא וימצא בשנה ההוא מאה שערים ויברכהו ה', ואמרו <small>(בבראשית רבה ס""ד, ו')</small> אף על פי שהארץ קשה והשנה קשה שנת רעבון וכו'. והכל לפי שבכוחו הגדול אשר עשה ממדת הדין מדת הרחמים והאמין בה' אשר זה הרעב אשר בארץ הוא חסד אמת מאתו יתברך, בזה נעשה מהדין חסד וברכה ויברכהו ה' בבחינת תחילתן יסורים וסופן שלוה.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:13","ונודע כאשר יומתק הדין בחסד אז מתיחדין כל העשר מדות ביחודא שלים ונעשה נחת רוח לפניו שיוכל לפעול חסדו וטובו כידו הגדולה. וכללות המדות הוא בחינת מאה כי כל אחד הוא כלול מכולם ונעשה י' פעמים י' שהוא מאה, ועל כן מצא מאה שערים כפירוש רש""י שאמדוה כמה ראויה לעשות ועשתה על אחד שאמדוה מאה, כי קיבל הברכה מכל המדות כולן. גם ידוע שכל הברכות יורדים מבחינת הבינה אשר היא בסוד שערים, נ' שערי בינה לפי שהיא סוד ה' ראשונה בשם הוי""ה וה' פעמים י' הוא נ', והיא משפעת לה' אחרונה שבשם, ומשם מתחלק טרף וברכה להארץ התחתונה כנודע, ועל ידי כך נעשה מא""ה שערי""ם. גם שערים גימטריא כתר ורומז גם כן אל הבינה הנקראת לפעמים בשם הכתר לפי שנעשית כתר לזכר ונקבה. וברכת יצחק היה ממילוי שם ע""ב כי כל מילוי הוא בחינת הדין ורק שיצחק כללו בבחינת החסדים כאמור ונעשה שם ע""ב בשלימות להוריד ברכה על הארץ, ומילוי ע""ב הוא מא""ה כנדוע מדברי האר""י מכוונת המזוזה ושארי מקומות, והכל מן הבינה בסוד חכמה דבינה ועל כן נעשה מא""ה שערי""ם כאמור.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:14","ועל בחינה זו אמר הכתוב שם וישב יצחק ויחפור את בארות המים אשר חפרו בימי אברהם אביו ויסתמום פלשתים ויקרא להן שמות כשמות אשר קרא להן אביו. כי נודע מזוה""ק <small>(תולדות קמ""א. ושאר מקומות)</small> בסוד הבארות הללו שהכל היה רזא דמהימנותא שלימתא ברזא דרזין עיין שם. וכבר כתבנו למעלה <small>(בפרשת נח בתחילתו)</small> שעל כן קראהו הכתוב בשם חפירה כי השתדל תמיד בכוחו בגבורת ה' אשר עליו להעלות הניצוצים הקדושים המה רפ""ח ניצוצין שנפלו לקליפות בעת שבירת הכלים הידועים, ולהעלותן בשלימות אי אפשר כי אם במסירת הנפש לה' באמת כנודע מדברי מרן איש אלקים מורינו הרב חיים ויטאל בעץ חיים <small>(שער א' משער הכללים פרק א')</small> ועל כן חפ""ר בא""ר מים נודע מכוונת האר""י ז""ל <small>(בקריאת שמע שעל המטה)</small> בסוד באר שהוא ראשי תיבות בידך אפקיד רוחי שהוא מסירת הנפש לה' בסוד הפקדון להעלות רפ""ח ניצוצין האלו, וחפר הוא אותיות רפ""ח והבן. וכל זה לימד את העם אשר אתו להודיעם רזא דמהימנותא לעבוד אותו בבחינת הגבורות שהוא ענין מסירת הנפש לה' ולאהבה את ה' בכל נפשו אפילו נוטל את נפשך.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:15","והנה אברהם חפר את הבאר שהוא הודעת רזא דמהימנותא לבאי עולם על ידי חסדי המקום שלימד את העם שבמה שהקב""ה משפיע להם טובות ידעו על ידי זה לאהבה את ה' ולשבחו ולפארו כנזכר, כי בא""ר הוא גם כן ראשי תיבות ר'וממות א'ל ב'גרונם שהוא ההודאות ושבחות לה' על חסדיו. כי אל, הוא חסד בסוד הכתוב <small>(תהלים נ""ב, ג')</small> חסד אל כל היום ואחרי מות אברהם סתמום פלשתים וימלאום עפר כלומר הכחישו במעשה ה' מלומר אשר כל החסדים היורדים לעולם הם מה' הטוב והמיטיב ותלו הכל בטבע העולם ומקרה המזל ממערכת השמים מהגלגלים הסובבים הנעשים כולם מן העפר בסוד אומרם <small>(בראשית רבה י""ב, י""א)</small> הכל נעשה מן העפר אפילו גלגל חמה, וזה וימלאום עפר. וכשבא יצחק וישב ויחפר את בארות המים והתחיל ללמד דעת את העם לעבוד את אלהי עולם במדת היראה והפחד וכי הוא דיין ובעל משפט, ואדם אשר לא יטיב מעשיו ירד עליו הכח והגבורה לעשות נקמה באויביו, והראה להם איך שגם כל הגבורות מאתו הם בחינת חסדים אמיתיים בכדי להיטיב אחריתם, ועל כן ויקרא להם שמות כשמות שקרא להן אביו, כלומר שגם לבארות שלו שחפר שהוא הראות כח וגבורת ה', קרא שמות כשמות שקרא להן אביו בחינת החסדים לומר שכולן הן חסדים אמיתיים כדבר האמור.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:16","ועוד בה שלישית שיש עוד בחינה אחרת אשר ניכר שם ה' ונתגדל בעולם על ידי זה, והוא אשר לפעמים ה' הטוב והמיטיב מקים מעפר דל ומאשפות ירים אביון ונותן תליות ראש לאדם השפל בעיני הבריות, ולהיות שהוא צדיק לפני ה' לוקח אותו מאחרי הצאן לרעות בעמו ולמשול בעמים רבים, ומפאר אותו בתפארת גדולה ועטרת ישועה להיות הכל יראים ממנו ויראו לגשת אליו ולא יוכלו להרע לו וליגע בגופו וממונו, וחן נותן לו אלהים בעיני הבריות עד אשר כל רואיו יכירו כי הוא זרע ברך ה' והכל מפארים ומשבחים על ידי זה למלך הכבוד אשר הרים ראשו על הכל להיות חפץ בו המלך, לומר ברוך שחלק מכבודו לבשר ודם. וכדמיון מלך שנותן לאחד משריו ענין שררות וגדולה לקרותו בשם שר פלוני ופלוני, אף שאין בשר הלזה שום שינוי בגופו או בעשרו והכל כמו קודם מכל מקום נתגדל שמו בכל מדינות המלך והכל יראים ממנו ואוהבים אותו כי יודעים אשר המלך חפץ ביקרו והוא בחינת ודרגת יעקב אבינו ע""ה מדת התפארת שנטה הקב""ה מִחֵינוֹ עליו עד אשר היה יראתו על העולם וְחֵינוֹ פרוס על כל רואיו, וכשפגעו אליפז בן עשו במצות אביו להורגו נשא חן בעיניו והלך לו, ואחר כך הלך עשו אחיו לקראתו בד' מאות איש, וכראותו, וישק לו ואמרו חז""ל <small>(בראשית רבה ע""ח, ט')</small> שנשקו בכל לבו, ואחר כך רדף לבן אחריו ורצה לאבדו מכל וכל כאומרו <small>(דברים כ""ו, ה')</small> ארמי אובד אבי, וביקש לעקור את הכל ולא נתנו ה' להרע עמדו והזהירו <small>(בראשית ל""ד, כ""א)</small> השמר לך מדבר עם יעקב מטוב ועד רע, והכל מצד שהפריס הקב""ה חן על פניו בעיני כל רואיו לישא לו פנים באהבה ולירא ממנו. וגם בעודו בבית חמיו הרשע תיפח רוחו ונפשו, כמה וכמה פעמים היה רוצה לעשות לו רע ולא היה יכול מפני שמצא חן בעיני המקום ולא יוכל להרע עמדו ונתקיים בו <small>(על פי דברים כ""ח, י')</small> והיה כי יראו כי שם ה' נקרא עליך וייראו ממך, ובבחינה זו נתגדל שמו של מלך מלכי המלכים הקב""ה בעולמו לומר ברוך ה' אלהי ישראל מן העולם ועד העולם שכך עושה להחפצים בו להרים איש עני ואביון ונכאה לבב להיות מפואר ונתגדל בעין כל בריה.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:17","והנה על ידי הג' בחינות אלו אנו אומרים אלהי אברהם אלהי יצחק ואלהי יעקב. ופירושם, לפי שהם היו מרכבה לאלהותו יתברך והם התגלו את אלהותו בעולם להודיע ולפרסם שיש ה' בורא עולם ומנהיג ומשגיח, וכל אחד הודיע בבחינתו. אברהם הודיע כי הוא הטוב והמיטיב, ויצחק הודיע כי לו הכח והגבורה והממשלה לעשות כרצונו, ויעקב הודיע אשר לו התפארת והתמימות לגדל את אשר בו דבקים, ולהשפיל לפניהם כל אויביהם. ועל כן אנו אומרים עד היום אלהי אברהם כלומר שעל ידי אברהם נתגלה אלהותו בארץ הלזו וכמאמר חז""ל <small>(בראשית רבה נ""ט, ח')</small> עד שלא הודעתי אותו לבריותיו אלהי השמים וכיון שהודעתי אותו לבריותיו אלהי הארץ. וכן אלהי יצחק ואלהי יעקב לומר על ידם נתגלה כל בחינת אלהותו בארץ הלזו אשר אנחנו עומדין בו כי כל כללות העולמות מראש ועד סוף הכל היא בבחינת ג' קוין הללו ימין ושמאל ואמצע ואין בכל העולם בחינה אחרת כי אם אחד מג' בחינות אלו רק שהם מתחלקים לענפים רבים ופרטי פרטים אין מספר, ולכן אנו מזכירין ג' בחינות אלו כי אלו הג' בחינות התגלות אלהות ירדו לעולם וג' האבות הם שהתגלו אותם ועל כן אומרים אלהי אברהם וכו' ככל הנזכר.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:18","והנה אילן המוציא ענפים רבים ונתפרדו זה לרוח זה, וזה לרוח זה, ודאי כולם נשרשים בכח השורש המוציא כל אלה כי אם לא יהיו בכח לא יצאו לפועל, וכמו כן יצחק ויעקב שיצאו מאברהם ודאי שהיו מושרשים תחילה בכח אברהם וממנו יצאו לפועל ועל כן ודאי היו ג' המדות באברהם בכח אבל לא בפועל, והוא שלא לימד דעת את העם כי אם בבחינתו ממש מדת החסד אבל הוא בעצמו ודאי התנהג בכל כולם באהבה ויראה ותפארת, כי היו כולם בכוחו ואך לפועל הוציא יצחק ולימד בפועל מדת הגבורה וכן יעקב מדת תפארת ועל כן הנך תראה אשר תיכף בבואו לארץ הרעיב ה' נפש הצדיק ויהי רעב בארץ עד שהוצרך לירד למצרים ואחר כך לקחו אשתו לבית פרעה כי הראה לו ה' גם בחינת הגבורות בבחינת תחילתן יסורים, ואברהם אבינו הצדיק ודאי היפך מדת הדין לרחמים לקבל בשמחה ובאהבה וכאשר אמרו חז""ל <small>(שמות רבה ו', ד')</small> שלא הרהר אחר מדותיו של הקב""ה, כי היה מקבל בשמחה וידע שטובה גדולה עושה לו אלהים, וכן נעשה ונגמר עליו ונמתק מדת הדין ונתהפך לרחמים ויצא ממצרים כבד במקנה ובכסף ובזהב ונתברך ברכוש גדול, ואחר כך נטה ה' את חֵינוֹ וחסדו עליו בתפארת מפואר בעיני כל העמים אשר ישב ביניהם ובא אליו אבימלך מלך גרר ושר צבאו וגו' לכרות אתו ברית ונתן לו צאן ובקר ועבדים ושפחות ואחר כך המליכוהו עליהם אנשי מקומו כאומרם <small>(בראשית כ""ג, ו')</small> נשיא אלהים אתה בתוכנו כמאמר חז""ל <small>(בראשית רבה מ""ג ונ""ח)</small>. ויצא מוניטין שלו בעולם (פירוש מטבע הדפוס על העולם) כמאמר חז""ל <small>(בראשית רבה ל""ט, י""א)</small>, והכל כי הגדיל במדת התפארת, והקב""ה נטה חֵינוֹ בעיני כל על ידי זה, ונמצאת למד אשר אברהם אבינו בעצמו התנהג עצמו בכל בחינת ג' מדות האלו ורק לפועל לא הוציא כי אם מדת החסד, והוליד את יצחק בחינת הגבורה שישתמש הוא בזה ויצחק את יעקב בחינת התפארת שישתמש הוא בזה להודיע לבני האדם גבורותיו וכבוד הדר תפארתו, ועל כן כשצוה הקב""ה לאברהם לך לך מארצך אל הארץ אשר אראך הבטיח לו שיהיה לו שם כל הג' בחינות האלו ואמר לו ואעשך לגוי גדול כלומר שעל ידך אפעול חסדי בעולם בחינת הגדולה ועל ידך יוכר אלהותי בבחינת הגדולה והחסדים, וזה כוונו חז""ל לפרש פירוש הדברים ואעשך לגוי גדול ואמרו זה שאומרים אלהי אברהם, כלומר זאת ההבטחה ואעשך לגוי גדול הוא בחינת מה שאנו אומרים עתה אלהי אברהם שפירושו שעל ידי אברהם נתגלה מדת אלהות בעולם בבחינת החסד וזה הבטחת ואעשך לגוי גדול כלומר שעל ידך יוכר בחינת ידי הגדולה שכל החסדים שבעולם הכל מאתי, מה שקודם בוא אברהם לא היו בני אדם מכירין זאת ואדרבא היו אומרים עזב ה' את הארץ וברר לו את העליונים. והן על ידך אהיה נקרא אלהי הארץ שהורגל בפי ההמון אשר ה' הוא המאיר לארץ ולדרים עליה והכל בהשגחה פרטית מאת ה' הוא, ועוד הבטיח לו הקב""ה ואברכך כי הברכה אמיתית היא רק בבחינת צדיקים תחילתן יסורים וסופן שלוה כנאמר, שעל כן תיכף בבואו לארץ קודם שנתברך קודם שנתגדל נעשה רעב בארץ על ידו כמאמר חז""ל, כי היה צריך להיות תחילה בצער עד אחר כך כשעלה ממצרים השיג את העושר והברכה, כי זכה אברהם להפך מדת הדין לרחמים וכיוונו חז""ל לפרש אשר זה כוונת הפסוק ואמרו זה שאומרים אלהי יצחק כלומר זו הבחינת הבטיח לו מה שאנו אומרים עתה אלהי יצחק וכנאמר. וכן ואגדלה שמך ואמרו חז""ל שיצא לו מוניטין בעולם והוא בחינת התפארת והודיעו חכמינו כיוון זה, בזה שאנו אומרין אלהי יעקב הכל כאמור, ולא שהקב""ה הבטיח לאברהם שיאמר כן בתפלה כי נוסח התפלה ודאי דרבנן הוא ולא מן התורה כנזכר, ועל כן סיים והיה ברכה ואמרו בך חותמין ולא בהם כי גם בחינת הגבורות אינם אלא חסדים כאמור ועל כן בך חותמין לבד כי הקב""ה רק חפץ חסד הוא ולא דבר אחר, וגם כי עיקר עבודתם ובריאתם כל עיקר מה שבאו לעולם הכל בשביל חסד הגמור חסד האמת ושלם מכל צד, ועל כן בך חותמין ולא בהם כי עולם חסד יבנה וכל עיקר כוונת הבריאה שלהם הכל להכלל בחסד הגמור ולהיטיב לבריות בכל האופנים כנזכר, כי חפץ חסד הוא.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:19","ולזה אמר הכתוב <small>(איוב ל""ד, י')</small> וחלילה לאל מרשע פירוש חלילה לו יתברך שיחפוץ ח""ו במעשה רשע לנקום ברשע על רשעתו כדרך מלך בשר ודם מחמת כעסו רוצה דוקא לענוש את האדם בכדי לנקום בו לא כן בוראנו ברוך הוא וברוך שמו החפץ חסד, וכל היסורים ועונשים הקשים ומרים שבאים לאדם הכל בחסד אמת לטובה גמורה אמיתיות אל האדם הלז בד' בחינות שהזכרנו. ובהעלות האדם זאת על לבו נעשה תיכף מהדין חסד, וזה רצון הדין במאוד להיות נמתק ונכלל בחסד ולא לפעול בעולם כי אם שמחה של מצוה ואהבה עזה בוערה ברשפי אש שלהבת יה בקשירות ודיבוק כל כוחי הגוף בחמדה תקיפה נצחיות אש להבה אכלה סביב עד מאמצי כוחו ומצוי דם נפשו וזה הכל בא מהגבורה הנכללת בחסד באהבה רבה ואהבת עולם וההשתוקקות של כל דבר ודבר להיות נמתק ולהכלל בחסד כמו שאיתא <small>(ברכות ז'.)</small> שהקב""ה מתפלל יהי רצון שיכבשו רחמי את כעסי, ועל כך הברכה הכוללת שהכל מתברכין בה לומר מי יתן ואהיה כזה, הוא בחינת אברהם שורש החסדים. וזה והיה ברכה, כלומר ואתה תהיה הברכה אשר בפי כל, ובך חותמין ולא בהם כי כל אלה הוא רק למען החסד להיטיב ועל כן ואברכה מברכיך ומקללך אאור, כי מיתה לרשעים הנאה להן והנאה לעולם כמאמרם <small>(סנהדרין ע""א)</small> ועל כן כשהקב""ה עושה דין ברשעים שמו מתגדל, בחינת הגדולה והחסד כי חסד אמת הוא להן ולעולם והכל הוא מדתך מדת החסד והטוב ונברכו בך כל משפחות האדמה כנזכר בבחינת והיה ברכה שכל אחד יאמר הלואי ואהיה במדה זו וכדבר האמור.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:20","מה שאמרו חז""ל <small>(בראשית רבה ל""ט, י""א)</small> בפסוק ואגדלה שמך אמר ר' יודן קובע אני לך בשמונה עשרה אבל אין את יודע אם שלי קודמת או שלך קודמת אמר ר' אחויה בשם ר' זעירא שלך קודמת לשלי בשעה שהוא אומר מגן אברהם אחר כך מחיה המתים עד כאן. ולכאורה פלא גדול הוא כי הלא זה וזה שבחו של מקום הן מה שהיה מגן על אברהם ומה שהוא מחיה המתים, ובמה אברהם קודם, בזה אינו קודם כי אם להמתים שמתחילה אומרים מגן אברהם ואחר כך מחיה המתים, אבל לא קודם הוא לברכת הקב""ה.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:21","והנראה כי הנה נודע אשר בכל דבר ודבר צריך להיות בחינת אתערותא מלתתא כמו שאדם מעורר מלתתא בתורה ותפלה לפי ערך חכמתו ושכלו אשר בקרבו, ורבות האהבה והיראה ותשוקת חמדת לבבו לאל אמת בחמדה יתירה, כן כל דרגה ודרגה הוא אתערותא להשגחת ה' עלינו שיהיה הוא מעורר עלינו גודל חסדיו ורחמיו המרובין בגודל חשקו ואהבתו לערך האתערותא אשר עולה מלתתא, ואמנם יש עוד בחינה והוא כמאמר הכתוב <small>(ישעיה ס""ג, ה')</small> ואביט ואין עוזר ואשתומם ואין סומך ותושע לי זרועי וגו', כבחינת בריאת העולם שהיה בלא אתערותא מלתתא כנודע ועל כן הוא דבר גדול, וזה ענין תחית המתים שמוכרח לְהֵעָשוֹת בלתי אתערותא מלתתא כי לא יעלה אתערותא מהמתים ואין דבר קשה לפני המקום כביכול כזה שהוא צריך לעשות בלתי אתערותא מלתתא כי עיקר בריאת העולם היה רק על ענין האתערותא למען ישלם שכר בדין ולא בחסד, מעצמיותו שדרכו להיטיב כנודע, אבל הקב""ה ברוב חסדיו אף על פי כן יחיה המתים באתערותא מניה וביה כגודל חסדיו, ועל כן זה השבח של מחיה המתים הוא להקב""ה בלבד, מה שעושה ברוב חסדו וטובו בלתי שום אתערותא. ושבח מגן אברהם, הנה זה היה בחסד אלהים על ידי צדקת אברהם ותפלתו והאמנתו בה' כמאמר חז""ל <small>(בבראשית רבה מ""ג,)</small> צדקה היתה צווחת ואומרת אם אין אברהם אין מי יעשה אותי ועל כן אמרו חז""ל <small>(פרקי דר' אליעזר מובא בילקוט רמז ק""א)</small> בפסוק <small>(בראשית כ""ב, ט')</small> ויבן שם אברהם את המזבח כיון שהגיע החרב לצואר פרחה ויצתה נשמתו של יצחק, וכיון שהשמיע קולו מבין שני הכרובים אל תשלח ידך אל הנער, חזרה נפשו לגופו, והתירו, ועמד יצחק וידע יצחק שכך עתידין המתים לחיות, ופתח ואמר ברוך אתה ה' מחיה המתים, כי הצלת יצחק היה בבחינת תחית המתים ממש כי לא היה אתערותא לזה כלל שיחיה יצחק ואדרבה הוא ואביו היו רוצים דוקא בשחיטתו ולא בהצלה, וההצלה היה מאת ה' לבד באתערותא מניה וביה והיא נפלאת בעינינו כבחינת תחית המתים ממש, ועל כן היה ראוי להקדים ברכת מחיה המתים שהוא שבח לה' לבד על רוב חסדו לברכת מגן אברהם שנעשה עם אתערותא מאברהם, ואך כי חפץ ה' בכבוד צדיקים יותר מבכבודו יתברך הקדים דברי השבח הזה שאף שבח אברהם נכלל בו וגם שנתמעט מכבודו הגדול בנס זה מנס תחיית המתים אף על פי כן שם את אברהם עטרה לראשו כאמור.",
"Be'er Mayim Chaim on Torah, Genesis 12:2:22","ובזה נכון נמי מה שלא קבעו בברכה השניה דוגמת ברכה הראשונה לומר ברוך אתה ה' מחיה את יצחק כיון שגם יצחק פרחה נשמתו והקב""ה החיה אותו בקולו, וכאשר קבעו מגן אברהם, ואמנם שם לפי שהיה גם האתערותא מאברהם להנצל מהמלכיות ההם בכדי שיתגדל שמו של הקב""ה בעולמו ועל כן הזכירו שמו בהברכה מה שאין כן ביצחק שלא עלה על דעתו כלל להחיות לכן לא קבעו להזכיר שמו, והבן. ועבור שכל הטובות והחסדים שהיה אחר כך ליצחק ויעקב על ידי אתערותם וצדקתם הכל בא מכוחו של זקן כוחו של אברהם שנתברך בכל זה כמו שאמר לו ואברכך זה שאומרים אלהי יצחק על כן בך חותמין ולא בהם שאתה לבדך נקדמת לברכת ה' ולא הם לפי שכולם בך נכללו.",
