Index Title,Sefer HaShorashim
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:10:1","<strong>נְהַר דִּי־נוּר</strong>, נהר שיל אש. ויש מפרשים כמו נהורא כלומר אור של אש. <strong>נָגֵד וְנָפֵק</strong>,<strong> </strong>נמשך ויוצא.<strong> דִּינָא יְתִב וְסִפְרִין פְּתִֽיחוּ</strong>,<strong> </strong>למשפט יושב וספרים נפתחו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:11:1","<strong>קְטִילַת חֵֽיוְתָא</strong>, נהרגה החיה. <strong>וְהוּבַד גִּשְׁמַה</strong>, ואבד גופה. <strong>וִֽיהִיבַת לִֽיקֵדַת אֶשָּֽׁא</strong>,<strong> </strong>ונתנה לשרפת אש."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:12:1","<strong>הֶעְדִּיו שָׁלְטָֽנְהוֹן</strong>, הסירו שלטנותם."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:15:1","<strong>אֶתְכְּרִיַּת רוּחִי</strong>,<strong> </strong>ולפי ענינו נבהלה רוחי. או פירושו קצרה רוחי. ותרגום וּקְצַר־רוּחַ (משלי יד, כט). <strong>דְכַרְיָא רוּחֵיהּ</strong>. <strong>בְּגוֹא נִדְנֶה</strong>, בתוך נרתקו כי הגוף לרוח כמו הנדן לחרב."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:16:1","<strong>קִרְבֵת עַל־חַד מִן־קָאֲמַיָּא</strong>, קרבתי על אחד מן העומדים והם המלאכים כמו בֵּין הָעֹֽמְדִים הָאֵֽלֶּה (זכריה ג, ז).<strong> וְיַצִּיבָא אֶבְעֵא מִנֵּהּ</strong>, ואמת אבקש ממנו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:19:1","<strong>אֱדַיִן צְבִית לְיַצָּבָא עַל־חֵֽיוְתָא רְבִיעָיְתָא</strong>, אז רציתי לעמוד על האמת על החיה הרביעית."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:20:1","<strong>וְקַרְנָא דִכֵּן</strong>, וקרן זאת."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Daniel 7:25:1","<strong>וְיִסְבַּר</strong>, ויחשוב."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 4:7:1","<strong>כָּתַב בִּשְׁלָם</strong>, כלומר כתב דברי שלום. <strong>מִתְרְדָת</strong>, שם איש מצָרי יהודה ובנימן. והוא שלח האגרת הזאת אל אחשורוש. <strong>וּשְׁאָר כְּנָוֹתָו [כְּנָֽוֹתָיו]</strong>, סיעתו ובני חבורתו וכן ושאר כנותהון. ובדברי רבותינו ז""ל (כריתות ז, ע""ב) מי דמי שבת ועבודה זרה תנא יתהון בכנהיהון, פירוש בדיניהם ובכל המתחבר אליהם. <strong>וּכְתָב הַֽנִּשְׁתְּוָן</strong>, כתב המפורש, <strong>כָּתוּב אֲרָמִית וּמְתֻרְגָּם אֲרָמִֽית</strong>, כתוב בכתיבת ארמית ומפורש בלשון ארמית."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 4:8:1","<strong>רְחוּם בְּעֵֽל־טְעֵם</strong>, בעל הדברים ותוכן לשון האגרת כי מתרדת טבאל שלח האגרת ורחום היה המזכיר והוא המתקן לשון האגרת ושמשי היה סופר."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 4:9:1","<strong>וַֽאֲפַרְסַתְכָיֵא וכו'</strong>, שמות האומות שהיו בערי שומרון."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 4:10:1","<strong>אָסְנַפַּר</strong>, הוא סנחריב. <strong>רַבָּא וְיַקִּירָא</strong>, גדול ונכבד. <strong>וּכְעֶֽנֶת</strong>, שם מקום בערי שומרון וכולם הסכימו על שליחות האגרה הזאת. וכן נקרא המקום הזה וּכְעֶֽת (עזרא ד, יז). בלא <strong>נו""ן</strong> והכל אחד. ויש לפרש וכענת מן עת שהוא זמן. וכן היה מנהגם לכתוב זאת המלה בראשי הדברים באגרות, כלומר בזמן הזה נכתבה זאת האגרת."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 4:12:1","<strong>מָרָֽדְתָּא וּבִֽיֹֽשְׁתָּא</strong>, מורדות ורעה. <strong>וְשׁוּרַיָּ [וְשֽׁוּרַיָּא] אשַׁכְלִלוּ [שַׁכְלִלוּ]</strong>, והחומות יסדו. <strong>וְאֻשַּׁיָּא יַחִֽיטוּ</strong>, והיסודות קשרו זו בזו, יחיטו לשון חוט כמו שתופרין בגד עם בגד בחוט."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 4:13:1","<strong>קִרְיְתָא דָךְ</strong>, זאת. <strong>מִנְדָּה בְלוֹ וַֽהֲלָךְ</strong>, מנדה זו מנת המלך, בלו זה כסף גלגלתא, והלך זה ארנונא. והיא השורה שעושין למלך כשעובר עליהם. <strong>וְאַפְּתֹם מַלְכִים תְּהַנְזִֽק</strong>, וחוזק המלכים תזיק."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 4:14:1","<strong>דִּֽי־מְלַח הֵֽיכְלָא מְלַחְנָא</strong>, לשון אֶרֶץ מְלֵחָה וְלֹא תֵשֵֽׁב (ירמיה יז, ו) כלומר השביתנו בנין ההיכל הזה שיהיה כארץ מלחה, <strong>וְעַרְוַת מַלְכָּא לָֽא־אֲרִיךְ לָנָא לְמֶֽחֱזֵא</strong>, ובזיון המלך לא יפה לנו לראות. ובדברי רבתינו ז""ל (בבא מציעא פרק חמישי דף עה, ע""א) מאה פלפלין במאה ועשרין פלפלין ואריך, כלומר טוב ויפה וישר אין בו משום רבית. וכן אמרו (סוכה פרק רביעי דף מד, ע""ב) מקשקשין בכרמיא ואכלין ויתא אריך או לא אריך, כלומר כשר הדבר או לא מפני שנעבדו הזיתים בשביעית."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 4:15:1","<strong>וְאֶשְׁתַּדּוּר עָֽבְדִין בְּגַוַּהּ</strong>, כענין מרד. ויתכן שהלשון לשון שליחות מתרגום וַיִּשְׁלַח (בראשית לב, ד) <strong>וְשָׁדַר</strong>, כי המורדים שולחים בסתר לאשר יעזרו בהם וכאשר ימצאו עזר ימרדו באשר היו תחת ידו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 4:18:1","<strong>נִשְׁתְּוָנָא</strong>, ענין האגרת ופירושו כמו וּכְתָב הַֽנִּשְׁתְּוָן (עזרא ד, ז)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 4:23:1","<strong>וּבַטִּלוּ הִמּוֹ בְּאֶדְרָע וְחָֽיִל</strong>, ובטלו אותם בזרוע ובכח."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 5:3:1","<strong>וְאֻשַּׁרְנָא דְנָה לְשַׁכְלָלָֽה</strong>, וחוזק הזה לכלות, ואשרנא רצה לומר חומות העיר שהם חוזק העיר, וכן בדברי רבותינו ז""ל (בבא בתרא פרק עשירי דף קמז, ע""א) אשרתא חוזק השטר וקיומו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 5:4:1","<strong>אֱדַיִן כְּנֵמָא אֲמַרְנָא לְּהֹם</strong>, פירוש זה הפסוק דברי תתנאי ושתר בוזני וכן פירושו אז כשנאמר מן שם לכום טעם לִבְנוֹת (עזרא ד, ג) עוד אמרנו<strong> </strong>להם מי הם שמות האנשים אשר זה הבנין בונים."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 5:8:1","<strong>אָסְפַּרְנָא</strong>, במהירות ובזריזות."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 5:14:1","<strong>וְהֵיבֵל הִמּוֹ</strong>, והוביל אותם."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 5:15:1","<strong>שֵׂא אֵֽזֶל־אֲחֵת הִמּוֹ</strong>,<strong> </strong>שא ולך והניח אותם."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 5:16:1","<strong>שֵׁשְׁבַּצַּר דֵּךְ</strong>, זה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 6:2:1","<strong>בְּאַחְמְתָא</strong>, כמו וְחֵמַת מַיִם (בראשית כא, יד). מלא אגרות וזכרונות המלכים והיתה בבירה במדי המדינה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 6:3:1","<strong>וְאֻשּׁוֹהִי מְסֽוֹבְלִין</strong>, וכותליו מקושרין זה בזה. ובדברי רבותינו ז""ל (בבא בתרא דף עד, ע""א) במסובלי דתומי פירוש במחרוזות של שומין הקשורין זה בזה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 6:4:1","<strong>נִדְבָּכִין</strong>, טורים, וכן במשנה (ברכות פרק שני משנה נ. דף טו, ע""א) קורין בראש האילן ובראש הנדבך. <strong>אֶבֶן גְּלָל</strong> אבני שיש ובלע""ז<strong> מרמר""י</strong>. <strong>וְנִפְקְתָא</strong>, וההוצאה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 6:5:1","<strong>יַֽהֲתִיבוּן</strong>, ישיבון.<strong> וְתַחֵת</strong>, ותניח."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 6:7:1","<strong>רַחִיקִין הֲווֹ מִן־תַּמָּֽה</strong>, רחוקים היו משם שלא תזיקום."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 6:8:1","<strong>דִּי מִדַּת עֲבַר נַֽהֲרָה</strong>, אשר במס עבר הנהר, מדת כמו מנדת, כלומר מהמס שלוקח המלך בעבר הנהר תעשה במהרה ההוצאה."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 6:9:1","<strong>וּמָה חַשְׁחָן</strong>, ומה שצריכים."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 6:11:1","<strong>יִתְנְסַח</strong>, כמו וְנִסַּחְתֶּם (דברים כח, סג), <strong>וּזְקִיף יִתְמְחֵא עֲלֹהִי</strong>,<strong> </strong>ועץ לתליה שיתלה עליו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 6:12:1","<strong>יְמַגַּר</strong>,<strong> </strong>יפיל, כמו וְכִסְאוֹ לָאָרֶץ מִגַּֽרְתָּה (תהלים פט, מה)."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 7:12:1","<strong>גְּמִיר</strong>, תרגום כָּלִיל (ויקרא ו, טו) כלומר סופר דת אלה השמים כלם."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 7:14:1","<strong>וְשִׁבְעַת יָֽעֲטֹהִי</strong>, ושבעת יועציו."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 7:20:1","<strong>וּשְׁאָר חַשְׁחוּת</strong>, ושאר צורך."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 7:22:1","<strong>וּמְלַח דִּי־לָא כְתָֽב</strong>, ומלח לצורך הקרבנות יתנו אשר לא כתוב בו מדה יתנו כל הצורך."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 7:23:1","<strong>יִתְֽעֲבֵד אַדְרַזְדָּא</strong>, יעשה בזריזות."
"Sefer HaShorashim, Biblical Aramaic Lexicon, Ezra 7:26:1","<strong>הֵן לְמוֹת הֵן לִשְׁרשִׁו [לִשְׁרשִׁי]</strong>, אם למיתה שיהרנבו לעקרו מן העולם הוא ובניו, <strong>הֵן־לַֽעֲנָשׁ נִכְסִין וְלֶֽאֱסוּרִֽין</strong>,<strong> </strong>או לענשו ממון או לאסרו בבית הסהר."
"Sefer HaShorashim, Conclusion 1","ברוך י""י אלהי אבתינו אשר נתן כזאת בלב המלך לפאר את בית י""י<strong> </strong>אשר בירושלם. יזכנו האל לראות בבנין ההראל חברים עם כל ישראל בעגלא ובזמן קריב אמן ואמן."
"Sefer HaShorashim, Conclusion 2","ברוך י""י אלהי ישראל המבין לבבות, המעורר מחשבות, שפתים פותח, וידים מפתח, מסיר עקשות פה ולזות שפתים, ולכתוב הישרה יישר ידים, סומך לכל הדורשים תורתו, מחזיק בידי המבקשים דתו, ישים מחשך לפניהם לאור, ומעקשים למישור, עד אשר לא ראו בתורתו את כל מאום, כל סתום לא עממום, נוחה אותם בצדקותיו, מישר לפניהם דרכיו ונתיבותיו, עד אשר כה נחני, ועד הנה עזרני, לבאר כל סתום, לפתח כל חתום, לגלות כל נסתר בתורתינו, ובספרי נביאינו וחכמינו, על פי אשר השיגה יד מחשבתי, באשר י""י אתי. ואל אלהים יודע ויודעי יודעים כי לא היתה כונתי בחבור הזה להתגדל בו עד חברי, ולהתפאר בו על ספרי מורי, אך כאשר פצרו בי גדולים וחכמים ממני, לאורך המלאכה בספרי המחברים אשר לפני, ולאשר הועתקו מלשון אל לשון תארך בהם ההבנה, והקצר בהם התבונה, ראיתי לעשות רצון הפוגעים בי. וכי ראיתי כי תהיה לי תועלת גדולה בחבור זה רצוני לומר הזכירני בו אשר למדתי מנעורי, ולהוסיף בו ידיעה אשר לא ידעתי מבחורי, קמתי וחצן העצלה נערתי, ומשנת המנוחה ננערתי, והתעסקתי בחבור הזה עד כליתיו, בעוז המאמץ נכשל, והעוזר כל נחשל. והנני קורא לכל הקורא בספר הזה שיביט אליו בעין רצון, לא בעין קנאה ולצון, ואם ימצא בו שגגה תהיה שגגה הסופר או הספר יתקננה אחרי העיון כפי דעתו ושכלו, ומי""י תגמולו, וידינני לכף זכות וישקלני במאזני צדק בכף דעתו, ותהי שלימה משכורתו. כי מטרדת הזמן ומעלו אשר עלי לא היתה מחשבתי בו זכה ונקייה. ועוד כי כל ימי התעסקי בו רוב מלאכתי היה בלמוד הנערים בתלמוד, ועם כל זה אולי שגיתי ואף על פי שאינני מציל עצמי מן החטא ומן השגגה וחוסר הידיעה כי אין אדם אשר לא יחטא, אף כי אנכי לא איש דברים, ויודע ספרים. ומי""י אשר כל נסתר אליו גלוי, והאמת אתו בכל ספק תלוי, שאלתי לנקותי משגיאות ומנסתרות, כמו שאמר משיחו עליו השלום שגיאות מי יבין מנסתרות נקני. ועוד אמר גם מזרים חשוך עבדך אל ימשלו כי אז איתם ונקיתי מפשע רב יהיו לרצון אמרי פי והגיון לבי לפניך י""י צורי וגואלי."
"Sefer HaShorashim, Conclusion 3",נשלם חלק שני מהמכלל תהלה לאל המהולל.
