abbrev,expanded,context_before,context_after
עי,על ידי,"תרל""ח ונוהגין לטלטלו","עכו""ם ואין בזה"
מבשת,מבשמחת תורה,במדינות אלו חוץ,שנהגו להרבות בקרואים
אעפ,אף על פי,באדר וכן נוהגים,שיש חולקים ואומרים
אצ,אינו צריך,הששי ואמר קדיש,לקרות עוד אחר
בלאה,בלאו הכי,שקראו בתורה אבל,אסור לקרות עם
בסת,בספר תורה,שהתחיל הראשון כמו,הגה ושנים לא
ועל,ועין לעיל,בשעת קריאת התורה,"סימן קמ""ו מלמדי"
ועל,ועין לעיל,אחר קדיש בתרא,"סי' קל""ג"
רח,ראש חדש,א' חנכה או,או פורים או
אחכ,אחר כך,שאין להתענות עד,ויש אומרים מי
סת,ספר תורה,ואלו הן הרואה,שנשרף או יום
בעש,בערב שבת,מים אינו רק,אם נמשכה סעדת
אצ,אינו צריך,אם עשאה יצא,לקדש בסעדה שלישית
ויא,ויש אומרים,צריך לעשותה בפת,שיכול לעשותה בכל
יוט,יום טוב,הבאה ולא בשל,אומרים צדקתך ואם
יוט,יום טוב,נעם כגון שחל,בשבוע אין אומרים
במוש,במוצאי שבת,ולהזכיר אליהו הנביא,להתפלל שיבא ויבשרנו
גכ,גם כן,שאגב הקדוש מבדילין,עליו ויש אומרים
אצ,אינו צריך,ואם אין לו,לחזר אחריהם אין
ואצ,ואינו צריך,אם יש לו,לחזר אחריו והני
במוש,במוצאי שבת,עובד כוכבים שהדליק,מישראל או ישראל
אצ,אין צריך,יום וחשכה לו,להפסיק אפלו משתיה
ויא,ויש אומרים,לו צריך להפסיק,דהני מלי בספק
דהמ,דהני מלי,להפסיק ויש אומרים,בספק חשכה אבל
ויא,ויש אומרים,כוס של הבדלה,שצריך כשהיה אוכל
אחכ,אחר כך,יום ולשתות ולקבל,התענית עליו המבדיל
אאכ,אלא אם כן,אומרים דלא פטר,נטל ידיו קדם
ועל,ועין לקמן,אסור גם לאיש,"סימן ש""ג טבעת"
אאכ,אלא אם כן,שלא נקרא חותם,חקוקים בה אותיות
אעפ,אף על פי,המקפל על כתפיו,שאין נימא כרוכה
אעפ,אף על פי,היא מציצת כהלכתה,שאין בה תכלת
אעפ,אף על פי,ברצועות התלויות באבנט,שאין המנעלים קשורים
ברה,ברשות הרבים,"לאתויי ד"" א",אלא אם כן
דא,ד' אמות,שעליהם חוץ לנהר,נ יוצאים בפשתן
וממ,ומכל מקום,להן כתכשיט ושרי,צריך להזהיר לנשים
מעש,מערב שבת,ואם פרפה עליו,מתר לצאת בו
שאא,שאי אפשר,שעושים משער חזיר,שלא יעקרו שערות
ויא,ויש אומרים,בשבת מאותה מלאכה,שכל שלא קבל
מבעי,מבעוד יום,כיון שהתנה עמו,עושה הוא לצרכי
אעפ,אף על פי,לא בשאינה ממחה,שהיא ממחה לאדם
ויא,ויש אומרים,אסור בו ביום,שצריך לקנותו מן
וכשכ,וכל שכן,מוחה בידו הגה,דאין לחוש שהרועה
ויא,ויש אומרים,התחום להביא בהמתו,שאם אין הבהמה
באי,בארץ ישראל,מתר לקנות בית,"מן העכו""ם בשבת"
סי,סעיף י',"וע""ל סי' שכ""ח",
אעפ,אף על פי,פלוני בשבת שעבר,שמבין מתוך דבריו
מעש,מערב שבת,"לתן לעכו""ם מעות",לקנות לו בשבת
מעש,מערב שבת,"לתת לעכו""ם מעות",לקנות לו ובלבד
אעפ,אף על פי,לעמד עמי לערב,שמתוך כך מבין
כיוב,כיוצא בזה,ברגנין וכן כל,שיש בו צד
עי,על ידי,אפלו מחמה לצל,ככר או תינוק
אאכ,אלא אם כן,נשברה מבעוד יום,ישב עליה כך
אאכ,אלא אם כן,אסור לישב עליהם,למדום פי' סדרום
ויא,ויש אומרים,שלא יסרטו בגדיו,דלא סגי במחשבה
אאכ,אלא אם כן,מבהמה דקה אסור,חשב לישב עליהם
ולפז,ולפי זה,לאו אסור הגה,מתר לטלטל עצמות
ברה,ברשות הרבים,את בנה אפלו,ובלבד שלא תגררהו
ואל,ואם לאו,שהוא בטל אגבה,אסור כלכלה מלאה
עד,על דעת,הניחם עליה מדעתו,שישארו שם בכניסת
ויא,ויש אומרים,אסור להטות ולנער,דאפלו הניחם שם
אעפ,אף על פי,והם ראויים לאכילה,שלא ידעו הבעלים
ביהש,בין השמשות,לא היה עליה,מתר לטלטלה אפלו
אאכ,אלא אם כן,ממנו מבעוד יום,עשה בו מעשה
מבעי,מבעוד יום,מחתה שיש עליה,אפר שמתר לטלטלו
עי,על ידי,להוציאו לכרמלית אלא,ככר או תינוק
לרה,לרשות הרבים,שמתיר להוציאו אף,על ידי תינוק
עי,על ידי,אף לרשות הרבים,תינוק אבל לא
אעפ,אף על פי,נתכון לזריעה נוטלו,שבנטילתו מזיז עפר
ויא,ויש אומרים,מתר לטלטל אבנים,דאפלו מכרמלית לרשות
אצ,אין צריך,להיות נועל בו,שיקשרנו בדלת ומכל
ולרת,ולרבנו תם,לפצע בו אגוזים,אינו צריך שיהא
אעפ,אף על פי,מקרשים הרבה שרי,ששומטים אותה כשפותחה
ועל,ועין לעיל,מי שמחמיר לאסר,"סי' ש""ח התוקע"
ויא,ויש אומרים,כגון שנשברה הברזא,דלא שרי לנקב
אעפ,אף על פי,ברזא להוציא יין,שלא היה בו
תח,תלמיד חכם,שם ואם הוא,מתר לו להערים
מבעי,מבעוד יום,אם לא שהיה,טפח שאז מתר
גט,ג טפחים,בין חבל לחבל,אסור לפרס עליהן
שאא,שאי אפשר,אותה ואפלו עשרה,שלא תגבה מעט
אאכ,אלא אם כן,ערב אסור לצודו,הוא על בשרו
עג,על גבי,ישפשף ברגלו רק,קרקע משום משוה
ואעג,ואף על גב,למרח ולהשוות גומות,דממילא ממרח הוא
קשק,קשר של קימא,וסבירא להו דכל,אפלו של הדיוט
למוש,למוצאי שבת,לעולם ולאחרים מתר,מיד ובשוגג אסור
בד,בן דרוסאי,ואפלו נתבשל כמאכל,שיך בו בשול
והה,והוא הדין,גמר מלאכתן הגה,כל דבר קשה
אחכ,אחר כך,נצלה אם בשלו,במשקה יש בו
בכש,בכלי שני,לתן פת אפלו,כל זמן שהיד
כז,כל זמן,אפלו בכלי שני,שהיד סולדת בו
אעפ,אף על פי,מלאה מים חמין,שהיא כלי שני
כש,כלי שני,על פי שהיא,אין נותנין לה
בכר,בכלי ראשון,והוא שלא יהיו,מפני שמחממין הרבה
והה,והוא הדין,להתבשל שם הגה,בפרות או שאר
ואעפ,ואף על פי,במקום שהיד סולדת,שהשמן שבה שנקרש
וכש,וכל שכן,חוזר ונמוח הגה,קדרה שיש בו
מעש,מערב שבת,היו לו מלילות,לא ינפה בקנון
אעפ,אף על פי,אבל נותנן בכברה,שנופל הפסלת דרך
עי,על ידי,תולעים מתר לשתותן,מפה בשבת דלא
אעפ,אף על פי,בורר הוא לפיכך,שנותנים שמשמים ואגוזים
וכש,וכל שכן,הענבים המשקה שבהן,בשאר דברים ויש
מעש,מערב שבת,זיתים וענבים שנתרסקו,משקים היוצאים מהם
ולרח,ולרבינו חננאל,בה אכל אסור,כל שהוא צריך
אכ,אם כן,מקנחין בו אלא,יש בו בית
וכז,וכל זה,טוחן אחר טוחן,לא מירי אלא
ויא,ולא יטרף אלא,נותן פול וגריסין,מערב הגה ויש
ויא,ויש אומרים,בכף אלא ביד,דהא דשרי לערב
בלאה,בלאו הכי,גונא אסור אבל,שרי ואף על
ואעג,ואף על גב,בלאו הכי שרי,דאסור להזכיר דמים
וכיוב,וכיוצא בזה,או על כתפו,שישנה מדרך חל
ויא,ויש אומרים,להביאו לפניהם מתר,דלמעט בהלוך עדיף
ויש,וירא שמים,טבילה ויש אוסרים,יצא את כלם
שאא,שאי אפשר,מלי בנבלה הקשה,להם לאכלה בלא
והה,והוא הדין,"על ידי עכו""ם",לצרך מצוה כגון
ויא,ויש אומרים,ולערב בכדי שיעשו,דלערב מתר מיד
דא,ד' אמות,לעצמו דוקא בתוך,או בתוך העיר
תא,"ת""א אם",ועין לקמן סימן,הוא ספק אם
ואעפ,ואף על פי,או בלא ערוב,שיש להחמיר בדבר
אצ,אין צריך,והאכיל לבהמת ישראל,למחות בידו לפי
והמ,והני מילי,לו ובין לאחרים,כשהביאם דרך רשות
עי,על ידי,סכין וממשמשין להנאתו,שנוי שסך וממשמש
עי,על ידי,שום רפואה ואפלו,"עכו""ם גזרה משום"
בא,בני אדם,צריך ממחה דכל,חשובים מומחין קצת
עי,על ידי,וקטנים ונשים אלא,ישראל גדולים ובני
עי,על ידי,דחוי ובלא אחור,שנוי עושה על
כיב,כיוצא בזה,דגים וכן כל,היה חולה שיש
עג,על גבי,מערבים יחד ולא,מוך לתנו עליה
ויא,ויש אומרים,לא גזרו רבנן,שאם אין לו
אעפ,אף על פי,שערו ממנו חמין,שעדין יש בו
לש,לא שנא,פגעו בראשו תחלה,פגעו ברגליו תחלה
רה,רשות הרבים,בשבת אפלו דרך,וקורעים בטנה ומוציאין
אאכ,אלא אם כן,אין מחללין עליו,גמרו שערו וצפרניו
ביוד,ביורה דעה,מלין אותו ועין,"סי' רס""ו מילה"
ביהש,בין השמשות,שבת אנדרוגינוס ונולד,ונולד כשהוא מהול
ועל,ועין לעיל,יש מי שאוסר,"סימן ש""ז סעיף"
ויא,ויש אומרים,כל מה שירצה,שאין חלוק כל
ויא,ויש אומרים,אותם מפני הדלקה,שמצילים מצילים תיק
אעפ,אף על פי,התפלין עם התפלין,שיש בתוכן מעות
מעש,מערב שבת,דוקא כשהניחם שם,יש מתירים להציל
אצ,אין צריך,נכרי שבא לכבות,למחות בידו אבל
סנ,סכנת נפשות,משום דיש בה,והזריז הרי זה
יב,שנים עשר,בעד כל יום,פשיטים ועין בטור
ואחכ,ואחר כך,עבר ועשה שקלט,זמן אורחים מתר
ויא,ויש אומרים,מתר לירד משחשכה,דהני מלי כשהיה
אעפ,אף על פי,שלשה וחלל תחתיהם,שמצד אחד אין
עג,על גבי,גבי קרקע ולהניחו,יתדות או איפכא
אכ,אם כן,לכבד הבית אלא,הקרקע מרצף ויש
פר,פסיק רישיה,גומות ודאי והוי,
עי,על ידי,לקרא לבית הכנסת,הכלי המיחד לכך
מבעי,מבעוד יום,מתר לערכו ולהכינו,כדי שילך ויקשקש
עג,על גבי,גבי קרקע אבל,שלחן שרי דליכא
דהה,דהוא הדין הכניסה,אשה ובנים ואפשר,לחפה שרי ואף
קיל,קימא לן,על גב דלא,הכי מכל מקום
הז,הרי זה,סופרים וכיוצא בו,תולדת תופר וחיב
ויא,ויש אומרים,לחנוך צריכים להפרישו,דלא שיך חנוך
דט,ד' טפחים,טפחים ויש בו,על ד' טפחים
ויא,ויש אומרים,הוי רשות הרבים,שכל שאין ששים
יא,יש אומרים,"שהוא רחב ט""ז",שהוא רשות הרבים
רה,רשות הרבים,יש אומרים שהוא,כל דבר שהוא
דהה,דהוא הדין,ויש מי שאומר,לגבוה מתשעה ועד
רה,רשות הרבים,מכתפים עליו הוי,אפלו אינו רחב
רה,רשות הרבים,חורים שבכתלים כלפי,אם הם גבוהים
אכ,אם כן,הוי כרמלית אלא,הוא רחב ארבעה
יא,יש אוסרים,פטור ברשיות דרבנן,"ויש מתירים וע""ל"
מרהי,מרשות היחיד,אלא כשעוקר חפץ,ומניחו ברשות הרבים
ברהי,ברשות היחיד,הרבים לטל מפתח,ולפתח שם וכן
מרהי,מרשות היחיד,ולפתח שם וכן,לרשות הרבים אבל
לרה,לרשות הרבים,וכן מרשות היחיד,אבל לא יעמד
דא,ד' אמות,שאומר שלא יהלך,ברשות הרבים עד
לרה,לרשות הרבים,הבולט מן הכתל,למעלה מעשרה ויש
אאכ,אלא אם כן,אין ממלאים ממנו,תהא החוליא גבוה
ברה,ברשות הרבים,גבוה עשרה אשפה,שגבהה עשרה ורחבה
אכ,אם כן,מזו לזו אלא,קשורות זו בזו
עי,על ידי,פני המים מתר,מחצה תלויה ובלבד
עי,על ידי,אלא במים אבל,דף שרי דכחו
סב,סעיף ב',יום כמו שנתבאר,דאז שרי דלא
וכש,וכל שכן,בה עד שיערבו,אם עשו שתיהן
אאכ,אלא אם כן,ממלאין ממנה בשבת,עשו לה מחצה
לרה,לרשות הרבים,אמות שהיא סמוכה,אין שופכין לתוכה
ויא,ויש אומרים,בימות החמה הגה,דאין חלוק בין
בזהז,בזמן הזה,הרבים עצמה אפלו,דלית לן רשות
ויח,ויש חולקין,כי דעתיה עלויה,בזה ומה נקרא
ואחכ,ואחר כך,לו פתח מביתו,הקיפו ואם היה
יא,יש אומרים,עליו לפרץ הכתל,דיכול להניח עפר
בדא,בד' אמות,בה ובחצר אלא,ואם היא מעוט
ואחכ,ואחר כך,היתה לשם דירה,נפלה מחצה אחרונה
ויא,ויש אומרים,אינך כחצר לאמצעי,שהחיצונים אינם מתרים
הול,הוה ליה,מעשרה דאם כן,פרצה וגם המגפפים
כרה,כרשות הרבים,בו הרי זה,ואסור לבעל הגג
רה,רשות הרבים,המחצה נדון כצדי,שהוא כרמלית שהוא
ויא,ויש אומרים,דליכא פה הגה,דבעינן גם כן
והנמ,והני מלי,על גביהן מתר,בחצר ומבוי שיש
עי,על ידי,מהני כשכל הרוחות,"צורת פתח ולהרמב""ם"
אאכ,אלא אם כן,לפרצה יותר מעשר,עומד מרבה על
יט,י טפחים,המבוי ויהיה גבהו,ומכל דבר שיעשנה
דא,ד' אמות,עם חדו הפנימי,נדון משום מבוי
ויא,ויש אומרים,להביא קורה אחרת,שצריך שיהיו קרובות
דא,ד' אמות,לי' צריך לחק,לתוך המבוי על
גט,ג טפחים,מבוי שאין ברחבו,אינו צריך שום
צופ,צורת פתח,ירצה יעשה שם,באלכסון ותוך המבוי
לרה,לרשות הרבים,פתוחים בשני ראשיהם,הגה ויש אומרים
כיוב,כיוצא בזה,השני וכן כל,ובלבד שהפס יהא
לרה,לרשות הרבים,ששוה מתוכו ומדרון,או ששוה לרשות
לרה,לרשות הרבים,הרבים או ששוה,ומדרון לתוכו אם
רה,רשות הרבים,חצר משני צדדיו,עצמה אינה נתרת
ויא,ויש אומרים,והוא שננעלות בלילה,אף על פי
אעפ,אף על פי,את מנו ונעור,שמתר להשתמש תחת
שעי,שעל ידי,באחד מבתי החצרות,כך אנו רואים
אצ,אינו צריך,שמניחים בו הערוב,לתן פת ואין
דא,ד' אמות,וצריך שיהא בו,על ד' אמות
דא,ד' אמות,ד' אמות על,ואפלו הוא של
ונל,ונראה לי,וכן נהגו הקדמונים,הטעם דערובין שלנו
ואצ,ואין צריך,להם דין שתוף,להניח בבית דירה
ואעפ,ואף על פי,"לקמן סי' שס""ח",שנשתיר מן הקמח
עי,על ידי,ובלבד שיזכנו להם,אחר וכשזוכה בו
עי,על ידי,ובלבד שיזכנו להם,אחר וכשזוכה בו
ויא,ויש אומרים,מיום זה ואילך,שאף על פי
שאעפ,שאף על פי,ואילך ויש אומרים,שלא יזכה בפרוש
עי,על ידי,אחר לא יזכה,בנו ובתו הקטנים
עי,על ידי,על שלחנו ולא,עבדו ושפחתו הכנענים
ועי,ועל ידי,אפלו הם קטנים,אשתו אף על
והה,והוא הדין,אבל בחצר לא,אם יש להם
בבד,בבית דין,אבל כופין אותו,לערב עמהם או
בעכ,בעל כרחו,לערב הוי ערוב,
אצ,אינו צריך,הראשון אפלו כלה,להודיע ואפלו מערב
אצ,אינו צריך,פי שמערב משלהם,להודיעם נתוספו דיורים
ויא,ויש אומרים,שהם כששה ביצים,שהם כשמנה ביצים
עי,על ידי,זכה לו הנחתום,אחר או שקנה
לבעהב,לבעל הבית,נתן לו מעה,ואמר לו זכה
לכא,לכל אחד,להם ואם היה,פתח פתוח לחצר
בפע,בפני עצמו,יש לו בית,אינם צריכים ערוב
והמ,והני מלי,ואוכלים בבתיהם אוסרים,כשנותנים בני שאר
אעפ,אף על פי,מת משחשכה אוסר,שערב הזוכה עמהם
אעפ,אף על פי,בבית אינו אוסר,שלא ערב המוריש
אעפ,אף על פי,אחר שבחצר אוסר,שערב היורש כיון
מבעי,מבעוד יום,ערב המוריש ואם,מת וירשו אחד
אעפ,אף על פי,החצר שהיה גוסס,שאינו יכול לחיות
ואעפ,ואף על פי,לא ערבו בו,שערבו בני חצר
כא,כי אם,ולהוציא מזה לזה,שתי אמות בזה
יט,י טפחים,ויהיה קצתו בתוך,הנמוכים לארץ ואז
והה,והוא הדין,רצו מערבין יחד,לארבה שבין בית
וממ,ומכל מקום,לעלות בו הגה,בעינן שיהא רחבו
כז,כל זמן,מלא תבן וקש,שלא בטלו ואם
סב,סעיף ב',"וע""ל סי' שנ""ח",הגה יש אומרים
גט,ג טפחים,וכשכתלי קטנה מפלגים,מכתלי ארך הגדולה
דאלכ,דאם לא כן,מכתלי ארך הגדולה,היתה קטנה נתרת
אעפ,אף על פי,"ד""ט או יותר",שגבוהים עשרה מן
אאכ,אלא אם כן,ממלאים ממנו בשבת,עשו מחצה עשרה
אעפ,אף על פי,שני כתלי חצרות,שהיא מפלגת מכתל
ויא,ויש אומרים,לשביל רק בחלונות,דאם אינן מפלגים
לרה,לרשות הרבים,זו לזו ופתוחות,וערבה כל אחת
ואצ,ואינו צריך,לו כבית שער,לתן פת והאמצעי
ואצ,ואין צריך,או קנויה לכם,לקנות בקנין סודר
בקס,בקנין סודר,ואין צריך לקנות,ויכול לבטל אף
ויא,ויש אומרים,מבטלת לך ולך,שדי שיאמר רשותי
אחכ,אחר כך,המבטל רשותו והוציא,מביתו לחצר בשוגג
לכא,לכל אחד,מבני הפנימית וגם,מבני החיצונה ויהיה
זעז,זה על זה,בשני בתים ואוסרים,"אז העכו""ם אוסר"
ואצ,ואין צריך,דרך חלון שביניהם,"לשכר מהעכו""ם השוכר"
אעפ,אף על פי,משכירו ולקיטו שוכרים,שהוא מוחה ושכירו
דהול,דהוה ליה,בו שום דבר,כשכירו ולקיטו ומשכיר
אעפ,אף על פי,משכירו ולקיטו לזמן,שסלקו תוך הזמן
בכהג,בכהאי גונא,הדין שני הדרים,בבית אחד צריך
והה,והוא הדין,ישכרו מהשוכר הגה,איש אחר שיש
עי,על ידי,החצרות למבוי והתירוהו,שתוף שגובין פת
ועל,ועין לעיל,אותו באויר המבוי,"סי' שס""ו ישראלים"
אעפ,אף על פי,או הם לה,שהם רבים שבני
ביוט,ביום טוב,חצרות ושתופי מבואות,שחל להיות בערב
בעש,בערב שבת,טוב שחל להיות,ואם שכח ולא
ביהש,בין השמשות,אם היה קים,אם לאו מתר
דא,ד' אמות,טפחים הגה ואלו,מודדין לו מרוחות
ויא,ויש אומרים,מרוחות והוא באמצען,דמתר להלך ארבע
ועל,ועין לעיל,יכולים לילך הגה,"סוף סימן ש""ה"
ביוט,ביום טוב,אפלו נתנה לו,הרי הוא כרגלי
אעפ,אף על פי,ממנו ביום טוב,שדרכו לשאלו ממנו
ביוט,ביום טוב,שזמן אצלו אורחים,לא יוליכו בידם
ואחכ,ואחר כך,העירות עיר שהקפה,ישבה מודדין לה
דא,ד' אמות,מתרחק מכנגדו למטה,אז רואים אם
דא,ד' אמות,מודדו בחבל של,והוא שלא יהא
אעפ,אף על פי,חוץ לתחומו לדעת,שהוא בתוך אחד
יוט,יום טוב,כבתחלה אם הוא,ואם הוא שבת
לדא,לד' אמות,ואסור לטלטלם חוץ,ואם הוציאם במזיד
וכיוב,וכיוצא בזה,חכמה הבאה לילד,יש לה אלפים
אעפ,אף על פי,וקבע שביתתו שם,שחזר לעיר ולן
וממ,ומכל מקום,"שצ""ח סעיף ב'",אם כלתה המדה
אעפ,אף על פי,לעיר לצפון ולדרום,שאין לו רחב
ככ,כל כך,שאין לו רחב,נגד המקום שקנה
עי,על ידי,בערוב ואם שלחו,חרש שוטה וקטן
אעפ,אף על פי,ויקנה בו שביתה,שלא הגיע ולא
אצ,אינו צריך,שביתה ברחוק מקום,לומר שביתתי במקום
אעפ,אף על פי,לשבת ויום טוב,שהוא ערוב אחד
יוט,יום טוב,אם היה ליל,ולמחר מוליכו לאותו
מיוט,מיום טוב,לעשות שום הכנה,לשבת או משבת
וכש,וכל שכן,טוב אפלו בדבור,שאינו יכול לערב
שאצ,שאין צריך,שערב בה בראשון,לומר כלום שכבר
מבעי,מבעוד יום,שיהיה בסעדה הראויה,וזה הואיל ואינו
רח,ראש חדש,,מתר בעשית מלאכה
אצ,אינו צריך,קבלת תענית בעלמא,התרה ואם קבלו
רח,ראש חדש,מצוה להרבות בסעדת,
בעש,בערב שבת,בהם תחנון וכן,אחר חצות יש
על,עיין לעיל,שזוכר שאינו חוזר,"סימן רצ""ד סעיף"
ויא,ויש אומרים,אין מברך עליו,שאף הצבור אין
ויא,ויש אומרים,ישראל וסביבותיה הגה,דגם יחיד מברך
וממ,ומכל מקום,נוהגין במדינות אלו,יזהר אדם לקרות
סת,ספר תורה,ביום צרה ומחזיר,למקומו ועומדים להתפלל
ויא,ויש אומרים,עניה סערה הגה,השמים כסאי וכן
רח,ראש חדש,אומרים רק הפטרת,וכן נוהגין אבל
ברח,בראש חדש,אם היה חתנה,או בשאר שבתות
במוש,במוצאי שבת,על הירח אלא,כשהוא מבשם ובגדיו
אחכ,אחר כך,אבל אם הוא,אין ממתינין עד
יוט,יום טוב,שבת שחל בו,ותולה עיניו ומישר
גדוא,"גדו"" א","בגה ""ז מרחשון","כסלו א""ב ג""ד"
פא,פעם אחת,שהיו קורין השירה,לששת ימי השבוע
נל,נראה לי,שצריך להפסיק וכן,עקר
כז,כל זמן,בלא ברכה יברך,שלא סים בדיקתו
מבב,מבני ביתו,הבית רוצה יעמיד,אצלו בשעה שהוא
בעהב,בעל הבית,סמך ברכה שברך,הגה ונוהגים להניח
גט,ג' טפחים,אפלו אינו גבוה,כדי חפישת הכלב
אעפכ,אף על פי כן,שם עוד חמץ,צריך לבדק בליל
אעפ,אף על פי,לקים מצות בעור,"שהעכו""ם יכנס לבית"
ויא,ויש אומרים,יכנס לבית בפסח,שאינו צריך כשנכנס
ויא,ויש אומרים,הוא עושה הגה,דצריך להחזיר לו
ויא,ויש אומרים,ואלו אחרים הם,דהני מלי בקשורים
בכמ,בכל מקום,בביתו בין שהוא,ברשותו חיב לבערו
ויא,ויש אומרים,"ביד עכו""ם אחר",שאפלו אינו עליו
יוט,יום טוב,אם הוא קדם,צריך לעשות מחצה
אעפ,אף על פי,"או אצל העכו""ם",שקבל עליו הנפקד
אעפ,אף על פי,"""ה וכיוצא בו",שמתר לקימו אסור
עמ,על מה,חמץ ויש להם,שיסמכו ואם יש
והה,והוא הדין,או לטוחן בטיט,לבצק שבכלי נסרים
ויא,ויש אומרים,עד שליש היום,עד ב' שעות
וכיוב,וכיוצא בזה,לשבת זה דיסא,ואין עושין בו
ואא,ואי אפשר,והמאכל דבוק בקדרה,לקנחו יש להדיחו
עמ,על מנת,"יכול לתנו לעכו""ם",שלא לצאת בו
לרה,לרשות הרבים,שלא לצאת בו,דרך הערמה ודבר
הז,הרי זה,לגגו של ישראל,דוחפו בקנה ואם
כש,כלי שני,הגה ומיהו בחמום,אין לחוש ויש
אעפ,אף על פי,פת שנפל ליין,שנטלו משם אסור
ביוט,ביום טוב,אסור בפסח אבל,האחרון יש להקל
ויא,ויש אומרים,באלף לא בטיל,דחמץ שוה לשאר
אעפ,אף על פי,אחר הפסח אסור,שבטל אסור להאכיל
אחכ,אחר כך,פסח ואני אטל,ישראל שהיה לו
דהול,דהוה ליה,אסור לקבל בשכרו,משתכר באסורי הנאה
אעפ,אף על פי,זה וקנה ואכל,שיודע שיקנה חמץ
אאכ,אלא אם כן,מתירים גם בזה,הקדים דינר או
אי,אינו יהודי,אפלו במעותיו של,אסור להשכיר כלי
עי,על ידי,כלים שמשתמשים בהם,האור כגון שפודים
כיוב,כיוצא בזה,ראשון וכן כל,ויעביר האבן על
אחכ,אחר כך,דחיישינן לגומות ולהגעילו,הדף שעורכים עליו
עי,על ידי,כל השנה אפלו,הגעלה וכן עקר
עי,על ידי,שלא להשתמש בנפה,הגעלה ואין לשנות
עי,על ידי,נוהגין בהן התר,כבוס וצריך להתיר
עי,על ידי,בלא הגעלה אבל,הגעלה אפלו בית
ככ,כל כך,לראות שאין בו,שלא יהא ששים
עג,על גבי,מהרחים אסור להניחם,בהמה שאין אכף
יח,ידי חובתו,אין אדם יוצא,במצה גזולה במה
אעפ,אף על פי,זה מתר בדיעבד,שאין מודדין קמח
ביוט,ביום טוב,אומרים דמתר לו,ללוש פחות מכשעור
בעש,בערב שבת,להיות בשבת לשין,אחר שש שעות
ואחכ,ואחר כך,גרירה והמחמיר יגררן,ידיחן וביום טוב
עי,על ידי,ולא אופין אותה,אינו יהודי ולא
אי,אינו יהודי,אותה על ידי,ולא על ידי
עג,על גבי,אדם חטים ויתן,מכתו מפני שהן
אעפ,אף על פי,הנותר מן הבהמה,שאין רואה עליו
אא,אי אפשר,הקמח שבשק ואם,לעשות כן ירקד
אעפ,אף על פי,שנפלו עליו מים,שלא נתבקע אסור
וביוט,וביום טוב,אפלו להשהותו אסור,האחרון אוכלין פרות
עי,על ידי,עליה ולהתיר האחרות,קליפה קצת ואם
עי,על ידי,זו בזו כי,הפוך השפוד מתפשט
עי,על ידי,מי שאוסר אפלו,אינו יהודי ויש
אי,אינו יהודי,אפלו על ידי,ויש מי שמתיר
ליוט,ליום טוב,מתקן הוא כליו,וכן מי שכותב
ואעפכ,ואף על פי כן,מקום שהלך לשם,לא יתראה בפניהם
אכ,אם כן,רבו מבהק אלא,יתן לו רבו
ונל,ונראה לי,יצא בלא הסבה,אם לא שתה
בלאה,בלאו הכי,של ברכת המזון,אין לוקחים אותו
כא,כי אם,מברכין על הגפן,אחר כוס רביעי
ואחכ,ואחר כך,יאכל המוציא תחלה,של אכילת מצה
ואחכ,ואחר כך,נכפה בעת שטותו,נתרפא חיב לאכל
ונל,ונראה לי,ביצים זכר לאבלות,הטעם משום שליל
תב,תשעה באב,הטעם משום שליל,נקבע בליל פסח
לש,ליל שמורים,כדי לזכר שהוא,ובזכות אמונה זו
ואחכ,ואחר כך,אכילת מצה ואוכל,אוכל שאר ירקות
בקש,בקריאת שמע,אלא כדרך שאמרו,באמצע הפרק שואל
אצ,אינו צריך,קדם שהגיע הזמן,להפסיק אלא גומר
יוט,יום טוב,קדיש תתקבל וכשחל,האחרון של פסח
ובאי,ובארץ ישראל,"ליל י""ח בניסן","עד תחלת י""ז"
יוט,יום טוב,סוף פסקא בליל,האחרון מקדשין על
ואא,ואין אומרין,מקדשין על היין,זמן הגה ואומרים
ואא,ואין אומרים,בו קצת שמחה,בו תחנון ואין
ואא,ואין אומרים,חג השבועות הגה,תחנון מתחלת ראש
רח,ראש חדש,אומרים תחנון מתחלת,סיון עד ח'
עי,על ידי,טוב מתר לעשותו,שנוי קצירה וטחינה
בעח,בעלי חיים,וכל מקצה שאינו,כגון אוצר של
ואצ,ואין צריך,מכאן אני נוטל,שירשם ומתר להכין
ביוט,ביום טוב,ספק מוכן מתר,שני משום דהוי
סס,ספק ספקא,שני משום דהוי,אם סכר אמת
שצל,שצריך לומר,ועוף שמחסרים צידה,הבא מצודה ונצודנו
ואצ,ואין צריך,אני נוטל למחר,לנענעם אבל באומר
מעיוט,מערב יום טוב,טוב יבדק סכינו,ולא ביום טוב
ביוט,ביום טוב,יום טוב ולא,שמא ישחיזנו מיהו
ביוט,ביום טוב,הדחק יכול לבדקו,יכול להוליך סכין
ואעפ,ואף על פי,להוליכו על כתפו,שהיה אפשר להוליכם
ביוט,ביום טוב,לתחום אם באו,אין שוחטין אותן
ויא,ויש אומרים,ומביאו עמו הגה,דאין להפשיטה כלל
מעלע,מעת לעת,ולכן צריך שהיה,ובדיקה אחר שחיטה
ביוט,ביום טוב,שחיטה מתר לשחט,ולא חיישינן שמא
אעג,אף על גב,שמא ימצא טרפה,דאתיליד ביה רעותא
