Quoting Book,Quoting Ref,Quoted Book,Quoted Ref,Snippet
Alshich on Torah,"Alshich on Torah, Exodus 31:13:4",Shabbat,," א' של לילה ושתים של יום. וע""כ בקבלת שבת בערב יום ששי ארז""ל מסכת (שבת דף קי""ט) שהיו אומרים בואו ונקבל פני שבת מלכתא שהוא על בחינת הלילה הבאה ב"
Alshich on Torah,"Alshich on Torah, Exodus 31:16:1",Shabbat,,"ושמרו בני ישראל כו'. ארז""ל (שבת קי""ח) שאלו היו ישראל שומרים את השבת כתקנו לא היה אומה ולשון יכולה להם"
Alshich on Torah,"Alshich on Torah, Exodus 31:18:12",,, אין ספק כי התערבות עם רעים. והתחר במרעים מביא חטא וכן דוד הוא או' (תהלים י') אל תתחר במרעים אל תקנא כו'. כי מהתחברות אליהם יבא לקנא בעושי עו
Alshich on Torah,"Alshich on Torah, Exodus 31:18:18",Berakhot,,) שהוא כאב הרוצה להגזים על בניו שהכעיסו ואומר לעומדים לפניו הניחו
Alshich on Torah,"Alshich on Torah, Exodus 31:32:7",Berakhot,,") כאמור למעלה כדי שיאחז משה בו ית' ע""י תפלה ולמען יערב אל לבו להת"
Alshich on Torah,"Alshich on Torah, Exodus 31:32:8",Judges,,"ובמסורה הניחה שנים במקרא א' זה ופסוק (שופטים יז) הניחה אותי והמישני על העמודים אשר הבית נכון עליהם והוא ע""ד אומר"
Alshich on Torah,"Alshich on Torah, Exodus 32:20:1",Chullin,," וישרוף באש וכנגד יסוד העפר ויטחן עד אשר דק כעפר ומה גם במה שידענו (חולין דף פ""ח) כי טחינת זהב כשר לכסוי הדם שנקרא עפר שנאמר ועפרות זהב לו וכנגד "
Alshich on Torah,"Alshich on Torah, Exodus 32:25:1",,," משה להקב""ה תגין אתה בעד האף וזהו קומה ה' באפך ואני בעד החמה וזהו (תהלים ק""ה) לולא משה בחירו כו' להשיב חמתו כו' הנה כי היו המקטרגים נסוגים אח"
Alshich on Torah,"Alshich on Torah, Exodus 32:25:4",Avodah Zarah,," עוד דבר אחר ומהראוי יאמר כי עשו להם כו' יתכן יאמר מאמרנו על מרז""ל (ע""ז דף ד') לא היו ישראל ראויים לאותו מעשה כו' שהוא כי אשר הגיעו לגדר היותם"
Alshich on Torah,"Alshich on Torah, Exodus 33:7:4",Psalms,," הנשים בעשות בעליהן את העגל בעטו בהם ונעלו דלתותיהן ואמרו כי זה מאה""כ (תהלים ק""ה) ויקנאו למשה במחנה. והנה יש מדרש אחר (סנהדרין דף ק""י) שאמר שחשדו"
Alshich on Torah,"Alshich on Torah, Exodus 33:12:7",Berakhot,," הדבר הזה שריבה גם את השנית ואמר כי מצאת חן כו' הענין הוא ע""ד משז""ל (ברכות ד' י) על ענין חזקיהו כי התול' בזכות עצמו תולין לו בזכות אחרי' והתול' "
Alshich on Torah,"Alshich on Torah, Exodus 33:21:1",Megillah,," כ""א ושמתיך בנקרת הצור שאשימך תוך המערה ואסתיר אותך שם וכן ארז""ל (מגילה דף יט) שאפי' חור כמלא חודה של מחט לא היה בה שאל""כ לא היה אפשר לו לעמוד"
Alshich on Torah,"Alshich on Torah, Exodus 34:4:2",Berakhot,,) שבתוכחת אתונו לא יכול לעמוד וההיקש בזה בכל שאר עשרת הדברים שנבר
Alshich on Torah,"Alshich on Torah, Exodus 34:9:1",,," עבדו וכו' דבר יום ביומו וכן פירשו ז""ל על פסוק רק אתכם וכו' ועל פסוק (ירמיה מו) ויסרתי' למשפט וכו' ואמר ונחלתנו כלו' כי מזה ימשך יתנחל הקב""ה לע"
Alshich on Torah,"Alshich on Torah, Exodus 34:10:1",Psalms,," עמו שמזכותו הם אוכלים ואמר נגד כל עמך וכו' לומר מה שכתבנו על פסוק (תהלים ק""ו) יודו לה' חסדו וכו' שהוא בל יעלה על לב איש שכאשר הנפלאות הם פלאי"
Alshich on Torah,"Alshich on Torah, Exodus 35:1:1",,,") ובאלה הדברים (רבה פ' א) א""ר חייא בר אבא מלך ומטרונה שיושבין ומשיחין"
Alshich on Torah,"Alshich on Torah, Exodus 35:1:1",,," הכ'. והנה בזהב וכסף לא נאמר כל הנמצא אתו ויהיה הענין כי הנה ארז""ל (סנהדרין דף צ""ב) על פ' וינצלו את מצרים שאין לך אדם מישראל שלא הוציא צ' חמורים עמ"
Alshich on Torah,"Alshich on Torah, Exodus 37:8:1",,," וילון שמחדש בו הוא ית' מעשה ששת ימי בראשית תכלת כנגד רקיע כמשז""ל (מנחות דף מג) תכלת דומה לרקיע ארגמן כנגד שחקים שנקראו כן על שם ששוחקים מן ע""ד"
Alshich on Torah,"Alshich on Torah, Exodus 37:8:1",,," מלאכי השרת כמשז""ל פ' אין דורשין (חגיגה דף יב) מצינו בפ' מי שאחזו (גיטין דף סח) שמלאכי השרת נקראו תועפות וכנגד מכון עורות אלים מאדמים כח דין הו"
Alshich on Torah,"Alshich on Torah, Exodus 37:8:1",Chagigah,," כנגד מעון היא יריעות עזים ששם עוז מלאכי השרת כמשז""ל פ' אין דורשין (חגיגה דף יב) מצינו בפ' מי שאחזו (גיטין דף סח) שמלאכי השרת נקראו תועפות וכנגד"
Alshich on Torah,"Alshich on Torah, Exodus 40:17:1",,," נס עמדו יחדיו עד שויתן את בריחיו להקשרם והחזיק אותם ומה גם לרז""ל (שבת דף צח) שהבריח התיכון על דרך נס היה מתקפל ונכנס בשלש רוחות דרום ומערב ו"
Alshich on Torah,"Alshich on Torah, Exodus 40:34:1",Yoma,," שכינה על כל ישראל ע""כ וכבוד ה' מלא את המשכן. ואפשר כי זה כיוונו רז""ל (יומא דף ד) במאמרם וז""ל כתוב א' או' ולא יכול משה לבא אל אהל מועד וכתוב א' א"
Alshich on Torah,"Alshich on Torah, Leviticus 1:2:11",,, על נפש הרוחניות. והוא אשר הנביא דבר בשם ישראל לפניו ית'. באומרו (מיכה ה') במה אקדם ה' אכף וכו'. והוא כי למעלה מדבר הוא ית' עם עמו ואו' עמ
Alshich on Torah,"Alshich on Torah, Leviticus 1:2:13",,, מי שבסתר ימנע מעשות מה שלא יעשה במקום שיש אנשים. והוא מאמר הכתוב (תהלים ק') אשכילה בדרך תמים מתי תבא אלי. הדרך ההיא של תמימות. ומה שאשכיל. 
Alshich on Torah,"Alshich on Torah, Leviticus 1:2:15",,," לכאורה יראה טעם מתקבל בצד מה. ויתכן שאל זה הביט המלך דוד באומרו (תהלים נ""ח) כי לא תחפוץ זבח אתנה וכו' זבחי אלהים וכו'. והוא כי אחרי אומר ה'"
Alshich on Torah,"Alshich on Torah, Leviticus 1:2:15",Jeremiah,, קרבן ככל הראוי. לא היה חפץ היא ית' יותר מזה. וימחל לו הש' כענין (ירמי' ו') עולותיכם ספו על זבחיכם וזהו כי לא תחפוץ שני הדברים יחד. זבח. וש
Alshich on Torah,"Alshich on Torah, Leviticus 4:1:6",,,) כי שפתי כהן ישמרו דעת ותורה יבקשו מפיהו. שהוא להוכיח במישור. לא
Alshich on Torah,"Alshich on Torah, Leviticus 4:1:7",Horayot,," ישגו. אלא טעם אחר יש להם. והוא כי הלא ואשמו הקהל הנזכר. והוא מחז""ל (הוריות ב) כי אין הסנהדרין מביאין פר אא""כ עשו ישראל מעשה ע""פ הוראת טעות הב"
Alshich on Torah,"Alshich on Torah, Leviticus 5:17:2",Keritot,," חלב ויביא חטאת. והלא כמו זר נחשב. והנה על זה אמר רבי יוסי הגלילי (כריתות כ""ו). הרי הכתוב ענש על מי שלא ידע. על אחת כמה וכמה על מי שידע שיענש."
Alshich on Torah,"Alshich on Torah, Leviticus 6:1:1",,,) שהוא לשון זירוז מיד ולדורות. ושהוא כי ביותר צריך להזהיר בכל מקו
Alshich on Torah,"Alshich on Torah, Leviticus 6:17:3",,,") זדונות נעשים לו כזכיות. כי בכל זדון בשובו עושה מ""ע שהוא ושבת עד"
Alshich on Torah,"Alshich on Torah, Leviticus 7:11:2",,,") שנא' וירוממוהו בקהל עם. ע""כ רמז י' כנגד אחד מהן. והג' מהם שהם ב"
Alshich on Torah,"Alshich on Torah, Leviticus 9:1:1",Megillah,," לשית לב אל מלת ויהי שהיא הוראת צער ביום שנטל עשר עטרות. והנה ארז""ל (במגילה יו""ד) שהוא על מיתת שני בני אהרן. וקשה יקדים הוי בתחלת עבודת היום טר"
Alshich on Torah,"Alshich on Torah, Leviticus 9:1:2",Sotah,,) שהיו ישראל אומרים לו לריק יגענו. שאין שכינה ואש מן השמים באה בש
Alshich on Torah,"Alshich on Torah, Leviticus 9:1:25",,," מנצר מטעיו ית' העליונות. אשר האציל ונטע כנודע מחכמי האמת על פסוק (תהלים ק""ג) ישבעו עצי ה' וכו' וגם חומרו מוכן ליתקן. אחר שמראשיתו כשצבר עפרו"
Alshich on Torah,"Alshich on Torah, Leviticus 9:1:34",Shabbat,," כ""א משה לבדו. אך ישראל היו שומעים ושוכחים מיד כמ""ש ז""ל. או לאומרים (שבת פ""ח) שפרחה נשמתם ולא נשאר בידם דבר. וזהו קבל תורה. והוא כי גם שהוא י"
Alshich on Torah,"Alshich on Torah, Leviticus 9:23:2",Psalms,," מעין עולם התנועה הוא עולם הגלגלים. והרוח מעין עולם המלאכים כדכת' (תהלים ק""ג) עושה מלאכיו רוחות. והנשמה מעין עולם העליון. ואין ספק כי האלהים "
Alshich on Torah,"Alshich on Torah, Leviticus 9:23:5",Bava Kamma,,") באומרם תלמוד גדול שמביא לידי מעשה הנה כ""א לא הי' מביא לידי מעשה"
Alshich on Torah,"Alshich on Torah, Leviticus 9:23:14",Leviticus,," הרבים בכל מצוה ומצוה אשר יעשה. כי גדול זכות הרבים כמאמרנו על פסוק (ויקרא כ""ג) ועבדתם את ה' אלהיכם וכו'. שהוקשה לנו בו החילו בלשון רבים וצאתו "
Alshich on Torah,"Alshich on Torah, Leviticus 9:23:16",,," יקרא עבודה רק שימוש. כענין גדולה שימוש' יותר מלימודה. ולמדו הדבר (ברכות ז') מפסוק אשר יצק מים ע""י אליהו. (ב) כי העובד את אדוניו מהסוגים הרא"
Alshich on Torah,"Alshich on Torah, Leviticus 9:23:20",Rosh Hashanah,," לאדם לעשות המצו'. כדי לקבל טובה או שכר בלבד כ""א בצדקה בלבד. אמרו (ר""ה ד') שמותר לומר כדי שיחי' בני וכיוצא. באופן כי העוסק בתורה ועבודה וג"
Alshich on Torah,"Alshich on Torah, Leviticus 9:23:22",Berakhot,," החסידות. והענין הוא אשר ביארנו בספר ביאור משלי על מאמר ריב""ז לתלמידיו (ברכות כ""ח) באומרם אליו שיברכם. וענה ואמר יהי רצון שיהא מורא שמים עליכם כמו"
Alshich on Torah,"Alshich on Torah, Leviticus 9:23:26",,,וזה כתבנו שם. שכיון שלמה בחכמתו באמור (משלי ב') אל תהי חכם בעיניך ירא את ה' כו'. לומר אל תהי חכם בעיניך לומר כי
Alshich on Torah,"Alshich on Torah, Leviticus 9:23:28",,," ע""י השמים. יתגלגלו רוגז וירע להם כאשר בזמן החורבן כמאמרם ז""ל (מדרש איכה א') על הן אראלים צעקו חוצה מלאכי שלום כו'. נמצא כי לא יבצר מהם מורא"
Alshich on Torah,"Alshich on Torah, Leviticus 10:1:1",,," ימותו זקנים הללו ואנו ננהוג שררה. ויש אמרו על שלא נשאו נשים שנא' (תהלים ע""ט) בחוריו אכלה אש ובתולותיו לא הוללו. ויש אמרו על קדושת שמו של הקב"
Alshich on Torah,"Alshich on Torah, Leviticus 10:1:4",Zevachim,,). כיון שראו שקרבו כל הקורבנות ונעשו כל המעשים ולא ירדה שכינה ליש
Alshich on Torah,"Alshich on Torah, Leviticus 10:9:2",,,"אמנם הנה יש מרז""ל (זבחים ק""ב) אומרים כי נדב ואביהו שתויי יין נכנסו ונענשו. נמצא כי מה שאין בנ"
Alshich on Torah,"Alshich on Torah, Leviticus 12:1:1",,," לנגע צרעת. כי אומרו והי' בעור בשרו הוא מיותר. (יב) כי כלל אמרו רז""ל (מגילה דף י') כי כל לשון והיה הוא שמחה ופה היא תוגה. (יג) אומרו לנגע צרעת כי "
Alshich on Torah,"Alshich on Torah, Leviticus 12:1:1",Niddah,," זכר. (ג) למה תלה הדבר בנידות בא' כימי לידת דותה. כי אפילו למז""ל (נידה כ""ז) שהוא ללמד שאפילו נפתח הקבר בלא דם טמאה לידה. קשה קצת כי מהיכא ת"
Alshich on Torah,"Alshich on Torah, Leviticus 12:1:2",,," הוא הנצב לריב עומד ומקטרג לפני ב""ד של מעלה כמאמר ספר הזוהר על פסוק (ישעיה ו') גם ה' העביר חטאתך כו' שהוא כי הוא יתברך העביר כח הטומאה אשר נעש"
Alshich on Torah,"Alshich on Torah, Leviticus 12:1:3",Megillah,," שאלו היה בבלתי כשר לא היה רושם עונו ניכר בעור בשרו. וגם לכלל רז""ל (מגילה י') האומרי' שכל מקום שנאמר והיה הוא שמחה. ירמוז באומרו והיה כי שמחה"
Alshich on Torah,"Alshich on Torah, Leviticus 12:1:6",,,) הנני מעלה ארוכה לך וממכותיך ארפאך. זולת מה שכתבנו בו למעלה כי א
Alshich on Torah,"Alshich on Torah, Leviticus 12:1:11",Shevuot,,"והנה בביאור מראות נגעים אלו. אמרו רז""ל (שבועות דף ה') שאת כצמר לבן בהרת עזה כשלג וכו'. וראוי לשים לב. למה קרא הכתוב ש"
Alshich on Torah,"Alshich on Torah, Leviticus 12:1:12",Leviticus,,"אך הנה קבלו רז""ל (ויקרא י""ו). כי הצרעת בא על לשון הרע. הנה הוא נמשך מאחד משלשה דברים אחד מגא"
Alshich on Torah,"Alshich on Torah, Leviticus 12:1:13",,,") זולת מ""ש למעלה. לומר כי מבשרו יתברך בשורה טובה. כי אין כח הטומא"
Alshich on Torah,"Alshich on Torah, Leviticus 12:1:33",Kiddushin,," מאלו כי הלא קדוש הוא לאלהיו. והוא כי יש לנו בזה כענין המזון שארז""ל (קדושין דף פ""ב) מעולם לא ראיתי ארי סבל וצבי חיינו ושועל חנווני ומתפרנסים שלא בצ"
Alshich on Torah,"Alshich on Torah, Leviticus 12:1:34",Exodus,," שבועת שוא גזל ולה""ר. יאמר שאת או ספחת או בהרת. שאת על שבועה כד""א (שמות כ') לא תשא. ספחת על הגזל שמחבר ומספח ממון חבירו עם שלו. או בהרת על "
Alshich on Torah,"Alshich on Torah, Leviticus 13:1:1",,," דמים המתייחס אל חמימות הלב מחמת שנאה או איבה או שעשקו בדם נפש. כד""א (דברים י""ח) כי יחם לבבו וארב לו וקם עליו וכו'. על כן על פי מדתו באו נגעיו ע"
Alshich on Torah,"Alshich on Torah, Leviticus 14:2:7",Kiddushin,,או כיון מעין זה מאמר הגמרא (קידושין מ') לעולם יראה האדם כאלו כל העולם חציו חייב וחציו זכאי. עשה מצוה אח
Alshich on Torah,"Alshich on Torah, Leviticus 14:2:11",Bava Batra,,") משה כתב ספרו ופרשת בלעם וספר איוב אך מי יתן ולא יאחר מליכתב כ""א"
Alshich on Torah,"Alshich on Torah, Leviticus 14:2:12",Sotah,,) מאומרו באר היטב נמצא היו דברי התורה חצובים בצור הם אבנים שהקימו
Alshich on Torah,"Alshich on Torah, Leviticus 14:33:9",Genesis,," לכם עמה ותכפר אדמתכם בעדכם. וש""ת נא ישראל הלא כתבת בתורה על מצרים (בראשית מ""ו) ויאחזו. והיא אדמה טמאה לז""א ונתתי וכו' בבית ארץ אחוזתכם. כלומר "
Alshich on Torah,"Alshich on Torah, Leviticus 14:37:2",,,) אל קירות לבו. והנה כמראה אשר הראה בפני חבירו כן עושים כתמים בנפ
Alshich on Torah,"Alshich on Torah, Leviticus 14:37:3",,," הבית ולא בבת א'. רק אל פתח הבית כי עשר מסעות נסעה שכינה וכו' כנודע (ר""ה כ""ב) וז""א ז""ל המפתן. ואח""כ והסגיר את הבית שבעת ימים הם שבעים שנה לחר"
Alshich on Torah,"Alshich on Torah, Leviticus 14:37:3",Genesis,," שנכנס בו בטרם יבא הכהן גדול האמיתי הוא הקב""ה לראות ולפקוד. כד""א (בראשית י""ח) לראות את העיר ואת המגדל. ואם לא יפנו יהיה סיבה שיטמא כל אשר בבי"
Alshich on Torah,"Alshich on Torah, Leviticus 16:1:14",Chullin,,) בקומתם נבראו וכו'. ובכן בצאתם לאויר העולם הראש שיצא ראשונה יצא 
Alshich on Torah,"Alshich on Torah, Leviticus 16:1:20",Gittin,," וע""כ נקראת כפרה כד""א (בראשית ל""ב) אכפרה פניו במנחה. ובלשון הגמ' (גיטין כ""ו) בעי לכפורי ידיה בההוא גברא. והוא ממש ענין הפרה שמקנחת הטומא' שד"
Alshich on Torah,"Alshich on Torah, Leviticus 16:1:22",,,") ומאי איכפת ליה לקב""ה מה שנעדר הרוחנית מאבני הלוחות. אך היה הקוש"
Alshich on Torah,"Alshich on Torah, Leviticus 16:1:32",,," הדברים האלו בערך שפירשה ולא כנראה לכאורה. ואומרו דין וחשבון הוא משז""ל (נדה ל') שמלמדין אותו כל התורה ושואלין לו דין העבירות ועונשם. ואח""כ מזכי"
Alshich on Torah,"Alshich on Torah, Leviticus 16:3:12",Berakhot,," בעיקר המזון הוא הלחם אשר הוא אוכל יעשו בו עשר מצות. כאשר מנאום רז""ל (ברכות נ""ח) מעת החרישה והזריעה עד האכל. וגם לפרוש האדם עשר אצבעותיו על הפת "
Alshich on Torah,"Alshich on Torah, Leviticus 16:29:2",Yoma,," לב הקשה לשוב. טוב להתענות להכין דרך התשובה. והוא במה שידענו מרז""ל (יומא פ""ז) כי שלשה חלוקי כפרה הם ותשובה עם כל אחד מהם. עבר אדם על מ""ע ועשה"
Alshich on Torah,"Alshich on Torah, Leviticus 16:29:2",,," שחפץ ה' הוא לענות אדם נפשו וחפץ צומות הוא. ולא כן הוא. כמאמר הנביא (ישעיה נ""ו) הלא זה צום אבחרהו פתח חרצובות רשע. כי מי יתן והיה האדם פותח חרצ"
Alshich on Torah,"Alshich on Torah, Leviticus 16:29:11",Beitzah,," יתברך חוזר ומכפר. מה שאין כך דרך בשר ודם. כאשר קרה לשמואל עם הזקן (ביצה י""ו) על ששני פעמים שכח מלערב לא מחל לו בפעם השנית. אך הוא יתברך אומר"
Alshich on Torah,"Alshich on Torah, Leviticus 18:1:2",Chagigah,," שיעלו על עצמם. כאלו הוא ית' בעצמו מדבר בם. (ב) כי ידענו מאמר רז""ל (חגיגה י""ד) כי הבל פיו היוצא בדברו נעשה מלאך. כמאמר רבי יוחנן. וההבל ההוא פ"
Alshich on Torah,"Alshich on Torah, Leviticus 18:1:2",Isaiah,," כמאמר רבי יוחנן. וההבל ההוא פועל ישועות בקרב הארץ ומהוה הויות כד""א (ישעיה נ""ח) כן יהיה דברי אשר יצא מפי לא ישוב אלי ריקם כי אם עשה את אשר חפצת"
Alshich on Torah,"Alshich on Torah, Leviticus 19:1:1",,,"""ה) אם יאמרו לך חלל שבת יכול תשמע להם ת""ל ואת שבתותי תשמורו שאתה "
Alshich on Torah,"Alshich on Torah, Leviticus 19:1:1",Sotah,," יוכנו להשרות עליהם בגוף ונפש שכינה ונבואה הצריכה זיכוך החומר. כמז""ל (סוטה דף מ""ח) משחרב מקדש ראשון בטלה זכוכית לבנה. שכונתם שהיה להם חומר זך להיו"
Alshich on Torah,"Alshich on Torah, Leviticus 19:3:1",,," הבא. ולכן אל תהיו כפויי טובה כי אם איש אמו ואביו תיראו. והנה ארז""ל (קדושין דף ל') שהזכיר איש שאין רשות אחרים עליו כאשה ואע""פ כן נכלל באומרו לשון "
Alshich on Torah,"Alshich on Torah, Leviticus 19:9:1",Bava Batra,," ה' אלהיך. וז""א וחללת כו' אני ה' או יאמר ענין רבי שמואל בר נחמני (בבא בתרא פ' הספינה דך ס""ז) ג' נקראו על שמו של הקב""ה צדיקים ומשיח וירושלים צד"
Alshich on Torah,"Alshich on Torah, Leviticus 19:13:1",,,) אומרו בצדק וכו'. והביאו מעשה דהורקנוס כמפורש שם. ואמר עשה זאת א
Alshich on Torah,"Alshich on Torah, Leviticus 19:26:1",,,"לא תאכלו על הדם כו'. יאמר משז""ל (ביצה דף כ""ה) ערלה מקטע רגליהון דקצביי' שאדם ממתין שלש שנים לאכול פרי העץ וקצ"
Alshich on Torah,"Alshich on Torah, Leviticus 19:26:1",,," טורנוסרופוס הרשע מר""ע באמור אליו מה יום מיומים (סנהדרין פרק ד' מיתות (סנהדרין דף ס""ה)) שהביא לו ראיה מענייני השבת והלא תראה כי אם יעצרנו יתברך הגשם ו"
Alshich on Torah,"Alshich on Torah, Leviticus 19:33:2",,,) ואמר אתך וכן אמר בארצכם שמייחס הדבר אליהם הלא במה שידענו גר שנת
Alshich on Torah,"Alshich on Torah, Leviticus 19:35:1",Bava Batra,,"לא תעשו עול כו'. הנה פי' רש""י והוא מרז""ל (ב""ב פ""ט) כי אומרו במשפט חוזר אל משפט המדות שאומרו במדה כו' הוא פירוש אל "
Alshich on Torah,"Alshich on Torah, Leviticus 19:35:2",,,") מזונותיו של אדם קצובים לו מר""ה לר""ה והוא לפי מה שיעלה משפטו ודי"
Alshich on Torah,"Alshich on Torah, Leviticus 19:35:3",Shabbat,," ישקרו. ועל בלתי היותם משקרים הם מקיימים חותמי שהוא אמת כנודע מרז""ל (שבת נ""ד ע""ב) ובקיימם חותמי עבדי ה' יהיו באמת וע""כ ויהי להם למושיע. וזה יאמר "
Alshich on Torah,"Alshich on Torah, Leviticus 20:7:3",Sanhedrin,," לנו יתברך איזה דבר בייתור זה ע""ד הפשט נוסף על לימוד רז""ל (בת""כ ומס' סנהדרין דף כ""ה) שהוא לרבות לאחר מיתה. (ט) סמיכות אומרו ואיש אשר ינאף וכו' אל הק"
Alshich on Torah,"Alshich on Torah, Leviticus 20:8:2",Ketubot,," אינו אלא למה שאני ה' אלהיכם והוא כי ישראל הדר בח""ל דומה כו' (כדאיתא בכתובות ק""י). אך בארץ מתייחסת אלהותו ית' עליכם כי שם השכינה מחוספת ולא חלק ב"
Alshich on Torah,"Alshich on Torah, Leviticus 20:8:5",Psalms,," אצלי ככתוב אצלנו על פסוק ואל מי תדמיוני וכו'. ובפסוק כי מי בשחק (בתהלים כ""ט) וכו'. שהוא כי מי בשחק מקדושי עליונין יערוך לה'. שיאמר דרך משל ש"
Alshich on Torah,"Alshich on Torah, Leviticus 21:1:1",,," ימעט אחד מישראל בעיניו. כי צדיק יסוד עולם וכמאמרו יתברך ליחזקאל (ביחזקאל י""ג) ואתה כי הזהרת רשע כו'. כי גם על היחיד הקפיד וזה מאמרו יתברך אל "
Alshich on Torah,"Alshich on Torah, Leviticus 21:1:2",,," סיני לגמור מירוק וליבון הזוהמא עד תומה. ויהי כן. וכמאמרם ז""ל (מס' שבת פ' חבית) ישראל שעמדו על הר סיני פסקה זוהמתן. וע""כ היה להם חירות ממה"
Alshich on Torah,"Alshich on Torah, Leviticus 21:1:2",,," שניהם בנים. שבהם יהיו שניהם לבשר אחד כי ג' שותפין באדם וכו' (כדאיתא בקדושין פ""ק) נמצא כי גוף בשר הבן בין שניהם נעשה: "
Alshich on Torah,"Alshich on Torah, Leviticus 21:1:2",Job,," הכל קרוביו כעם ככהן מצד הנפש אשר חלק ממנה דבקה בגוף כמאמר הכתוב (איוב י""ד) נפשו עליו תאבל. עכ""ז לנפש שהוא בשביל בחינת הנפש שעליה היה ראוי "
Alshich on Torah,"Alshich on Torah, Leviticus 21:8:3",Sanhedrin,," מאלו היתה בת ישראל כי באש תשרף. ומה גם למ""ד כי אין מיתה זו לבועל (בסנהדרין פ""ט) ואם היה הענין לחלוק כבוד להם יותר היה ראוי להקל בעונשם. אלא ודא"
Alshich on Torah,"Alshich on Torah, Leviticus 21:8:8",,,"עוד יתכן דרך שני והוא מחלוקת אחרונים במאמר הידוע מרז""ל (שבת פ' המצניע ובנדרים) בגדרי תוארים המיוחדים לנבואה הלא המה חכם גבור עש"
Alshich on Torah,"Alshich on Torah, Leviticus 22:32:2",Sukkah,," כי מי לא ידע כן כי גם בכל מצוה הוא כך. ומה גם בזאת כמאמרם ז""ל (מס' סוכה נ""ב) על צופה רשע לצדיק כו' ועוד מה ענין אומר המוציא אתכם כו'. כי אדר"
Alshich on Torah,"Alshich on Torah, Leviticus 23:9:2",,," והנה: באומרו תספרו חמשים יום ואינם אלא מ""ט יראה מרז""ל (מנחות ס""ה וחגיגה י""ז) שאמרו חמשים יום נמשך אל אומר והקרבתם. ואפשר ליישב בשום לב כי מח"
Alshich on Torah,"Alshich on Torah, Leviticus 23:9:2",Menachot,," לה' שנה שנה והנה: באומרו תספרו חמשים יום ואינם אלא מ""ט יראה מרז""ל (מנחות ס""ה וחגיגה י""ז) שאמרו חמשים יום נמשך אל אומר והקרבתם. ואפשר ליישב בשום"
Alshich on Torah,"Alshich on Torah, Leviticus 23:9:2",Menachot,," חמשים יום לומר שלא תגמר הספירה עד תום המ""ט יום לגמרי וכמו שארז""ל (מנחות דף ס""ה) שממשיכין חמשים יום אל אומרו והקרבתם וכו'. אין נראה להם דוחק אומ"
Alshich on Torah,"Alshich on Torah, Leviticus 23:23:1",,," והתכת הכתובים בדרך אחרת. והוא ענין היוצא ממוצא דבר מאמרם ז""ל (במסכ' ר""ה דף ט""ז) וז""ל אמר ר' כרוספדאי א""ר יוחנן ג' ספרים נפתחים בר""ה א' של צדיקי"
Alshich on Torah,"Alshich on Torah, Leviticus 23:23:2",Kiddushin,," על דבר הכף של זכיות שכנגדה או ישארו תלוים עד יכריעו. כמ""ש בגמרא (קדושין דף מ') שהאדם והעולם נידון אחר רובו ולעולם יראה אדם עצמו כאלו חציו זכאי"
Alshich on Torah,"Alshich on Torah, Leviticus 23:27:6",Sukkah,,) על פסוק צופה רשע לצדיק כו' אין לך יום שאין יצרו מתגבר עליו ומבק
Alshich on Torah,"Alshich on Torah, Leviticus 23:28:1",Rosh Hashanah,," קושיית הנגדייות מי נתן צום עם שבות שהוא קושי גדול מקושיות רז""ל (במס' ר""ה דף י""ח) על פסוק צום הרביעי כו' שהקשו קרי ליה צום וקרי ליה שמחה. על כן ל"
Alshich on Torah,"Alshich on Torah, Leviticus 23:33:1",,," ושביתתו. גם באו' לכם אם ידרש דבר מה באומרו לכם מלבד דרשת רז""ל (מס' סוכה ד' ל') באומר משלכם. (יד) אומרו ושמחת' לפני ה' שבעת ימים על הד' מינים ש"
Alshich on Torah,"Alshich on Torah, Leviticus 23:33:7",,," כי הנה איש כזה מקיים העה""ז ונוחל העולם הבא כר' חנינא בן דוסא (במס' תענית דף כ""ד וחולין דף פ""ו) שבת קול היתה יוצאת עליו ואומרת כל העולם נזון בשבי"
Alshich on Torah,"Alshich on Torah, Leviticus 23:44:14",Menachot,," על השלחן ח' ימים ביום השבת השני היה חם כרגע שהושם שם. כמשז""ל (במס' מנחות דף צ""ו) על פסוק ביום הלקחו. והנה זאת ראיה גדולה כי שפע קדושת שלחן העליו"
Alshich on Torah,"Alshich on Torah, Leviticus 24:13:3",,,"או יאמר במשז""ל (סנהדרין פ""ד) כי בפסוק זה לא נאמר נפש בהמה כ""א ומכה בהמה. שהוא ללמד על מכה שא"
Alshich on Torah,"Alshich on Torah, Leviticus 25:8:2",Ketubot,," זכותה. מעין מאמר הכתוב על הלחם הגשמי לעתיד כי יהי פסת בר בארץ וארז""ל (כתובות ק""י) שתוציא הארץ גלוסקאות. והוא כי למה שרוח טומאה ועכירות המעורב בה "
Alshich on Torah,"Alshich on Torah, Leviticus 25:8:7",Sanhedrin,,"אמנם לבא אל הענין נזכיר' מאמר רז""ל בגמרא (סנהדרין דף צ""א) האומרים כי הגוף והנפש כאשר המות יפריד ביניהם כל אחד מתנצל לאמר."
Alshich on Torah,"Alshich on Torah, Leviticus 25:8:8",,," גבר כאיוב תם ויש' וירא אלהים וסר מרע ויבעט ויתלונן. עד אמרו ז""ל (ובב""ב פ""ק דף כ""ז) שכפר בתחיית המתים. והנה הן אלה קצות דרכי איש הרעים אשר"
