Index Title,Bader-Jewishspritualheroes-Vol2.
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.22","Both, Rabbi Ami and Rabbi Asi, were equally respected. Rabbi Ami is always mentioned first in the Babylonian Talmud, but in the Jerusalem Talmud Rabbi Asi is sometimes mentioned first. On one occasion we also find Rabbi Asi address Ami as Rabbi. This, however, is explained by the fact that Rabbi Ami was the older of the two. <sup>28)</sup><i class=""footnote""><span dir=""rtl"">28) גטין נ""ד ב׳.</span></i> Both of them were known as saintly men and even when they went in dangerous places where others suffered harm, they emerged unharmed. <sup>29)</sup><i class=""footnote""><span dir=""rtl"">29) ברכות ס""ב א׳.</span></i> Rabbi Asi died first, as is evident from the fact that he died in Tiberias, while Rabbi Ami spent the last days of his life in Caesarea. <sup>30)</sup><i class=""footnote""><span dir=""rtl"">30) ירושלמי פּסחים פּרק ד׳ הלכה ט׳.</span></i> After his death the political situation of the Jews deteriorated to such an extent that no one could be elected to head the academy."
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.23","Rabbi Ami was also the author of the well known statement which inspired the phantasy of many poets to the elaboration of a dramatic story. When the power of faith was being discussed, Rabbi Ami said: ""We can see the greatness of people who possess faith from the story of the weasel and the well."" He concluded with the following words: ""Even a person who believes this story is certain to be rewarded, how much greater will be the reward of one who believes in God."" <sup>31)</sup><i class=""footnote""><span dir=""rtl"">31) תענית ה׳ א׳.</span></i> It appears that the story of the weasel and the well was then very popular. It is also possible that it was written down in some Midrash and that Rashi, Tosephoth and the author of ""Aruch"" obtained it from that Midrash."
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.24","""A maiden,"" thus the story runs, ""once lost her way and being very thirsty she bent over a well to draw some water and fell into it. A young man who chanced to pass by heard her cries. At first he was fearful lest it was some evil spirit which wished to draw him into the well and he asked the maiden to swear by the name of God that she was human and not an evil spirit. When he drew her out of the well, his passions were aroused by her beauty, but she implored him not to sin, promising to marry him according to the laws of Israel. They then swore fidelity to each other and, as a weasel ran by, they called upon it and upon the well to witness their troth."
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.25","""The two young people then parted and the young man forgot his oath. He did not come to the maiden's father to claim her and he married another woman. His wife bore him two children one of which was killed by a weasel and the other was drowned in a well. His wife complained that the children must have lost their lives as a result of the sins of their father and he then remembered the oath which he swore to the maiden at the well. He thereupon divorced his wife and he found the maiden, to whom he swore fidelity, nearly out of her mind with expectation. He then fulfilled his vow and married her."" <sup>*)</sup><i class=""footnote"">*) This story was poetically rewritten in Hebrew by Moshe Laski under the name <span dir=""rtl"">„נאמני ארץ""</span> <span dir=""ltr"">(1840)</span>, by Eliyahu Mordechai Werbel under the name of <span dir=""rtl"">„חולדה ובור""</span> <span dir=""ltr"">(1852)</span>, and by Alexander Langbank under the name of <span dir=""rtl"">„העדים האלמים""</span>. In Yiddish it was dramatized by Abraham Goldfaden in the well known operetta ""Sulamith.""</i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.26","Regarding everyday conduct Rabbi Ami commanded that one should not take money into his mouth, nor place food beneath one's bed, nor hold bread under one's arm, nor allow a knife to stick in radishes or lemons. <sup>32)</sup><i class=""footnote""><span dir=""rtl"">32) ירושלמי תרומות פּרק ח׳ הלכה ג׳.</span></i> He also named omens by which one was to know on the new year whether he would survive the coming year and whether a trip, or some occupation that is undertaken, would be accomplished successfully. <sup>33)</sup><i class=""footnote""><span dir=""rtl"">33) הוריות י""ב א׳, כריתות ה׳ ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.27","One of the scholars once declared that there were three types of arrogant creatures in the world: the dog among the animals, the cock among the fowl and the Jews among the nations. Rabbi Ami then declared that the arrogance of these creatures was a virtue rather than a fault. This he held to be particularly true of the Jews who readily offer their lives for their faith. <sup>34)</sup><i class=""footnote""><span dir=""rtl"">34) שמות רבה פּרשה מ""ב פּיסקא ט׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.28","Other expressions of Rabbi Ami indicate that he did not maintain friendly relations with pagans—thus he said that one should not teach Torah to a pagan. <sup>35)</sup><i class=""footnote""><span dir=""rtl"">35) חגיגה י""ג א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.29","The Biblical verse ""Let us make man"" which other scholars found difficult to explain because of the implication that God was assisted in the creation of man, Rabbi Ami ingeniously explained by saying that God had consulted his own heart. <sup>36)</sup><i class=""footnote""><span dir=""rtl"">36) בראשית רבה פּרשה ח׳ פּיסקא ג׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.30","Rabbi Asi was once sent by the Nasi to appoint tax collectors in various cities. Many people at that time refused to accept this office because of the heavy responsibility which it involved. Rabbi Asi persuaded some of them to accept the office of tax collector by the promise of fame. He also established the rule that ""two brothers may not represent the same community."" <sup>37)</sup><i class=""footnote""><span dir=""rtl"">37) ירושלמי פּאה פּרק ח׳ הלכה ו׳, שקלים פּרק ה׳ הלכה ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.31","The opinions of Rabbi Ami and Rabbi Asi are often introduced in the Talmud by the words ""both said."" On other occasions, however, their opinions are quoted separately and at times they even differed. <sup>38)</sup><i class=""footnote""><span dir=""rtl"">38) יומא ע""ד ב׳, ע""ה א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.32","""Why are children taught the chapters on priesthood before Genesis,"" Rabbi Asi asked and he gave the following answer: ""God says that sacrifices are pure and children are pure; it is therefore fitting that children should begin their studies with a sacred subject."" <sup>39)</sup><i class=""footnote""><span dir=""rtl"">39) ויקרא רבה פּרשה ז׳ פּיסקא ג׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.33","It is also related that a weaver once came before Rabbi Jochanan and told that in his dream he had seen the sky fall and a disciple of Rabbi Jochanan supported it with his hand. Rabbi Jochanan asked the man whether he would recognize him and the weaver asked him to pass his students before him. This was done and the weaver pointed to Rabbi Asi as the man who had supported the sky. <sup>40)</sup><i class=""footnote""><span dir=""rtl"">40) קהלת רבה פּרשה ט׳ פּיסקא ה׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Ami and Rabbi Asi.34","When Rabbi Asi died, it was said that the gate of Tiberias collapsed. <sup>41)</sup><i class=""footnote""><span dir=""rtl"">41) ירושלמי עבודה זרה פּרק ג׳ הלכה א׳.</span></i> Another version told of cedar trees being uprooted on the day of his death. <sup>42)</sup><i class=""footnote""><span dir=""rtl"">42) מועד קטן כ""ה ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.1",A<small>T THAT TIME</small> C<small>HRISTIANITY BEGAN</small> to spread throughout Palestine as a result of the encouragement which it received from the Roman officials who were inclined to favor it more than they favored the Jewish teachings under the direct protection of the government. Those who steadfastly clung to the Jewish faith found themselves persecuted by their own brothers as well as by the government.
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.2","Rabbi Avahu of Caesarea lived during this period. He was known for his great beauty which was said to have resembled the beauty of the patriarch Jacob. (According to Jewish tradition Jacob was the handsomest man of his generation and his image was engraved on God's ""throne of honor."") In addition he was reputed to possess great physical strength, equal to the strength of Jacob who, upon his arrival in Haran, alone removed the stone from the mouth of the well; a feat which ordinarily required the combined efforts of all the shepherds. Thus it was related of Rabbi Avahu that when the roof of the bath house, where he found himself at the moment, caved in, he supported it with his hands until assistance came and thus saved the lives of 101 people that were within the building from certain death. <sup>1)</sup><i class=""footnote""><span dir=""rtl"">1) ברכות ס׳ א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.3","Rabbi Avahu was born in Caesarea and in that city he lived all his life and conducted an academy. He traded in women's adornments and was very wealthy. <sup>2)</sup><i class=""footnote""><span dir=""rtl"">2) ירושלמי בבא מציעא פּרק ד׳ הלכה ז׳.</span></i> Because of this he was respected by the Roman officials whom he often presented with gifts. He led the life of an aristocrat: his house was furnished with ivory chairs, and it was said that each Saturday night he had a fatted calf slaughtered and of this he ate only the kidneys. <sup>3)</sup><i class=""footnote""><span dir=""rtl"">3) שבת קי""ט א׳.</span></i> Rabbi Avahu was versed in the secular sciences and foreign languages and this contributed to his popularity in government circles. It was thus related that whenever he visited the governor, he was met with a special greeting which praised him in the following words: ""Behold the greatest among his people, the leader of his nation, the shining light. Blessed be his coming in peace."" <sup>4)</sup><i class=""footnote""><span dir=""rtl"">4) כתובות י""ז א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.4","But despite Rabbi Avahu's wealth and honor he was not proud and he shared his honors with other people. <sup>5)</sup><i class=""footnote""><span dir=""rtl"">5) חגיגה י""ד א׳.</span></i> He was often compelled to debate with Gentiles and he invariably emerged victorious. <sup>6)</sup><i class=""footnote""><span dir=""rtl"">6) סוכה מ""ח ב׳, סנהדרין ל""ט א׳.</span></i> During one of these debates he nearly lost his life when one, Jacob Minaa, gave him a poisonous liquid to drink; he was then saved by his colleagues, Rabbi Ami and Rabbi Asi. These debates forced Rabbi Avahu to study the Scriptures minutely until he became a great authority on the Bible. <sup>7)</sup><i class=""footnote""><span dir=""rtl"">7) עבודה זרה כ""ח א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.5","Rabbi Avahu began his studies with Rabbi Jochanan and from him he learned most of the Torah. In later life he remarked: ""Rabbi Jochanan opened a door for me and he allowed the light to shine upon me."" <sup>8)</sup><i class=""footnote""><span dir=""rtl"">8) ירושלמי פּסחים פּרק ב׳ הלכה ב׳.</span></i> Rabbi Jochanan also used to mention the name of Rabbi Avahu with affection and he called him ""my child."" <sup>9)</sup><i class=""footnote""><span dir=""rtl"">9) גטין מ""ד ב׳.</span></i> Rabbi Avahu also studied with Rabbi Elazar ben Pedath. He quoted his master in the Babylonian Talmud twenty times and in the Jerusalem Talmud there are about fifty such quotations in addition to those in the Midrashim. It appears that he also studied with Resh Lakish, but his relations with the latter were more those of friendship than the relations of a pupil with his teacher. Both often went to spread knowledge of the Torah in cities where that was needed. As they were once approaching such a city, Rabbi Avahu remarked: ""Why should we go into a city of wicked men where we shall certainly be humiliated?"" Resh Lakish then descended from the ass upon which he was riding and taking a handful of earth, he stuffed it into the mouth of Rabbi Avahu and said: ""God does not want that evil should be spoken of Jews."" <sup>10)</sup><i class=""footnote""><span dir=""rtl"">10) שיר השירים רבה פּרשה א׳ פּיסקא ל""ט.</span></i> Other statements quoted by Rabbi Avahu in the Talmud indicate that he also learned from other scholars."
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.6","After the death of Rabbi Jochanan, his followers wanted to choose Rabbi Avahu as head of the academy, but he refused this honor saying that Rabbi Aba of Acco was better fitted for the post. Rabbi Avahu therefore remained in Caesarea where he continued to head his own academy and he interceded for his people with the authorities whenever necessary. When other scholars were forbidden to visit the cities for educational purposes, Rabbi Avahu was exempted from this restriction. In these travels he even reached Alexandria."
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.7","The wife of Rabbi Aba of Acco once remarked to the wife of Rabbi Avahu that her husband was the equal of Rabbi Avahu in learning and that he showed respect to him merely because the latter was rich. The woman repeated this remark to her husband, but Rabbi Avahu said: ""It does not matter whether Rabbi Aba needs my learning or not, both he and I praise God."" <sup>11)</sup><i class=""footnote""><span dir=""rtl"">11) סוטה מ׳ א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.8","The following incident was also characteristic of the modesty of Rabbi Avahu: When the land was once affected by a drought, the people sought for someone whose prayer for rain should be acceptable in the eyes of God. Rabbi Avahu was then informed in a dream that a certain man named Pentakake was the right man to offer the prayer. The man was thereupon summoned and when he was asked what his trade was, he said that he was a white slave dealer. Rabbi Avahu was curious to know what good deeds such a man could have done that he should be worthy to have his prayers acceptable before God. The man told him that a woman once came to him and offered her body for a sum of money with which to redeem her husband from prison where he was incarcerated through no fault of his. The man pitied the woman and gave her all the money that he possessed and when that sum was not enough he sold his belongings to aid the woman free her husband. When Rabbi Avahu heard this story he said: ""If this is so then you are the worthiest man to pray for rain."" <sup>12)</sup><i class=""footnote""><span dir=""rtl"">12) ירושלמי תענית פּרק א׳ הלכה ד׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.9","Rabbi Jehudah N'siah the Second was Nasi at that time. The Nasi resided at Sephoris and even though the government at times did not allow an academy to be maintained in that city, he was too old to move elsewhere. His son Rabban Gamliel IV, on the other hand, settled in Caesarea where an academy could be maintained, due to the influence of Rabbi Avahu with the authorities."
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.10","Rabbi Avahu was devoted to the Torah. When he once came to Tiberias he was met by the disciples of Rabbi Jochanan who noticed that his face was suffused with joy. When Rabbi Jochanan later asked what was the cause of his joy, he replied that he had found an old Tosephta which shed new light on the subject that he was then studying. <sup>13)</sup><i class=""footnote""><span dir=""rtl"">13) סנהדרין ק""י א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.11","Another time it was related that Rabbi Avahu fasted on the day that a scholar died. <sup>14)</sup><i class=""footnote""><span dir=""rtl"">14) ירושלמי מועד קטן פּרק ג׳ הלכה ג׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.12",The following of Rabbi Avahu's ethical teachings deserve to be mentioned:
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.13","""Repentance is the greatest thing in the world; even saints cannot attain the position of penitents."" <sup>15)</sup><i class=""footnote""><span dir=""rtl"">15) ברכות ל""ד בי.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.14","""One should strive to be among the persecuted rather than among the oppressors."" <sup>16)</sup><i class=""footnote""><span dir=""rtl"">16) בבא קמא צ""ג א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.15","""One should not rule his household by fear."" <sup>17)</sup><i class=""footnote""><span dir=""rtl"">17) גטין ז׳ א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.16","During a discussion on the manner in which the world had been created, Rabbi Avahu said: ""God had created previous worlds which He destroyed, because He had not been pleased with them until He created the present world which is permanent."" <sup>18)</sup><i class=""footnote""><span dir=""rtl"">18) בראשית רבה פּרשה ג׳ פּיסקא ט׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.17","The verse ""They who sit at the gates shall speak against me"" (Psalms, 69:13), he interpreted to refer to those who ridicule the Jews in their theatres and circuses. Rabbi Avahu then described the manner in which the theatre of his time ridiculed the Jews. They would bring out on the stage a camel whose head was bowed and one actor would then ask another: ""Can you tell me why this camel is so sad?"" and the other would reply: ""This is the Sabbatical year of the Jews and since they do not have enough food they eat the camel's food and that makes the camel sad."""
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.18","""And why is the price of oil so high?"" the first actor would ask again. The other actor would then reply: ""Since the Jews strictly observe their Sabbath, on which day they eat the food which they accumulated during a whole week, they never have enough wood to cook all that food, thus they use their beds as fuel; when their beds are burned, they are forced to sleep on the floor, and since that makes them dirty and dusty, they rub oil all over their bodies and that's why oil is so expensive."" <sup>19)</sup><i class=""footnote""><span dir=""rtl"">19) פּתיחתא דאיכה רבתי פּיסקא י""ז.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.19","Anyone who is familiar with the Bible is acquainted with the story of Saul who sought a young man who could play well in order to soothe his melancholy. On that occasion one of Saul's servants answered that the son of Jesse was ""skilful as a player and a mighty valiant man, and a man of war, and intelligent in speech, and a person of a good form, and the Lord is with him."" (Sam. I, 17:18.) Rabbi Avahu interpreted this verse to mean that ""skilful as a player"" indicated that David was versed in the Scriptures; ""a mighty valiant man,"" that he was strong in Mishna; ""a man of war,"" that he was skilled in the battles of the Torah; ""intelligent in speech,"" that he understood the value of good deeds; ""a person of good form,"" that he understood the Talmud. Another interpretation of Rabbi Avahu to the same verse declared that ""intelligent in speech"" indicated that David could deduce conclusions; ""a man of good form,"" that his face shone in Halacha; and ""the Lord is with him,"" that the law was established according to his opinion."
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.20","The following is another sample of Rabbi Avahu's method of interpretation: Of the creation of the world the Bible says that the earth ""was without form, and void."" This expression was then interpreted to mean that the earth was wondering at the void which pervaded it. Rabbi Avahu compared this to a king who had bought two slaves on one contract and for the same price. The king then commanded that one of the slaves should be fed from the royal kitchen and that the other one should obtain his own food. The second slave therefore wondered: ""We were both bought on one contract and for the same price and yet I must obtain my own food or starve."" The earth likewise wondered and said: ""The creatures of Heaven and those of the earth were created at the same time and yet creatures of Heaven are nourished by the divine Shechinah while the creatures on earth must labor for their food else they would starve."" <sup>20)</sup><i class=""footnote""><span dir=""rtl"">20) בראשית רבה פּרשה ב׳ פּיסקא ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.21","On one occasion Rabbi Avahu lectured on Hagada in the same city where Rabbi Chiya bar Aba lectured on Halacha. The inhabitants of the city then flocked to hear Rabbi Avahu and Rabbi Chiya felt grieved at this. But Rabbi Avahu consoled him with the following parable: ""Two merchants once came to a city; one of them brought precious stones to sell while the other brought trinkets. Did not most of the people run to the merchant who sold trinkets?"" <sup>21)</sup><i class=""footnote""><span dir=""rtl"">21) סוטה מ׳ א׳.</span></i> The Talmud further relates that on that day Rabbi Avahu showed special honor to Rabbi Chiya. On all other occasions it was customary for Rabbi Chiya to escort Rabbi Avahu to his hostelry whenever they chanced to be in the same city. This honor was accorded to Rabbi Avahu because he was considered to be the representative of the Jewish people to the Roman government. But on that day the procedure was reversed and Rabbi Avahu escorted Rabbi Chiya to his hostelry in order to console him in his grief at being slighted by the inhabitants of the city."
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.22","As a result of Rabbi Avahu's residence in Caesarea, the city came to be known as a seat of learning even as it was during the days of Rabbi Oshiya Raba. The academy where Rabbi Avahu taught was known as ""Mardutha"", which some explained, indicated that the academy was a nest of rebellion against Rome, because ""Mardutha"" signifies revolt. <sup>22)</sup><i class=""footnote""><span dir=""rtl"">22) ירושלמי ברכות פּרק ג׳ הלכה א׳, סנהדרין פּרק א׳ הלכה א׳.</span></i> It was further related that when Rabbi Avahu studied during the night, he did not remove his phylacteries, <sup>23)</sup><i class=""footnote""><span dir=""rtl"">23) ירושלמי ברכות פּרק ב׳ הלכה ג׳.</span></i> and that when he lectured his hearers could see a halo about him. <sup>24)</sup><i class=""footnote""><span dir=""rtl"">24) שיר השירים רבה פּרשה א׳ פּיסקא נ""ב.</span></i> When Rabbi Avahu died, the mourning was so great that even the pillars in the city were believed to shed tears. <sup>25)</sup><i class=""footnote""><span dir=""rtl"">25) ירושלמי עבודה זרה פּרק ג׳ הלכה א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.23","""Three types of sin"", Rabbi Avahu said, ""are never forgiven by God. These are deception, robbery, and idol worshiping."" <sup>26)</sup><i class=""footnote""><span dir=""rtl"">26) בבא מציעא נ""ט א׳.</span></i> When he heard scholars debating the cause of the destruction of Jerusalem, he declared that it was due to the neglect of reciting the Shema morning and evening. <sup>27)</sup><i class=""footnote""><span dir=""rtl"">27) שבת קי""ט א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.24","One of Rabbi Avahu's sons, Rabbi Chanina, was sent to Tiberias to engage in study. But the young man devoted himself primarily to charitable deeds, especially to burying the dead. Rabbi Avahu then wrote to him: ""Have I sent you to Tiberias because there were not enough graves in Caesarea? Furthermore it is an accepted rule that learning is more important than charitable deeds."" <sup>28)</sup><i class=""footnote""><span dir=""rtl"">28) ירושלמי פּסחים פּרק ג׳ הלכה ז׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.25","Poverty was then the share of many scholars and Rabbi Avahu, who was himself wealthy, consoled the needy scholars with the following words: ""A scholar who devotes himself to learning despite his poverty is certain to partake of the nobility of the Shechinah in the world to come."" <sup>29)</sup><i class=""footnote""><span dir=""rtl"">29) סוטה מ""ט א׳.</span></i> Of those who forgot their learning he said: ""One who forgets anything of his learning should be demoted from his position."" <sup>30)</sup><i class=""footnote""><span dir=""rtl"">30) יומא ל""ח ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.26","Like other scholars Rabbi Avahu also believed that God recognized the holidays as they were determined by the high court and he said: ""When five elders gather to determine a leap year, God leaves His heavenly retinue and he descends to earth in His Majesty. The angels then wonder since they know that were the people to err God would correct them."" <sup>31)</sup><i class=""footnote""><span dir=""rtl"">31) ויקרא רבה פּרשה כ""ט פּיסקא ג׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.27","Rabbi Avahu was once asked whether ""Hallel"" should be recited on New Year and the Day of Atonement. He then declared that on these days the angels come before God and say: ""Your Jews are celebrating holidays and they do not recite 'Hallel' (praise)"". God then answers them: ""When a mortal king sits in judgment and the books of life and death are open before him, do his subjects sing his praise at that moment?"" <sup>32)</sup><i class=""footnote""><span dir=""rtl"">32) ראש השנה ל""ב ב׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.28","""When Jews are aided in time of need"", Rabbi Avahu said, ""it is as if God were also aided for the Scriptures declare 'I am with him in affliction'. When Jews are in need it is as if God were also in need; by aiding them He also aids Himself."" <sup>33)</sup><i class=""footnote""><span dir=""rtl"">33) תנחומא פּ׳ אחרי פּיסקא י""ב.</span></i> ""It is an accepted rule that God forgets nothing"", he continued, ""but when the punishment of Jews for their sins is concerned, He overlooks many things."" <sup>34)</sup><i class=""footnote""><span dir=""rtl"">34) ירושלמי פּאה פּרק א׳ הלכה א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.29","Of the passage ""I hear of your evil dealings from all this people"" (Sam. I, 2:23), Rabbi Avahu said: ""The Scriptures intend to teach the people ethical behavior. When one hears good things of his neighbor, he should repeat it in the name of the person that he had heard it from; but when one hears evil of his neighbor and he wishes to admonish him, he should not name the person by whom he was informed. <sup>35)</sup><i class=""footnote""><span dir=""rtl"">35) מדרש שמואל פּרשה ז׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.30","The Biblical statement ""I am the Lord your God"" Rabbi Avahu explained as an indication that God was not like mortal rulers. Therefore God said ""I am first"", and I have no father; ""I am last"", and I have no brother; ""Beside me there is no God,"" and I have no sons. <sup>36)</sup><i class=""footnote""><span dir=""rtl"">36) שמות רבה פּרשה כ""ט פּיסקא ד׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.31","During a discussion concerning wise men Rabbi Avahu said: ""God gives wisdom to the wise as the Scriptures say ""In the heart of every wise man I put wisdom."" <sup>37)</sup><i class=""footnote""><span dir=""rtl"">37) ברכות נ""ה א׳.</span></i>"
"Bader-Jewishspritualheroes-Vol2., Rabbi Avahu of Caesaria.32","When a child of Rabbi Avahu died, two scholars came to console him but they remained silent fearing to grieve him by mentioning the dead child. Rabbi Avahu then explained to them that God's judgment could not be otherwise than just and he said: ""When an earthly court condemns one to death, the relatives of the condemned man come to greet the judges and the witnesses to show that they bear no ill will against them and that they are convinced of the justice of the sentence despite the fact that earthly courts are full of deception and robbery and error and they are also transitory. How much greater is the duty to recognize the justice of the judgment of God before whom there is no deception nor robbery nor error?"" <sup>38)</sup><i class=""footnote""><span dir=""rtl"">38) ירושלמי סנהדרין פּרק ו׳ הלכה י׳.</span></i>"
