Index Title,Shevuot
Shevuot 18b:10,"R. Ḥija b. Abba sagte im Namen R. Joḥanans: Wer am Ausgange des Šabbaths den Unterscheidungssegen über den Wein spricht, bekommt männliche Kinder, denn in diesem heißt es: zwischen Heiligem und Profanem zu unterscheiden, und dort heißt es: <i>damit man zwischen dem Unreinen und dem Reinen unterscheide</i>, und darauf folgt: <i>wenn eine Frau niederkommt und einen Knaben gebiert</i>. R. Jehošua͑ b. Levi sagte: [Er bekommt] Kinder, die das Gesetz zu lehren würdig sind, denn es heißt: <i>zu unterscheiden und zu lehren</i>."
Shevuot 18b:11,"R. Binjamin b. Jepheth sagte im Namen R. Elea͑zars: Wer sich beim Beischlaf heiligt<sup>116</sup><i class=""footnote"">Dh. sich keusch benimmt.</i>, bekommt männliche Kinder, denn es heißt:<sup>117</sup><i class=""footnote"">Lev. 11,44.</i><i>erweiset euch als heilig und seid heilig</i>, und darauf folgt: <i>wenn eine Frau niederkommt &amp;c</i>."
Shevuot 18b:12,R. E<small>LIEZ͑ER SAGTE</small>: [E<small>S HEISST</small>:] <i>das Kriechtier &amp;c. und es ihm entfällt.</i> Welchen Unterschied gibt es zwischen ihnen?
Shevuot 18b:13,"Ḥizqija erwiderte: Ein Unterschied besteht zwischen ihnen bei [der Verunreinigung durch] ein Kriechtier oder<sup>118</sup><i class=""footnote"">Wenn er sich vorher bewußt war, unrein zu sein, jedoch nicht wußte, oh durch ein Kriechtier od. durch ein Aas.</i>ein Aas; R. Elie͑zer ist der Ansicht, nur wenn man weiß, ob man sich an einem Kriechtiere oder an einem Aase verunreinigt hat, und R. A͑qiba ist der Ansicht, auch wenn man nicht weiß, ob man sich an einem Kriechtiere oder an einem Aase verunreinigt hat, wenn man nur weiß, daß man sich verunreinigt hat."
Shevuot 18b:14,"Ebenso sagte auch U͑la, ein Unterschied bestehe zwischen ihnen bei [der Verunreinigung durch] ein Kriechtier oder ein Aas. U͑la wies nämlich auf einen Widerspruch hin, in dem R. Elie͑zer sich befindet, und erklärte ihn auch. Kann R. Elie͑zer denn gesagt haben, nur wenn man weiß, ob man sich an einem Kriechtiere oder an einem Aase verunreinigt hat,"
Shevuot 18b:15,"dem widersprechend wird gelehrt: R. Elie͑zer sagte: Wie du es nimmst: hat er Talg<sup>119</sup><i class=""footnote"">Diese Lehre spricht von dem Falle, wenn jemand weiß, daß er eine von zwei mit gleicher Strafe belegten Sünden begangen hat, jedoch nicht weiß, welche; nach RE. ist er zur Darbringung eines Sündopfers verpflichtet, nach RJ. ist er frei.</i>gegessen, so ist er schuldig, hat er Übriggebliebenes gegessen, so ist er schuldig; hat er den Šabbath entweiht, so ist er schuldig, hat er den Versöhnungstag entweiht, so ist er schuldig; hat er seine menstruierende Frau beschlafen, so ist er schuldig, hat er seine Schwester beschlafen, so ist er schuldig."
Shevuot 18b:16,"R. Jehošua͑ entgegnete ihm: Es heißt:<sup>120</sup><i class=""footnote"">Lev. 4,23.</i><i>und ihm bekannt geworden ist sein Vergehen, dessen er sich schuldig gemacht hat</i>, ihm bekannt ist, wodurch er sich schuldig gemacht hat."
Shevuot 18b:17,"Er erklärte ihn auch. Hierbei sagt der Allbarmherzige: <i>dessen er sich schuldig gemacht hat</i>, also irgend eine Sünde, dort aber heißt es:<sup>121</sup><i class=""footnote"">Ib. 5,2.</i><i>oder irgend etwas Unreines</i>, wozu heißt es noch: <i>oder das Aas eines unreinen Kriechtieres</i>? Schließe hieraus: nur wenn er weiß, ob er sich an einem Kriechtiere oder an einem Aase verunreinigt hat. –"
Shevuot 18b:18,Und R. A͑qiba!? –
Shevuot 19a:1,"Da er Vieh und Wild besonders nennen muß, wegen der Lehre<sup>122</sup><i class=""footnote"">Cf. supra Fol. 7a.</i>Rabbis, so nennt er auch das Kriechtier besonders. So wurde auch in der Schule R. Jišma͑éls gelehrt: Wenn ein Abschnitt gelehrt und wiederholt wird, so ist er nur wegen einer in diesem vorkommenden Neuerung wiederholt worden.–"
Shevuot 19a:2,"Wofür verwendet R. Elie͑zer [das Wort] <i>dessen</i>!? – Dies schließt die Indolenz<sup>123</sup><i class=""footnote"">Wenn jemand die Handlung, durch die er die Sünde begangen hat, überhaupt nicht beabsichtigt hat; dies ist ein noch leichterer Grad als die Unvorsätzlichkeit, bei der man die Absicht hatte, die betreffende Handlung zu begehen, nur nicht wußte, daß dies verboten sei. Wegen der ersteren ist man auch nach RE. frei.</i>aus."
Shevuot 19a:3,"R. Joḥanan aber sagte, ein Unterschied bestehe zwischen ihnen nur in der Auslegung<sup>124</sup><i class=""footnote"">RA. u. RE. sind derselben Ansicht, jedoch folgert dieser seine Ansicht aus dem einen Schriftverse u. jener aus einem anderen.</i>. Ebenso sagte auch R. Šešeth, ein Unterschied bestehe zwischen ihnen nur in der Auslegung. R. Šešeth verwechselte oft die Ansicht R. Elie͑zers mit der des R. A͑qiba, und die des R. A͑qiba mit der des R. Elie͑zer<sup>125</sup><i class=""footnote"">Weil beide identisch sind.</i>."
Shevuot 19a:4,"Raba fragte R. Naḥman: Wie ist es, wenn er beides<sup>126</sup><i class=""footnote"">Weder seine Unreinheit noch die Heiligkeit.</i>nicht kannte? Dieser erwiderte: Hierbei liegt Entfallen der Unreinheit<sup>127</sup><i class=""footnote"">Die Unkenntnis der Heiligkeit ist zu negieren.</i>vor, somit ist er schuldig. – Im Gegenteil, hierbei liegt Unkenntnis der Heiligkeit vor, somit sollte er frei sein!?"
Shevuot 19a:5,"R. Aši erwiderte: Wir sehen nun: zieht er sich wegen des Bewußtwerdens der Unreinheit zurück, so liegt hierbei Entfallen der Unreinheit vor, sodann ist er schuldig, zieht er sich wegen des Bewußtwerdens der Heiligkeit zurück, so liegt hierbei Entfallen der Heiligkeit vor, sodann ist er frei. Rabina entgegnete R. Aši: Er zieht sich ja bei Bewußtwerden der Heiligkeit nur wegen der Unreinheit, und bei Bewußtwerden der Unreinheit nur wegen der Heiligkeit zurück!? Vielmehr gibt es hierbei keinen Unterschied."
Shevuot 19a:6,"Die Rabbanan lehrten: Wenn von zwei Stegen einer unrein und einer rein ist, und er einen gegangen und [in den Tempel] nicht eingetreten ist, und darauf den andern gegangen und eingetreten<sup>128</sup><i class=""footnote"">Ohne Kenntnis.</i>ist, so ist er<sup>129</sup><i class=""footnote"">Da er auf jeden Fall unrein ist.</i>schuldig;"
Shevuot 19a:7,"wenn er den einen gegangen und eingetreten ist, und darauf besprengt wurde und wiederum besprengt wurde<sup>130</sup><i class=""footnote"">Am 3. u. 7. Tage der Unreinheit.</i>und untergetaucht ist, dann den anderen gegangen und eingetreten ist, so ist er schuldig, und nach R. Šimo͑n frei<sup>131</sup><i class=""footnote"">Weil in beiden Fällen nur ein Zweifel vorliegt.</i>. R. Šimo͑n b. Jehuda sagt, nach R. Šimo͑n sei er"
Shevuot 19a:8,in allen Fällen frei. –
Shevuot 19b:1,"‘In allen’, also auch im ersten, aber er ist ja auf jeden Fall unrein!? Raba erwiderte: Hier handelt es sich um den Fall, wenn er zuerst den einen gegangen ist, und als er darnach den anderen ging, es vergessen hatte, daß er den ersten gegangen ist; er hatte also nur einen Teil des Bewußtwerdens."
Shevuot 19b:2,"Ihr Streit besteht in folgendem: der erste Autor ist der Ansicht, wir sagen, ein Teil des Bewußtwerdens gleiche dem ganzen Bewußtwerden, und R. Šimo͑n ist der Ansicht, wir sagen nicht, ein Teil des Bewußtwerdens gleiche dem ganzen Bewußt wer den. –"
Shevuot 19b:3,"«Wenn er den einen gegangen und eingetreten ist, und darauf besprengt und wiederum besprengt wurde und untergetaucht ist, dann den anderen gegangen und eingetreten ist, so ist er schuldig, und nach R. Šimo͑n frei. » Weshalb ist er schuldig, das Bewußtwerden ist ja nur ein zweifelhaftes!?"
Shevuot 19b:4,"R. Joḥanan erwiderte: Hierbei behandelten sie das zweifelhafte Bewußtwerden als sicheres<sup>132</sup><i class=""footnote"">Ist es zweifelhaft, ob eine Verunreinigung überhaupt inbetracht kommen kann, (wie beispielsweise ob. Fol. 14b, wenn er nicht weiß, ob Oliven- oder Linsengröße verunreinigend sei), so kann dies nicht als sichere Unreinheit behandelt werden, hierbei aber ist der eine Steg sicher verunreinigend, nur liegt ein Zweifel vor, ob er diesen gegangen ist.</i>Bewußtwerden. Reš Laqiš erwiderte: Hier ist R. Jišma͑él vertreten, welcher sagt, vorher sei kein Bewußtwerden erforderlich. –"
Shevuot 19b:5,"Ich will auf einen Widerspruch hin weisen, in dem R. Joḥanan sich mit sich selbst befindet, und auf einen Widerspruch, in dem Reš Laqiš sich mit sich selbst befindet. Es wird gelehrt: Wer zweifelhaften Talg<sup>133</sup><i class=""footnote"">Wenn es zweifelhaft ist, ob es ein Stück Fett oder Talg war.</i>gegessen hat und Bewußtwerden<sup>134</sup><i class=""footnote"">Daß er solchen gegessen hat.</i>erlangt, und wiederum zweifelhaften Talg gegessen hat und Bewußtwerden erlangt, muß, wie Rabbi sagt, wie er wegen jedes Falles besonders ein Sündopfer darbringen müßte, auch wegen jedes Falles besonders ein Schwebe-Schuldopfer darbringen;"
Shevuot 19b:6,"R. Šimo͑n b. Jehuda und R. Elea͑zar b. Šimo͑n sagen im Namen R. Šimo͑ns, er bringe nur ein Schwebe-Schuldopfer dar, denn es heißt:<sup>135</sup><i class=""footnote"">Lev. 5,18.</i><i>wegen des Versehens, das er versehentlich begangen hat,</i> die Tora bestimmte e i n Schwebe-Schuldopfer wegen vieler Versehen."
Shevuot 19b:7,"Hierzu sagte Reš Laqiš: Hier lehrt Rabbi, daß mehrfaches Bewußtwerden von zweifelhaften Vergehen hinsichtlich der Sündopfer von einander zu trennen<sup>136</sup><i class=""footnote"">Wenn er nach jedem einzelnen Fall erfährt, daß er etwas gegessen hat, worüber ein Zweifel obwaltet, und nachträglich erfährt, daß es in beiden Fällen Talg war, so wird das nachträgliche Bewußtwerden durch die früheren, einzeln erfolgten geteilt; er muß dann wegen jedes Falles besonders ein Sündopfer darbringen.</i>sind."
Shevuot 19b:8,"R. Joḥanan aber erklärte: Wie sonst mehrfaches Bewußtwerden zweifelloser Vergehen hinsichtlich der Sündopfer von einander zu trennen sind, ebenso sind auch mehrfache Bewußtwerden von zweifelhaften Vergehen hinsichtlich der Schuldopfer von einander<sup>137</sup><i class=""footnote"">Demnach ist er nicht der Ansicht, daß das zweifelhafte Bewußtwerden als sicheres gelte.</i>zu trennen."
Shevuot 19b:9,"Allerdings ist der Widerspruch, in dem R. Joḥanan sich mit sich selber befindet, zu erklären, denn dies<sup>138</sup><i class=""footnote"">Daß das zweifelhafte Bewußtwerden als sicheres behandelt werde.</i>gilt nur von diesem Falle, nicht aber von der ganzen Tora; nur von diesem Falle, weil hierbei das Bewußtwerden nicht ausdrücklich genannt wird, sondern nur aus [dem Worte] <i>entfällt</i><sup>139</sup><i class=""footnote"">Cf. supra Fol. 5a.</i>entnommen wird, nicht aber in der ganzen Tora, denn es heißt:<sup>140</sup><i class=""footnote"">Lev. 4,28.</i><i>oder er sich bewußt wird</i>, es muß also ein richtiges Bewußtwerden sein;"
Shevuot 19b:10,"gegen Reš Laqiš aber [ist ja einzuwenden:] weshalb addiziert er sie<sup>141</sup><i class=""footnote"">Die angezogene Lehre von den zwei Stegen.</i>R. Jišma͑él, er sollte sie doch Rabbi addizieren<sup>142</sup><i class=""footnote"">Da nach seiner Auslegung Rabbi der Ansicht ist, das zweifelhafte Bewußtwerden gelte als sicheres.</i>!? – Er lehrt uns folgendes: nach R. Jišma͑él ist kein Bewußtwerden vorher nötig. –"
Shevuot 19b:11,"Selbstverständlich ist es nach ihm nicht nötig, da nach ihm kein Schriftvers<sup>143</sup><i class=""footnote"">Aus dem er das vorherige Bewußtwerden entnehmen könnte.</i>zurückbleibt, denn aus [dem Worte] <i>entfällt</i> entnimmt er ja das Unbewußtsein der Heiligkeit<sup>144</sup><i class=""footnote"">Daß man auch in diesem Falle schuldig sei; cf. supra Fol. 14b.<br>145. Für die Erforderlichkeit eines Bewußtwerdens.</i>!? – Man könnte glauben, er habe dafür keine Andeutung in der Schrift, wohl aber eine überlieferte Lehre, so lehrt er uns."
Shevuot 19b:12,
Shevuot 19b:13,"<sup>i,1</sup><b>E</b><small>S GIBT ZWEI</small> A<small>RTEN VON</small> S<small>CHWÜREN, DIE IN VIER ZERFALLEN; EIN</small> S<small>CHWUR, DASS ICH ESSEN WERDE, ODER: DASS ICH NICHT ESSEN WERDE; DASS ICH GEGESSEN HABE, ODER: DASS ICH NICHT GEGESSEN HABE</small>."
Shevuot 19b:14,"[W<small>ENN ER GESAGT HAT</small>:] <small>EIN</small> S<small>CHWUR, DASS ICH NICHT ESSEN WERDE, UND EIN</small> M<small>INIMUM GEGESSEN HAT, SO IST ER SCHULDIG</small> – <small>SO</small> R. A͑<small>QIBA</small>. S<small>IE SPRACHEN ZU</small> R. A͑<small>QIBA</small>: W<small>O FINDEN WIR DENN, DASS JEMAND WEGEN DES</small> E<small>SSENS EINES MINIMUMS SCHULDIG</small><sup>1</sup><i class=""footnote"">Wegen des Essens verbotener Speisen, bezw. an einem Tage, an dem das Essen verboten ist, ist man nur dann schuldig, wenn man ein oiivengroßes Quantum gegessen hat.</i> <small>SEI, DASS DIESER SCHULDIG SEIN SOLLTE</small>!? R. A͑<small>QIBA ERWIDERTE IHNEN</small>: W<small>O FINDEN WIR DENN, DASS JEMAND WEGEN DES</small> S<small>PRECHENS EIN</small> O<small>PFER DARZUBRINGEN HAT</small><sup>2</sup><i class=""footnote"">Wohl aber wegen der Eidesverletzung, somit bildet dieses Gesetz eine Ausnahme auch hinsichtlich des Quantums.</i>!?"
Shevuot 19b:15,"GEMARA. Demnach ist unter ‘essen’ zu verstehen: ich werde essen; ich will auf einen Widerspruch hinweisen: [Sagt jemand:] ein Schwur, daß ich deines nicht essen werde, ein Schwur, [wenn<sup>3</sup><i class=""footnote"">Die Partikel ‘wenn’ fehlt im Texte, dadurch erklärt sich der angebliche Widerspruch, auf den hingewiesen wird.</i>] ich deines essen werde, kein Schwur, wenn ich deines nicht<sup>4</sup><i class=""footnote"">Dh. was ich nicht esse, sei nicht mit einem Schwure [sc. des Nichtessens] belegt, wohl aber das, was ich esse.</i> essen werde, so ist es ihm verboten!?"
Shevuot 19b:16,"Abajje erwiderte: Tatsächlich heißt dies: ich werde essen, dennoch besteht hier kein Widerspruch, denn eines gilt von dem Falle, wenn man ihn zu essen nötigt, und eines gilt von dem Falle,"
Shevuot 20a:1,wenn man ihn nicht zu essen nötigt.
Shevuot 20a:2,"Unsere Mišna spricht von dem Falle, wenn man ihn nicht zu essen nötigt, und jene Barajtha spricht von dem Falle, wenn man ihn zu essen nötigt, und er sagt: ich esse nicht, ich esse nicht; wenn er schwört, !meint er es wie folgt: ein Schwur, daß ich nicht essen werde."
Shevuot 20a:3,"R. Aši erwiderte: Lies: ein Schwur, daß ich deines nicht<sup>4</sup><i class=""footnote"">Nur im Texte verständlich; er sagte nicht <span dir=""rtl"">לא אוכל</span>, sondern <span dir=""rtl"">אי אוכל</span>, u. diese Verneinung ist lautlich mit der Bezeichnung <span dir=""rtl"">אוכל</span> zu verwechseln.<br>5. Die W.e <span dir=""rtl"">שאי אוכל</span> können eine Versprechung von <span dir=""rtl"">שאוכל</span> sein.</i> essen werde. – Wozu braucht dies demnach gelehrt zu werden!? – Man könnte glauben, er habe sich nur versprochen, so lehrt er uns."
Shevuot 20a:4,"Die Rabbanan lehrten: Der Ausspruch<sup>6</sup><i class=""footnote"">Wenn jemand beispielsweise sagt: ein Ausspruch, daß ich dieses Brot nicht essen werde, so ist dies ebenso, als würde er gesagt haben: ich schwöre &amp;c.</i> gilt als Schwur, die Enthaltung<sup>7</sup><i class=""footnote"">Wenn einer sich bezüglich einer Sache eine Enthaltung auferlegt: wenn er beispielsweise sagt: bezüglich dieses Brotes bestehe für mich eine Enthaltung, od. ein Verbot.</i> gilt als Schwur, wegen der Bezugnahme<sup>8</sup><i class=""footnote"">Wenn er die bezüglich einer Sache bestehende Enthaltung auf eine andere ausdehnt.</i> auf die Enthaltung ist man, wenn du sagst, die Enthaltung gelte als Schwur, schuldig, wenn aber nicht, frei. – ‘Wenn du sagst, die Enthaltung gelte als Schwur’, du sagtest ja, die Enthaltung gelte als Schwur!?"
Shevuot 20a:5,"Abajje erwiderte: Er meint es wie folgt: der Ausspruch gilt als Schwur, die Enthaltung kann von einem Schwure erfaßt<sup>9</sup><i class=""footnote"">Wenn er beispielsweise geschworen hat, daß er dieses Brot nicht essen werde, u. darauf sagt: dieses Fleisch gleiche diesbezüglich dem Brot.</i> werden, die Bezugnahme<sup>10</sup><i class=""footnote"">Wenn er nachher bezügl. einer dritten Sache sagt: diese gleiche diesbezüglich dem Fleische.</i>auf die Enthaltung gilt, wenn du sagst, jene werde vom Schwure erfaßt, als ausgesprochener Schwur und man ist derentwegen schuldig, wenn aber nicht, so ist man frei. –"
Shevuot 20a:6,"Woher, daß der Ausspruch als Schwur gilt? – Es heißt:<sup>11</sup><i class=""footnote"">Lev. 5,4.</i><i>oder wenn jemand schwört und mit den Lippen ausspricht.</i> – Auch bei der Enthaltung heißt es ja:<sup>12</sup><i class=""footnote"">Num. 30,14.</i><i>jedes Gelübde und jeder Schwur der Enthaltung</i>!? –"
Shevuot 20a:7,"Vielmehr, woher, daß die Enthaltung vom Schwure erfaßt wird? – Es heißt:<sup>13</sup><i class=""footnote"">Ib. V. 11.</i><i>oder durch einen Schwur</i><sup>14</sup><i class=""footnote"">Das W. <span dir=""rtl"">בשבועה</span> wird aufgefaßt: im Schwure.</i><i>sich zur Enthaltung verpflichtet.</i> –"
Shevuot 20a:8,"Auch beim Ausspruch heißt es ja:<sup>15</sup><i class=""footnote"">Lev. 5,4.</i><i>alles, was ein Mensch mit einem Schwure ausspricht</i>!?"
Shevuot 20a:9,"Vielmehr, erklärte Abajje, daß der Ausspruch als Schwur gilt, ist hieraus zu entnehmen:<sup>16</sup><i class=""footnote"">Num. 30,7.</i><i>falls sie sich aber an einen Mann verheiraten sollte, während noch Gelübde auf ihr lasten, oder Worte, die ihre Lippen gesprochen haben, durch die sie sich eine Enthaltung auferlegt hat,</i> und da hier von einem Schwure nicht gesprochen wird, so kann sie sich die Enthaltung nur durch einen Ausspruch auferlegt haben."
Shevuot 20a:10,"Raba erklärte: Tatsächlich, kann ich sagen, gilt das, was vom Schwure erfaßt wird, nicht als ausgesprochener Schwur, nur meint er es wie folgt: der Ausspruch gilt als Schwur, die Enthaltung gilt ebenfalls als Schwur, die Bezugnahme auf die Enthaltung setzte die Schrift zwischen Gelübde und Schwur; hat man sie daher in Gelübdeform ausgesprochen, so gilt sie als Gelübde, wenn in Schwur form» so gilt sie als Schwur. –"
Shevuot 20a:11,"Wo wurde sie da gesetzt? –<sup>17</sup><i class=""footnote"">Ib. V. 11.</i><i>Und wenn sie im Hause ihres Ehemannes ein Gelübde abgelegt hat, oder sich eine Enthaltung auferlegt hat, durch Schwur &amp;c.</i>"
Shevuot 20a:12,"Sie vertreten hierbei ihre Ansichten, denn es wird gelehrt: Wenn jemand etwas von einem Schwure erfassen läßt, so ist dies, wie Abajje sagt, ebenso, als hätte er einen Schwur ausgesprochen, und wie Raba sagt, nicht ebenso, als hätte er einen Schwur ausgesprochen."
Shevuot 20a:13,"Man wandte ein: Was heißt eine Enthaltung, von der in der Tora gesprochen wird? Wenn jemand sagt: ich nehme auf mich, weder Fleisch zu essen noch Wein zu trinken, wie am Tage, an dem mein Vater gestorben ist, oder jener gestorben ist, oder wie am Tage, an dem Gedalja, der Sohn Aḥiqams, getötet<sup>18</sup><i class=""footnote"">Cf. iiReg. 25,25.</i> wurde, wie am Tage, an dem ich Jerušalem in seiner Zerstörung gesehen habe, so ist es ihm verboten. Hierzu sagte Šemuél: Dies nur dann, wenn er an jenem Tage ein Gelübde abgelegt hat."
Shevuot 20a:14,"Einleuchtend ist nun die Ansicht Abajjes, denn wenn die Bezugnahme auf ein Gelübde als Gelübde gilt, so gilt auch die Bezugnahme auf einen Schwur als Schwur;"
Shevuot 20b:1,"gegen Raba aber ist dies ja ein Einwand<sup>19</sup><i class=""footnote"">Er nahm an, daß hier von der Bezugnahme gesprochen werde, wenn er beispielsweise gesagt hat, dieser Tag solle einem der hier genannten gleichen.</i>!? –"
Shevuot 20b:2,"Raba kann dir erwidern: man erkläre und lese es wie folgt. Was heißt ein Enthaltungsgelübde, von dem in der Tora gesprochen wird? Wenn jemand sagt: ich nehme auf mich weder Fleisch zu essen noch Wein zu trinken, wie am Tage, an dem mein Vater gestorben ist, oder wie am Tage, an dem jener getötet wurde ; und hierzu sagte Šemuél, dies nur dann, wenn er an jenem Tage ein Gelübde abgelegt<sup>20</sup><i class=""footnote"">Hier wird also nicht von der Bezugnahme gesprochen, sondern von dem Falle, wenn er hinsichtlich des in Rede stehenden Tages selbst ein Gelübde ablegt.</i>hat. –"
Shevuot 20b:3,"Aus welchem Grunde? – Die Schrift sagt:<sup>21</sup><i class=""footnote"">Num. 30,3.</i><i>wenn jemand dem Herrn ein Gelübde geloben wird,</i> nur wenn er ein Gelübde ablegt, gleich einem, der schon besteht. –"
Shevuot 20b:4,"‘Wie am Tage, an dem mein Vater gestorben ist’; selbstverständlich!? – Nötig ist der Fall: wie am Tage, an dem Gedalja, der Sohn, Aḥiqams, getötet wurde; man könnte nämlich glauben, daß auf diesen, da es<sup>22</sup><i class=""footnote"">Essen u. trinken.</i>an diesem auch ohne Gelübde verboten ist, das Enthaltungsgelübde sich nicht erstrecke und er vom Gelübde nicht erfaßt werde, so lehrt er uns."
Shevuot 20b:5,"Und auch R. Joḥanan ist derselben Ansicht wie Raba, denn als Rabin kam, sagte er im Namen R. Joḥanans: [Sagt jemand:] ich tue einen Ausspruch, daß ich deines nicht essen werde, ich nehme eine Enthaltung auf mich, daß ich deines nicht essen werde, so gilt dies als Schwur."
Shevuot 20b:6,"Als R. Dimi kam, sagte er im Namen R. Joḥanans: [Der Schwur:] ich werde essen, und: ich werde<sup>23</sup><i class=""footnote"">Der promissorische Schwur hat bei der Leistung desselben Gültigkeit, u. erst wenn man ihn bricht, wird er zum Falschschwur; der assertorische nicht der Wahrheit entsprechende Schwur dagegen ist schon an sich ungültig, u. ist daher als Nichtigkeitsschwur zu bezeichnen.</i>nicht essen, ist [eventuell] ein Falschschwur, und das Verbot befindet sich in folgendem:<sup>24</sup><i class=""footnote"">Lev. 19,12.</i><i>ihr sollt in meinem Namen nicht falsch schwören</i>; [der Schwur:] ich habe<sup>23</sup><i class=""footnote"">Der promissorische Schwur hat bei der Leistung desselben Gültigkeit, u. erst wenn man ihn bricht, wird er zum Falschschwur; der assertorische nicht der Wahrheit entsprechende Schwur dagegen ist schon an sich ungültig, u. ist daher als Nichtigkeitsschwur zu bezeichnen.</i>gegessen, und: ich habe nicht gegessen, ist [eventuell] ein Nichtigkeitsschwur, und das Verbot befindet sich in folgendem:<sup>25</sup><i class=""footnote"">Ex. 20,7.</i><i>du sollst den Namen des Herrn, deines Gottes, nicht umsonst aussprechen</i>;"
Shevuot 20b:7,"wegen des Qonam<sup>26</sup><i class=""footnote"">Wenn jemand sagt: diese Sache gelte mir als Qonam (Nebenform für Opfer); die Formel erstreckt sich auch auf abstrakte Dinge, dh. sei ihm verboten.</i>begeht man [das Verbot:] <sup>27</sup><i class=""footnote"">Num. 30,3.</i><i>er soll sein Wort nicht brechen</i>."
Shevuot 20b:8,"Man wandte ein: Nichtigkeitsschwur und Falschschwur sind dasselbe. Wahrscheinlich erstreckt sich der Falschschwur auch auf die Vergangenheit, wie auch der Nichtigkeitsschwur sich auf die Vergangenheit erstreckt; demnach gilt auch [der Schwur:] ich habe gegessen, und: ich habe nicht gegessen, als Falschschwur!? –"
Shevuot 20b:9,"Wieso denn, der eine auf seine Art und der andere auf seine Art. – Wieso heißt es: sind dasselbe<sup>28</sup><i class=""footnote"">Im Texte: sind eines.</i>!? – Sie wurden zusammen ausgesprochen, wie gelehrt wird: <i>Gedenke</i> und <i>beachte</i><sup>29</sup><i class=""footnote"">Ex. 20,8 wird beim Šabbathgesetze das W. <i>gedenke</i>, u. Dt. 5,12, wo diese Stelle sich wiederholt, dagegen das W. <i>beachte</i> gebraucht.</i>wurden zusammen ausgesprochen, was sonst der Mund nicht aussprechen und das Ohr nicht vernehmen kann. –"
Shevuot 20b:10,"Allerdings kann man da sagen, daß sie zusammen ausgesprochen wurden, nach R. Ada b. Ahaba, denn R. Ada b. Ahaba sagte, Frauen seien nach der Tora zur Weihung des Tages<sup>30</sup><i class=""footnote"">Des Šabbaths.</i>verpflichtet, denn die Schrift sagt, <i>gedenke</i> und <i>beachte,</i> und wer [der Vorschrift] des Beachtens<sup>31</sup><i class=""footnote"">Die Vorschrift des Gedenkens ist ein Gebot, dagegen gilt die Vorschrift des Beachtens als Verbot; cf. supra Fol. 4a.</i>unterliegt, unterliegt auch [der Vorschrift] des Gedenkens, und da die Frauen der Vorschrift des Beachtens unterliegen<sup>32</sup><i class=""footnote"">Frauen sind allen Verboten der Tora unterworfen, nicht aber allen Geboten, sondern nur solchen, die von einer bestimmten Zeit nicht abhängig sind; demnach wären sie zur Weihung des Šabbaths nicht verpflichtet.</i>, so unterliegen sie auch der Vorschrift des Gedenkens; welche Bedeutung hat dies<sup>33</sup><i class=""footnote"">Die Lehre, daß beide Worte zusammen ausgesprochen wurden.</i>aber hierbei!? –"
Shevuot 20b:11,"Vielmehr, wie wegen des Nichtigkeitsschwures zu geißeln ist, ebenso ist zu geißeln wegen des Falschschwures. –"
Shevuot 20b:12,"Wo denkst du<sup>34</sup><i class=""footnote"">Beim Falschschwure, dh. beim promissorischen, begeht man ja durch die Verletzung eine Handlung, nicht aber beim assertorischen, dh. beim Nichtigkeitsschwure.</i>hin!? – Vielmehr, wie wegen des Falschschwures zu geißeln ist, ebenso ist zu geißeln wegen des Nichtigkeitsschwures. –"
Shevuot 20b:13,"Selbstverständlich, dies ist ein Verbot und jenes ist ein Verbot!? – Man könnte glauben, [man erkläre,] wie R. Papa dem Abajje erklärt hat: er werde überhaupt nicht gereinigt<sup>35</sup><i class=""footnote"">Beim Nichtigkeitsschwur (Ex. 20,7) heißt es, daß Gott denjenigen nicht ‘reinigen’ (dh. ungestraft lassen) werde; dies besagt nach der Erkl. RP.s, daß er dieserhalb nicht zu geißeln ist, damit er schuldbeladen bleibe.</i>,"
Shevuot 21a:1,"so lehrt er uns, [daß man so erkläre,] wie dieser ihm erwidert<sup>36</sup><i class=""footnote"">Daß ihn das irdische Gericht wohl reinige, dh. geißele.</i>hat."
Shevuot 21a:2,"Wenn du willst, sage ich: wie wegen des Falschschwures ein Opfer darzubringen ist, ebenso ist auch wegen des Nichtigkeitsschwures ein Opfer darzubringen, und zwar ist hier R. A͑qiba vertreten, nach dem man wegen des assertorischen [Schwures] wie wegen des promissorischen schuldig ist."
Shevuot 21a:3,"Man wandte ein: Was heißt ein Nichtigkeitsschwur? Wenn man das, was jedem Menschen bekannt ist, verkehrt beschwört. Ein Falschschwur? Wenn man etwas beschwört und es sich anders<sup>37</sup><i class=""footnote"">Also assertorisch.</i>verhält!? – Lies: wenn man etwas beschwört und [nachher] anders verfährt."
Shevuot 21a:4,"Als Rabin kam, sagte er im Namen R. Jirmejas im Namen R. Abahus im Namen R. Joḥanans: [Schwört jemand:] ich habe gegessen, oder: ich habe nicht gegessen, so ist dies [eventuell] ein Falsch[schwur], und das Verbot findet sich [im Schriftverse:] <i>ihr sollt nicht in meinem Namen falsch schwören</i>; [schwört jemand:] ich werde essen, oder: ich werde nicht essen, so übertritt er das Verbot: <i>er soll sein Wort nicht brechen.</i> Welches ist ein Nichtigkeitsschwur? – Wenn jemand etwas, was jedem Menschen bekannt ist, verkehrt beschwört."
