Index Title,Ibn Ezra on Genesis
Ibn Ezra on Genesis 2:10:1,"<b>ונהר</b>, וטרם שיברא האדם<i data-commentator=""Yahel Ohr"" data-order=""פז""></i> היה הנהר משקה הגן לכל צד<i data-commentator=""Yahel Ohr"" data-order=""פח""></i><i data-commentator=""Karnei Ohr"" data-order=""לח""></i>,"
Ibn Ezra on Genesis 2:10:2,"ואל""ף מלת ראשים<i data-commentator=""Yahel Ohr"" data-order=""פט""></i> שרש<i data-commentator=""Yahel Ohr"" data-order=""צ""></i> ונראה<i data-commentator=""Yahel Ohr"" data-order=""צא""></i> במלת מַרְאֲשוֹתֵיכֶם<i data-commentator=""Yahel Ohr"" data-order=""צב""></i> וטעמו מכבד (נ""א מכבר) הראש<i data-commentator=""Yahel Ohr"" data-order=""צג""></i>:"
Ibn Ezra on Genesis 2:11:1,"<b>שם האחד</b>, אמר הגאון<i data-commentator=""Yahel Ohr"" data-order=""צד""></i> כי פישון יאור מצרים<i data-commentator=""Yahel Ohr"" data-order=""צה""></i><i data-commentator=""Karnei Ohr"" data-order=""לט""></i> וידוע<i data-commentator=""Yahel Ohr"" data-order=""צו""></i> כי גיחון קרוב מא""י<i data-commentator=""Yahel Ohr"" data-order=""צז""></i> כי כן כתוב ""והורדתם אותו אל גיחון"" (מ""א א לג)<i data-commentator=""Yahel Ohr"" data-order=""צח""></i><i data-commentator=""Karnei Ohr"" data-order=""מ""></i>, והוא בא מפאת מזרחית דרומית<i data-commentator=""Yahel Ohr"" data-order=""צט""></i><i data-commentator=""Karnei Ohr"" data-order=""מא""></i> גם פרת כן<i data-commentator=""Yahel Ohr"" data-order=""ק""></i> והוא אחרית גבול הארץ מפאת מזרח<i data-commentator=""Yahel Ohr"" data-order=""קא""></i> ומפרשים אמרו כי חדקל הוא הנהר השני העובד על בגדאד<i data-commentator=""Yahel Ohr"" data-order=""קב""></i> עם נהר פרת<i data-commentator=""Yahel Ohr"" data-order=""קג""></i><i data-commentator=""Karnei Ohr"" data-order=""מב""></i>, אם כן הנה שלשתם מזרחים<i data-commentator=""Yahel Ohr"" data-order=""קד""></i>, ויאור מצרים<i data-commentator=""Yahel Ohr"" data-order=""קה""></i> יוצא מהר הלבונה, רחוק מקו השוה בצד נגב<i data-commentator=""Yahel Ohr"" data-order=""קו""></i>, והראיה גדולה<i data-commentator=""Yahel Ohr"" data-order=""קז""></i> בקיץ<i data-commentator=""Yahel Ohr"" data-order=""קח""></i><i data-commentator=""Karnei Ohr"" data-order=""מג""></i> וידענו כי גן עדן תהת הקו השוה, שלא יוסיף היום ולא יחסר כל ימות השנה, וריקי מוה תמהו איך יתכן זה<i data-commentator=""Yahel Ohr"" data-order=""קט""></i> והראיות גמורות בלי ספק יש עליהם<i data-commentator=""Yahel Ohr"" data-order=""קי""></i> א""כ ירד פישון לפאת דרומית מערבית<i data-commentator=""Yahel Ohr"" data-order=""קיא""></i> ואח""כ ישוב דרך צפונית<i data-commentator=""Yahel Ohr"" data-order=""קיב""></i> ואין ראיה על פישון שהוא היאור<i data-commentator=""Yahel Ohr"" data-order=""קיג""></i><i data-commentator=""Karnei Ohr"" data-order=""מד""></i>, רק שתרגם<i data-commentator=""Yahel Ohr"" data-order=""קיד""></i> החוילה כפי צרכו<i data-commentator=""Yahel Ohr"" data-order=""קטו""></i> כי אין לו קבלה, וכן עשה במשפחות<i data-commentator=""Yahel Ohr"" data-order=""קטז""></i>, ובמדינות<i data-commentator=""Yahel Ohr"" data-order=""קיז""></i> ובחיות ובעופות<i data-commentator=""Yahel Ohr"" data-order=""קיח""></i> ובאבנים<i data-commentator=""Yahel Ohr"" data-order=""קיט""></i>, אולי בחלום ראם, וכבר טעה במקצתם כאשר אפרש במקומו<i data-commentator=""Yahel Ohr"" data-order=""קכ""></i>, א""כ לא נשען על חלומותיו, אולי עשה כן לכבוד השם, בעבור שתרגם התורה בלשון ישמעאל<i data-commentator=""Yahel Ohr"" data-order=""קכא""></i> ובכתיבתם, שלא יאמרו כי יש בתורה מצות<i data-commentator=""Yahel Ohr"" data-order=""קכב""></i> לא ידענום, והזכיר הזהב<i data-commentator=""Yahel Ohr"" data-order=""קכג""></i> בעבור כבוד הנהר היוצא מהגן<i data-commentator=""Yahel Ohr"" data-order=""קכד""></i>:"
Ibn Ezra on Genesis 2:12:1,"<b>וזהב</b> , אמר הגאון כי הבדולח הם האבנים הקטנים עגולים היוצאים מהמים שהם דקים<i data-commentator=""Yahel Ohr"" data-order=""קכה""></i> ודמה המן אליהם, והכתוב אמר על עין המן לבדו<i data-commentator=""Yahel Ohr"" data-order=""קכו""></i> יאמר כי השהם אבן יקרה לבנה והיא צחה<i data-commentator=""Yahel Ohr"" data-order=""קכז""></i> ואנחנו לא נדע,"
Ibn Ezra on Genesis 2:14:1,"ופי' קדמת אשור התי""ו קדמת תחת ה""א<i data-commentator=""Yahel Ohr"" data-order=""קכח""></i> וההפרש בינו ובין קדם, כי ה""א קדמה תחת אֶל הפתוח בפתח קטן<i data-commentator=""Yahel Ohr"" data-order=""קכט""></i> וכן וירד אברם מצרימה (למטה יב יו""ד) כמו אל מצרים, והנה קדמת אשור, אל מזרח אשור<i data-commentator=""Yahel Ohr"" data-order=""קל""></i><i data-commentator=""Karnei Ohr"" data-order=""מה""></i>, ודע<i data-commentator=""Yahel Ohr"" data-order=""קלא""></i> כי מהפסוק הראשון עד לעשות<i data-commentator=""Yahel Ohr"" data-order=""קלב""></i> הזכיר הכתוב אלהים, ואח""כ הזכיר השם הנכבד והנורא עמו<i data-commentator=""Yahel Ohr"" data-order=""קלג""></i><i data-commentator=""Karnei Ohr"" data-order=""מו""></i> ומה יקרו דברי קדמונינו ז""ל שאמרו<i data-commentator=""Yahel Ohr"" data-order=""קלד""></i> נקרא שם מלא על עולם מלא<i data-commentator=""Yahel Ohr"" data-order=""קלה""></i><i data-commentator=""Karnei Ohr"" data-order=""מז""></i> כי לא היה שם כח מקבל זה השם<i data-commentator=""Yahel Ohr"" data-order=""קלו""></i><i data-commentator=""Karnei Ohr"" data-order=""מח""></i>, ובפרשת ואלה שמות אפרש סוד השם<i data-commentator=""Yahel Ohr"" data-order=""קלז""></i> ואם הוא סמוך<i data-commentator=""Yahel Ohr"" data-order=""קלח""></i> אם יעזרני ד', ודע<i data-commentator=""Yahel Ohr"" data-order=""קלט""></i> כי מקום האדמה שנברא ממנה אדם קרוב אל גן עדן<i data-commentator=""Yahel Ohr"" data-order=""קמ""></i><i data-commentator=""Karnei Ohr"" data-order=""מט""></i>, כי יש אומרים, כי האדמה<i data-commentator=""Yahel Ohr"" data-order=""קמא""></i> היא ארץ ישראל<i data-commentator=""Yahel Ohr"" data-order=""קמב""></i> והנח שכחו ויהי בנסעם מקדם (למטה יא ב)<i data-commentator=""Yahel Ohr"" data-order=""קמג""></i><i data-commentator=""Karnei Ohr"" data-order=""נ""></i>:"
Ibn Ezra on Genesis 2:15:1,"<b>בגן</b>, לשון זכר ונקבה<i data-commentator=""Yahel Ohr"" data-order=""קמד""></i> וכן חבורו גנים גנות<i data-commentator=""Yahel Ohr"" data-order=""קמה""></i>, והאומרים כי לעבדה ולשמרה<i data-commentator=""Yahel Ohr"" data-order=""קמו""></i> שב אל האדמה<i data-commentator=""Yahel Ohr"" data-order=""קמז""></i><i data-commentator=""Karnei Ohr"" data-order=""נא""></i>, איך יתכן לעבוד ולשמור מקום גדול<i data-commentator=""Yahel Ohr"" data-order=""קמח""></i> ממקום קטן<i data-commentator=""Yahel Ohr"" data-order=""קמט""></i>, ואחר שחטא והוציאו לעבוד את האדמה<i data-commentator=""Yahel Ohr"" data-order=""קנ""></i>, וכבר היה עובד האדמה<i data-commentator=""Yahel Ohr"" data-order=""קנא""></i>, רק פי' לעבדה על הגן<i data-commentator=""Yahel Ohr"" data-order=""קנב""></i> שמפריו יאכל, ואחר שחטא שב לאכול את עשב השדה, והוא הלחם,"
Ibn Ezra on Genesis 2:15:2,"וטעם לעבדה, להשקות הגן<i data-commentator=""Yahel Ohr"" data-order=""קנג""></i> ולשמרה מכל החיות<i data-commentator=""Yahel Ohr"" data-order=""קנד""></i> שלא יכנסו שם ויטנפוהו<i data-commentator=""Yahel Ohr"" data-order=""קנה""></i> וי""א כי כן פי' לעבוד מצותו<i data-commentator=""Karnei Ohr"" data-order=""נב""></i> והמצוה לא תעבוד<i data-commentator=""Yahel Ohr"" data-order=""קנו""></i>:"
Ibn Ezra on Genesis 2:16:1,"<b>ויצו</b>, מלת צווי עם על, מצות לא תעשה<i data-commentator=""Yahel Ohr"" data-order=""קנז""></i><i data-commentator=""Karnei Ohr"" data-order=""נג""></i>, וכן על העבים אצוה (ישעי, ה ו)<i data-commentator=""Yahel Ohr"" data-order=""קנח""></i> אעפ""י שהתרתי לך פרי עץ הגן, לא תאכל מפרי עץ הדעת<i data-commentator=""Yahel Ohr"" data-order=""קנט""></i>,"
Ibn Ezra on Genesis 2:17:1,"ואחר שאמר מעץ הדעת לא תאכל, מה צורך למלת ממנו רק הוסיף לבאר<i data-commentator=""Yahel Ohr"" data-order=""קס""></i><i data-commentator=""Karnei Ohr"" data-order=""נד""></i>, וכן ""ותפתח ותראהו את הילד"" (שמות ב ו)<i data-commentator=""Yahel Ohr"" data-order=""קסא""></i>, או טעמו אפילו מעט ממנו<i data-commentator=""Yahel Ohr"" data-order=""קסב""></i>, ודקדוק ""ממנו"" בס' היסוד תמצאנו<i data-commentator=""Yahel Ohr"" data-order=""קסג""></i>, ודע כי אדם מלא דעת היה<i data-commentator=""Yahel Ohr"" data-order=""קסד""></i> כי השם לא יצוה לאשר אין לו דעת<i data-commentator=""Yahel Ohr"" data-order=""קסה""></i> רק דעת טוב ורע בדבר אחד לבדו לא ידע<i data-commentator=""Yahel Ohr"" data-order=""קסו""></i><i data-commentator=""Karnei Ohr"" data-order=""נה""></i> הלא תראה שקרא שמות לכל הבהמה והעוף<i data-commentator=""Yahel Ohr"" data-order=""קסז""></i><i data-commentator=""Karnei Ohr"" data-order=""נו""></i> כפי תולדת כל אחד ואחד<i data-commentator=""Yahel Ohr"" data-order=""קסח""></i><i data-commentator=""Karnei Ohr"" data-order=""נז""></i> והנה חכם גדול היה, ולולי שהיה כן לא הביא השם את בריאותיו אליו לראות מה יקראם, והוא יודע ממנו שהוא בער,<i data-commentator=""Yahel Ohr"" data-order=""קסט""></i><i data-commentator=""Karnei Ohr"" data-order=""נח""></i> גם השם הראה לו עץ הדעת<i data-commentator=""Yahel Ohr"" data-order=""קע""></i>, כי הנה אשתו ידעה<i data-commentator=""Yahel Ohr"" data-order=""קעא""></i><i data-commentator=""Karnei Ohr"" data-order=""נט""></i> שהוא בתוך הגן:"
Ibn Ezra on Genesis 2:18:1,"<b>ויאמר</b><i data-commentator=""Yahel Ohr"" data-order=""קעב""></i><i data-commentator=""Karnei Ohr"" data-order=""ס""></i> טעם לא טוב, לאדם<i data-commentator=""Yahel Ohr"" data-order=""קעג""></i><i data-commentator=""Karnei Ohr"" data-order=""סא""></i>,"
Ibn Ezra on Genesis 2:18:2,"ועזר, כטעם ""טובים השנים מן האחד"" (קהלת ד ט),<i data-commentator=""Yahel Ohr"" data-order=""קעד""></i><i data-commentator=""Karnei Ohr"" data-order=""סב""></i>,"
Ibn Ezra on Genesis 2:19:1,"ולמ""ד אשר יקרא לו האדם, מושך עצמו ואחר עמו, וכן הוא אשר יקרא לו האדם לנפש חיה<i data-commentator=""Yahel Ohr"" data-order=""קעה""></i><i data-commentator=""Karnei Ohr"" data-order=""סג""></i> כי יש בו תוספת כיאור, כמו ""ותפתח ותראהו"" (שמות ב ו)<i data-commentator=""Yahel Ohr"" data-order=""קעו""></i> ורבים כמוהו<i data-commentator=""Yahel Ohr"" data-order=""קעז""></i><i data-commentator=""Karnei Ohr"" data-order=""סד""></i>,"
Ibn Ezra on Genesis 2:20:1,"ומלת לכל הבהמה, גם היא מושכת עצמה ואחרת עמה, כי טעמו ולכל עוף השמים<i data-commentator=""Yahel Ohr"" data-order=""קעח""></i>, וכן ""ויהי מתיו ממפר"" (דבר' לג ו)<i data-commentator=""Yahel Ohr"" data-order=""קעט""></i>, וכן ""ולא למדתי חכמה"" (משלי ל, ג),<i data-commentator=""Yahel Ohr"" data-order=""קפ""></i>, ורבים כאלה,"
Ibn Ezra on Genesis 2:20:2,"וטעם ולאדם לא מצא, ולנפשו לא מצא<i data-commentator=""Yahel Ohr"" data-order=""קפא""></i>, כי כן מנהג לה""ק, כמו ""וישלח ד' את ירבעל ואת בדן ואת יפתח ואת שמואל"" (ש""א יב יא),<i data-commentator=""Yahel Ohr"" data-order=""קפב""></i><i data-commentator=""Karnei Ohr"" data-order=""סה""></i>, ורחוק הוא בעיני שישוב אל השם<i data-commentator=""Yahel Ohr"" data-order=""קפג""></i>, ופה אמר כי העוף נוצר מהאדמה,<i data-commentator=""Yahel Ohr"" data-order=""קפד""></i> ולמעלה מהמים<i data-commentator=""Yahel Ohr"" data-order=""קפה""></i> כי משניהם נוצר<i data-commentator=""Yahel Ohr"" data-order=""קפו""></i><i data-commentator=""Karnei Ohr"" data-order=""סו""></i>:"
Ibn Ezra on Genesis 2:21:1,"<b>ויפל.</b> מהבנין הכבד הנוסף,<i data-commentator=""Yahel Ohr"" data-order=""קפז""></i>, וכן ""וישב אותם אברם"" (למטה טו יא),"
Ibn Ezra on Genesis 2:21:2,"תרדמה, יותר משינה<i data-commentator=""Yahel Ohr"" data-order=""קפח""></i><i data-commentator=""Karnei Ohr"" data-order=""סז""></i>, ושינה יותד מתנומה<i data-commentator=""Yahel Ohr"" data-order=""קפט""></i>, והתי""ו נוסף<i data-commentator=""Yahel Ohr"" data-order=""קצ""></i>,"
Ibn Ezra on Genesis 2:21:3,"אחת מצלעותיו, שתי צלעות היו<i data-commentator=""Yahel Ohr"" data-order=""קצא""></i> כענין ולצלע המשכן השנית (שמות כו ו)<i data-commentator=""Yahel Ohr"" data-order=""קצב""></i>, ומלת צלע לשון נקבה, והטעם צד<i data-commentator=""Yahel Ohr"" data-order=""קצג""></i><i data-commentator=""Karnei Ohr"" data-order=""סח""></i>,"
Ibn Ezra on Genesis 2:21:4,"תחתנה, מקומה<i data-commentator=""Yahel Ohr"" data-order=""קצד""></i> והוא לשון יחיד<i data-commentator=""Yahel Ohr"" data-order=""קצה""></i> הנו""ן נוסף<i data-commentator=""Yahel Ohr"" data-order=""קצו""></i> ותחתיה<i data-commentator=""Yahel Ohr"" data-order=""קצז""></i> לשון רבים<i data-commentator=""Yahel Ohr"" data-order=""קצח""></i>, וכן תחתני<i data-commentator=""Yahel Ohr"" data-order=""קצט""></i> גם תחתי<i data-commentator=""Yahel Ohr"" data-order=""ר""></i>:"
Ibn Ezra on Genesis 2:22:1,"<b>ויבן.</b> <i data-commentator=""Karnei Ohr"" data-order=""סט""></i> מהבנין הכבד, גם מהבנין הקל, כמו ""ויפן"" (שמות ז כג)<i data-commentator=""Yahel Ohr"" data-order=""רא""></i> ""ויקן"" (למטה לג יט)<i data-commentator=""Yahel Ohr"" data-order=""רב""></i>:"
Ibn Ezra on Genesis 2:22:2,"<b>ויביאה.</b> חשב בהקיצו בראותו אותה<i data-commentator=""Yahel Ohr"" data-order=""רג""></i> כי הובאה אליו כאשר הובאו הבהמות<i data-commentator=""Yahel Ohr"" data-order=""רד""></i> והכתוב דבר על מחשבתו<i data-commentator=""Yahel Ohr"" data-order=""רה""></i> וכן ""והאנשים רדפו אחריהם"" (יהושע ב ז)<i data-commentator=""Yahel Ohr"" data-order=""רו""></i> או נבנתה חוץ לגן ואחרי כן הובאה אליו<i data-commentator=""Yahel Ohr"" data-order=""רז""></i> וכאשר הסתכל ידע שנגזרה ממנו, כי צלעו האחת עם בשרה איננה<i data-commentator=""Yahel Ohr"" data-order=""רח""></i> והרגיש שבשר אחר הובא בו<i data-commentator=""Yahel Ohr"" data-order=""רט""></i>:"
Ibn Ezra on Genesis 2:23:1,"<b>ויאמר</b>. אז אמר זאת הפעם מצאתי עזר כנגדי כמוני<i data-commentator=""Yahel Ohr"" data-order=""רי""></i> כי ממני היה<i data-commentator=""Yahel Ohr"" data-order=""ריא""></i><i data-commentator=""Karnei Ohr"" data-order=""ע""></i> ודבר לילית דרש<i data-commentator=""Yahel Ohr"" data-order=""ריב""></i>:"
Ibn Ezra on Genesis 2:23:2,"<b>ולזאת</b>. בעבור זאת, וכן ""אמרי לי אחי הוא"" (למטה כ יג)<i data-commentator=""Yahel Ohr"" data-order=""ריג""></i><i data-commentator=""Karnei Ohr"" data-order=""עא""></i>"
Ibn Ezra on Genesis 2:23:3,"ודגשות שי""ן ""אשה"" תמורת היו""ד הנח הנעלם שהוא באיש<i data-commentator=""Yahel Ohr"" data-order=""ריד""></i>, ויתכן שסבת דבור אשה דגוש ולא רפה, שלא יתערב עם ""אישה"" שהוא בעלה<i data-commentator=""Yahel Ohr"" data-order=""רטו""></i><i data-commentator=""Karnei Ohr"" data-order=""עב""></i> כי פעם יהסרו הראות הה""א<i data-commentator=""Yahel Ohr"" data-order=""רטז""></i>, ונשים מן אנוש ואנשים<i data-commentator=""Yahel Ohr"" data-order=""ריז""></i>,"
Ibn Ezra on Genesis 2:23:4,"וטעם יקרא<i data-commentator=""Yahel Ohr"" data-order=""ריח""></i> על שֵם<i data-commentator=""Yahel Ohr"" data-order=""ריט""></i><i data-commentator=""Karnei Ohr"" data-order=""עג""></i>."
Ibn Ezra on Genesis 2:23:5,"ולא נדגש קו""ף ""לֻקָחָה זאת""<i data-commentator=""Yahel Ohr"" data-order=""רכ""></i> להקל על הלשון והוא מהבנין הכבד, ואם לא נמצא<i data-commentator=""Yahel Ohr"" data-order=""רכא""></i>"
Ibn Ezra on Genesis 2:23:6,"וטעם והיו לבשר אחד<i data-commentator=""Yahel Ohr"" data-order=""רכב""></i> כאלו הם<i data-commentator=""Yahel Ohr"" data-order=""רכג""></i>, או שידמו כאשר היו<i data-commentator=""Yahel Ohr"" data-order=""רכד""></i> וי""א שיולידו אחר (צ""ל אחד)<i data-commentator=""Yahel Ohr"" data-order=""רכה""></i> והוא רחוק<i data-commentator=""Yahel Ohr"" data-order=""רכו""></i>:"
Ibn Ezra on Genesis 2:25:1,"<b>ערומים.</b> שם התואר<i data-commentator=""Yahel Ohr"" data-order=""רכז""></i><i data-commentator=""Karnei Ohr"" data-order=""עד""></i> וכן ובגדי ערומים תפשיט (איוב כב ו)<i data-commentator=""Yahel Ohr"" data-order=""רכח""></i>, וי""א כי גם ""ערום ראה רעה ויסתר (משלי כב ג) כמוהו<i data-commentator=""Yahel Ohr"" data-order=""רכט""></i>, וטעמו שהרוח ערום בלי מכסה כדמות העי""ן<i data-commentator=""Yahel Ohr"" data-order=""רל""></i>:"
Ibn Ezra on Genesis 2:25:2,"<b>יתבששו.</b> מבושת<i data-commentator=""Yahel Ohr"" data-order=""רלא""></i><i data-commentator=""Karnei Ohr"" data-order=""עה""></i> והוא מהשנים שיש נח נעלם ביניהם<i data-commentator=""Yahel Ohr"" data-order=""רלב""></i><i data-commentator=""Karnei Ohr"" data-order=""עו""></i> והאות האחרון<i data-commentator=""Yahel Ohr"" data-order=""רלג""></i> כפול<i data-commentator=""Yahel Ohr"" data-order=""רלד""></i> כמו ""יתבונן"" (איוב יא יא)<i data-commentator=""Karnei Ohr"" data-order=""עז""></i>, ונקמץ השי""ן<i data-commentator=""Yahel Ohr"" data-order=""רלה""></i> בעבור שהוא סוף פסוק:"
Ibn Ezra on Genesis 3:1:1,"<b>והנחש</b>. י""א כי האשה היתה מבינה ויודעת לשון החיות, ויפרשו ויאמר הנחש ברמיזה<i data-commentator=""Yahel Ohr"" data-order=""א""></i><i data-commentator=""Karnei Ohr"" data-order=""א""></i> ואחרים אמרו שהוא שטן<i data-commentator=""Yahel Ohr"" data-order=""ב""></i><i data-commentator=""Karnei Ohr"" data-order=""ב""></i> ואיך לא יראו סוף הפרשה, כי אלך ילך השטן על גחון, ואיך יאכל עפר ומה טעם לקללת, הוא ישופך ראש""<i data-commentator=""Yahel Ohr"" data-order=""ג""></i><i data-commentator=""Karnei Ohr"" data-order=""ג""></i>, ורבים השתבשו לחקור למה היה קולל הנחש, ואם היתה לו דעת שלמה, או צוה שלא ישיא האשה<i data-commentator=""Yahel Ohr"" data-order=""ד""></i>, ויאמר רב סעדיה גאון<i data-commentator=""Yahel Ohr"" data-order=""ה""></i> אחר שהתבררה לנו שאין דבור ודעת כי אם באדם לבדו, נצטרך לומר כי הנחש גם האתון לא דברו<i data-commentator=""Yahel Ohr"" data-order=""ו""></i> רק מלאך דבר בשבילם<i data-commentator=""Yahel Ohr"" data-order=""ז""></i>, והשיב עליו רב שמואל בן חפני<i data-commentator=""Yahel Ohr"" data-order=""ח""></i>, והנה קם ר' שלמה הספרדי בעלי השירים השקולים, וחכם גדול היה<i data-commentator=""Yahel Ohr"" data-order=""ט""></i> והשיב על רב שמואל<i data-commentator=""Yahel Ohr"" data-order=""י""></i>, והישר בעיני שהם הדברים כמשמעם, והנחש היה מדבר, והיה הולך בקומה זקופה<i data-commentator=""Karnei Ohr"" data-order=""ד""></i>, והשָם דעת באדם שם בו<i data-commentator=""Yahel Ohr"" data-order=""יא""></i><i data-commentator=""Karnei Ohr"" data-order=""ה""></i>, והנה הפסוק העיד כי היה ערום מכל חית השדה<i data-commentator=""Yahel Ohr"" data-order=""יב""></i><i data-commentator=""Karnei Ohr"" data-order=""ו""></i> רק לא כאדם<i data-commentator=""Yahel Ohr"" data-order=""יג""></i>, ופי' ערום חכם שיעשה דבריו בערמה<i data-commentator=""Yahel Ohr"" data-order=""יד""></i>, ואל תתמה בעבור היות ערום אחר ערומים<i data-commentator=""Yahel Ohr"" data-order=""טו""></i>, והם שני טעמים<i data-commentator=""Yahel Ohr"" data-order=""טז""></i><i data-commentator=""Karnei Ohr"" data-order=""ז""></i>, כי באלה הצחות בלשון, כמו ""בלחי החמור חמור חמורתים (שופ', טו טז)<i data-commentator=""Yahel Ohr"" data-order=""יז""></i><i data-commentator=""Karnei Ohr"" data-order=""ח""></i>, וכן ""על שלשים עיירים, ושלשים עיירים להם"" (שם יו""ד ד)<i data-commentator=""Yahel Ohr"" data-order=""יח""></i>, ועוד<i data-commentator=""Yahel Ohr"" data-order=""יט""></i> אם המלאך דבר על פיו<i data-commentator=""Yahel Ohr"" data-order=""כ""></i> אין חטא לנחש<i data-commentator=""Yahel Ohr"" data-order=""כא""></i> וזה המלאך לא יתכן להיות שלוחו של השם, ואין המלאך ממרה פי השם<i data-commentator=""Yahel Ohr"" data-order=""כב""></i>, והשואלים איך (וי""ג אנה) מצא הנחש את האשה<i data-commentator=""Yahel Ohr"" data-order=""כג""></i> איננה שאלה<i data-commentator=""Yahel Ohr"" data-order=""כד""></i>,"
Ibn Ezra on Genesis 3:1:2,"וטעם אף<i data-commentator=""Yahel Ohr"" data-order=""כה""></i> כי<i data-commentator=""Yahel Ohr"" data-order=""כו""></i> יורה כי דבר דברים אחרים<i data-commentator=""Yahel Ohr"" data-order=""כז""></i><i data-commentator=""Karnei Ohr"" data-order=""ט""></i>, ואמר בסוף<i data-commentator=""Yahel Ohr"" data-order=""כח""></i> קל וחומר<i data-commentator=""Yahel Ohr"" data-order=""כט""></i> שאמר לכם לא תאכלו פרי כל עץ כלל<i data-commentator=""Yahel Ohr"" data-order=""ל""></i> ""לא הזכיר הנחש השם הנכבד והנורא<i data-commentator=""Yahel Ohr"" data-order=""לא""></i> כי לא ידעו<i data-commentator=""Yahel Ohr"" data-order=""לב""></i><i data-commentator=""Karnei Ohr"" data-order=""י""></i>, גם האשה הוסיפה על מצות השם, ולא תגעו בו<i data-commentator=""Karnei Ohr"" data-order=""יא""></i>, וכן הוסיפה אשת מנוח עד יום מותו (שופ' יג ז)<i data-commentator=""Yahel Ohr"" data-order=""לג""></i><i data-commentator=""Karnei Ohr"" data-order=""יב""></i>:"
Ibn Ezra on Genesis 3:5:1,"<b>והייתם כאלהים.</b> כמלאכים<i data-commentator=""Yahel Ohr"" data-order=""לד""></i><i data-commentator=""Karnei Ohr"" data-order=""יג""></i>:"
Ibn Ezra on Genesis 3:6:1,"<b>ותרא האשה.</b>  בלבה<i data-commentator=""Yahel Ohr"" data-order=""לה""></i>:"
Ibn Ezra on Genesis 3:6:2,"<b>ונחמד העץ,</b> בעבור שתשכיל<i data-commentator=""Yahel Ohr"" data-order=""לו""></i><i data-commentator=""Karnei Ohr"" data-order=""יד""></i> ותפקחנה עיניה<i data-commentator=""Yahel Ohr"" data-order=""לז""></i><i data-commentator=""Karnei Ohr"" data-order=""טו""></i>,"
Ibn Ezra on Genesis 3:6:3,"וטעם עמה שיחד אכלוהו<i data-commentator=""Yahel Ohr"" data-order=""לח""></i> וגלתה לו סוד הנחש<i data-commentator=""Yahel Ohr"" data-order=""לט""></i>, והנה לא היה אדם שוגג על כן נענש, ורבים אמרו כי עץ הדעת עץ תאנה<i data-commentator=""Yahel Ohr"" data-order=""מ""></i> בעבור שמצאו ""ויתפרו עלה תאנה"" (למטה פ' ז)<i data-commentator=""Yahel Ohr"" data-order=""מא""></i><i data-commentator=""Karnei Ohr"" data-order=""טז""></i>, ואלו היה כן היה הכתוב אומר ויתפרו עלה עץ הדעת, גם רבים אמרו שחטה היה<i data-commentator=""Yahel Ohr"" data-order=""מב""></i><i data-commentator=""Karnei Ohr"" data-order=""יז""></i>, והנכון בעיני ששני עצים הם בתוך גן עדן ואינם במקום אחר על כל פני האדמה<i data-commentator=""Yahel Ohr"" data-order=""מג""></i><i data-commentator=""Karnei Ohr"" data-order=""יח""></i>, והאחד עץ הדעת והוא יוליד תאות המשגל<i data-commentator=""Yahel Ohr"" data-order=""מד""></i>, וע""כ כסו האדם ואשתו ערותם<i data-commentator=""Yahel Ohr"" data-order=""מה""></i><i data-commentator=""Karnei Ohr"" data-order=""יט""></i>, ופי' ויתפרו ידוע<i data-commentator=""Yahel Ohr"" data-order=""מו""></i> וכן שק תפרתי עלי גלדי (איוב טז טו), והמבקשים מחט<i data-commentator=""Yahel Ohr"" data-order=""מז""></i> מהבילים<i data-commentator=""Yahel Ohr"" data-order=""מח""></i> כי בעץ דק יעשו צרכם<i data-commentator=""Yahel Ohr"" data-order=""מט""></i>, וכאשר אכל אדם מעץ הדעת ידע את אשתו<i data-commentator=""Yahel Ohr"" data-order=""נ""></i> וזאת הידיעה כנוי למשגל<i data-commentator=""Yahel Ohr"" data-order=""נא""></i> ובעבור עץ הדעת נקרא כן<i data-commentator=""Yahel Ohr"" data-order=""נב""></i><i data-commentator=""Karnei Ohr"" data-order=""כ""></i>, גם הנער כאשר ידע הטוב והרע אז יחל לתאות המשגל<i data-commentator=""Yahel Ohr"" data-order=""נג""></i>,<i data-commentator=""Karnei Ohr"" data-order=""כא""></i>:"
