term english,term translation,term alternate,term hebrew,term hebrew alternate,hebrew description,english description,,
,Equating of Form,"equating of its form, equating of forms, equated the form, equates its form",הַשְׁוָאַת הַצּוּרָה,הַשְׁוָואַת הַצּוּרָה,,"When discussing intangible spiritual <<levels>> or entities, the concepts of space and physical proximity do not apply. Spiritual entities and <<levels>> have different conceptual forms, or “<i>tzura</i>,” referring to the parameters or characteristics of a <<level>> or aspect. When a spiritual entity adapts its nature so that it resembles another entity, the two entities are said to have achieved an equating of form. This equating of form creates a state called <i>devekut</i>, bonding, attachment, or merging one with the other. While in the physical world, two entities are attached or joined through physical proximity, in the nonspatial spiritual realm, attachment is achieved through the equating of form.",107,
Neshama,,,נְשָׁמָה,,,"The term <i>neshama</i> commonly refers to the soul, the divine aspect that exists within every being and sustains it. But according to the teachings of the Kabbala, the soul actually contains five <<levels>> or lights – <<<i>nefesh</i>>>, <<<i>ruaḥ</i>>>, <<<i>neshama</i>>>, <<<i>ḥaya</i>>>, and <<<i>yeḥida</i>>> – the third of which is called “<i>neshama</i>.” These five <<levels>> (synonymous with the five lights that correspond and fill the five <<<i>sefirot</i>>> vessels) of the soul correspond to the five <<<i>sefirot</i>>> of <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>>, as well as the five worlds of <<<i>Adam Kadmon</i>>>, <<<i>Atzilut</i>>>, <<<i>Beria</i>>>, <<<i>Yetzira</i>>>, and <<<i>Asiya</i>>>.The <i>neshama</i> <<level>> corresponds to the <<<i>sefira</i>>> of <<<i>Bina</i>>> and the world of <<<i>Beria</i>>>, and represents the light that illuminates this <<<i>sefira</i>>> <i></i>and world. Therefore one merits it – i.e., it illuminates in the body of a person or a <<level>> – only after meriting the lower lights (soul <<levels>>), which are <<<i>nefesh</i>>> and <<<i>ruaḥ</i>>>. After attaining it, one can merit the higher lights of <<<i>ḥaya</i>>> and <<<i>yeḥida</i>>>. ",162,
Tikkunei Zohar,,,תִּקּוּנֵי זֹהַר,,,"<i>Tikkunei Zohar</i> is a section of the <i>Zohar</i> attributed to the second-century tannaitic Sage Rabbi Shimon bar Yoḥai. It comprises a collection of seventy sermons, called <i>Tikkunim</i>, or “Rectifications,” on the opening word of the Torah, <i>bereshit</i>. <i>Tikkunei Zohar</i> differs in its style from the other sections of the <i>Zohar</i>, but it is considered the more profound and loftier work, which is why many kabbalists over the generations have studied it as a separate work in itself.",77,
Ruaḥ,,,רוּחַ,,,"This is the name for the second of the five <<levels>> (and corresponding light) of the soul: <<<i>nefesh</i>>>, <<<i>ruaḥ</i>>>, <<<i>neshama</i>>>, <<<i>ḥaya</i>>>, and <<<i>yeḥida</i>>>. These five <<levels>> of the soul correspond to the five primary <i>sefirot</i>, <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>>, as well as the five worlds, <<<i>Adam Kadmon</i>>>, <<<i>Atzilut</i>>>, <<<i>Beria</i>>>, <<<i>Yetzira</i>>>, and <<<i>Asiya</i>>>. The <i>ruaḥ</i> <<level>> of the soul corresponds to and is the light of the <<level>> of <<<i>Tiferet</i>>> and the world of <<<i>Yetzira</i>>>. A person attains the illumination of this aspect of the soul after first attaining the illumination of the lowest part, which is the <<<i>nefesh</i>>>.",100,
Nefesh,,,נֶפֶשׁ,,,"This is the name for the first and lowest of the five <<levels>> (and corresponding lights) of the soul, <<<i>nefesh</i>>>, <<<i>ruaḥ</i>>>, <<<i>neshama</i>>>, <<<i>ḥaya</i>>>, and <<<i>yeḥida</i>>>. These five <<levels>> of the soul correspond to the five primary <i>sefirot</i>, of <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>>, as well as the five worlds, <<<i>Adam Kadmon</i>>>, <<<i>Atzilut</i>>>, <<<i>Beria</i>>>, <<<i>Yetzira</i>>>, and <<<i>Asiya</i>>>. The concept of the five <<levels>> of the soul relates to five qualities of supernal light which illuminate people as well as the <<levels>> of broader reality. The <i>nefesh</i> corresponds to and is the light that belongs to the <<<i>sefira</i>>> of <<<i>Malkhut</i>>> and the world of <<<i>Asiya</i>>>, and it is the first aspect of the soul that is illuminated within a person or an aspect of reality.",124,
Tzimtzum,constriction,,צִמְצוּם,,,"The constriction refers to a diminishing of the divine light. This constriction does not constitute a change in the divine light itself, as the Creator bestows His light constantly and fully. Rather, any constriction of the light is the result of a change in the created vessels formed of the will to receive. In order for constriction to take place, the vessel is modified through the placement of a <<partition>> upon it so that it is prevented from receiving the light. There are two types of constriction in the process of creation, the first constriction (in which a <<partition>> is placed upon the vessel), and the <<second constriction>>.",108,
Partzuf,,"partzufim, Partzufim",פַּרְצוּף,,,"A <i>partzuf</i> is a configuration of the <<<i>sefirot</i>>> into more complex structures that serve to reveal the divine light that emanates from the Creator in a way that the created entities can receive it. A <<<i>sefira</i>>> can be thought of as a basic building block of the structure called <i>partzuf</i>. Although <i>partzuf</i> literally means “countenance” or “face,” it is actually composed of a <<head>>, a <<body>>, and legs, similar to the structure of a human body. A <i>partzuf</i> is formed as a result of a <<<i>fusion through collision</i>>>, where the <<returning light>> from the collision <<enclothed>> the supernal light, forming a new structure that reflects the qualities and amounts of the supernal light <<enclothed>> in the <<returning light>>. In each of the five worlds in reality – <<<i>Adam Kadmon</i>>>, <<<i>Atzilut</i>>>, <<<i>Beria</i>>>, <<<i>Yetzira</i>>>, and <<<i>Asiya</i>>> – there are five <i>partzufim</i>, corresponding to the five primary <<<i>sefirot</i>>>: <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>>.",151,
,Partition,"partitions, partition",מָסָךְ,,,"The partition is a barrier that prevents the supernal light from radiating into lower <<levels>> of existence. As a result, the partition rebuffs it, like a mirror that reflects light back to its source. The partition is manifest during the process of creation, as a result of the first <<constriction (<i>tzimtzum</i>)>>, and it is a way of describing the resistance of the created being to receiving the supernal light in its fourth <<level>>, which corresponds to, and is called, <<<i>Malkhut</i>>>. The collision between the supernal light and the partition causes the light to be rebuffed, and as a result, the <<returning light>> becomes a new vessel for the supernal light. There are partitions at every <<level>> of reality, and each partition has different degrees of <<<i>opacity (ovyut)</i>>> and <<<i>hardness (kashyut)</i>>>, giving rise to a variance in the structures of <<returning light>> that a given partition generates. This also underlies the variance found in the different <<levels>> of reality, such as the <<<i>partzufim</i>>>. In addition to the partitions that rebuff the light, there are partitions that serve as a terminating point of a particular <<level>> of existence (such as a <<<i>partzuf</i>>>), and the division between one <<level>> of existence and another. In general terms, it can be said that the different operations of these differences in the partitions are the causes of the differences between the various <<levels>> and stages of creation, as a result of the variance of <<opacity>> and <<hardness>> and the resulting varying heights of <<returning light>>.",249,
,Returning Light,,אוֹר חוֹזֵר,,,"The returning light is formed when the <<partition>> of a particular <<level>> of existence rebuffs the supernal light, returning it to its source in the manner of a light refracting off a mirror. This returning light is generated through the resistance of the receiving entity to receiving the supernal light. The returning light does not disappear but rather <<enclothes>> the supernal light, which is then manifest as a new vessel for the supernal light. All the <<levels>> and <<<i>partzufim</i>>> of creation are formed through <<enclothing>> supernal, or “direct light” in the receiving entity’s returning light.",95,
,Head,head,רֹאשׁ,,,"The head refers to the highest part of a <<level>>. For example, in each <<<i>partzuf</i>>>, the first three <<<i>sefirot</i>>> are considered the head of that <<<i>partzuf</i>>>. Additionally, the root of every <<level>> may also be defined as its head. This might occur when the <<returning light>> resulting from a <<<i>fusion through collision</i>>> with a <<partition>> <<enclothed>> the supernal light. While this process ultimately allows for the <<returning light>> to serve as a complete vessel for the supernal light, initially it only serves as the conceptual root of that actualized vessel. This initial stage of <<enclothing>> of the supernal light by the <<returning light>> is called the head of the particular <<<i>partzuf</i>>>.",111,
,Body,body,גּוּף,,,"The term <i>guf</i>, body, essentially has three meanings in kabbalistic literature. The first is the vessel for the supernal light. Just as the physical body is a vessel for the soul, so too vessels of all kinds and on all <<levels>> of reality are called bodies (while the lights within them are called <i>neshamot</i>, souls). Second, “body” can refer to the central and important aspect that defines each <<level>>. The third meaning of “body” is in the context of the structure of a <<<i>partzuf</i>>>: the <<<i>sefirot</i>>> of <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, and <<<i>Tiferet</i>>>, or sometimes <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>, contained in the <<<i>partzuf</i>>> are called the body of the <<<i>partzuf</i>>>, in contrast to the first three <<<i>sefirot</i>>> contained in the <<<i>partzuf</i>>> – <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, and <<<i>Bina</i>>>  – which are considered the <<head>> of the <<<i>partzuf</i>>>.",136,
,Fusion through Collision,"fusions through collision, fusion through the collision, fusion, fusion through that collision",זִיוּוּג דְּהַכָּאָה,,,"Fusion through collision refers to the clash between the supernal light, which shines continuously, and a <<partition>>, which is the force of resistance of a created being, or <<<i>vessel</i>>>, to receiving the supernal light. When the supernal light is rebuffed by the created entity, the fusion through collision produces the <<returning light>>, which initiates the process through which a new vessel or entity is created. In this context, “fusion” denotes the merging of two entities, which leads to the formation of a new entity, while “collision” means opposition and rejection. These concepts express the two opposing forces that act upon the <<partition>>: <<<i>opacity (ovyut)</i>>>, which constitutes the will to receive the supernal light, and <<<i>hardness (kashyut)</i>>>, which is the force of resistance to the light and its repulsion. These two opposing forces act in parallel and cause the vessel to draw the supernal light in on one hand and rebuff it on the other, thus forming the <<returning light>>. It is this coupling interaction that gives birth to the new <<level>> and <<<i>partzuf</i>>>.",173,
Kelippot,Husks,kelippa,קְלִיפּוֹת,,,"<i>Kelippot</i> are <<levels>> of reality that do not contain any will to give, only the will to receive. Since their essence is one of receiving or “taking,” they are constantly trying to pull all of reality into themselves – in essence, to swallow everything in existence. Since the essence of life is the divine light, which is composed entirely of the energy of giving, they and all that is connected to them are considered to be “dead.” The <i>kelippot</i> are therefore compared to the husks or shells of a fruit, which are detached from the life that is inside the fruit. Since these entities are wholly receiving, unable to give, they have no true connection with the life force of creation, like the dead.",124,
Shiur Koma,Dimension of Height,"shiurei koma, dimension of height",שִׁעוּרֵי קוֹמָה,,,"“Height” refers to a characteristic of the <<returning light>>, which reaches a certain height when it ascends as a result of the <<<i>fusion through collision</i>>> of the supernal light against the <<partition>>. What determines the height that the <<returning light>> reaches is the intensity of the repulsion of the supernal light by the <<partition>> of the created entity.<br>The measurement of these dimensions of height is expressed in different ways. One way is by marking the highest <<<i>sefira</i>>> of a given <<level>>. An example would be a <<level>> that is the height of <<<i>Bina</i>>>, or alternatively, a structure that is the height of the second <<level>> (another term for <<<i>Bina</i>>>).<br>Another way to express this idea is according to the amount of soul lights that have become contained within the particular <<level>>, which are called <<<i>nefesh</i>>>, <<<i>ruaḥ</i>>>, <<<i>neshama</i>>>, <<<i>ḥaya</i>>>, and <<<i>yeḥida</i>>>. For example, a “small height” is a <<level>> that contains only the light of <<<i>nefesh</i>>>. In comparison, a <<level>> that also contains the light of <<<i>ruaḥ</i>>> is considered “taller.”<br>A third way of expressing this concept is according to the nature of the light itself that is contained within the particular <<level>>. For example, a column with a “height of <i>hassadim</i>” indicates that the nature of the light in that context is the light of giving.",214,
Kashyut,Hardness,hardness,קַשְׁיוּת,,,"Hardness, or <i>kashyut</i>, is the capacity of the <<partition>> to rebuff the supernal light and return it to its source. This is similar to what occurs in the material world: A soft surface absorbs the kinetic energy of objects that are dragged over it, whereas a hard surface will rebuff them. The measure of a <<partition>>’s hardness is commensurate with its measure of <<opacity (<i>oviyut</i>)>>, or the will it contains to receive the supernal light. The greater the measure of the will to receive the supernal light, the greater measure supernal light will be drawn to the created being, and greater the force of the rejection of the light.",109,
Ze'er Anpin,,,זְעֵיר אַנְפִּין,,,"<i>Ze’er Anpin</i>, which literally means “the small face” in Aramaic, is the name of the <<<i>partzuf</i>>> that corresponds to the <<<i>sefira</i>>> of <<<i>Tiferet</i>>>, or the third <<level>>, and, alternatively, with the six <<<i>sefirot</i>>> encompassed within <<<i>Tiferet</i>>> – <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>> – which are also called the <<<i>six extremities</i>>>. It is called “the small face” in contrast to the <<<i>partzuf</i>>> of <<<i>Keter</i>>>, which is called <i>Arikh Anpin</i> or “the long face.” The primary light of <i>Ze’er Anpin</i> is the light of giving, with the illumination of <<<i>Ḥokhma</i>>>.<br><i>Ze’er Anpin</i> is the essential male <<<i>partzuf</i>>>, meaning, it is the primary revelation of the divine light of God into our world. For this reason, the name <<<i>Havaya</i>>> is attributed to it, as well as the appellation “the Holy One, blessed be He.” It contains “six extremities,” various aspects of a body, as opposed to the <<levels>> above it (<i>Arikh Anpin</i>; <<<i>father and mother</i>>>) which present aspects of the head and thought. From a different perspective, <i>Ze’er Anpin</i> is considered the male (giving) counterpart of the <<<i>partzuf</i>>> of <i>Nukba</i> (the receiving female, representing our world receiving the divine light from above).",190,
Ḥaya,,,חַיָּה,,,"<i>Ḥaya</i> is the name of the fourth of the five <<levels>> of the soul: <<<i>nefesh</i>>>, <<<i>ruaḥ</i>>>, <<<i>neshama</i>>>, <<<i>ḥaya</i>>>, and <<<i>yeḥida</i>>>. These five <<levels>> of the soul correspond to the five primary <i>sefirot</i>: <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>>. They also correspond to the five worlds: <<<i>Adam Kadmon</i>>>, <<<i>Atzilut</i>>>, <<<i>Beria</i>>>, <<<i>Yetzira</i>>>, and <<<i>Asiya</i>>>. The concept of the five <<levels>> of the soul relates to five qualities of supernal light which illuminate people as well as the <<levels>> of broader reality. The <i>ḥaya</i> is the light that corresponds to the <<<i>sefira</i>>> of <<<i>Ḥokhma</i>>> and the world of <<<i>Atzilut</i>>>, and it illuminates the body of a person or a <<level>> only after the illumination of the three lower <<levels>> of the soul, which are <<<i>nefesh</i>>>, <<<i>ruaḥ</i>>>, and <<<i>neshama</i>>>.",125,
Yeḥida,,,יְחִידָה,,,"The name of the fifth and highest of the five <<levels>> of the soul,<<<i>nefesh</i>>>, <<<i>ruaḥ</i>>>, <<<i>neshama</i>>>, <<<i>ḥaya</i>>>, and <<<i>yeḥida</i>>>. These five <<levels>> of the soul correspond to the five primary <i>sefirot</i>, <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>>, as well as the five worlds, <<<i>Adam Kadmon</i>>>, <<<i>Atzilut</i>>>, <<<i>Beria</i>>>, <<<i>Yetzira</i>>>, and <<<i>Asiya</i>>>. The concept of the five <<levels>> of the soul relates to five qualities of supernal light which illuminate people as well as the <<levels>> of broader reality. <<<i>Yeḥida</i>>> is the light that parallels the <<<i>sefira</i>>> of <<<i>Keter</i>>> and the world of <<<i>Adam Kadmon</i>>>, and it illuminates the body of a person or a <<level>> only after the illumination of the four lower <<levels>>, <<<i>nefesh</i>>>, <<<i>ruaḥ</i>>>, <<<i>neshama</i>>>, and <<<i>ḥaya</i>>>.",118,
Adam Kadmon,,,אָדָם קַדְמוֹן,"א""ק",,"<i>Adam Kadmon</i> is the first and innermost world, which precedes the four worlds of <<<i>Atzilut </i>(Emanation)>>, <<<i>Beria </i>(Creation)>>, <<<i>Yetzira </i>(Formation)>>, and <<<i>Asiya </i>(Action)>>. It incorporates all of existence, from its head, that is, the source, which is <<<i>Ein Sof</i>>>, to its lowest point, which is this physical world. This world is called <i>Adam Kadmon</i> because it is depicted in kabbalistic writings in the form of a man, having a head, body and appendages. Although all the worlds are likewise described in the form of a man, this world is the primeval one, before which there is no world, while the other worlds, which are external to it, are “mapped onto it,” lower manifestations of that primeval world: <i>Atzilut</i>, from the chest and below to the navel; and <i>Beria</i>, <i>Yetzira</i>, and <i>Asiya</i>, from the navel and below. This world corresponds to the <<<i>sefira</i>>> of <<<i>Keter</i>>>. Just as <<i>Keter</i>>> itself is often regarded as above the <<<i>sefirot</i>>>, so too the world of <i>Adam Kadmon</i> is sometimes not considered part of the four worlds.",171,
Ab Partzuf,,"Ab of Adam Kadmon, ayin-bet of Adam Kadmon, Havaya of Ab of Adam Kadmon, partzuf of Ḥokhma of Adam Kadmon","ע""ב דא""ק","הויה דע""ב דא""ק, פרצוף חכמה דא""ק",,"“<i>Ab</i> (or <i>ayin-bet</i>) of <i>Adam Kadmon</i>,” or “<i>Havaya</i> of <i>Ab</i> of <i>Adam Kadmon</i>,” is the name of the second <<<i>partzuf</i>>> of the world of <<<i>Adam Kadmon</i>>>. This <<<i>partzuf</i>>> is born from the first <<<i>partzuf</i>>>, called <<<i>gulgalta</i>>>. It is also called “<i>partzuf</i> of <i>Ḥokhma</i> of <i>Adam Kadmon</i>,” because it is the embodiment of <<<i>Ḥokhma</i>>> in this world.<br>The name <i>Ab</i> stems from the Tetragrammaton, the four-letter name of God, as follows: In each <<level>> of reality, the four-letter name of God, also referred to as <<<i>Havaya</i>>>, is revealed in a unique manner to that <<level>>. This is expressed through the numerical value of the letters of the name, when it is written out in full – that is, when each letter of the name is spelled out as a word on its own. The numerical value of the name of <i>Havaya</i> that is unique to the <<level>> of <<<i>Ḥokhma</i>>> is <i>ayin-bet</i>, or 72. This number is derived from writing out the name of <i>Havaya</i> by filling out the letters as follows: <i>yod</i> (<i>yod-vav-dalet</i>), <i>heh</i> (<i>heh-yod</i>), <i>vav</i> (<i>vav-yod-vav</i>), <i>heh</i> (<i>heh-yod</i>) (where the value of the letters is: <i>yod</i>=10; <i>vav</i>=6; <i>dalet</i>=4; <i>heh</i>=5).",188,
Sag Partzuf,,"Sag of Adam Kadmon, Samekh-Gimmel of Adam Kadmon","ס""ג דא""ק",,,"<i>Sag</i> (or <i>samekh-gimmel</i>) of <i>Adam Kadmon</i> is the name of the third <<<i>partzuf</i>>> of the world of <<<i>Adam Kadmon</i>>>. This <<<i>partzuf</i>>> is born from the <<<i>partzuf</i>>> of <<</i>Ab</i> of <i>Adam Kadmon</i>>> through the process of <<fusion through collision>>. It is also called “<i>partzuf</i> of <i>Bina</i> of <i>Adam Kadmon</i>,” because it is the embodiment of <<<i>Bina</i>>> in the world of <i>Adam Kadmon</i>.<br>The name <i>Sag</i> stems from the Tetragrammaton, the four-letter name of God, as follows: In each <<level>> of reality, the name of God, also referred to as the name of <i>Havaya</i>, is revealed in a unique manner to that <<level>>. This is expressed through the numerical value of the letters of the name, when it is written out in full, – that is, when each letter of the name is spelled out as a word on its own. The numerical value of the name of <i>Havaya</i> that is unique to the <<level>> of <<<i>Bina</i>>> is <i>samekh-gimmel</i>, or 63. This number results from filling out the letter <i>heh</i> with a <i>yod</i>, and the letter <i>vav</i> with an <i>alef</i>, as follows: <i>Yod</i> (<i>yod-vav-dalet</i>), <i>heh</i> (<i>heh-yod</i>), <i>vav</i> (<i>vav-alef-vav</i>), <i>heh</i> (<i>heh-yod</i>) (<i>yod</i>=10; <i>vav</i>=6; <i>dalet</i>=4; <i>heh</i>=5; <i>alef</i>=1).",192,
Sefirot,,,ספירות,,,"The <i>sefirot</i> represent ten ways through which the Creator reveals Himself in the creation, with each <i>sefira</i> representing a different degree of revelation. The term <i>sefira</i> itself has the same root as the word sapir, which means sapphire or radiance, indicating that the divine light is contained within the <i>sefirot</i> and illuminates the creation through them.<br>Generally, there are ten <i>sefirot</i>: <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, <<<i>Yesod</i>>>, and <<<i>Malkhut</i>>>. But in essence there are five primary <i>sefirot</i>: <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>>. Additionally, each of these five <i>sefirot</i> are themselves composed of the other <i>sefirot</i>, since everything in reality is formed out of <i>sefirot</i>. Thus, for example, the <i>sefira</i> of <<<i>Keter</i>>> contains the <<levels>> of <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>>.<br>As for the five remaining <i>sefirot</i>, <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>, they are encompassed within the <i>sefira</i> of <<<i>Tiferet</i>>>. Like the other <i>sefirot</i>, the <i>sefira</i> of <<<i>Tiferet</i>>> contains all five <i>sefirot</i>, but in this case they are called by different names: In this context, they are called <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>> and <<<i>Hod</i>>>. The reason the sefirot are given different names is that a different kind of light from that of the other <i>sefirot</i>, called the “light of giving,” is revealed through <<<i>Tiferet</i>>>. Although they are named differently, they are still, in a sense, the same five <i>sefirot</i> mentioned above. Thus, <<<i>Ḥesed</i>>> is referred to as the <<<i>Keter</i>>> of <<<i>Tiferet</i>>>, <<<i>Gevura</i>>> as the <<<i>Ḥokhma</i>>> of <<<i>Tiferet</i>>>, <<<i>Tiferet</i>>> as the <<<i>Bina</i>>> of <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>> as the <<<i>Tiferet</i>>> of <<<i>Tiferet</i>>>, and <<<i>Hod</i>>> as the <<<i>Malkhut</i>>> of <<<i>Tiferet</i>>>. In addition to these five, there is another <i>sefira</i> that incorporates all the <<levels>> of <<<i>Tiferet</i>>> called <<<i>Yesod</i>>>.",,
Mah and Ban of Adam Kadmon,,"mem-heh and bet-nun of Adam Kadmon, Mah of Adam Kadmon, Ban partzuf","מ""ה וב""ן דא""ק",,,"<i>Mah</i> (or <i>mem-heh</i>) of <i>Adam Kadmon</i> is the name of the fourth <<<i>partzuf</i>>> of the world of <<<i>Adam Kadmon</i>>>. This <<<i>partzuf</i>>> is born from the <<<i>partzuf</i>>> of <i>Sag </i>of <i>Adam Kadmon</i> and is the embodiment of <<<i>Tiferet</i>>> or <<<i>Ze’er Anpin</i>>> in the world of <i>Adam Kadmon</i>.
The name <i>Mah</i> stems from the Tetragrammaton, the four-letter name of God, as follows: In each <<level>> of reality, the name of God, also referred to as the name of <i>Havaya</i>, is revealed in a unique manner to that <<level>>. This is expressed through the numerical value of the letters of the name, when it is written out in full – that is, when each letter of the name is spelled out as a word on its own. The numerical value of the name of <i>Havaya</i> that is unique to the <<level>> of <<<i>Ze’er Anpin</i>>> is <i>mem-heh</i>, or 45. This number results when the letters of the name are written as follows: <i>Yod</i> (<i>yod-vav-dalet</i>), <i>heh</i> (<i>heh-alef</i>), <i>vav</i> (<i>vav-alef-vav</i>), <i>heh</i> (<i>heh-alef</i>) (<i>yod</i>=10; <i>vav</i>=6; <i>dalet</i>=4; <i>heh</i>=5; <i>alef</i>=1). 

<i>Ban</i> (or <i>bet-nun</i>) of <i>Adam Kadmon</i> is the name of the fourth <<<i>partzuf</i>>> of the world of <<<i>Adam Kadmon</i>>>This <<<i>partzuf</i>>> is born from the <<<i>partzuf</i>>> of <<<i>Mah </i>of <i>Adam Kadmon</i>>> and embodies <<<i>Malkhut</i>>> in the world of <i>Adam Kadmon</i>.
The name <i>Ban</i> stems from the Tetragrammaton, the four-letter name of God, as follows: In each <<level>> of reality, the name of God, also referred to as the name of <i>Havaya</i>, is revealed in a unique manner to that <<level>>. This is expressed through the numerical value of the letters of the name when it is written out in full – that is, when each letter is spelled out as a word on its own. The numerical value of the name of <i>Havaya</i> that is unique to the <<level>> of <<<i>Malkhut</i>>> is <i>bet-nun</i>, or 52, when it is written as follows: <i>Yod</i> (<i>yod-vav-dalet</i>), <i>heh</i> (<i>heh-heh</i>), <i>vav</i> (<i>vav-vav</i>), <i>heh</i> (<i>heh-heh</i>) (<i>yod</i>=10; <i>vav</i>=6; <i>dalet</i>=4; <i>heh</i>=5). 
",322,
Gulgalta,,,גֻּלְגַּלְתָּא,,,"An Aramaic word meaning “skull,” <i>gulgalta</i> represents the <<level>> of <<<i>Keter</i>>> in all of the various <<<i>partzufim</i>>>, which are each composed of a <<head>>, <<body>>, and legs, similar to the form of the human body. Each <<<i>partzuf</i>>> has the same corresponding <<levels>>, and the <i>gulgalta</i> is the highest <<level>> of a particular <<<i>partzuf</i>>>.",53,
Ab,,ayin-bet,"ע""ב",,,"<i>Ab</i>, or <i>ayin-bet</i>, is the numerical value of 72 in Hebrew letters (<i>ayin</i>=70; <i>bet</i>=2). This numerical value is derived from the letters of the Tetragrammaton, the four-letter name of God referred to as the name of <<<i>Havaya</i>>>, when they are spelled in full using the letter <i>yod</i>. In other words, each of the letters of the name of <<<i>Havaya</i>>> is written out as a separate word, and the letter <i>yod</i> is used in order to fill out the letters: The <i>yod</i> is spelled out as <i>yod-vav-dalet</i> (יוד), the <i>heh</i> is spelled <i>heh-yod</i> (הי), the <i>vav</i> is spelled <i>vav-yod-vav</i> (ויו), and the final <i>heh</i> is spelled <i>heh-yod</i> (הי).. <i>Ab</i> represents the <<level>> of <<<i>Ḥokhma</i>>> or the light of wisdom. In the world of <<<i>Adam Kadmon</i>>>, <i>Ab</i> is the name of the <<<i>partzuf</i>>> that embodies the <<level>> of <<<i>Ḥokhma</i>>> (which corresponds to the <<<i>partzuf</i>>> called <<<i>Abba</i>>> in the other four worlds).<br>The name of <i>Ab</i> derived from filling out the letters of the name of <<<i>Havaya</i>>> is not to be confused with the seventy-twoletter ineffable name of God.",175,
Sag,,samekh-gimmel,"ס""ג",,,"<i>Adam Kadmon</i> is the first and innermost world, which precedes the four worlds of <<<i>Atzilut </i>(Emanation)>>, <<<i>Beria </i>(Creation)>>, <<<i>Yetzira </i>(Formation)>>, and <<<i>Asiya </i>(Action)>>. It incorporates all of existence, from its head, that is, the source, which is <<<i>Ein Sof</i>>>, to its lowest point, which is this physical world. This world is called <i>Adam Kadmon</i> because it is depicted in kabbalistic writings in the form of a man, having a head, body and appendages. Although all the worlds are likewise described in the form of a man, this world is the primeval one, before which there is no world, while the other worlds, which are external to it, are “mapped onto it,” lower manifestations of that primeval world: <i>Atzilut</i>, from the chest and below to the navel; and <i>Beria</i>, <i>Yetzira</i>, and <i>Asiya</i>, from the navel and below. This world corresponds to the <<<i>sefira</i>>> of <<<i>Keter</i>>>. Just as <<i>Keter</i>>> itself is often regarded as above the <<<i>sefirot</i>>>, so too the world of <i>Adam Kadmon</i> is sometimes not considered part of the four worlds.",171,
Mah,,mem-heh,"מ""ה",,,"<i>Mah,</i> or <i>mem-heh</i>, is the numerical value of 45 in Hebrew letters (<i>mem</i>=40; <i>heh</i>=5). This numerical value is derived from the letters of the Tetragrammaton, the four-letter name of God referred to as the name of <<Havaya>>, when they are spelled out in full using the letter <i>alef</i>. In other words, each of the letters of the name of <<Havaya>> is written out as a separate word, and the letter <i>alef</i> is used to fill out the letters, as follows: The <i>yod</i> is spelled out as <i>yod-vav-dalet</i> (יוד), the <i>heh</i> is spelled <i>heh-alef</i> (הא), the <i>vav</i> is spelled <i>vav-alef-vav</i> (ואו), and the final <i>heh</i> is spelled <i>heh-alef</i> (הא). <i>Mah</i> represents the <<level>> of <<</i>Tiferet</i>>> or the light of <<</i>Tiferet</i>>>.",119,
