Index Title,Ritva on Pesachim
Ritva on Pesachim 7b:3,"<b>כל המצות כולן מברך עליהם עובר לעשייתן.</b> פירשו דלהכי נקיט האי לישנא ולא נקיט קודם לאשמעינן שלא יתעסק ויתעכב בין ברכה למצוה אלא א""כ שוהה בדבר מצוה שיכול לשהות אפי' הרבה ואפי' שיחה שהוא מצורכי מצוה אינה הפסק כדאמרינן התם טול ברוך וכו' אבל אם שח בינתים דברים בטילים ושהה שלא לצורך. כתב הרא""ה ז""ל שאם שהה בין ברכה למצוה בחנם כדי לגמור כל הברכה חוזר לראש ומיהו ביחיד שהוא מוציא את הרבים בברכת הנהנין כיון שנהנה אחד מהם וסילק הברכה רשאין השאר לשיח. ולענין ברכה שהיא אחר עשית המצוה צריך שיברך בתוך כדי דיבור דהיינו כדי שאלת תלמוד לרב וכן אמר הרא""ה ז""ל בשם הירושלמי. ומיהו משעה שראוי לכך דטבל ועלה אינו ראוי עד שילבש וכן נוטל ידיו אינו ראוי עד שינגבם ע""כ להריטב""א ז""ל והרבה מן הראשונים ז""ל כתבו שהבודק אסור לשיח על שיגמור בדיקתו ואין לזה סמך כלום שאין שיחה אסורה אלא בין ברכה למעשה אבל כיון שהתחיל לעשות כלום רשאי הוא לשיח כמו שהוא בברכת הנהנין גם זה לו ז""ל. וכן כתב הרא""ש ז""ל וכתב הר""י קר""ה קושא ואם יש לו כמה בתים לבדוק אינו מברך אלא ברכה אחת כדאמרינן גבי שחיטה שאינו מברך אלא ברכה אחת על כמה בהמות ע""כ. וכתב עוד הרי""ט ז""ל וכבר כתבנו בפ' כיסוי הדם שאם בירך אדם על המצוה והתחיל בה כשם שיכול לשהות ולחזור למצוה בשאחד בירך על המצוה ובא חבירו אחר שזה התחיל בה לגומרה אינו צריך לברך וכל זמן שאינו נמלך כך אם בא אחר לסעיי' וא""ל לגמור אותה מצוה הרי זה גומר ואין צריך לברך בין בבדיקה בין בשחיטה וכיוצא בה: וגבי תפילין הוצרכו לומר שאם שח בין תפלה לתפלה שהיא עבירה בידו וחוזר ומברך משום שרצון הכתוב שיהיו שניהם כעין מצוה א' כמו שאמרנו כל זמן שיהיו בין עיניך יהיו ב' שכך ראוי לעשות כל זמן שדעתו להניחן שניהם מה שאין כן בשאין לו אלא אחד או שיש לו מיחוש או מניעה אחרת שאינן מעכבות זו את זו ואפי' לכתחילה מניח האחד לבד כמו שמפורש בירושלמי בההוא דחייש רישיה בסיתוה ולא מונח אלא בדרעא והא דקאמר הכא כל המצות כולן לא כדי למעט ברכת הנהנין <small>(נ""ל דצ""ל דבהדיא פרשינן, המעתיק)</small> בההיא פי' רש""י דאסור להנות עד שיברך ולא בא למעט אלא קצת ברכות השבח כגון הרואה את הים הגדול ועל הזיקים ועל הזוועות בוודאי לא סגיא שיברך אלא לאחר ראייה או שמועה ובאילו אמרו בירושלמי שמברך תוך כדי דיבור. ומה שאין אנו מברכין על הקידושין ברכת המצות כתב הרי""ט ז""ל בפרק קמא דכתובות בשם הרמב""ן ז""ל לפי שאין מברכין על מצוה שאין עשייתה גמר מלאכתה וזו אינה נגמרת אלא בחופה ואפי' בקדושין וכנס כאחד דמשמע דאין הקידושין גומרין בלא חופה והיה להם לתקן ברכה שעל שניהם מחזי כי חוכא אם היו מתקנים לזו ולא לזו. והרב החסיד היה נותן טעם לפי שהקידושין תלויין ברצון ודילמא הדר ביה חד מינייהו ואין טעם זה נכון. ובירושלמי פ' הרואה אמר כל המצות כולן מברך וכ' חוץ מן התקיעה וי""א אף חוץ מן הקידושין בבעילה אלמא בקידושי כסף ושטר מברכין עליהם ומהמנהג הפשוט משמע שאין זו שיטת התלמוד שלנו ולא נמצא לשום גאון שהזכיר ברכה בשום מקום ומנהגו של ישראל תורה היא. ובתוס' כתבו בשם רבינו יחיאל מפארי""ש שהיה מנהיג לברך על פי הירושלמי ומה שאמרנו בפ' התכלת כל מצוה שאין עשייתה גמר מלאכתה וכו'. נראה דלא קשי' עלי' דרבינו ז""ל שלא אמרו כן אלא כגון עשיית סוכה ועשיית ציצית שאין העשייה עושה כלום בעיקר המצוה. אבל הקידושין עושין מעשה גמור להתירה ע""י חופה ולאוסרה לכל העולם ולמה לא יברך עלי' אלא שהמנהג מכריע. ואמרו בירושלמי כל הלכה שהיא רופפת בידך פוק חזי מה עמא דבר בשוקא ונהוג כותייהו ע""כ להרי""ט ז""ל במס' כתובות. והרמב""ם ז""ל סובר כי ברכת הארוסין שאמרו בפ""ק דכתובות היא ברכת המצות ולפיכך כתב שהמקדש מברך אותה קודם הקידושין וכבר נדחו דבריו בתוספת ובחידושן כי אינה אלא ברכת השבח לזה נהגו לברך אותה שליח ציבור אחר הקידושין. וכתב הרי""ט ז""ל וטעם זה שאמרו חכז""ל לברך על המצות עובר לעשייתן כדי שיתקדש תחלה בברכה ויגלה ויודיע שהוא עושה אותה מפני מצות השי""ת. ועוד כי הברכות מעבודת הנפש וראוי להקדים עבודת הנפש למעלה שהיא עבודת הגוף:"
Ritva on Pesachim 7b:4,"<b>תנו רבנן אין בודקין לאור החמה וכו'.</b> שאלו בירושלמי וכי יש חמה בלילה ואמר מי שלא בדק בי""ד יבדוק ביום י""ד שחרית הכא אמרו אפי' ביום צריך לאור הנר ע""כ. וכתב הרי""ט ושמעינן כל היכא דאפשר אין לו לבדוק אלא בלילה דלא אשכחו התם איקומתא בבודק בי""ג או ההולך בשיירא או מפרש בים וכן עיקר:"
Ritva on Pesachim 8a:1,"<b>גירסת</b> הרי""ט ז""ל והגג והיציע ולא גרסינן גג היציע דשאר גגות נמי אין צריכות בדיקה שעורבים מצויין שם: ואסיקנא אוצרות יין צריכין בדיקה במסתפק מהן והשתא בזמן הזה אפי' העומדים למכירה למסתפק דמי שהרי סועדין שם בשעת מכירה. גם זה לו ז""ל: ואוצרות שמן אסיקנא שאין צריך בדיקה והר""ם במז""ל שפסק שצריכין בדיקה יש שנהגו <small>(נ""ל דצ""ל שהקשו, המעתיק)</small> עליו וכתב הרי""ט ז""ל דנראין דברים שכתבנו ז""ל כתב בשהוא להדלקה <small>(נ""ל דצ""ל דברים שכתב הוא ז""ל בשהוא להדלקה, המעתיק)</small> והוי ליה כבי קירי וצריך בדיקה. ובתוס' כתבו שצריך בדיקה בבתי כנסיות ובבתי מדרשות ופירושו כי בשהיו מעברין את השנה עושין שם סעודות. וכתב הרי""ט ומכאן סומכין לבדוק בזמן הזה בבתי כנסיות מפני שהנערי' אוכלים שם לפעמים: וחצר אינה צריכה בדיקה פי' הוא ז""ל דוקא מלוסה של חצר אבל חורי הכותלים צריכין בדיקה וכן פי' הר""מ במז""ל:"
Ritva on Pesachim 8b:1,"פיסקא <b>ב""ש אומרים.</b> תני ר' חייא כותיה דרב וכולהו תנאי תנו כשמואל ופסק רבינו האי כשמואל והר""ם במז""ל פסק כרב ור""י אלפסי לא הביא מזה כלום לפי שאינו מנהג ברוב המקומות. ועוד שרצו לסתום מה שאמרו בבריית' ואוצרות יין צריכין בדיקה להחמיר בזמן הזה בכל מקום הרי""ט ז""ל:"
Ritva on Pesachim 9a:1,"פיסקא <b>אין חוששין וכו' דהא תנן כל מקום וכו'.</b> י""א דמכאן סומכין הכהנים להכניס בבתי הגוים בזמן הזה שהרי חזירים מצויין שם. והרי""ט כתב דאין לזה צורך דבר דחוץ מזה מותרין חדא דהא אנן כר' שמעון בן יוחאי קייל""ן דסבר קברי גוים במגע ומשא מטמא באהל לא ואפי' מאן דפסק כר' שמעון בן גמליאל דפליג עליה הא אמרינן בתוס' בהדיא דאין מדורות לעכו""ם בח""ל:"
Ritva on Pesachim 9b:1,"<b>אלא אמר רבא מה שמשייר יניחנו וכו' רב מרי וכו' שמא יניח עשר וכו'.</b> ולענין פסק יש שפסקו כרבא וכו' והרי""ט כתב דהלכתא כרב מרי דסוגיא כותי' נקטא וכן פסקו גדולי הפוסקים וכן דעת הרמב""ן ז""ל ע""כ:"
Ritva on Pesachim 10b:1,"<b>אמר רבא עכבר נכנס וכו'.</b> כתב הרי""ט ז""ל כללא דשמעתא דכל היכא דאמרינן את""ל הלכה היא שכן מסורה בידינו מיד הגאונים ז""ל בכל מקום וכל היכא דלא אפשיט לקולא דספיקא דרבנן היא ובביטול סגי ליה ע""כ: והא דאמרינן נכנס ומצא פירורין. פי' הרי""ט והרא""ש ז""ל שיש בפירורין כדי כל הככר דאל""כ אעפ""י שדרכו של תינוק ליפרר למה אין צריך בדיקה דלמא לא אכליה כוליה אלא ודאי כדאמרן:"
Ritva on Pesachim 13a:1,"גמרא <b>אמר ר' נחמן אמר רב הלכה כר' יהודה</b> עד <b>דתניא י""ד שחל להיות בשבת וכו'</b> עד <b>ומשיירין מן הטהורות מזון שתי סעודות.</b> כתב הרא""ש ז""ל . ויש רוצים לדייק מכאן מדלא קאמר משייר מזון ג' סעודות אלמא דאין לאכול סעודה שלישית עד לאחר חצות שהיא שעת המנחה. ולאו ראיה היא דאפי' אם יחלוק סעודתו בבקר לשנים אין בו אלא שיעור סעודה אחת ע""כ: רבינו אלפסי פסק כר' יהודה ופסק כר' אליעזר איש ברתותא והרב בעל העיטור הקשה עליו והרמב""ן ז""ל זיכה הרב אלפסי. וכתב הרי""ט ז""ל הלכך קיל""ן כדפסק רבינו אלפסי וי""ד שחל להיות בשבת מבערין כל התרומות מלפני השבת אלא שמשיירין מהן לשתי סעודות וחולין שאוכליהן מרובים ויש להם כמה ביעורין ליתנם לגוים ולהשליכן לאיבוד אין מבערין אותם אלא בזמנן ובודקין אור יום ששי לאור הנר ומבטלין ומה שמשייר יניחנו בצינעה יותר ממה שהיה עושה מתוך ששוהא זמן גדול בבית אחר בדיקה ומ""מ מוטב שלא יניחנו במנין לעולם שלא יבוא לידי הניח עשר ומצא תשע. וצריך ליזהר שלא לעשות דייסא באותו שבת וכן שלא לצנום פת הבאה בקערה בענין שיהא נדבק בקערה דא""כ תהא הקערה וקדירה צריכה הדחה מפני חמץ הנשאר בה שהוא חשוב בעין והדחות קערות וקדירות בשבת אסור לאחר סעודה:"
Ritva on Pesachim 17a:1,"פיסקא <b>אמר ר' מאיר מדבריהם למדנו וכו' תניא כותיה דרב הדם והמים וכו'</b> עד <b>בקרקע טהורין.</b> כתב רש""י ז""ל ולקמיה מתרגם לה אמים ודאיכא רביעית דאיכא תורת מקוה עליו מחטין וצנורות מדאורייתא דכי כתיב מ' סאה באדם הוא דכתיב אבל לכלים קטנים כדי שיתכסו במים ופחות מרביעית גמרא גמירי לה כולה חשיבי דליהוי מקוה ורבנן הוא דבטילו רביעית דמקוה שלא יטבילו כלי בפחות מארבעים סאה כדאמרינן בנזיר וכו'. ע""כ תורף דבריו:"
Ritva on Pesachim 21a:1,"<b>ומוכר לנכרי.</b> כתב הרי""ט ז""ל ה""ה ליתנו אלא במלתא אגב אורחיה קמ""ל דאסור ליתן לעכו""ם מתנת חנם וכן הדין בשהפקידו כראוי דודאי אינו עובר עליו אבל חייב להוציאו מרשותו דרבנן וכל שזכו בי הגוים קודם זמן איסורו ודאי מותר הוא לאחר הפסח כחמץ של נכרי והכי איתא בתוספתא ושם אמרו שרשאי לומר לגוי עד שאתה לוקח במאה קח במאתים שמא אצטרך ואקח ממך אחר הפסח ובלבד שלא יערים אבל אם הערים והוא רגיל לעשות כן בכל שנים למכור לגוי קודם הפסח וליטול לאחר הפסח קנסינן ליה והוא אסור לו ולכל ישראל לאחר הפסח שעשאוהו כאלו הוא חמץ של ישראל המופקד ברשות גוי שהוא אסור לאתר הפסח ואף זה לפקדון נתכוין אלא שהערים. וכן הוא בירושלמי ע""כ:"
Ritva on Pesachim 21a:2,"<b>גמרא</b> מתני' רבן גמליאל וכו'. וכתב הרי""ט ואפי' סבר כר' יהודה קי""ל דפסק רב כוותיה כדאיתא בפ""ק ואע""ג דבעלמא מחלוקת ואח""כ סתם הלכה כסתם לא נאמר הכוללות אלא היכא דליכא פיסקא דאמוראי ועל הרוב לאפוקי מהאי תנא:"
Ritva on Pesachim 21b:1,"<b>הא דר' יהודה בן בתירא בכותח וכל מיני כותח.</b> פרש""י ז""ל והגאונים ז""ל דאיתא כב""ש וליתא הלכתא. אמנם ר""ת ז""ל פי' דאיתא כב""ה ואיסורא דרבנן הוא לפי שהכותח שם בעליו עליו וכשיראו אותו בפסח ברשות גוי יחושו לומר שעכשיו מכרו לו או שמכרו על יד גוי ונהנה בו בפסח. והרי""ט ז""ל פי' לכולהו פירושי ליכא לאוכוחי מהכא שיהא חייב לבער הכותח מביתו בפסח דאפי' תימא מותר לקיימו דין מביתו אשמעינן במתני' דאלו עוברין יתפרש דינו בביאור ע""כ ז""ל:"
Ritva on Pesachim 23a:1,"<b>והרי שרצים וכו'</b> עד <b>אמר קרא יהיו בהויתן יהו.</b> פי' דאסור להשתכר בהם וכדתנן במס' שביעית אין משתכרין בנבילות וטריפות שקצים ורמשים ובירושלמי פ""ה דשביעית פריך מחמור וגמל ופריך דלמלאכתו הוא גדל ומסיק התם כל שאיסורו דבר תורה אסור לעשות בו סחורה וכל שאסור מדבריהם מותר לעשות בו סחורה. וכתב הרי""ט ז""ל ומסתברא דכל היכא ששוחט בהמות כדי למוכרם לישראלים ונזדמנו לו טריפות מותר למכור ועל הדרך הזה מותר להשתכר לכתחילה ואעפ""י שאומנתו בכך כמו שהקצבין עושין דכיון שהוא לכשירות מתכוון והוא עיקר אומנתו הוה ליה כצייד שנזדמן לו מינים טמאים ועל זה סמכו כל העולם ולא מיחו בידם ממתני' דמסכת שביעית ע""כ:"
Ritva on Pesachim 23b:1,"<b>מכדי אותבינהו לכל הני קראי ושנינהו חזקיה וכו'</b> עד <b>איכא בינייהו.</b> ולענין פסק הדין כתב הרי""ט ז""ל דודאי הלכה כר' אבוהו דרב פפא ורב אשי הכי סבירא להו ופריקו אליבא דידיה ההיא דתרומה ונזיר וי""א דכיון שכן ואקשינן לעיל לר' אבוהו מגיד הנשה ופרכינן הניחא למ""ד יש בגידין בנ""ט אלא למ""ד אין בגידין בנ""ט ופריק דלדידיה נמי אסור ואנן קי""ל אין בגידין בנ""ט ה""ה דקיימא לן בגיד הנשה אסור בהנאה וכתב הרי""ט ז""ל ומיהו סוגיין בפ' גיד הנשה בכולה פירקא דגיד הנשה מותר בהנאה. וי""ל דמייתינן גיד הנשה מטעמא דאמרי הכא בכולה שמעתין אליבא דר' יוסי הגלילי מק""ו דחלב ע""כ. והרשב""א ז""ל כתב בספר תורת הבית יש מרבותי שאמרו שהגיד אסור בהנאה ויש מרבותי מתירין אותו וכן נראה וכן נהגו ע""כ. ואמר הרא""ה ז""ל בשם רבו ז""ל דאפי' לדעת האוסרין דוקא גיד עצמו. אבל שמנו שאינו אלא משום מנהג קדושים הרי לא נהגו בו איסור הנאה ושרי הלכך מותר לתת לגוי גיד ושמנו דאי משום שומנו לא מתסר ואי משום גיד עץ בעלמא הוא ולא שייך איסורא אלא בשולחו עד היכן שהוא נהנה דמשתריש מקומה ונראית חשובה יותר. וכתב הרי""ט ז""ל נראין הדברים להלכהאבל למעשה ראוי להחמיר והמחמיר תבוא עליו ברכה:"
Ritva on Pesachim 24b:1,"<b>אמר ר' אבוהו אמר ר' יוחנן כל איסורין שבתורה</b> וכו' עד <b>איכא דאמרי</b> וכו' עד <b>אין לוקין עליהם אלא דרך הנאתן.</b> כתב הרי""ט ז""ל והלכתא כלישנא בתרא ולקולא דאפי' בענין איסורי הנאה אין לוקין עליהם אלא כדרך הנאתן ומיהו איסורא דרבנן איכא ולא איסורא דאורייתא דהא מהיכי תיתי לן דכי איתסרו בלאו איתסרו וכל היכי דאסירי לאו איכא והדין כתבוהו רבוותא ואפי' בשלא כדרך הנאתן היינו היכא דהניח חלב שור הנסקל ע""ג מכתו ש""פ. וכתב הרי""ט ז""ל לא שינ' עשה ממנו תחבושת ולא שינ' שסך ממנו ואפי' למאן דסבר מדרבנן דסיכה כשתיה הני מילי בשמן שזו היא דרכו וכשעושה להתענוגי אבל בחלב לאו אורחיה כלל ואפי' כשסך לתענוגי שאין דרך הנאתו אלא להדליק בו או למשוח בו עורות. הלכך מותר לעשות תחבושת מחמץ אפי' שלא במקום סכנה דהא ליכא אלא איסור דרבנן ושרי ומיהו בשהיתה של גוי והיא ברשותו עד שאינה ראוייה לכלבים דליכא למעבר עלה בבל יראה ובל ימצא ע""כ מפי הרא""ה ז""ל: ואסיקנא בגמ' דכלאי הכרם ובשר בחלב לוקין עליהן אפי' שלא כדרך הנאתן דלא כתיב בהו אכילה וכן פסק הר""י קרקושה ז""ל:"
Ritva on Pesachim 25a:1,"<b>אמר ר' יעקב אמר ר' יוחנן בכל מתרפאין חוץ מעצי אשירה.</b> אוקי ליה בגמ' בשאמר הבא לי עלין של אשירה. אבל אם אמר הבא לי עלין סתם מביא לו עלין של ע""ז וזהו מדמה התוס' למה שאמרו בפ' אין מעמידין בבן אמה בן אחותו של ר' ישמעאל שהנשיכו נחש ובא יעקב איש כפר חנניא לרפאותו ולא הניחו ר' ישמעאל לפי שהיה רוצה לרפאותו על ידי לחש ושמא יזכיר לו לחש של ע""ז. אבל כשבא לרפאותו סתם ע""י סמנין ועשנים שלא הקפיד בע""ז ודאי מתרפאין גם מה שאמרו שם שאין מתרפאין מן המינין היינו על ידי לחש וכן הוא בירושלמי זו היא שיטת התוס' והרא""ה ז""ל חילק על זה וכתב שהירושלמי חולק על גמרא שלנו. ולפי גמרא דילן אפי' שאל עלין סתם אין מביאין לו עלין של ע""ז. וכתב הרי""ט ז""ל ובודאי לדידי' בשיטת התוס' והירושלמי דכל היכא דלא שאל גוי עצי אשירה אלא עצים סתם מתרפאין בעצי אשירה. וכן מצאתי לרבינו הגדול ז""ל שסמך על הירושלמי ההוא בספר תורת האדם ע""כ לרי""ט ז""ל. והרשב""א ז""ל כתב במס' ע""ז בפ' אין מעמידין וכל הבא לרפאות בסמנין או בעלין ואומרין לי הביאו לי מע""ז פלונית אסור דהיינו עצי אשירה אבל אמר לו הביאו לי עצים סתם אעפ""י שמביאין לו מע""ז מותר וכדגרסינן בירושלמי וכו' עכ""ל ז""ל. וכן כתב הרא""ש ז""ל בשיטת התוס':"
Ritva on Pesachim 25b:1,"<b>מה רוצח יהרג וכו' אף נערה המאורסה יהרג ואל יעבור.</b> ורבי' אלפסי ז""ל גריס אף נערה המאורסה תיהרג ואל תעבור ופי' המפרשים דמשכחת לה כגון שאומרין לה לעשות מעשה הערוה עליה דאי לא למה תיהרג דהא קרקע עולם היא כדאמרי' גבי אסתר ואמרינן בפ""ק דכתובות ולידרוש להו דאונס דישראל מישרא שרי. וכתב הרי""ט ז""ל ומכאן אנו למדין דכל שאינו עושה מעשה כלל כגון בנערה המאורסה לא יהרג וכיון שזה בג""ע החמור ודאי ה""ה בכל דבר שבעולם ואפי' בשעת השמד וכן מוכיח מעשה שבפ' במה טומנין שבשראה אלישע בעל כנפים עול תפילין מעל ראשו והיאך לא נהרג אלא ודאי דכיון שבידם לאונסו שלא יניח תפילין אין לו ליהרג כלל מעתה לא תמצא בשום מקום שיהרג ואל יעבור אלא באונסין על מצות לא תעשה שאומרין לו <small>(נ""ל דחסר כאן וצ""ל. אבל בשאומרין לו וכו'. המעתיק)</small> שב ואל תעשה אין לו ליהרג. ודניאל על התפלה לפנים משורת הדין עבד לפי שראה הדור פרוץ. וכתב עוד ז""ל והוי יודע שאמונת הישמעאלים אעפ""י שהם מייחדים ע""ז גמורה חשיבא ליהרג ואל ישתמד שהרי המודה באמונתם כופר בתורת משה שאינה אמת כמות שהיא בידינו וכל כיוצא בו ע""ז היא ולא אמרו בשאר מצות יעבור ואל יהרג במתכוין להעביר אלא כשאומרין לו חלל שבת במודה שאין תוך אמת ולא ציוה הקב""ה לשמור את השבת כך שמעתי ומיהו בר מכל דין היכא דבפרהסיא יהרג ואל יעבור. ע""כ לשון הרי""ט ז""ל:"
Ritva on Pesachim 26b:1,"<b>ת""ש מוכרי כסות מוכרין כדרכן ובלבד וכו'.</b> יש שפי' דכדרכן היינו על כתפין דהשתא אפשר דלא מתהני והטורח מרובה על ההנאה אבל כדרך מלבוש הא ודאי מתהני להתחמם או להגן מן החום שמתכבדין בו וכפסיק רישיה ולא ימות דמי אבל בפירוש התירו אפי' דרך מלבוש עכ""ל הרי""ט ז""ל:"
Ritva on Pesachim 26b:2,"פיסקא <b>לא יסיק בו וכו' תנו רבנן תנור שהסיקוהו בקליפי ערלה ובקשין של כלאי הכרם.</b> פי' הרי""ט ז""ל ודוקא נקט גבי ערלה קליפין וכלאי הכרם קשין דאלו בערלה לא מיתסרא אלא פריו והנטפל לפניו דהיינו שומרי פירא עד דהוי פירא וכי שקלת ליה לא לאקי פירא כדאיתא פרק כיצד מברכין אבל בכלאי הכרם לא כתב פרי והכל אסור ואפי' העצים ע""כ. חדש יותץ ישן יוצן. אסיקנא דהא דקתני חדש יותץ משום דסבר זה וזה גורם אסור ופי' זה וזה גורם כל מלאכה הנגמרת על ידי שני גורמים חד דהתירא וחד דאיסורא ואיפסקא הלכה בע""ז פ' כל הצלמים כר' יוסי דסבר זה וזה גורם מותר. ויש אומרים דלעולם לא אמרינן זה וזה גורם מותר אלא כששני גורמין עושין פעולה אחת אבל אם אינה עושין פעולה א' אעפ""י שפועלין בדבר אחת חד גורם חשיב ולפי' אשרה שזורעין תחתיה בימות החמה והרי הזרעים נהנין מצילה דכ""ע אסורין דאלו ארעא דהוא גורם דהתירא פעולתה לגדל וצל האשירה מציל מחום השמש שלא יתיבשו וכן כתב הרשב""א ז""ל במס' ע""ז פ' כל הצלמים גבי פלוגתא דר' יוסי ורבנן. והרי""ט ז""ל כתב שאינו נראה כן מפרש""י ז""ל שפי' שם גבי הא דאמרינן ר' יוסי לדבריהם דרבנן קאמר להו וגם הרמב""ם ז""ל אינו סובר כן שפסק למאי דקי""ל זוז""ג מותר שזורעין תחת האשירה ירקות בין בימות החמה בין בימות הגשמים ע""כ:"
Ritva on Pesachim 27a:1,"<b>אלא ר' אליעזר וכו'.</b> כתב הרי""ט ז""ל הגירסא נתערבה באחרות ולא גרסי' ואחרות באחרות דהא בפ' התערובות איפלגו רב ושמואל בספק ספיקא דע""ז דשמואל אסר ורב שרי ולא אסתייע שמואל ממתניתין דהכא משמע דלא גרסי' והלכתא כרב דשרי מיהו אם נתערבו רוב מן הראשונות באחרות אסורות דחיישינן דאתי איסורא בהדי רובא. אבל אין מתירין הראשונות שאין ספק מוציא מידי וודאי וכן אמר הרא""ה ז""ל שמוכח פ' התערובות:"
Ritva on Pesachim 27b:1,"מתני' <b>ר' יהודה אומר אין ביעור חמץ אלא שריפה.</b> בתוס' פסקו הלכה כר' יהודה משום דסתם כותיה בתמורה. וכתב הרי""ט דאינו הגון דיחיד ורבים הלכה כרבים ואההיא סתמא לא סמכינן דילמא סתם ואח""כ מחלוקת היא: וחכמים אומרים אף פורר וזורה לרוח:"
Ritva on Pesachim 28a:1,"גמרא <b>איבעי' להו</b> וכו' עד <b>אמר רבא מסתברא וכו'.</b> כתב הרי""ט ז""ל דלא פליגי רבה ורב יוסף בעיקר דינא אלא בדין חמץ בלחוד דרבה מצריך ליה פירור בשאר והרי""ט <small>(נ""ל דצ""ל נהרות, המעתיק)</small> ורב יוסף לא מצריך ליה פירור כלל אבל בע""ז כ""ע מודו דלים המלח לא בעי שחיקה ובשאר נהרות בעי שחיקה. והלכתא כרבה לפום כללא דאמרי רבוותא ז""ל דכל היכא דפליגי רבה ורב יוסף הלכה כרבה בר משדה קנין ומחצה ואינו בסדר נזיקין דוקא וכן פסקו הגאוני' ז""ל בזו:"
Ritva on Pesachim 28a:2,"מתני' <b>חמץ של נכרי שעבר עליו הפסח מותר בהנאה.</b> כתב רבי' אלפסי ז""ל דהוא הדין דשרי באכילה אלא דאיידי דבעי למיתנא ושל ישראל אסור בהנאה תנא נמי רישא וכן כתב ר' אחא משבחא ור' שמעון קיירא. וכתב הרי""ט ז""ל וי""ל עוד דלהכי קתני מותר בהנאה משום דלא פסיקא ליה שבכלל חמץ זה יש אפי' פיתן של גוים ופיתן כבר גזרו עליו אפי' בשאר ימות השנה וכן משמע בירושלמי:"
Ritva on Pesachim 29a:1,"גמרא <b>רבא אמר לעולם ר' שמעון ור' שמעון קנסא קניס הואיל ועבר עליו בבל יראה ובל ימצא.</b> פי' הרא""ה ז""ל בשם רבו הרמב""ן ז""ל דלא שעבר ממש אלא לשון תרגום הוא ור""ל הואיל והוא עובר עלי' כלומר שראוי לעבור עליו ראיה לדבר מתני' דהתם שהלוה ישראל על חמצו וכו' ואוקי בשהרהינו אצלו הא לאו הכי אסור ואעפ""י שהי' עומד ברשותו של גוי ולא עבר ישראל וכן מדתנן גזל חמץ ועבר עליו הפסח אומר לו הרי שלך לפניך וההיא הלכתא היא והתם נגזל לא עבר עליו ואעפ""י שהגזלן עבר עליו לא היו קונסין לנגזל בכך כשם שלא קנסו חמץ של נכרי שהוא מותר אפי' עבר ישראל עליו מעתה פעמים שישראל עובר עליו ממש והוא מותר וזהו חמצו של נכרי ופעמים שלא עובר עליו והוא אסור וזהו חמץ של ישראל וכל שהערים בדבר בכלל קנסו של ר' שמעון הוא ואסור. ע""כ להרי""ט ז""ל בשם הרא""ה ז""ל:"
