Index Title,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah,Pesach Haggadah
"Pesach Haggadah, Magid, First Fruits Declaration 8",וַיְעַנּוּנוּ. כְּמָה שֶּׁנֶּאֱמַר: וַיָּשִׂימוּ עָלָיו שָׂרֵי מִסִּים לְמַעַן עַנֹּתוֹ בְּסִבְלֹתָם. וַיִּבֶן עָרֵי מִסְכְּנוֹת לְפַרְעֹה. אֶת-פִּתֹם וְאֶת-רַעַמְסֵס. ,"""And afflicted us"" - as is is stated (Exodus 1:11); ""And they placed upon him leaders over the work-tax in order to afflict them with their burdens, and they built storage cities, Pitom and Ra'amses.""","And they afflicted us, as it is written, they did set over them task-makers, to afflict them with their burdens, and they built for Pharaoh treasure cities, Pithom and Rameses,","And they afflicted us; as it is said, And they set over them task-masters to afflict them with their burdens, and they built for Pharaoh store cities, even Pithom and Raamses:","and they afflicted us–set over them task-masters to afflict them with their burdens, and they built for Pharaoh store cities Pithom and Ramases,","""And afflicted us;"" as it is said, ""And they set taskmasters over them, in order to afflict them with their burdens: and they built stone cities for Pharaoh, Pithom and Raamses.""","And they afflicted us; as it is said: and they set over them task-masters, to afflict them with their burdens, and they built for Pharaoh treasure-cities, even Pethom and Raamses.",""" And afflicted us,"" as it is said (Ex. i. 11), ""Therefore they did set over them taskmasters to afflict them with their burdens. And they built for Pharaoh treasure cities (Pithom and Rameses).""","And they afflicted us, as it said : and they set over them task-masters to afflict them with their burdens, and they built for Pharaoh store cities, even Pithom and Raamses,"
"Pesach Haggadah, Magid, First Fruits Declaration 9",וַיִתְּנוּ עָלֵינוּ עֲבֹדָה קָשָׁה. כְּמָה שֶֹׁנֶּאֱמַר: וַיַּעֲבִדוּ מִצְרַיִם אֶת-בְּנֵי יִשְׂרָאֵל בְּפָרֶךְ. ,"""And put upon us hard work"" - as it is stated (Exodus 1:11), ""And they enslaved the children of Israel with breaking work.""","and they laid upon us hard bondage, as it is written, and the Egyptians made the children of Israel to serve with rigour.","and they laid heavy bondage upon us; as it is said, And the Egyptians made the children of Israel to serve with rigour.","and they laid heavy bondage upon us, and the Egyptians made the children of Israel serve with rigour.","""And they imposed upon us heavy bondage;"" as it is said, ""And the Egyptians made the children of Israel serve with rigor.""","And they laid heavy bondage upon us, as is said: and the Egyptians made the children of Israel serve with rigour.","""And laid upon us hard bondage,"" as it is said (Ex. i. 13), "" And the Egyptians made the children of Israel to serve with rigour.""",and they laid heavy bondage upon us; as it said : and the Egyptians made the children of Israel to serve with rigour. 
"Pesach Haggadah, Magid, First Fruits Declaration 10",,,,,,,,,
"Pesach Haggadah, Magid, First Fruits Declaration 11","וַנִּצְעַק אֶל-ה' אֱלֹהֵי אֲבֹתֵינוּ, וַיִּשְׁמַע ה' אֶת-קֹלֵנוּ, וַיַּרְא אֶת-עָנְיֵנוּ וְאֶת עֲמָלֵנוּ וְאֶת לַחֲצֵנוּ. ","""And we we cried out to the Lord, the God of our ancestors, and the Lord heard our voice, and He saw our affliction, and our toil and our duress"" (Deuteronomy 26:7).","And we cried unto the lord God of our fathers, and the lord heard our voice, and looked on our affliction, and our labour, and our oppression; ","And we cried unto the Eternal, the God of our ancestors; the Eternal heard our voice, and observed our affliction, our labour, and our oppression.","“And we cried, unto the Eternal, the God of our ancestors, and HE heard our voices, and observed our affliction, our labour, and our oppression.","""And we cried unto the Eternal, the God of our Fathers, and the Eternal heard our voice, and saw our affliction and our sorrow, and our oppression.""","And we cried unto the Eternal, the God of our ancestors; the Lord heard our voice, and observed our affliction, our labor, and our oppression.",""" And when we cried unto the Lord God of our fathers, the Lord heard our voice and looked on our affliction and our labour and our oppression"" (Deut. xxvi. 7).","And we cried unto the Eternal, the God of our ancestors; the Eternal heard our voice, and observed our affliction, our labor, and our oppression."
"Pesach Haggadah, Magid, First Fruits Declaration 12","וַנִּצְעַק אֶל-ה' אֱלֹהֵי אֲבֹתֵינוּ - כְּמָה שֶּׁנֶּאֱמַר: וַיְהִי בַיָּמִים הָרַבִּים הָהֵם וַיָּמָת מֶלֶךְ מִצְרַיִם, וַיֵּאָנְחוּ בְנֵי-יִשְׂרָאֵל מִ-הָעֲבוֹדָה וַיִּזְעָקוּ, וַתַּעַל שַׁוְעָתָם אֶל-הָאֱלֹהִים מִן הָעֲבֹדָה. ","""And we cried out to the Lord, the God of our ancestors"" - as it is stated (Exodus 2:23); ""And it was in those great days that the king of Egypt died and the Children of Israel sighed from the work and yelled out, and their supplication went up to God from the work.""","and we cried unto the lord God of our fathers, as it is written, and it came to pass in process of time, that the king of Egypt died, and the children of Israel sighed by reason of the bondage: and the cried, and their cry came unto God, by reason of their bondage: ","And we cried unto the Eternal, the God of our ancestors; as it is said, And it came to pass in process of time, that the king of Egypt died, and the children of Israel sighed by reason of the bondage; and they cried, and their cry ascended up unto God, by reason of the bondage.",,"""And we cried unto the Eternal, the God of our fathers;"" as it is said, ""It came to pass, after many days, that the king of Egypt died, and the children of Israel sighed on account of the bondage, and they cried, and their plaint went up to God, on account of the bondage.","And we cried unto the Lord, the God of our ancestors; as is said: and it came to pass in course of time, that the King of Egypt died, and the children of Israel sighed by reason of their bondage; and they cried and their cry ascended unto God, by reason of their bondage.",""" And when we cried unto the Lord God of our fathers,"" as it is said (Ex. ii. 23), "" And it came to pass in process of time that the king of Egypt died; and the children of Israel sighed by reason of the bondage, and they cried, and their cry came up to God by reason of the bondage."" 

","And we cried unto the Eternal, the God of our ancestors, as it is said : and it came to pass in process of time, that the king of Egypt died, and the children of Israel, sighed by reason of bondage , and they cried, and their cry ascended up unto God, by reason of the bondage. "
"Pesach Haggadah, Magid, First Fruits Declaration 13","וַיִּשְׁמַע ה' אֶת קלֵנוּ. כְּמָה שֶּׁנֶּאֱמַר: וַיִּשְׁמַע אֱלֹהִים אֶת-נַאֲקָתָם, וַיִּזְכֹּר אֱלֹהִים אֶת-בְּרִיתוֹ אֶת-אַבְרָהָם, אֶת-יִצְחָק וְאֶת-יַעֲקֹב. ","""And the Lord heard our voice"" - as it is stated (Exodus 1:24); ""And God heard their groans and God remembered his covenant with Avraham and with Yitschak and with Ya'akov.""","and God heard their groaning, and God remembered his covenant with Abraham, with Isaac, and with Jacob.","And the Eternal heard our voice; as is said, And God heard their groaning, and remembered his covenant with Abrabam, Isaac, and with Jacob.",,"""And the Eternal heard our voice;"" as it is said, ""God heard their groaning, and God remembered his covenant with Abraham, with Isaac, and with Jacob.","And the Eternal heard our voice; as it is said : and God heard their groaning, and remembered his covenant with Abraham, Isaac, and with Jacob.","""The Lord heard our voice,"" as it is said (Ex. ii. 24), ""And God heard their groaning, and God remembered His covenant with Abraham, with Isaac, and with Jacob.""","And the Eternal heard our voice, as it is said: and God heard their groaning, and remembered his covenant with Abraham, Isaac and Jacob."
"Pesach Haggadah, Magid, First Fruits Declaration 14","וַיַּרְא אֶת-עָנְיֵנוּ. זוֹ פְּרִישׁוּת דֶּרֶךְ אֶרֶץ, כְּמָה שֶּׁנֶּאֱמַר: וַיַּרְא אֱלֹהִים אֶת בְּנֵי-יִשְׂרָאֵל וַיֵּדַע אֱלֹהִים. ","""And He saw our affliction"" - this [refers to] the separation from the way of the world, as it is stated (Exodus 1:25); ""And God saw the Children of Israel and God knew.""","And he saw our affliction, meaning the separating the custom of the land, as it is written, and God looked upon the children of Israel, and God had respect unto them.","And he saw our affliction; this denotes their being denied the company of their wives, to prevent propagation; as is said, And God looked upon the children of Israel, and God had knowledge of their affliction.",,"""And he saw our affliction;"" this refers to the prevention of connubial associations; as it is said, ""And God saw the children of Israel and God had knowledge of their affliction.","And he saw our affliction; this denotes their being denied the company of their wives, to prevent the propagation; as is said: and God looketh upon the children of Israel, and had knowledge of their oppression.",""" And He saw our affliction."" This refers to Egyptian tyranny over Hebrew family life; as it is said (Ex. ii. 25), "" And God looked upon the children of Israel, and God had respect unto them."" ","And he saw our affliction: this denotes their being denied the company ol their wives, to prevent propagation; as it is said: and God looked upon the children of Israel, and God hath knowledge of their affliction."
"Pesach Haggadah, Magid, First Fruits Declaration 15",וְאֶת-עֲמָלֵנוּ. אֵלּוּ הַבָּנִים. כְּמָה שֶּׁנֶּאֱמַר: כָּל-הַבֵּן הַיִּלּוֹד הַיְאֹרָה תַּשְׁלִיכֻהוּ וְכָל-הַבַּת תְּחַיּוּן. ,"""And our toil"" - this [refers to the killing of the] sons, as it is stated (Exodus 1:24); ""Every boy that is born, throw him into the Nile and every girl you shall keep alive.""","And our labour, meaning the male children, as it is written, every son that is born ye shall cast into the river, and every daughter ye shall save alive.","And our grievousness; this denotes the destruction of the male children; as is said, Every son that is born, ye shall cast into the river, but every daughter ye shall save alive.","“And our grievousness denotes the destruction of the male children (Exod. i, 22); every son that is born you shall cast into the river, but every daughter he shall save alive. ","""And our sorrow;"" this refers to the destruction of the male children; as it said, ""Every son that is born you shall cast into the river, and every daughter ye shall save alive.""","And our grievousness: this denotes the destrucion of the male children; as it is said: every son that is born, ye shall cast into the river, but every daughter ye shall save alive.",""" And our labour."" This refers to the condemned male children of the Hebrews, as it is said (Ex. i. 22), "" Every son that is born ye shall cast into the river, and every daughter ye shall save alive.""","And our grievouseness; this denotes the destruction of the male children; as it is said; every son that is born, ye shall cast into the river, but every daughter ye shall save alive
 
"
"Pesach Haggadah, Magid, First Fruits Declaration 16","וְאֶת לַחָצֵנוּ. זֶו הַדְּחַק, כְּמָה שֶּׁנֶּאֱמַר: וְגַם-רָאִיתִי אֶת-הַלַּחַץ אֲשֶׁר מִצְרַיִם לֹחֲצִים אֹתָם. ","""And our duress"" - this [refers to] the pressure, as it is stated (Exodus 3:19); ""And I also saw the duress that the Egyptians are applying on them.""","And our oppression, as it is written, and I have also seen the oppression wherewith the Egyptians oppressed them.","And our oppression: this denotes fatigue; as is said, And I have also seen the oppression with which the Egyptians harrass them.",,"""And our oppression;"" this refers to the severity employed; as it is said, "" And I have also seen the oppression wherewith the Egyptians oppress them.""",And our oppression ; this denotes fatigue; as it is said: and I havə also seen the oppression with which the Egyptians harras them.,"""And our oppression."" This refers to its severity, 8S it is said (Ex. iii. 9), ""And I have also seen the oppression with which the Egyptians oppressed them.""",And our opprossion : this denotes fatigee: as is said: and I have also seen the oppression with which the Egyptians harras them.
"Pesach Haggadah, Magid, First Fruits Declaration 17","וַיּוֹצִאֵנוּ ה' מִמִצְרַיִם בְּיָד חֲזָקָה, וּבִזְרֹעַ נְטוּיָה, וּבְמֹרָא גָּדֹל, וּבְאֹתוֹת וּבְמֹפְתִים. ","""And the Lord took us out of Egypt with a strong hand and with an outstretched forearm and with great awe and with signs and with wonders"" (Deuteronomy 26:8).","And the lord took us out of Egypt with a strong hand, and with a stretched-out arm, and with great terror, and with signs and with wonders,","And the Eternal brought us forth from Egypt, with a strong hand, and with an outstretched arm; with terror, and with signs and wonders.","“And the Eternal brought us forth from Egypt with a strong hand and an outstretched arm with great terror, and with signs and wonders. (Exod. xii, 12)","""And the Eternal brought us forth from Egypt with a strong hand and with an outstretched arm, with great terror, and with signs and with wonders.""","And the Eternal brought us forth from Egypt, with a strong hand and with an outstretched arm; with terror, and with signs and wonders.","""And the Lord brought us forth out of Egypt with a mighty hand, and with an outstretched arm, and with great terribleness, and with signs and wonders"" (Deut. xxvi. 8). ","And the Eternal brought us forth from Egypt, with a stron g hand with an outstretched arm; with terror and with signs of wonders."
"Pesach Haggadah, Magid, First Fruits Declaration 18","וַיּוֹצִאֵנוּ ה' מִמִּצְרַיִם. לֹא עַל-יְדֵי מַלְאָךְ, וְלֹא עַל-יְדֵי שָׂרָף, וְלֹא עַל-יְדֵי שָׁלִיחַ, אֶלָּא הַקָּדוֹשׁ בָּרוּךְ הוּא בִּכְבוֹדוֹ וּבְעַצְמוֹ. שֶׁנֶּאֱמַר: וְעָבַרְתִּי בְאֶרֶץ מִצְרַיִם בַּלַּיְלָה הַזֶּה, וְהִכֵּיתִי כָּל-בְּכוֹר בְּאֶרֶץ מִצְרַיִם מֵאָדָם וְעַד בְּהֵמָה, וּבְכָל אֱלֹהֵי מִצְרַיִם אֶעֱשֶׂה שְׁפָטִים. אֲנִי ה'. ","""And the Lord took us out of Egypt"" - not though an angel and not through a seraph and not through a messenger, but [directly by] the Holy One, blessed be He, Himself, as it is stated (Exodus 12:12); ""And I will pass through the land of Egypt on that night and I will smite every firstborn in the land of Egypt, from men to animals; and with all the gods of Egypt, I will make judgements, I am the Lord.""","and the lord God brought us forth from Egypt, not by the hand of an angels, neither by the hand of a seraph, nor by the hand of a messenger, but the lord God, himself in his glory, as it is written, And I will pass through the land of Egypt this night, and will smite all the first-born in the land of Egypt, both man and beast; and against all the Gods of Egypt I will execute judgment, I am the lord.","And the Eternal brought us fourth from Egypt, not by means of an angel, nor by means of a seraph, nor by means of a messenger: but the most Holy, blessed be he, himself, in his glory: as is said, And I will pass through the land of Egypt this night; and I will smite all the firstborn in the land of Egypt, both of man and beast: and on all the gods of Egypt will I execute judgment; I am the Eternal.",,"""And the Eternal brought us forth from Egypt;"" not by the agency of an angel, not by the agency of a seraph, nor by the agency of a messenger; but the Most Holy, blessed be He, in His own majesty, and in His proper person; as it is said, ""I will pass through the land of Egypt on this night, and I will smite every first-born in the land of Egypt from man unto beast: and on all the gods of Egypt I will execute judgment. I, the Eternal.""","And the Lord brought us forth from Egypt ; not by means of an angel, nor by means of a seraph, nor by means of a messenger: but the Most Holy, blessed be he, by himself, with his glory; as it is said: and I will pass through the land of Egypt this night; and I will smite all the first-born in the land of Egypt, both of man and beast; and on all the gods of Egypt will I execute judgements; I am the Lord.","""And the Lord brought us forth out of Egypt."" Not by the hands of an angel, nor by the hands of a seraph, nor by the hands of a messenger; but it was the Holy One, blessed be He, himself, and himself alone, as it is said 
(Ex. xii. 12), ""For I will pass through the land of Egypt this night, and will smite all the first-born in the land of Egypt, both man and beast; and against all the gods of Egypt I will execute judgment; I am the Lord."" 
","And the Eternal brought us from Egypt, not by means of an angle, nor by means of seraph, nor by means of a messenger. but the Most Holy, blessed be he himself in his, glory; as is said: aud I will pass through the land of Egypt, this night and I will smite all the first-born in the land of Egypt, both of man and beast , and on all the gods of Egypt will I execute judgment; I am the Eternal."
"Pesach Haggadah, Magid, First Fruits Declaration 19",וְעָבַרְתִּי בְאֶרֶץ מִצְרַיִם בַּלַּיְלָה הַזֶּה - אֲנִי וְלֹא מַלְאָךְ;ְ וְהִכֵּיתִי כָל בְּכוֹר בְּאֶרֶץ-מִצְרַים. אֲנִי וְלֹא שָׂרָף; וּבְכָל-אֱלֹהֵי מִצְרַיִם אֶעֱשֶׂה שְׁפָטִים. אֲנִי וְלֹא הַשָּׁלִיחַ; אֲנִי ה'. אֲנִי הוּא וְלֹא אַחֵר. ,"""And I will pass through the land of Egypt"" - I and not an angel. ""And I will smite every firstborn"" - I and not a seraph. ""And with all the gods of Egypt, I will make judgements"" - I and not a messenger. ""I am the Lord"" - I am He and there is no other.","For I will pass through the land of Egypt this night, myself without an angel and I will smite all the first-born in the land of Egypt myself without a seraph; and against all the Gods of Egypt I will execute judgment, I am the lord! I am he, and not a messenger, I am the lord! I am he, and there is no other.","And I will pass through the land of Egypt; I MYSELF, and not an angel: and I will smite all the firstborn; I MYSELF, and no seraph: and on all the gods of Egypt will I execute judgment; I MYSELF, and not a messenger: I am the Eternal! I AM HE, and no other.",,"""I will pass through the land of Egypt."" I myself and not an angel; ""And I will smite every first born,"" I myself and not a seraph; and ""on all the gods of Egypt I will execute judgment;"" I myself and not a messenger: "" I the Eternal,"" I it shall be, and none other.","And I will pass through the land of Egypt, I myself, and not an angel; and l will smite all the first-born: I myself and no seraph; and on all the gods of Egypt I will execute judgement ; I myself, and not a messenger; I am the Lord! I am הוא and no other.",""" For I will pass through the land of Egypt,"" i.e., I, myself, and not an angel; ""And will smite all the first-born,"" I, myself, and not a seraph; ""And against all the gods of Egypt I will execute judgment,"" I, myself, and not a messenger. "" I am the Lord""; it is I and no other.","And I will pass throuh the land of Egypt, I Myself and not an angle; and I will smite all the firstborn ; J Myself, and no seraph: and on all the gods of Egypt will I execute judgement. Myself, and not a messenger ; I am the Eternal I am he, and no other. "
"Pesach Haggadah, Magid, First Fruits Declaration 20","בְּיָד חֲזָקָה. זוֹ הַדֶּבֶר, כְּמָה שֶּׁנֶּאֱמַר: הִנֵּה יַד-ה' הוֹיָה בְּמִקְנְךָ אֲשֶׁר בַּשָּׂדֶה, בַּסּוּסִים, בַּחֲמֹרִים, בַּגְּמַלִים, בַּבָּקָר וּבַצֹּאן, דֶּבֶר כָּבֵד מְאֹד. ","""With a strong hand"" - this [refers to] the pestilence, as it is stated (Exodus 9:3); ""Behold the hand of the Lord is upon your herds that are in the field, upon the horses, upon the donkeys, upon the camels, upon the cattle and upon the flocks, [there will be] a very heavy pestilence.""","With a strong hand (meaning the murrain) as it is written, behold, the hand of the lord is upon thy cattle which is in the field, upon the horses, upon the asses, upon the camels, upon the oxen, and upon the sheep, there shall be a very grievous murrain.","With a strong hand; this denotes the murrain: as is said, Behold the HAND of the Eternal will be upon thy cattle which is in the field, upon the horses, upon the asses, upon the camels upon the oxen, and upon the sheep; a very grievous murrain.",,""" With a strong hand;"" this refers to the pestilence, as it is said, ""Behold the hand of the Eternal is upon thy cattle which is in the field, upon the horses, upon the asses, upon the camels, upon the oxen, and upon the sheep; there shall he a very grievous pestilence.""","With a strong hand. This denotes the murrain, as is said: behold, the hand of the Lord will be upon thy cattle which are in the field, upon thy horses, upon the asses, upon the camels, upon the oxen, and upon the sheep; a very grievous murrain.",""" With a mighty hand."" This refers to the murrain, as it is said (Ex. ix. 3), "" Behold the hand of the Lord is upon thy cattle which is in the field, upon the horses, upon the asses, upon the camels, upon the oxen, and upon the sheep. There shall be a very grievous murrain.""","With a strong hand, this denotes the murrain ; as is said: Behold, the hand of the Eternal will be upon thy cattle which is in the field, upon thy horses, upon the asses, upon the camels, upon the oxen, and upon the sheep; a very grievous murrain. "
"Pesach Haggadah, Magid, First Fruits Declaration 21","וּבִזְרֹעַ נְטוּיָה. זוֹ הַחֶרֶב, כְּמָה שֶּׁנֶּאֱמַר: וְחַרְבּוֹ שְׁלוּפָה בְּיָדוֹ, נְטוּיָה עַל-יְרוּשָלָיִם. ","""And with an outstretched forearm"" - this [refers to] the sword, as it is stated (I Chronicles 21:16); ""And his sword was drawn in his hand, leaning over Jerusalem:","And with a stretched-out arm (meaning the sword) as it is written, and his sword drawn in his hand stretched out over Jerusalem,","And with an outstretched arm; this denotes the sword, as is said elsewhere on such an occasion, And a drawn sword in his hand stretched out over Jerusalem.",,"""And with an outstretched arm;"" this refers to the sword, even as it is said, ""And a drawn sword is in his hand, stretched out over Jerusalem.""","And with an outstretched arm, this denotes the sword, as is said: and a drawn sword, in his hand, stretched out over Jerusalem.",""" And with an outstretched arm."" This refers to the sword, of which it is said (1 Chron. xxi. 16), ""Having a drawn sword in his hand stretched out over Jerusalem.""","And with an outstretehed arm ; this denotes the sword, as is said eleswhere on such an occasion, and a drawn sword, in his hand stretched out over Jerusalem. "
"Pesach Haggadah, Magid, First Fruits Declaration 22","וּבְמוֹרָא גָּדֹל. זוֹ גִּלּוּי שְׁכִינָה. כְּמָה שֶּׁנֶּאֱמַר, אוֹ הֲנִסָּה אֱלֹהִים לָבוֹא לָקַחַת לוֹ גּוֹי מִקֶּרֶב גּוֹי בְּמַסֹּת בְּאֹתֹת וּבְמוֹפְתִים וּבְמִלְחָמָה וּבְיָד חֲזָקָה וּבִזְרוֹעַ נְטוּיָה וּבְמוֹרָאִים גְּדוֹלִים כְּכֹל אֲשֶׁר-עָשָׂה לָכֶם ה' אֱלֹהֵיכֶם בְּמִצְרַיִם לְעֵינֶיךָ:. ","""And with great awe"" - this [refers to the revelation of] the Divine Presence, as it is stated (Deuteronomy 4:34); Or did God try to take for Himself a nation from within a nation with enigmas, with signs and with wonders and with war and with a strong hand and with an outstretched forearm and with great and awesome acts, like all that the Lord, your God, did for you in Egypt in front of your eyes?""","and with great terror (meaning the glory of the lord) as is written, hath God assayed to go and take unto him a nation from the midst of another nation, by temptations, by signs, by wonders, by way: and with a mighty hand, by a stretched-out arm, and by great terrors, according to all the lord your God did for you in Egypt before your eyes.","And with great terror; this denotes the appearance of the Divine Presence: as is said, Or hath God assayed to go and take unto him a nation from the midst of another nation, by proofs, signs, and wonders; by war, and a mighty hand; by an outstretched arm, and great terrors, according to all that the Eternal, your God, did for you in Egypt, before your eyes?",,"""And with great terror;"" this refers to the visible manifestation of the Divine presence, as it is said, ""Or hath God tried to go and take him a nation from the midst of another nation, by trials, by signs, and by wonders, and by war, and by a strong hand, and by an outstretched arm, and by great terror, according to all that the Eternal your God did for you in Egypt before your own eyes.""","And with great terror; this denotes the appearance of the Divine Presence; as is said: or hath God assayed to go and take unto him a nation from the midst of another nation, by proofs; signs, and wonders; by war and mighty hand; by an outstretched arm, and great terror according to all that the Eternal, your God, did for you in Egypt, before your eyes.","""And with great terribleness."" This refers to the revelation by God (to Israel) of His divine presence, as it is said (Dent. iv. 34), ""Or hath God assayed to go and take him a nation from the midst of another nation, by temptations, by signs, and by wonders, and by war, and by a mighty hand and by a stretched out arm, and by great terrors, according to all that the Lord your God did for you in Egypt before your eyes.""","And with great terrores; this denotes the appearance of the Divine Presences; as is said: or hath God assayed to go and take unto him a nation from the midst of another nation, by proofs, sings, and wonders  by war, and a mighty hand ; by an outstretched arm, and great terrors, according to all that the Eternal, your God, did for you in Egypt, before your eyes?"
"Pesach Haggadah, Magid, First Fruits Declaration 23","וּבְאֹתוֹת. זֶה הַמַּטֶּה, כְּמָה שֶּׁנֶּאֱמַר: וְאֶת הַמַּטֶּה הַזֶּה תִּקַּח בְּיָדְךָ, אֲשֶׁר תַּעֲשֶׂה-בּוֹ אֶת הָאֹתוֹת. ","""And with signs"" - this [refers to] the staff, as it is stated (Exodus 4:17); ""And this staff you shall take in your hand, that with it you will preform signs.""","And with signs (meaning the rod) as is written, and thou shalt take this rod in thine hand, wherewith thou shalt do signs. ","And with prodigies; this denotes the miracles performed with the rod; as is said, And thou shalt take this rod in thy hand, wherewith thou shalt do the prodigies.",,"""And with signs;"" this refers to the rod with which the miracles were wrought; as it is said, ""And thou shalt take this rod in thine hand, wherewith thou shalt perform the signs."" ","And with signs, this denotes the miracles which were performed with the rod; as is said: and thou shalt take this rod in thy hand, wherewith thou shalt do the signs.","""And with signs."" This refers to the rod (of Moses), as it is said (Ex. iv. 17), ""And thou shalt take this rod in thine hand wherewith thou shalt do signs."" ",And with prodigies; this denotes the miracles perfomed with the rod ; as is said: and thou shalt take this rod in thy hand wherewith thou shalt do the prodigies . 
"Pesach Haggadah, Magid, First Fruits Declaration 24","וּבְמֹפְתִים. זֶה הַדָּם, כְּמָה שֶּׁנֶּאֱמַר: וְנָתַתִּי מוֹפְתִים בַּשָּׁמַיִם וּבָאָרֶץ. ","""And with wonders"" - this [refers to] the blood, as it is stated (Joel 3:3); ""And I will place my wonders in the skies and in the earth:","And with wonders (meaning the blood) as it is written, and I will give wonders in the heavens and on earth, blood and fire; and pillars of smoke","And with wonders; this denotes the plague of blood; as is said, And I will show wonders in the heavens, and in the earth, ",,"""And with wonders;"" this refers to the plague of blood, as it is said, ""And I will show wonders in the heavens, and in the earth,","And with wonders; this denotes the plague of the blood; as is said: and I will show wonders in the heavens and on the earth, ",""" And with wonders."" This refers to the blood, as it is said (Joel ii. 3O), "" And I will show wonders in the heavens and in the earth, ","And with wonders; this denotes the plague of blood, as it said: and I will show wonders in the heavens, and in the earth, blood and fire and ascending pillars of smoke. "
"Pesach Haggadah, Magid, The Ten Plagues 1","<small>כשאומר דם ואש ותימרות עשן, עשר המכות ודצ""ך עד""ש באח""ב - ישפוך מן הכוס מעט יין:</small>","<small>And when he says, ""blood and fire and pillars of smoke"" and the ten plagues and ""detsakh,"" ""adash"" and ""ba'achab,"" he should pour out a little wine from his cup.</small>",,,,,<small><i>*By every plague dip your Finger in the cup of the wine and drop on the floor to show that the Egyptians were plagued with God's finger.</i></small>,,"<small><i>(Dip the Finger in tae Cup and Springle a Drop out of it, on saying Blood, &e).</i></small>"
"Pesach Haggadah, Magid, The Ten Plagues 2",דָּם וָאֵשׁ וְתִימְרוֹת עָשָׁן.,"""blood and fire and pillars of smoke.""",,"blood and fire, and ascending pillars of smoke.",,"blood and fire and pillars of smoke.""",*blood and fire and pillars of smoke.,"blood and fire, and pillars of smoke.""",
"Pesach Haggadah, Magid, The Ten Plagues 3",-----,-----,,,,,,,
"Pesach Haggadah, Magid, The Ten Plagues 4","דָבָר אַחֵר: בְּיָד חֲזָקָה שְׁתַּיִם, וּבִזְרֹעַ נְטוּיָה שְׁתַּיִם, וּבְמֹרָא גָּדֹל - שְׁתַּיִם, וּבְאֹתוֹת - שְׁתַּיִם, וּבְמֹפְתִים - שְׁתַּיִם. ","Another [explanation]: ""With a strong hand"" [corresponds to] two [plagues]; ""and with an outstretched forearm"" [corresponds to] two [plagues]; ""and with great awe"" [corresponds to] two [plagues]; ""and with signs"" [corresponds to] two [plagues]; ""and with wonders"" [corresponds to] two [plagues].","Otherwise with a strong hand, is meant two plagues and with a stretched-out arm is two, and with great terrors is two, and with signs is two, and with wonders is also two.",It may also be explained thus. With a strong hand; denotes two plagues. With an outstretched arm; two plagues. With great terror; two plagues. With prodigies; two plagues. and with wonders; two plagues.,"“’It may be explained thus: ‘With a strong hand,’ denotes two plagues; ‘With an outstretched arm,’ two plagues: ‘With great terror,’ two plagues; ‘With prodigies,’ two plagues’ and ‘with wonders,’ two plagues.","Another explanation of the text is as follows, ""with a strong hand,"" denotes two plagues, ""and with an outstretched arm,"" denotes two more, ""and with great terror,"" two more, ""and with signs,"" two more, ""and with wonders,"" two more.","It may also be explained thus: with a strong hand, denotes two plagues. With an outstretched arm, two plagues. With great terror, two plagues. With signs, two plagues, and with wonders, two plagues.","Another explanation is, that these expressions: ""A mighty hand,"" ""An outstretched arm,"" ""Great terribleness,"" "" Signs"" and "" Wonders,' each denote a double share in the plagues of which they were the instrument. ","It may also be explaned thus, with a strong hand, denotes two qlagues With an outstretched arm; two plagues. With great terror. two Plagues. With prodigies ; two plagues, and with wonders ; two plagues"
"Pesach Haggadah, Magid, The Ten Plagues 5","אֵלּוּ עֶשֶׂר מַכּוֹת שֶׁהֵבִיא הַקָּדוֹשׁ בָּרוּךְ הוּא עַל-הַמִּצְרִים בְּמִצְרַיִם, וְאֵלוּ הֵן:","These are [the] ten plagues that the Holy One, blessed be He, brought on the Egyptians in Egypt and they are:","These are the ten plagues, which the lord brought on the Egyptians in Egypt. ","These are the ten plagues, which the most Holy, blessed be he, brought on the Egyptians in Egypt, viz.","“These are the 10 plagues which the Most Holy (blessed be He) brought on the Egyptians in Egypt,","These are the ten plagues which the Most Holy, blessed be He, brought upon the Egyptians in Egypt, viz. —","Thus are the ten plagues, which the Most Holy, blessed be he, brought on the Egyptians in Egypt, viz.,","These are the ten plagues which the Holy One, blessed be He, did bring upon the Egyptians in Egypt, namely:","There are the ten plagues, which the Most Holy, blessed be he, brought on the Egyptianins Egypt, viz. "
"Pesach Haggadah, Magid, The Ten Plagues 6",-----,-----,,,,,,,"<small><i>[Dip the Finger in the Cup, and Sprinkle a Drop out of it, on Mentioning every one of the Ten Plagues].</i></small>"
"Pesach Haggadah, Magid, The Ten Plagues 7",דָּם ,Blood,"Blood,","BLOOD,","blood,","Blood,","BLOOD,","Blood,","Blood,"
"Pesach Haggadah, Magid, The Ten Plagues 8",צְפַרְדֵּעַ ,Frogs,"frogs, ","FROGS,","frogs,","frogs,","FROGS,","frogs,","Frogs,"
