א,A
הפלא,The wonder
הפלגה,sailing
הפלה,abortion
הפסד,loss
הפר,Breed
הפרש,difference
הצל הצלה,Shadow Rescue
הצלחה,success
הצללפוני,The shadow
הצנע לכת,Modesty
הקדש,Dedicate
הקהל,The audience
הקזת דם,bloodshed
הקטרה,The locomotive
הקע,Hatch
הקף הקפות,Surround laps
הקפת הראש,Surrounding the head
הקרה,Cold
הר גריזים ועיבל,Mount Gerizim and Eival
הר הבית,The Temple Mount
הר ההר,Mountain Mountain
הר המוריה,Mount Moriah
הר חורב,Mount Horev
הר חושך,Mount Darkness
הר מועד,Mount Moad
הר נבו,Mount Nevo
הר סיני,Mount Sinai
הר תבור,Tavor mountain
הר,Mt
הראל,Harel
הרבעה,The stud
הרג,killing
הרגל,habit
הרדם,Heredom
הרהור,reflection
הרוגי מלכות,Martyrs
הריון,pregnancy
הרכבה,assembly
הרם יד,Raise your hand
הרן,Haran
הרנן,Hernan
הרס,destruction
הרשיע,Convicted
השאר,The rest
השבת אבדה,The Sabbath is lost
השבת,Disable
השג,achievement
השגחה,supervision
השחת,The hay
השיא השיאני,The shinny peak
השיא והשיאו,The climax and climax
השכיל,He was wise
השכם השכמה,Wake up early
השמר,Take care
השקף,Slide
השתאה,warping
השתדלות,intercession
השתחוה,She bent down
התאוה,Sweetie
התאונן,I complained
התאמר,Tamer said
התאפק,Restrained himself
התבודדות,isolation
התבוללות,assimilation
התגולל,He rolled over
התהלך את האלקים,Walk the God
התהלך,He walked
התחדשות,regeneration
התחלה,start
התיצב,Stabilized
התך,The melon
התלהבות,enthusiasm
התמהמה,He lingered
התנחם,He consoled himself
התנכל,Harassed
התעוררות,awakening
התעלל,He abused
התעלף,Fainted
התעמר,He abused
התענינות,The interest
התעשת,He pulled himself together
התפלל,He prayed
התפתחות,development
התראה,warning
ו,and
ואלה,And these
ואני,And me
ואתה,And you
והב,And the boy
והיה,And there was
והלאה,And beyond
ויאמר,And he said
וידוי,Confession
ויהי אחרי,And it was after me
ויהי איש,And there was a man
ויהי,it came to pass
ויניציאה,Venice
וכוח,And power
ומעלה,and above
ועד,Committee
ועתה,And now
ושט,esophagus
ושתי,Vashti
ותור ותרנות,And giving in
ותיק ותיקין,Veteran
ז,G.
זאב,Zeev
זאת,this
זב,Zb
זבה,Zeba
זבוב,Fly
זבולון,Zevulun
זבח,sacrifice
זבל זבול,Garbage and fertilization
זבת חלב ודבש,flowing with milk and honey
זד,Zed
זדון,malice
זה,It
זהב,gold
זהירות,Caution
זהר,Zohar
זוגות,Couples
זווג,mating
זוועות,Horrors
זונה,whore
זיו,splendor
זיז,ledge
זיעה,Sweat
זיקין,Zikin
זית,olive
זכוכית,glass
זכור,Remember
זכות,right
זכר זכירה,Remembering memory
זכר,male
זכריה בית ראשון,Zechariah First Temple
זכריה בית שני,Zechariah Second Temple
זלפה,Zilpa
זמה,lewdness
זמן,time
זמננו,Contemporary
זמר זמירות,Singing Songs
זמרי,Zimri
זנות,prostitution
זעוה,She was furious
זעם,rage
זעף,rage
זעק,He cried
זקן זקנה,Old old man
זקן ממרא,Old Mamre
זקן,an old
זר,foreign
זרא,Terrible
זרובבל,Zerubavel
זרוע נטויה,An overstretched arm
זרוע,arm
זריזות,agility
זרע,seed
זרש,Zeresh
זרת,Pinky
ח,H
חבה,fondness
חבורה,gang
חבל גורל,Too bad
חבל לידה,A rope for birth
חבל,Too bad
חבצלת,lily
חבק,Hold on
חבקוק,Habakkuk
חבר אדם,Friend
חבר תלמיד חכם,Member of the Torah scholar
חברה חבורה,A bunch company
חולדה נביאה,A prophet&#39;s rat
חולדה,rat
חולה בקור,Sick in the cold
חולה,Sick
חום,Heat
חומץ,Vinegar
חומר,material
חומרה,hardware
חומש,Pentateuch
חוני המעגל,Honi the Circle
חוס,Hoss
חוסן,sturdiness
חוף,Beach
חופה,canopy
חופש,freedom
חוץ לארץ,abroad
חוץ,outside
חוצן,Alien
חוצפה,gall
חוק,Law
חוקות הגוי,The Laws of the Gentile
חור,a hole
חורב,Horev
חורבה,ruin
חורבן,destruction
חורי סלי,Holes Sally
חורי שבעה עמים,The holes of seven peoples
חורף,winter
חושי,sensory
חושים אדם,Human senses
חושים בן דן,Hushim son of Dan
חושך,darkness
חותן,Father - in - law
חזאל,Hazael
חזון חזה,Vision predicted
חזיר,pig
חזן,cantor
חזק ואמץ,Be strong and courageous
חזקיה,Hezekiah
חח,hook
חטא חסר,Sin is missing
חטא מחטיא,Sin is wrong
חטא פעולה,Sin action
חטא,sin
חטה,wheat
חיאל,Hayal
חיה,an animal
חיך,He smiled
חיל כח,Force
חיל חומה,A brown corps
חימה,Fury
חירם,Hiram
חכם,Clever
חכמה,wisdom
חכמינו ז,Our sages
חלב קרבן,Milk of a victim
חלב,Milk
חלד,Stainless steel
חלה מתנות כהונה,There were gifts of priesthood
חלה פנים,There was a face
חלול השם,blasphemy
חלום,Dream
חלון,Window
חלוקא דרבנן,Haluka Drebanan
חלזון,snail
חליל,flute
חלילה,God forbid
חליצה,pulling off
חלל,space
חלק,Part
חלקיה,Parts
חם,hot
חמד חמדה,Hamed Hemda
חמה,rage
חמור,Donkey
חמי חמות,My father-in-
חמל חמלה,Compassionate compassion
חמנים,Butterflies
חמס,violence
חמץ בדיקה וביעור,Chametz Testing and Elimination
חמץ,leaven
חמריות,Materials
חמש,five
חמשה עשר באב,Fifteenth of Av
חמשה עשר בשבט,The fifteenth of Shevat
חן,Grace
חנה ושבעת בניה,Hannah and her seven sons
חנה,Hannah
חנוך אב ובן,Hanoch father and son
חנוך בן ירד,Hanoch ben Yarden
חנכה,We inaugurated
חנניה מישאל ועזריה,Hanania Mishael and Azariah
חנק,boa
חסד,grace
חסיד חסידות,Hasidism Hasidism
חסידים הראשונים,The first Hasidim
חסכון,saving
חפה,Free
חפזון,haste
חפני ופנחס,Hafni and Pinchas
חפץ,object
חפצי בה,Her belongings
חפר בושה,He dug a shame
חפר כרה,He dug a hole
חפש,Search
חצוצרה,trumpet
חצות,midnight
חצר מות,Courtyard of Death
חצר,courtyard
חקלאות,agriculture
חקר חקירה,Exploration investigation
חרב המתהפכת,A sword that turns
חרב,sword
חרבונה,Harbona
חרד,anxious
חרון,Wrath
חרוץ חריצות,Diligent
חרוץ,diligent
חרות,engraved
חרטה,remorse
חרטומים,Herring
חרם,boycott
חרמון,Hermon
חרף חרפה,Despite disgrace
חרש ומסגר,Softly and framed
חרש,deaf
חשבון,Account
חשד,suspicion
חשון,Cheshvan
חשמונאים,Hasmoneans
חשמל,electrical power
חשק,desire
חתה,She waited
חתול,cat
חתי,Hittite
חתימה,signature
חתן,groom
ט,ninth
טבור,Navel
טבח,Massacre
טבי,Tabby
טבילה,baptism
טביעות עין,Eye prints
טבע לפני ואחרי המבול,Nature before and after the flood
טבע לפני ואחרי חטא אדם הראשון,Nature before and after Adam&#39;s first sin
טבע,nature
טבעת,Ring
טבריה,Tiberias
טבת,Tevet
טהור טהרה,Pure purity
טוב טובה,Good and good
טוב עין,good eye
טוב,Good
טוטפות,Totapets
טומאה אוכלין ומשקין,Impurity of ocholines and creams
טומאה הכשר,Impurity
טומאה כלים,Impurity Tools
טומאה לידה,Birth impurity
טומאה מקדש וקדשיו,Temple impurity and holiness
טומאה משקין,Impurity weighs
טומאה מת,Impurity is dead
טומאה נבלה,Impurity is despicable
טומאה ספק,Impurity provider
טומאה שלוח,Impurity
טומאה שרץ,Impurity
טומאה,impurity
טומטום ואנדרוגינוס,Thumb and androgynous
טוס,Fly
טורח,burden
טורנוס רופוס,Tornos Rufus
טחול,spleen
טטפות,Drums
טיטוס,Titus
טירה,castle
טל,Dew
טלית,prayer shawl
טעון,loaded
טעות,Mistake
טעם,taste
טעמים,tastes
טף,Taff
טפש,goofy
טרד טרדה,Troubled
טרח טרחה,He took the trouble
טרם,no yet
טרף טרפה,Foreclosure prey
טרף,prey
טרקלין,lounge
י,Y.
יאהרצייט,Jahrzeit
יאור,Nile
יאיר,Yair
יאשיה,Josiah
יבול,crop
יבום,levirate
יבוס,Yevus
יבוסי,Yevusi
יבוק,Yabok
יבנה,Yavne
יבש גלעד,Dry Gilad
יבשה,dry land
יגע,tired
יד חזקה,A strong hand
יד,Hand
ידותון,Yidton
ידיעה,news
ידיעת ה,Knowledge of
ידעוני,He knew
יהא שמיה רבא מברך,May her great name be blessed
יהדות,Judaism
יהוא,Yeho
יהואחז,Yehoahaz
יהודה ארץ,Yehuda Country
יהודה בניו,Judah in his sons
יהודה ברכה,Yehuda Bracha
יהודה ויוסף,Judah and Joseph
יהודה ועשרת השבטים,Judah and the Ten Tribes
יהודה ותמר,Yehuda and Tamar
יהודה מלכות,Yehuda Malchut
יהודה בן גרים,Yehuda ben Grimm
יהודה המכבי,Judah Maccabee
יהודה,Yehuda
יהודי,Jewish
יהודית,Jewish conflict
יהוידע,Yehoyada
יהויכין,Yehoyachin
יהויקים,Yehoyakim
יהונדב בן רכב,Yehonadav son of a car
יהונתן בן גרשם,Jonathan Ben Gershom
יהונתן בן שאול,Yehonatan the son of Saul
יהורם מלך יהודה,Yehoram the king of Judah
יהורם מלך ישראל,Yehoram the king of Israel
יהושע כבוש יריחו,Joshua occupied Jericho
יהושע כהן גדול,Yehoshua Cohen is great
יהושע מעבר הירדן,Joshua beyond the Jordan
יהושע מרגלים,Joshua is spying
יהושע עמידת השמש,Joshua The Sun Standing
יהושע,Joshua
יהושפט,Yehoshafat
יהי,May it be
יהרג ואל יעבר,He will be killed and he will not go
יואב,Yoav
יואל,Yoel
יואש מלך יהודה,Joash king of Judah
יואש מלך ישראל,Yoash king of Israel
יובל,jubilee
יוחנן כהן גדול,John the Great
יוכבד,Yocheved
יולדת,mother
יום ב,Monday
יום ג,Tuesday
יום ד,Wednesday
יום ה,Thursday
יום הדין,Doom&#39;s day
יום הולדת,Birthday
יום השם,Day of the Name
יום חול,Weekday
יום טוב אסורי,A forbidden good day
יום טוב שני,Good Monday
יום טוב,Good Day
יום כפורים אסורי,Yom Kippur is forbidden
יום כפורים כפרה,Yom Kippur atonement
יום כפורים עבודה,Day of Atonement Work
יום כפורים ערב,Day of Atonement Evening
יום כפורים,Day of Atonement
יום,a day
יון חכמת לשון,Ion wisdom tongue
יון,ion
יונדב בן רכב,Yonadav son of a car
יונה הנביא,Jonah the prophet
יונה עוף,A chicken dove
יוסף ארון,Joseph Aron
יוסף ברכה,Yosef Bracha
יוסף ואחיו,Joseph and his brothers
יוסף ואשת פוטיפר,Joseph and Potiphar&#39;s wife
יוסף ובניו,Joseph and his sons
יוסף ובנימין,Joseph and Benjamin
יוסף ומצרים,Joseph and Egypt
יוסף ופוטיפר,Yosef and Potifar
יוסף ופרעה,Joseph and Pharaoh
יוסף ושר המשקים,Joseph and the butler
יוסף חלום,Joseph is a dream
יוסף מכירת,Joseph Sale
יוסף צפנת פענח,Yosef Tzofnat Pa&#39;anach
יוסף בן סימאי,Yosef Ben Simai
יוסף הכהן,Yosef the priest
יוסף מוקיר שבת,Joseph honors the Sabbath
יוסף,Yosef
יופי,Beauty
יוקר,Cost of living
יורה,shooter
יורש עצר,Regent
יושר,integrity
יותם,Yotam
יותרת הכבד,Liver
יזם,entrepreneur
יחדיו,together
יחוד,uniqueness
יחוס,attribution
יחזקאל נבואה,Ezekiel prophecy
יחזקאל,Ezekiel
יחי,Long live
יחיד,only
יחידה,unit
יחל,Will begin
יחסיות,relativity
יין המשומר,Canned wine
יין נסך,Yene Nesek
יין,wine
יכל,could
ילד ילדות,Childhood Child
ילתא,Yalta
ים מים,Sea water
ים המלח,The Dead Sea
ים טבריה,Sea of ​​Tiberias
ים סוף,Red Sea
ים,sea
ימים,Days
ימין,right
ינאי,Yanai
ינוס וימברוס,Janus Wimbross
ינק,He sucked
יסודות,Basics
יסורין,Sorrowful
יעבץ,Yavetz
יעד,target
יעל אשת חבר הקיני,Yael the wife of Hevir Hakini
יעל,Yael
יען,ostrich
יענה,Answer
יעקב אלוקי,Yaakov Eloki
יעקב בכורה,Jacob is the eldest
יעקב ברכה,Yaakov Bracha
יעקב הבאר,Jacob the well
יעקב הבטחה,Jacob promised
יעקב החלום,Jacob the dream
יעקב ובניו,Jacob and his sons
יעקב והמלאך,Jacob and the angel
יעקב והמקלות,Jacob and the sticks
יעקב ויוסף,Jacob and Joseph
יעקב ולבן,Jacob and Laban
יעקב ומצרים,Jacob and Egypt
יעקב ועשו,Jacob and Esau
יעקב ופרעה,Jacob and Pharaoh
יעקב ושכם,Jacob and Shechem
יעקב מיתה,Jacob was dead
יעקב נדרו,Yaakov Nedaro
יעקב נשיו,Jacob and his wives
יעקב פחדו,Jacob was afraid
יעקב קבורה,Yaakov is buried
יעקב שם,Yaakov is there
יעקב תורה,Yaakov Torah
יעקב תפלה,Yaakov is a prayer
יעקב,Jacob
יער,forest
יפו,Jaffa
יפת תאר,Beautiful
יפת,Yefet
יפתח,Yiftach
יצא,came out
יצב,Stable
יצחק בארות,Yitzhak Be&#39;erot
יצחק ברכת,Isaac Blessing
יצחק ואבימלך,Isaac and Abimelech
יצחק ויעקב,Isaac and Jacob
יצחק וישמעאל,Isaac and Ishmael
יצחק ועשו,Isaac and Esau
יצחק ורבקה,Isaac and Rebecca
יצחק זכות,Itzhak Zakut
יצחק נסיון,Yitzhak tried
יצחק תפלה,Isaac is a prayer
יצחק,Isaac
יציאה,Output
יציאת מצרים אותות,Exodus signals
יציאת מצרים ארבעה לשונות גאולה,Exodus from Egypt Four languages ​​of redemption
יציאת מצרים דם פסח,Exodus from the blood of Pesach
יציאת מצרים זכות,Exodus is a right
יציאת מצרים זכר,Exodus from Egypt
יציאת מצרים פקד יפקד,The Exodus from Egypt will be commanded
יציאת מצרים שאלת הרכוש,Exodus from the question of property
יציאת מצרים שפטים,Exodus from Egypt
יציאת מצרים,exodus
יצירה,Creation
יצק,He poured
יצר ברא,Creator created
יצר רצון,A will
יצר הטוב,Good instinct
יצר הרע,Evil inclination
יצת,Ignited
יקד,Yaked
יקהת,You&#39;ll be silent
יקום איש צרורות,A man of bundles will arise
יקום פורקן,There will be an outlet
יקום,universe
יקטן,Will decrease
יקץ,Will end
יקר,Expensive
ירא יראה,Fear of fear
ירבעם בן יואש,Jeroboam son of Yoash
ירבעם בן נבט,Jeroboam son of Nebat
ירד משה,Moshe went down
ירד,Decreased
ירדן מעבר ואבני,Jordan beyond and stones
ירדן,Jordan
ירה,Shot
ירוק,green
ירושה,inheritance
ירושלים אבלות,Jerusalem mourning
ירושלים חורבן,Jerusalem Destruction
ירושלים לעתיד לבא,Jerusalem for the future
ירושלים,Jerusalem
ירח לבנה,White moon
ירח האיתנים,The moon of the mighty
ירח,moon
ירט,Yart
יריחו כבוש,Jericho is occupied
יריחו,Jericho
ירך,thigh
ירכתי צפון,North end
ירכתי,My back
ירמיה,Jeremiah
ירקות,vegetables
ירקרק,greenish
יש אם למקרא,There is a mother reading
יש,there is
ישב,He sat down
ישבי,there is in me
ישוב,settlement
ישועה,salvation
ישורון,Yeshurun
ישי,Yishai
ישיבה,meeting
ישימון,wilderness
ישמעאל בן נתניה,Ishmael son of Netanya
ישמעאל בן פיאבי,Ishmael Ben Piabi
ישמעאל,Ishmael
ישן,Old
ישעיה,Isaiah
ישר,Straight
ישראל אחדות,Israel Unity
ישראל ברכה,Israel Greeting
ישראל גלות,Israel exile
ישראל השגחה,Israel Supervision
ישראל וארץ ישראל,Israel and the Land of Israel
ישראל וה,Israel and
ישראל ועמים,Israel and the nations
ישראל חטא,Israel sinned
ישראל לעתיד לבא,Israel for the future
ישראל מדות וטבע,Israel Nature and Nature
ישראל מזל,Israel is lucky
ישראל עונש,Israel is a punishment
ישראל ערבות,Israel is a guarantee
ישראל שם,Israel is there
ישראל תורה,Israel Torah
ישראל תפקיד,Israel plays a role
ישראל,Israel
יששכר וזבולון,Issachar and Zevulun
יששכר איש כפר ברקאי,Issachar of the village of Barkai
יששכר,Yissachar
יתום,orphan
יתוש,mosquito
יתכן,Possibly
יתר הישמעאלי,The rest of the Ishmaelite
יתרו,Yitro
כבוד אב ואם,Honorable father and mother
כבוד ה,Honor
כבוד הבריות,Respect for people
כבוד זקן ורב,A great old honor
כבוד,respect
כבול,bound
כביר,tremendous
כבלע,As a rib
כבס,Wash
כברת,A second
כבש בעל חיים,Lamb of an animal
כבש וכבשוה,Sheep and sheep
כבש מזבח,Lamb altar
כבשן,furnace
כדור,ball
כדכד,Like a monster
כה לחי,So cheeky
כה,so
כהה,dark
כהונה בית אב,Serving as a father&#39;s house
כהונה בעל מום,A priest with a defect
כהונה חלוקה ונחלה,Serving a division and inheritance
כהונה טומאה,Serving impurity
כהונה יין,Serving wine
כהונה מלואים,Serving as a cantor
כהונה משוח מלחמה,A war-weary term
כהונה משמרות,Serving shifts
כהונה עבודה,Work term
כהונה,service
כהן אשה,Cohen is a woman
כהן בת,Cohen is a daughter
כהן גדול אבלות,High priest of mourning
כהן גדול הוראה,High priest teaching
כהן גדול אשה,A high priest is a woman
כהן גדול,Priest
כוונה,Intent
כוזרים,Khazars
כוחי ועוצם ידי,My power and my strength
כוי,Yes
כויה,cautery
כוכב,Star
כונה,Was called
כונים,Are called
כוס של ברכה,A glass of blessing
כוס,glass
כופר,ransom
כור,Koor
כורש,Cyrus
כורת,cutter
כוש כושי,Black Kush
כושן רשעתים,Cushan Rishathaim
כותים,Kutim
כותל מערבי,Western Wall
כותל,wall
כזב,falsehood
כזבי,Kzavi
כזיב,Kziv
כח,Power
כחד,As a novelty
כחש,Deaf
כי,Because
כידון,spear
כילות,Netting
כימה,Kima
כינוי,nickname
כירים,Hire
ככר מישור,Plain Square
ככר שעור,A square
כל,All
כלאב,Calab
כלאים כלאי בהמה,They are imprisoned as animals
כלאים,hybrid
כלב בן יפונה,Caleb Ben Yefune
כלב,Dog
כלבא שבוע,As a week
כלה נשואין,Bride marriage
כלה סוף,Bride end
כלח,Calm
כלי גבר,A man&#39;s tool
כלי זיין,Tool fucked
כלי חרס,Pottery
כלי מקדש ארון בפלשתים,The vessels of a cupboard in the Philistines
כלי מקדש ארון כפורת וכרובים,Temple vessels ark and keruvim
כלי מקדש ארון מסע,Temple Mount
כלי מקדש ארון,Temple cupboard tools
כלי מקדש כיור,Sink temple tools
כלי מקדש מזבח הזהב,Tools of the Golden Altar Temple
כלי מקדש מזבח,Temple altar tools
כלי מקדש מנורה הדלקה,Temple lamp tools
כלי מקדש מנורה,Temple lamp tools
כלי מקדש פרוכת,Parochet Temple Tools
כלי מקדש שולחן,Tableware
כלי מקדש,Temple Tools
כלי משכן מזבח אש,An altar of fire
כלי נכרים,Tools for foreigners
כלי,tool
כליון עינים,Eye failure
כליות,Kidneys
כלכל,Economist
כלל,rule
כלמה,everything
כמוש,like
כן אמת,"Yes, yes"
כן,Yes
כנוס,Concession
כנור,violin
כנים עשר מכות,Ten plagues
כנים,Honest
כניסה,Entrance
כניעה,surrender
כנסת הגדולה,Great Assembly
כנסת ישראל,Israeli Knesset
כנען,Canaan
כנף הארץ,Wing of the earth
כנף רננים,Wing Renanim
כנף,wing
כנרת,Sea of ​​Galilee
כסא ליום הכסא,A chair for the day of the chair
כסא הכבוד,Throne of Glory
כסא,chair
כסוי הראש,Head covered
כסות עינים,Eye covering
כסות,cover
כסיל כוכב,Fool star
כסיל שוטה,Silly fool
כסל,As a basket
כסלו,Kislev
כסף,Of money
כעס,anger
כעת חיה,Now she lives
כעת,Now
כף הקלע,His sling
כף,a spoon
כפה,palm
כפור,frost
כפי,as
כפיה,coercion
כפיית טובה,Good coercion
כפיר,Kfir
כפירה,heresy
כפל ענין,Double interest
כפל,multiplication
כפר,Village
כפרה,atonement
כפרות,Kefarot
כפתורים,buttons
כר,pillow
כרה,Mine
כרום זולות,Chrome is cheap
כרי,I have
כרך,volume
כרכב,As a vehicle
כרם רבעי,Quarter vineyard
כרם,vineyard
כרמל,Carmel
כרע כריעה,He knelt down
כרעים,They are bad
כרת,Cut off
כרתי ופלתי,Cretti and Palti
כרתים,Crete
כשדים,Chaldeans
כשה,When
כשוף דורש אל המתים,A witch demands the dead
כשוף חובר חבר,Shouf joins a friend
כשוף ידעוני,Shof knows
כשוף,incantation
כתב כתיבה,Writing writing
כתבי הקדש,The Scriptures
כתובה,Marriage contract
כתובת קעקע,tattoo
כתונת,A nightgown
כתיב,spelling
כתים,Cats
כתם,stain
כתר,crown
ל,To
לא ילבש גבר,No man will wear
לא תחמוד,You shall not covet
לא תחסום,You will not block
לא תתגודדו,Do not crowd
לא,No
לאה,Leah
לאו,Leo
לאום לאומיות,National nationality
לאמר,Saying
לב,heart
לבב,heart
לבד,alone
לבונה,frankincense
לבוש,dressed
לביא,Lavie
לבלתי,To render
לבן בן בתואל,Ben Ben Bethuel
לבן צבע,White color
לבן,white
לבנה,brick
לבנון,Lebanon
לבנת הספיר,The spinach brick
לג בעומר,Lag B&#39;Omer
לגלג,He sneered
לגם לגימה,He took a sip
להבה,flame
להט,glow
לו אל,Lou Al
לו,to him
לוב,Libya
לוד,Lod
לוה,Laugh
לוז,hazel
לוח,Board
לוחות,Tablets
לוט,veil
לוי ברכה,Levi Bracha
לוים מנין,From where?
לוים עבודה,Work whales
לוים ערי,Levim Arri
לויתן,whale
לולא,if not
לולב,Lulav
לולינוס ופפוס,Lolinos and Pappos
לון,Lon
לזות,Laziness
לחם הפנים,Bread of the face
לחם,bread
לחץ,pressure
לחש,spell
לי,to me
לידה,Birth
לילה,night
לילית,Lilith
לינה,lodging
ליצנות,clowning
לך,to you
לכה,lacquer
לכן,so
למה,Why
למואל,Lemuel
למוד,Learn
למינו,To his right
למך,Lemech
למנצח,To the conductor
למען,address
לנוכח,In view of
לסטים,Stim
לעג,mockery
לעה,Yes
לעולם,forever
לעומת,Vs
לעז,foreign language
לעתיד לבא נחל,In the future a river will come
לעתיד לבא סעודה,For the coming of the feast
לעתיד לבא,For the future
לפי,as per
לפני ה,Before the
לפני עור,Before skin
לפני,before
לפנים משורת הדין,Beyond the letter of the law
לקוי מאורות,Defective luminaries
לקח ויקח,He took and took
לקח,Lesson
לקט,collection
לקש,To the straw
לרגל,spy
לשד,marrow
לשון בני אדם,Human language
לשון הפסוק,The language of the verse
לשון הקודש,the Holy tongue
לשון הרע,Defamation
לשון זהורית,Pharyngeal tongue
לשון חזל,The language of the sages
לשון,Tongue
לשמה,For her own sake
מ,M
מאד,Very
מאדים,Mars
מאומה,anything
מאורה,lair
מאורות לקוי,Illuminations deficient
מאורות,Luminaries
מאזנים,Libra
מאין,From where
מאכלת,Eating
מאן,Mann
מאס,Mass
מאשרי,Happy
מבול,flood
מבטא,accent
מבטח,insurer
מגד,Megged
מגדל בבל,Tower of Babel
מגדנות,They are magnanimous
מגדף,Cursing
מגור,Gore
מגוש,From a block
מגילת איכה,The Book of Lamentations
מגילת אסתר,Book of Esther
מגלת רות,The Book of Ruth
מגלת תענית,Megillat Ta&#39;anit
מגמה,trend
מגן,shield
מגפה,epidemic
מגרפה,rake
מד,gauge
מדבר פארן,Faran speaks
מדבר קדמות,It speaks of ancient times
מדבר שור,Talking bull
מדבר,Speak
מדה מדד,Footage measure
מדה כנגד מדה,Footage against footage
מדהבה,Medhava
מדוה,Calm
מדון,strife
מדוע,why
מדורה,fire
מדות,Metadata
מדי,every
מדין,Medin
מדינה,a country
מדע,science
מדרגה,level
מדרש,Midrash
מה,what are
מהומה,turmoil
מהמורות,Potholes
מהנדס,engineer
מהפכת,Revolution
מהר,Faster
מואב,Moab
מוג,Moj
מודיעין,intelligence
מוהר,dowry
מוזיקה,Music
מוח,brain
מוחין,Mochin
מוט מוטה,Tilt rod
מוכס,tax collector
מול,Against
מולך,In front of you
מום,defect
מומחה,expert
מומר,convert
מונבז,Monbaz
מוסר רשע,Evil morality
מוסר תוכחה,A reproach
מוסרות,Remove
מועד,due in
מופלא סמוך לאיש,Wonderful near the man
מופלא של בית דין,A wonderful court
מופת,model
מוץ,chaff
מוצא,exit
מוצאות,Finds
מוציא שם רע,He&#39;s getting a bad name
מור,Mor
מורא,fear
מוראה,Mora
מורג,Morag
מורה נבוכים,Guide for the Perplexed
מורה,teacher
מורידין,Moridine
מוריה,Moriah
מורשה,allowed
מורת רוח,Dissatisfaction
מושב ליצים,Seat Clamps
מושל,governor
מותרות,luxury
מזבח,altar
מזג אויר,Weather
מזה,from this
מזוזה,mezuzah
מזון,food
מזור,Mazor
מזח,quay
מזיד,willful
מזיק,harmful
מזיקין,Malicious
מזכיר,Reminds
מזל,luck
מזמה,scheme
מזמור,psalm
מזרח,East
מזרים,From strangers
מזרק,syringe
מח,What?
מחא כף,He clapped his hands
מחאה,protest
מחבת,Fry pan
מחוזא,Maho
מחול,dance
מחוספס,rough
מחוסר זמן,For lack of time
מחוקק,legislator
מחזה,play
מחטיא,Misses
מחילה,forgiveness
מחיצה של ברזל,A partition of iron
מחיצה,partition
מחלה,Disease
מחלון וכליון,Machlon and Chilion
מחלוקת,division
מחלת נגינה,Musical disease
מחלת,Disease
מחמד,Muhammad
מחנה ישראל,Camp Israel
מחנה,camp
מחסה,shelter
מחצית השקל,Half Shekel
מחצית,half
מחצץ,Gravel
מחקרי,research
מחר,tomorrow
מחשבה,thought
מחתה,She protested
מטבע,currency
מטה שינה,Sleep down
מטה,Down
מטחוי,From the kitchen
מטטרון,Metatron
מטר,meter
מי חטאת,Who sinned
מי מלח,salt water
מי מריבה,Who quarreled
מי סוטה,Who is a pervert
מי ראש,Who &#39;s the head?
מי רגלים,urine
מי שפרע,The one who paid
מי,who will
מיאוס,Disgust
מיכאל,Michael
מיכה הנביא,The prophet Micah
מיכה ופסל,Micha and sculptor
מיכיהו,Michiah
מיכל,Container
מילדת,midwife
מילה,Circumcision
מים אחרונים,Last Water
מים,water
מין מינות,A kind of wine
מינים,Species
מינקת,wet nurse
מירב,Meirav
מישאל ואלצפן,Mishael and Elzafan
מישוש,Touching
מישע,Mesha
מישרים,Straightening
מיתה הרוגי מלכות,Death to the martyrs
מיתה בידי שמים,Death by Heaven
מיתה,death
מיתת בית דין,The death of the Beit Din
מכה אביו ואמו,Blow his father and mother
מכה,blow
מכוה,Force
מכון,institute
מכות,Beating
מכיר,Know
מכירה,sale
מכל,tank
מכנה שם,Calls there
מכנסים,Pants
מכס,customs
מכסת,Quota
מכרי כהונה,My priesthood
מכתם,epigram
מכתש,crater
מכתשת,Crater
מלא אחרי,Follow me
מלא יד,Full of hand
מלא,a full
מלאה,Full
מלאך אופנים,Angel of bicycles
מלאך גבריאל,Angel Gabriel
מלאך חבלה,Angel of sabotage
מלאך חיות,Angel of Animals
מלאך רפאל,Angel of Raphael
מלאך שירה וקדושה,Angel of poetry and holiness
מלאך תורה,Angel of Torah
מלאך המות,Angel of Death
מלאך,Angel
מלאכה,craft
מלאכי,angelic
מלבד,except
מלבין פנים,Bleached face
מלוא,Full
מלואים,Reserve
מלוה,lender
מלח אניה,Ship salt
מלח קרבן,Salt of the Korban
מלחמה,war
מלט,cement
מליח,marinated
מליקה,Melika
מלך מלכות,King of Kingship
מלכות רביעית,Fourth kingdom
מלכי צדק,Malki was right
מלכת השמים,Queen of Heaven
מלל,Text
מלמד,Teaches
מלפפון,cucumber
מלצר,a waiter
מלק,Melk
מלקוח,From a client
מלקוש,Melkosh
מלקות,flogging
מלשין,informer
מלתחה,wardrobe
מלתעות,Jaws
ממארת,Malignant
ממוכן,mechanized
ממולח,shrewd
ממון,money
ממזר,bastard
ממחרת השבת,From the day after Shabbat
ממלכה,kingdom
ממנו,from him
ממעל,above
ממרא,Mamre
ממשח וממרט,Meshach and Merad
ממשלה,government
מן דור המדבר,From the generation of the desert
מן מ,From the
מן העולם,From the world
מנגד,Conversely
מנה בחר,Choose a dish
מנה חלק,Smooth portion
מנה מנין,A quorum
מנהג,custom
