Sanhedrin 2a:1	<sup>i</sup> <b>G</b>ELDANGELEGENHEITEN$fn1 <small>WERDEN VOR DREI</small> [R<small>ICHTERN VERHANDELT</small>], R<small>AUB UND</small> K<small>ÖRPERVERLETZUNGEN</small>$fn2 <small>VOR DREI</small>, S<small>CHADEN- UND HALBER</small> S<small>CHADENERSATZ</small>$fn3, Z<small>AHLUNG DES</small> D<small>OPPELTEN</small>$fn4 <small>UND DES</small> V<small>IER ODER</small> F<small>ÜNFFACHEN</small>$fn5 <small>VOR DREI</small>,
Sanhedrin 22b:22	Man fragte Rabbi: Welche Frisur trug der Hochpriester? Er erwiderte: Geht, seht euch die Frisur des Ben Elea͑sa an. Es wird gelehrt: Rabbi sagte: Nicht nutzlos verschwendete$fn199Ben Elea͑sa sein Geld, sondern um damit die Frisur des Hochpriesters zu zeigen.
Sanhedrin 22b:23	
Sanhedrin 23a:1	<sup>i</sup> <b>G</b>ELDANGELEGENHEITEN <small>WERDEN VOR DREI</small> [R<small>ICHTERN</small>] <small>VERHANDELT</small>: <small>DIESER</small>$fn1 <small>WÄHLT EINEN, JENER WÄHLT EINEN ANDEREN UND BEIDE ZUSAMMEN WÄHLEN NOCH EINEN – SO</small> R. M<small>EÍR; DIE WEISEN SAGEN, DIE BEIDEN</small> R<small>ICHTER WÄHLEN DEN</small> D<small>RITTEN</small>. 
Sanhedrin 23a:2	D<small>IESER KANN DEN VON JENEM GEWÄHLTEN</small> R<small>IGHTER ALS UNZULÄSSIG ABLEHNEN, UND JENER KANN DEN VON DIESEM GEWÄHLTEN</small> R<small>ICHTER ALS UNZULÄSSIG ABLEHNEN – SO</small> R. M<small>EÍR</small>. D<small>IE</small> W<small>EISEN SAGEN, NUR DANN, WENN ER DEN</small> B<small>EWEIS ERBRINGT, DASS ER VERWANDT ODER UNZULÄSSIG IST, WENN ER ABER ZULÄSSIG ODER AUTORISIERT IST, SO KANN ER IHN NICHT ABLEHNEN</small>. 
Sanhedrin 23a:3	D<small>IESER KANN DIE</small> Z<small>EUGEN VON JENEM ALS UNZULÄSSIG ABLEHNEN, UND JENER KANN DIE</small> Z<small>EUGEN VON DIESEM ALS UNZULÄSSIG ABLEHNEN – SO</small> R. M<small>EÍR</small>. D<small>IE</small> W<small>EISEN SAGEN, NUR DANN, WENN ER DEN</small> B<small>EWEIS ERBRINGT, DASS SIE VERWANDT ODER UNZULÄSSIG SIND, WENN SIE ABER ZULÄSSIG SIND, SO KANN ER SIE NICHT ABLEHNEN</small>.
Sanhedrin 23a:4	GEMARA. Wozu wählt dieser einen und jener einen$fn2, drei [Richter] genügen ja!? – 
Sanhedrin 23a:5	Er meint es wie folgt: wenn einer dieses Gerichtskollegium wählt, der andere aber ein anderes Gerichtskollegium, so wählen beide zusammen ein anderes. – 
Sanhedrin 23a:6	Demnach ist auch der Schuldner abzulehnen berechtigt, dagegen sagt ja R. Elea͑zar, daß dies nur vom Gläubiger gelte, während man den Schuldner zwingen könne, vor dem Gerichte seiner Stadt$fn3 zu erscheinen!? – 
Sanhedrin 23a:7	Wie R. Joḥanan erklärt hat, sie lehren es von den Gerichtsämtern in Syrien$fn4, ebenso lehrten sie es auch hier von den Gerichtsämtern in Syrien; dies gilt aber nicht von autorisierten Richtern. 
Sanhedrin 23a:8	R. Papa erklärte: Du kannst auch sagen, von autorisierten Richtern, jedoch von solchen, wie R. Hona und R. Ḥisda$fn5; er kann nämlich sagen, dies mache ihm keine Mühe. – 
Sanhedrin 23a:9	Wir haben gelernt: Die Weisen sagen, die beiden Richter wählen noch einen dritten. Wieso kann nun, wenn du sagst, [das Wählen beziehe sich auf] das Gerichtskollegium, das Gerichtskollegium, nachdem es abgelehnt wurde, ein anderes Gerichtskollegium wählen!? 
Sanhedrin 23a:10	Und wieso heißt es ferner, dieser wähle einen und jener wähle einen anderen$fn6!? – 
Sanhedrin 23a:11	Vielmehr meint er es wie folgt: dieser wähle einen Richter, jener wähle einen anderen Richter und beide zusammen wählen noch einen. – Weshalb verfahren sie so? – 
Sanhedrin 23a:12	Im Westen erklärten sie im Namen R. Zeras: dadurch, daß dieser einen wählt, jener einen anderen und beide zusammen einen dritten, geht ein gerechtes Urteil hervor.
Sanhedrin 23a:13	D<small>IE</small> W<small>EISEN SAGEN &amp;C</small>. Es ist anzunehmen, daß sie über die Lehre des R. Jehuda im Namen Rabhs streiten. 
Sanhedrin 23a:14	R. Jehuda sagte nämlich im Namen Rabhs, Zeugen unterschreiben einen Schein nur dann, wenn sie wissen, wer mit ihnen unterschreibt. R. Meír hält nichts von der Lehre des R. Jehuda im Namen Rabhs, und die Rabbanan halten wohl von der Lehre des R. Jehuda im Namen Rabhs. – 
Sanhedrin 23a:15	Nein, alle halten sie von der Lehre des R. Jehuda im Namen Rabhs, und alle sind der Ansicht, die Übereinstimmung der Richter sei erforderlich, sie streiten vielmehr, ob auch die Übereinstimmung der Prozeßführenden erforderlich sei; R. Meír ist der Ansicht, auch die Übereinstimmung der Prozeßführenden sei erforderlich, und die Rabbanan sind der Ansicht, nur die Übereinstimmung der Richter sei erforderlich, nicht aber die Übereinstimmung der Prozeßführenden.
Sanhedrin 23a:16	Der Text. R. Jehuda sagte im Namen Rabhs: Zeugen unterschreiben einen Schein nur dann &amp;c. Ebenso wird auch gelehrt: Folgendes war die Gepflogenheit der Sittenreinen in Jerušalem: sie unterschrieben einen Schein nur dann, wenn sie wußten, wer mit ihnen unterschreibt, sie setzten sich zu Gericht nur dann, wenn sie wußten, wer mit ihnen sitzt, und sie setzten sich zur Tafel nur dann, wenn sie wußten, wer mit ihnen speist.
Sanhedrin 23a:17	D<small>IESER KANN &amp;C</small>. R<small>ICHTER ALS UNZULÄSSIG ABLEHNEN</small>. Sollte jeder ohne weiteres Richter ahlehnen körmen!? 
Sanhedrin 23a:18	R. Joḥanan erwiderte: Sie lehrten dies von den Gerichtsämtern in Syrien, autorisierte Richter aber nicht. – 
Sanhedrin 23a:19	Wenn er aber im Schlußsatze lehrt, die Weisen sagen, nur dann, wenn er den Beweis erbringt, daß sie verwandt oder unzulässig sind, wenn sie aber zulässig oder vom Gerichte autorisiert sind, könne er sie nicht ablehnen, so ist ja zu entnehmen, daß R. Meír auch von autorisierten spreche!? – 
Sanhedrin 23a:20	Er meint es wie folgt: wenn sie aber zulässig sind, so ist es ebenso als wären sie vom Gerichte autorisiert, und er kann sie nicht ablehnen. – 
Sanhedrin 23a:21	Komm und höre: Sie sprachen zu R. Meír: Es kann nicht jeder ohne weiteres einen für das Publikum autorisierten Richter ablehnen!? – 
Sanhedrin 23a:22	Lies: es kann nicht jeder ohne weiteres einen Richter ablehnen, den das Volk anerkannt hat. 
Sanhedrin 23a:23	Desgleichen wird auch gelehrt: Er kann mit der Ablehnung fortfahren, bis er endlich ein für das Volk autorisiertes Gericht anerkennen muß – so R. Meír. – 
Sanhedrin 23a:24	Aber Zeugen gelten ja als autorisiert, dennoch sagt R. Meír, dieser könne die Zeugen von jenem und jener die Zeugen von diesem ablehnen!? – 
Sanhedrin 23a:25	Hierzu wurde ja gelehrt: Reš Laqiš sprach: Ein heiliger Mund sollte dies gesagt haben!? Man lese: den Zeugen. – 
Sanhedrin 23a:26	Was sollte der [einzelne] Zeuge erwirken, wollte man sagen: eine Verurteilung, so hat ihn ja der Allbarmherzige abgelehnt$fn7, wollte man sagen, einen Eid$fn8, so ist er ja diesbezüglich ebenso glaubwürdig wie zwei!? – 
Sanhedrin 23a:27	Tatsächlich eine Verurteilung, jedoch in dem Falle, wenn er ihn [zuerst] wie zwei [Zeugen] anerkannt hatte. – 
Sanhedrin 23a:28	Er lehrt uns somit, daß er zurücktreten kann, und dies haben wir ja bereits gelernt!? Sagt einer: mein Vater ist mir glaubwürdig, oder: dein Vater ist mir glaubwürdig, oder: die drei Rinderhirten sind mir glaubwürdige$fn9, so kann er später, wie R. Meír sagt, zurücktreten; die Weisen sagen, er könne nicht zurücktreten. 
Sanhedrin 23b:1	Hierzu sagte R. Dimi, Sohn des R. Neḥemja, des Sohnes R. Josephs, wenn er ihn als einen$fn10anerkannt hat!? – 
Sanhedrin 23b:2	Dies ist nötig. Würde er nur den Fall vom Vater, seinem oder des anderen, gelehrt haben, [so könnte man glauben,] nur in diesem Falle sagen die Rabbanan, er könne nicht zurücktreten, weil sein oder des anderen Vater für andere zulässig ist, während sie in dem Falle, wenn er einen als zwei anerkennt, der auch für andere [als solche] nicht zulässig ist, R. Meír beipflichten. 
Sanhedrin 23b:3	Und würde er nur den anderen Fall gelehrt haben, so könnte man glauben, nur in diesem Falle vertrete R. Meír seine Ansicht, während er in jenem Falle den Rabbanan beipflichtet. Daher ist beides nötig. – 
Sanhedrin 23b:4	Wenn er aber im Anfangsatze ‘den Richter’ und im Schlußsatze ‘die Zeugen’ lehrt, so ist ja zu ersehen, daß es wörtlich zu nehmen ist!? 
Sanhedrin 23b:5	R. Elea͑zar erwiderte: Wenn er selbst und noch jemand sie als unzulässig ablehnt. – 
Sanhedrin 23b:6	Er selbst ist ja bei seiner Bekundung befangen? 
Sanhedrin 23b:7	R. Aḥa, Sohn des R. Iqa, erwiderte: Wenn er ihm Bescholtenheit vorwirft. – 
Sanhedrin 23b:8	Welche Bescholtenheit; wollte man sagen, des Raubes$fn11, so ist er ja befangen!? – 
Sanhedrin 23b:9	Vielmehr, Bescholtenheit inbetreff seiner Herkunft$fn11. R. Meír ist der Ansicht, das Zeugnis beziehe sich auf die Familie, und er wird von selber unzulässig, und dio Rabbanan sind der Ansicht, immerhin ist er befangen.
Sanhedrin 23b:10	Als R. Dimi kam, sagte er im Namen R. Joḥanans: Der Streit [besteht] nur über zwei Partien von Zeugen$fn12; 
Sanhedrin 23b:11	R. Meír ist der Ansicht, [der Prozeßführende] müsse den Beweis erbringen$fn13, und die Rabbanan sind der Ansicht, er brauche dies nicht$fn14; bei einer Zeugenpartie aber stimmen alle überein, daß er sie nicht ablehnen könne. 
Sanhedrin 23b:12	R. Ami und R. Asi fragten ihn: Wie ist es, wenn da nur eine Zeugenpartie vorhanden ist? – 
Sanhedrin 23b:13	‘Wenn da nur eine Zeugenpartie vorhanden ist’, du sagtest ja, bei einer Zeugenpartie stimmen alle überein, daß er sie nicht ablehnen könne!? – Vielmehr: wie ist es, wenn die zweite Zeugenpartie als verwandt oder unzulässig befunden wird? 
Sanhedrin 23b:14	Dieser erwiderte ihnen: Die ersten Zeugen haben ihr Zeugnis bereits abgelegt. Manche sagen, R. Aši erwiderte: Die ersten Zeugen haben ihr Zeugnis bereits abgelegt.
Sanhedrin 23b:15	Es wäre anzunehmen, daß sie denselben Streit führen, wie Rabba und R. Šimo͑n b. Gamliél. 
Sanhedrin 23b:16	Es wird nämlich gelehrt: Wenn jemand sich auf einen Schein und auf die Ersitzung beruft, so ist der Schein entscheidend$fn15– so Rabbi; R. Šimo͑n b. Gamliél sagt, die Ersitzung sei entscheidend. 
Sanhedrin 23b:17	Dagegen wandten wir ein: Die Ersitzung und nicht der Schein!? Vielmehr [lese man:] auch die Ersitzung, 
Sanhedrin 23b:18	und es ist uns bekannt, daß sie darüber streiten, ob [irrelevante Behauptungen] zu beweisen sind. – 
Sanhedrin 23b:19	Nein, nach R. Šimo͑n b. Gamliél streiten sie überhaupt nicht, sie streiten nur nach Rabbi. R. Meír$fn16ist ja der Ansicht Rabbis, 
Sanhedrin 23b:20	aber auch die Rabbanan$fn16können dir erwidern: nur bei der Ersitzung ist Rabbi dieser Ansicht, weil diese auf dem Kaufscheine beruht, hierbei aber, wo die eine Zeugenpartie nicht von der anderen Zeugenpartie abhängig ist, pflichtet auch Rabbi bei, daß er seine [irrelevante] Behauptung nicht zu beweisen brauche.
Sanhedrin 23b:21	Als Rabin kam, sagte er im Namen R. Joḥanans: Der Anfangsatz spricht 
Sanhedrin 24a:1	von unzulässigen Zeugen und zulässigen Richtern$fn17, und da er den Beweis für die Unzulässigkeit der Zeugen erbracht hat, so kann er auch die Richter als unzulässig ablehnen; und der Schlußsatz spricht von unzulässigen Richtern und zulässigen Zeugen, und da er den Beweis für die Unzulässigkeit der Richter erbracht hat, so kann er auch die Zeugen als unzulässig ablehnen. 
Sanhedrin 24a:2	Raba wandte ein: Einleuchtend ist es, daß er, wenn er den Beweis für die Unzulässigkeit der Zeugen erbringt, auch die Richter als unzulässig ablehnen kann, denn es gibt ja noch andere Gerichte$fn18, wieso aber kann er, wenn er den Beweis für die Unzulässigkeit der Richter erbringt, auch die Zeugen als unzulässig ablehnen, es sind ja weiter keine Zeugen vorhanden!? – 
Sanhedrin 24a:3	In dem Falle, wenn noch eine Partie Zeugen vorhanden ist. – 
Sanhedrin 24a:4	Wenn aber keine andere Partie vorhanden ist, so kann er sie nicht ablehnen, und dies ist ja die Ansicht R. Dimis!? – 
Sanhedrin 24a:5	Sie streiten, ob man das ‘da’$fn19berücksichtige; einer ist der Ansicht, man berücksichtige es, und einer ist der Ansicht, man berücksichtige es nicht.
Sanhedrin 24a:6	Der Text. Reš Laqiš sagte: Ein heiliger Mund sollte dies gesagt haben!? Man lese: den Zeugen. 
Sanhedrin 24a:7	Dem ist ja aber nicht so, U͑la sagte ja, wenn man Reš Laqiš im Lehrhause sah, [glaubte man,] er entwurzle Berge und zermalme sie aneinander$fn20!? 
Sanhedrin 24a:8	Rabina erwiderte: Wenn man aber R. Meír im Lehrhause sah, [glaubte man,] er entwurzle Berge über Berge und zermalme sie aneinander. 
Sanhedrin 24a:9	Er meinte es vielmehr wie folgt: komm und sieh, wie sehr sie einander schätzten. 
Sanhedrin 24a:10	So saß einst Rabbi und lehrte, man dürfe [am Šabbath] nichts kaltstellen; da sprach R. Jišma͑él b. Jose vor ihm: Mein Vater erlaubte das Kaltstellen. Hierauf sprach jener: Ein Greis$fn21hat dies bereits entschieden. 
Sanhedrin 24a:11	R. Papa sprach: Komm und sieh, wie sehr sie einander schätzten, als R. Jose noch lebte, saß er vor Rabbi gebückt, denn R. Jišma͑él b. Jose war Amtsnachfolger seiner Vorfahren und saß vor Rabbi gebückt, dennoch sagte dieser über ihn: ein Greis hat es bereits entschieden.
Sanhedrin 24a:12	R. Osa͑ja sagte: Es heißt:$fn22<i>da nahm ich mir zwei Stäbe, den einen nannte ich Milde und den anderen nannte ich Verletzung</i>. Milde, das sind die Schriftgelehrten im Jisraéllande, die bei [der Erörterung] der Halakha milde gegen einander sind; Verletzung, das sind die Schriftgelehrten in Babylonien, die bei [der Erörterung] der Halakha einander verletzen.
Sanhedrin 24a:13	$fn23<i>Da sprach er zu mir: Das sind die beiden Söhne des mit Öl [Gesalbten], die da stehen &amp;c. Öl</i>, das sind, wie R. Jiçḥaq erklärte, die Schriftgelehrten im Jisraéllande, die sanft zu einander sind, wie das Olivenöl.$fn24<i>Und daneben zwei Olivenbäume</i>, das sind die Schriftgelehrten in Babylonien, die bei [der Erörterung] der Halakha einander verbittern wie eine Olive.
Sanhedrin 24a:14	$fn25<i>Ich erhob meine Augen und sah zwei Weiber hervorkommen, und der Wind blies in ihre Flügel, sie hatten nämlich Flügel wie die Storchenflügel, und sie hoben das Epha zwischen Himmel und Erde empor. Da fragte ich den Engel, der mit mir redete: Wohin bringen sie das Epha? Er antwortete mir: Um ihr</i>$fn26<i>eine Wohnung im Lande Šinea͑r zu bereiten</i>. R. Joḥanan erklärte im Namen des R. Šimo͑n b. Joḥaj: Das sind die Heuchelei und der Hochmut, die sich in Babel niederließen. – 
Sanhedrin 24a:15	Ließ sich denn der Hochmut in Babel nieder, der Meister sagte ja, daß von den zehn Kab Hochmut, der über die Welt$fn27kam, neun E͑lam und einen die ganze Welt erhielt!? – 
Sanhedrin 24a:16	Allerdings, zuerst ließ er sich in Babel nieder, und allmählich breitete er sich über E͑lam aus. Dies ist ja auch zu beweisen, denn es heißt: <i>um ihr</i>$fn28<i>eine Wohnung im Lande Šinea͑r zu bauen</i>; schließe hieraus. – 
Sanhedrin 24a:17	Der Meister sagte ja aber, Armut sei ein Zeichen des Hochmutes, und die Armut ließ sich ja in Babel nieder!? – Unter Armut ist die Armut in der Tora zu verstehen, denn es heißt:$fn29<i>wir haben eine kleine Schwester, noch ohne Brüste</i>, und R. Joḥanan erklärte, dies sei E͑lam$fn30, dem es beschieden war zu lernen, nicht aber zu lehren. – 
Sanhedrin 24a:18	Was bedeutet [der Name] Babel? R. Joḥanan erwiderte: Vermengt [balul] mit der Schrift, vermengt mit der Mišna und vermengt mit dem Talmud.$fn31<i>Er hat mich in Finsternis versetzt, wie ewig Tote</i>, R. Jirmeja$fn32erklärte, daß sei die babylonische Lehrweise.
Sanhedrin 24a:19	<sup>i</sup> <b>S</b><small>AGTE EINER</small>$fn33: <small>MEIN</small> V<small>ATER IST MIR GLAUBWÜRDIG, DEIN</small> V<small>ATER IST MIR GLAUBWÜRDIG, JENE DREI</small> H<small>IRTEN SIND MIR GLAUBWÜRDIG</small>$fn9, <small>SO KANN ER, WIE</small> R. M<small>EÍR SAGT, ZURÜCKTRETEN; DIE</small> W<small>EISEN SAGEN, ER KÖNNE NICHT MEHR ZURÜCKTRETEN</small>. 
Sanhedrin 24a:20	W<small>ENN JEMAND SEINEM</small> N<small>ÄCHSTEN EINEN</small> E<small>ID SCHULDET, UND DIESER ZU IHM SAGT: BETEURE ES MIR BEI DEINEM</small> L<small>EBEN</small>$fn34, <small>SO KANN ER, WIE</small> R. M<small>EÍR SAGT, ZURÜCKTRETEN; DIE</small> W<small>EISEN SAGEN, ER KÖNNE NICHT MEHR ZURÜCKTRETEN</small>.
Sanhedrin 24a:21	GEMARA. R. Dimi, Sohn des R. Neḥemja, des Sohnes R. Josephs, erklärte: Wenn er ihn als einen$fn35anerkannt hat. 
Sanhedrin 24a:22	R. Jehuda sagte im Namen Šemuéls: Der Streit besteht nur über einen Verzicht$fn36, bei einem Zugeständnisse$fn37aber stimmen alle überein, daß er zurücktreten kann. R. Joḥanan aber sagte, der Streit bestehe über ein Zugeständnis. 
Sanhedrin 24a:23	Sie fragten: Besteht der Streit nur über ein Zugeständnis, während bei einem Verzichte alle übereinstimmen, daß er nicht mehr zurücktreten kann, oder besteht der Streit über beides? – 
Sanhedrin 24a:24	Komm und höre: Raba sagte, der Streit bestehe nur über ein Zugeständnis, während bei einem Verzichte alle übereinstimmen, daß er nicht mehr zurücktreten kann. 
Sanhedrin 24a:25	Einleuchtend ist es nun, wenn du sagst, der Streit bestehe nur über ein Zugeständnis, während bei einem Verzichte alle übereinstimmen, daß er nicht mehr zurücktreten kann, denn Raba ist demnach der Ansicht R. Joḥanans; wessen Ansicht ist aber Raba, wenn du sagst, der Streit bestehe über beides!? – 
Sanhedrin 24a:26	Raba hat seine eigene Ansicht. 
Sanhedrin 24a:27	R. Aḥa b. Taḥlipha wandte gegen Raba ein: Wenn jemand seinem Nächsten einen Eid schuldet, und dieser zu ihm sagt: beteure es mir bei deinem Leben, so kann er, wie R. Meír sagt, zurücktreten; die Weisen sagen, er könne nicht mehr zurücktreten. 
Sanhedrin 24b:1	Dies gilt ja wahrscheinlich von einem Eide des Beklagten$fn38, was also einem Verzichte gleicht!? – 
Sanhedrin 24b:2	Nein, von einem Eide des Klägers$fn38, was einem Zugeständnisse gleicht. – 
Sanhedrin 24b:3	[Vom Zugeständnisse] wird es ja schon im Anfangsatze gelehrt!? – 
Sanhedrin 24b:4	Er lehrt es von Fällen, in denen [das Vertrauen] andere betrifft, und von Fällen, in denen [das Vertrauen] ihn selbst betrifft. 
Sanhedrin 24b:5	Und beides ist nötig. Würde er es nur von dem Falle gelehrt haben, in dem [das Vertrauen] andere betrifft, [so könnte man glauben,] nur da sei R. Meír der Ansicht, daß er zurücktreten kann, weil er keinen endgültigen Verzicht$fn39 leistet, denn er denkt, wer sagt, daß sie zu seinen Gunsten entscheiden werden, während er in einem Falle, wo das Vertrauen ihn selbst betrifft, den Rabbanan beipflichte. 
Sanhedrin 24b:6	Und würde er es nur von diesem Falle gelehrt haben, [so könnte man glauben,] nur in diesem Falle vertreten die Rabbanan ihre Ansicht, während sie in jenem Falle R. Meír beipflichten. Daher ist beides nötig.
Sanhedrin 24b:7	Reš Laqiš sagte, der Streit bestehe nur über den Fall, wenn dies vor Schluß der Verhandlung erfolgt, wenn aber nach Schluß der Verhandlung, so stimmen alle überein, daß er nicht mehr zurücktreten könne; R. Joḥanan aber sagte, der Streit bestehe über den Fall, wenn nach Schluß der Verhandlung. 
Sanhedrin 24b:8	Sie fragten: Besteht der Streit nur über den Fall, wenn nach Schluß der Verhandlung, wenn aber vor Schluß der Verhandlung, stimmen alle überein, daß er zurücktreten kann, oder besteht der Streit über beides? – 
Sanhedrin 24b:9	Komm und höre: Raba sagte, wer einen Verwandten oder einen Unzulässigen anerkannt hat, könne vor Schluß der Verhandlung zurücktreten, nicht aber nach Schluß der Verhandlung. 
Sanhedrin 24b:10	Einleuchtend ist dies nun, wenn du sagst, der Streit bestehe über den Fall, wenn nach Schluß der Verhandlung, wenn aber vor Schluß der Verhandlung, stimmen alle überein, daß er zurücktreten kann, Raba ist demnach der Ansicht R. Joḥanans, nach den Rabbanan; wessen Ansicht ist aber Raba, wenn du sagst, der Streit bestehe über beides!? 
Sanhedrin 24b:11	Hieraus ist also zu schließen, daß der Streit über den Fall besteht, wenn es nach der Verhandlung erfolgt. Schließe hieraus.
Sanhedrin 24b:12	R. Naḥman b. R. Ḥisda ließ R. Naḥman b. Ja͑qob sagen: Lehre uns der Meister, ob der Streit über den Fall besteht, wenn vor Schluß der Verhandlung, oder wenn nach Schluß der Verhandlung, und nach wem die Halakha zu entscheiden ist? Er ließ ihm antworten: Der Streit besteht über den Fall, wenn nach Schluß der Verhandlung, und die Halakha ist nach den Weisen zu entscheiden. 
Sanhedrin 24b:13	R. Aši sagte, er ließ wie folgt fragen: Besteht der Streit über das Zugeständnis$fn37oder über den Verzicht$fn36, und nach wem ist die Halakha zu entscheiden. Und er ließ ihm antworten: Der Streit besteht über das Zugeständnis, und die Halakha ist nach den Weisen zu entscheiden. 
Sanhedrin 24b:14	So lehrten sie es in Sura, in Pumbeditha lehrten sie es wie folgt: R. Ḥanina b. Šelemja sagte: Aus der Schule Rabhs ließen sie Šemuél fragen: Lehre uns der Meister, wie es denn sei, wenn es vor Schluß der Verhandlung erfolgt ist, aber er vollständigen Verzicht$fn39geleistet hat? Dieser ließ ihnen antworten: Nach der Verzichtleistung gibt es kein [Zurücktreten] mehr.
Sanhedrin 24b:15	<sup>iii</sup> <b>F</b><small>OLGENDE SIND UNZULÄSSIG</small>: G<small>LÜCKSSPIELER</small>, W<small>UCHERER, DIE</small> T<small>AUBEN FLIEGEN LASSEN, UND DIE MIT</small> [E<small>RZEUGNISSEN</small>] <small>DES</small> S<small>IEBENTJAHRES HANDELN</small>. 
Sanhedrin 24b:16	R. Š<small>IMO͑N SAGTE</small>: F<small>RÜHER NANNTE MAN SIE</small> S<small>IEBENTJAHRSFRUCHT</small>-S<small>AMMLER, ALS ABER DIE</small> Z<small>WINGHERREN SICH MEHRTEN, BENANNTE MAN SIE</small> S<small>IEBENTJAHRSFRUCHT</small>-H<small>ÄNDLER</small>$fn40. 
Sanhedrin 24b:17	R. J<small>EHUDA SAGTE</small>: N<small>UR DANN, WENN SIE WEITER KEINEN ANDEREN</small> B<small>ERUF HABEN, HABEN SIE ABER NOCH EINEN ANDEREN</small> B<small>ERUF, SO SIND SIE ZULÄSSIG</small>.
Sanhedrin 24b:18	GEMARA. Was [Verbotenes] tut denn der Glücksspieler!? Rami b. Ḥama erwiderte: Weil [beim Spiele] nur eine Zusage erfolgt, und eine Zusage ist nicht bindend$fn41. 
Sanhedrin 24b:19	R. Šešeth sagte: Solches ist keine Zusage, sie sind vielmehr deshalb [unzulässig], weil sie sich nicht mit dem Aufbau der Welt befassen. – 
Sanhedrin 24b:20	Welcher Unterschied besteht zwischen ihnen? – Ein Unterschied besteht zwischen ihnen, wenn er noch einen anderen Beruf gelernt hat. – 
Sanhedrin 24b:21	Wir haben gelernt: R. Jehuda sagte: Nur dann, wenn sie weiter keinen anderen Beruf haben, haben sie aber noch einen anderen Beruf, so sind sie zulässig. Demnach ist der Grund unserer Mišna: wegen des Aufbaues der Welt; dies ist also ein Einwand gegen Rami b. Ḥama!? 
Sanhedrin 24b:22	Wolltest du entgegnen, die Rabbanan streiten gegen R. Jehuda, so sagte ja R. Jehošua͑ b. Levi, daß überall, wo R. Jehuda in einer Mišna 
Sanhedrin 25a:1	‘nur dann’ oder ‘dies nur’ sagt, er nur die Worte der Weisen erkläre, 
Sanhedrin 25a:2	und R. Joḥanan sagt, daß er mit ‘nur dann’ sie erkläre und mit ‘dies nur’ gegen sie streite; alle stimmen aber überein, daß ‘nur dann’ eine Erklärung sei!? – 
Sanhedrin 25a:3	Du weisest auf einen Widerspruch zwischen zwei Männern hin; einer ist der Ansicht, sie streiten, und einer ist der Ansicht, sie streiten nicht. – 
Sanhedrin 25a:4	Streiten sie etwa nicht, es wird ja gelehrt: Er ist unzulässig, einerlei, ob er einen anderen Beruf hat oder nicht!? – 
Sanhedrin 25a:5	Diese Lehre ist von R. Jehuda im Namen R. Tryphons. Es wird nämlich gelehrt: R. Jehuda sagte im Namen R. Tryphons: Keiner von beiden$fn42ist Nazir, weil das Nazirat bestimmt ausgesprochen werden muß$fn43.
Sanhedrin 25a:6	W<small>UCHERER</small>. Raba sagte: Wer Geld auf Wucher leiht, ist als Zeuge unzulässig. – Wir haben es ja nur von Wucherern gelernt!? – Darlehen auf Wucher$fn44.
Sanhedrin 25a:7	Über Bar Benethos bekundeten einst zwei Zeugen: einer bekundete, er habe in seiner Gegenwart [Geld] auf Wucher verliehen, und einer bekundete, er habe ihm [Geld] auf Wucher geliehen. Da erklärte ihn Raba als unzulässige$fn45. – 
Sanhedrin 25a:8	Aber Raba selber sagte ja, wer Geld auf Wucher leiht, sei als Zeuge unzulässig, demnach war er ja ein Frevler, und die Tora sagt, daß man einen Frevler nicht zum Zeugen mache!? – 
Sanhedrin 25a:9	Raba vertrat hierbei seine Ansicht, denn Raba sagte, jeder stehe sich nahe und mache sich nicht zum Frevler.
Sanhedrin 25a:10	Einst brachte ein Schlächter Totverletztes in den Verkehr; da erklärte ihn R. Naḥman als unzulässig und setzte ihn ab. Als er hierauf fortging und sich Haar und Nägel wachsen$fn46ließ, wollte R. Naḥman ihn als zulässig erklären. 
Sanhedrin 25a:11	Da sprach Raba zu ihm: Vielleicht ist dies eine List. – 
Sanhedrin 25a:12	Welche Rehabilitierung gibt es für ihn? Nach einer Lehre des R. Idi b. Abin, denn R. Idi b. Abin sagte: Wer im Rufe steht. Totverletztes [verkauft zu haben], sei nur dann rehabilitiert, wenn er nach einem Orte gegangen ist, in dem man ihn nicht kennt, und einen wertvollen Fund abgeliefert oder ein ihm gehöriges wertvolles [Tier] als totverletzt ausgegeben hat$fn47.
Sanhedrin 25a:13	D<small>IE</small> T<small>AUBEN FLIEGEN LASSEN</small>. Was heißt Tauben fliegen lassen? – Hier erklärten sie: ‘Ob$fn48deine Taube meine Taube überholt.’ R. Ḥama b. Oša͑ja erklärte: Taubenfänger$fn49. – 
Sanhedrin 25a:14	Weshalb erklärt derjenige, der ‘ob deine Taube meine Taube überholt’ erklärt, nicht Taubenfänger? – 
Sanhedrin 25a:15	Er kann dir erwidern: das Taubenfangen ist nur wegen des Friedens$fn50[verboten]. – 
Sanhedrin 25a:16	Weshalb erklärt derjenige, der Taubenfänger erklärt, nicht ‘ob deine Taube meine Taube überholt’? – Er kann dir erwidern: dies ist ja mit ‘Glücksspieler’ identisch. – 
Sanhedrin 25a:17	Und jener!? – 
Sanhedrin 25a:18	Er lehrt von dem Falle, wenn es von seiner Taube abhängt, und er lehrt von dem Falle, wenn es von ihm selber abhängt. 
