Niddah 2a:1	<sup>i</sup> <b>Š</b>AMMAJ <small>SAGT, ALLE</small> F<small>RAUEN HABEN</small>$fn1 <small>AN IHRER</small> Z<small>EIT GENUG</small>$fn2; H<small>ILLEL SAGT, SEIT DER</small> [<small>VORLETZTEN</small>] U<small>NTERSUCHUNG BIS ZUR</small> [<small>LETZTEN</small>] U<small>NTERSUCHUNG</small>$fn3, <small>AUCH WENN VIELE</small> T<small>AGE</small> [<small>DAZWISCHEN LIEGEN</small>],
Niddah 21b:7	wollte man sagen, nach den Rabbanan, so ist sie ja nach den Rabbanan sogar bei rotem und schwarzem rein, und um so mehr bei gelbem und weißem. 
Niddah 21b:8	Doch wohl nach R. Jehuda, und er streitet dagegen. Vielmehr, erwiderte R. Joḥanan$fn7, sie streiten, ob eine Öffnung der Gebärmutter ohne Blutung möglich ist. Sie führen denselben Streit wie die Tannaím der folgenden Lehre: Wenn sie zwei Tage Geburtswehen hatte und am dritten abortiert hat, und nicht weiß, was sie abortiert hat, so ist sie zweifelhafte Wöchnerin und zweifelhafte Flußbehaftete, sie bringe das Opfer, und es werde nicht gegessen. 
Niddah 21b:9	R. Jehošua͑ sagt, sie bringe das Opfer, und es werde gegessen, denn eine Öffnung der Gebärmutter ohne Blutung ist nicht möglich.
Niddah 21b:10	Die Rabbanan lehrten: Wenn [eine Frau] einen Klumpen ausgestoßen hat, so reiße sie ihn, wie Symmachos im Namen R. Meírs sagt, und wie mit ihm übereinstimmend auch R. Šimo͑n b. Menasja sagt, auf; ist Blut darin, so ist sie unrein, wenn aber nicht, so ist sie rein. 
Niddah 21b:11	Wie die Rabbanan [sagen], und noch weitgehender als die Rabbanan. Wie die Rabbanan, [welche sagen,] eine Öffnung der Gebärmutter ohne Blutung sei möglich; und weitgehender als die Rabbanan, denn diese sind der Ansicht, nur wenn [Blut] damit, nicht aber, wenn darin, Symmachos aber ist der Ansicht, auch wenn darin. 
Niddah 21b:12	Ein Anderes lehrt: Wenn [eine Frau] einen Klumpen ausstößt, so reiße sie ihn, wie R. Aḥa sagt, auf; ist er innen rot, so ist sie unrein, wenn aber nicht, so ist sie rein. 
Niddah 21b:13	Wie Symmachos [sagt], und noch weitgehender als Symmachos$fn8. 
Niddah 21b:14	Ein Anderes lehrt: Wenn [eine Frau] einen Klumpen ausstößt, so reiße sie ihn, wie R. Binjamin sagt, auf; ist darin ein Knochen, so ist sie geburtsunrein. R. Ḥisda sagte: Dies gilt von einem weißen Klumpen. Ebenso brachte ein Gelehrtenpaar, das aus Adiabene kam, folgende Lehre mit: Wenn [eine Frau] einen weißen Klumpen ausstößt, so reiße sie ihn auf; ist darin ein Knochen, so ist sie (die Mutter) geburtsunrein. 
Niddah 21b:15	R. Joḥanan sagte im Namen des R. Šimo͑n b. Joḥaj: Wenn [eine Frau] einen Klumpen ausstößt, so reiße sie ihn auf; ist darin angesammeltes Blut, so ist sie unrein, wenn aber nicht, so ist sie rein. Wie Symmachos sagt, und erleichternder als alle$fn9.
Niddah 21b:16	R. Jirmeja fragte R. Zera: Wie ist es, wenn [eine Frau] Blut an einem Röhrchen$fn10beobachtet? Der Allbarmherzige sagt:$fn11<i>an ihrem Leibe</i>, nicht aber an einem Röhrchen$fn12, oder deutet [das Wort] <i>an ihrem Leibe</i> darauf, daß sie innen wie außen$fn13unrein ist? 
Niddah 21b:17	Dieser erwiderte: Die Schrift sagt: <i>an ihrem Leibe</i>, nicht aber an einem Röhrchen. Wollte man sagen, [das Wort] <i>an ihrem Leibe</i> deute darauf, daß sie innen wie außen unrein ist, so sollte doch die Schrift <i>am Leibe</i> sagen, wenn es aber <i>an ihrem Leibe</i> heißt, so ist beides zu entnehmen. — 
Niddah 21b:18	R. Joḥanan sagte ja aber im Namen des R. Šimo͑n b. Joḥaj, wenn [eine Frau] einen Klumpen ausstößt, reiße sie ihn auf, und wenn darin angesammeltes Blut ist, sei sie unrein, wenn aber nicht, rein$fn14!? — 
Niddah 21b:19	Was soll dies: allerdings pflegt ein Weib Blut an einem Klumpen wahrzunehmen, nicht aber pflegt ein Weib Blut an einem Röhrchen wahrzunehmen$fn15.
Niddah 21b:20	Es wäre anzunehmen, daß über das Röhrchen Tannaím streiten. Es wird nämlich gelehrt: Wenn [eine Frau] einen Klumpen ausstößt, auch wenn er voll Blut ist, so ist sie, wenn sie dabei Blutung hat, unrein, wenn aber nicht, rein. R. Elie͑zer sagte: <i>An ihrem Leibe</i>, nicht aber in der Eihaut und nicht in einem Klumpen. 
Niddah 21b:21	R. Elie͑zer sagt ja dasselbe, was die Weisen!? Vielmehr lese man: Denn R. Elie͑zer sagt: <i>an ihrem Leibe</i>, nicht aber in der Eihaut und nicht in einem Klumpen. 
Niddah 21b:22	Die Weisen sagen: Dies ist kein Menstruationsblut, sondern Blut von einem Klumpen. Aber auch nach dem ersten Autor sind sie ja rein!? Vielmehr besteht zwischen ihnen ein Unterschied in dem Falle, wenn er faltig$fn16ist; 
Niddah 21b:23	der erste Autor ist der Ansicht: <i>an ihrem Leibe</i>, nicht aber an einer Eihaut oder an einem Klumpen, und dasselbe gilt auch von einem Röhrchen, jedoch nur dann, wenn er glatt$fn17ist, wenn aber faltig$fn18, so ist sie unrein, denn dies heißt: <i>an ihrem Leibe</i>, 
Niddah 21b:24	und hierzu sagen die Rabbanan, auch wenn faltig, sei dies nicht Menstruationsblut, sondern Blut von einem Klumpen. Ist es aber Menstruationsblut, so ist sie entschieden unrein, auch an einem Röhrchen. 
Niddah 21b:25	Abajje erwiderte: Wenn an einem Röhrchen, stimmen alle überein, daß sie rein ist, 
Niddah 22a:1	sie streiten nur über einen Klumpen; einer ist der Ansicht, ein Weib pflege an einem Klumpen Blut wahrzunehmen, und einer ist der Ansicht, ein Weib pflege nicht an einem Klumpen Blut wahrzunehmen. 
Niddah 22a:2	Raba erwiderte: Alle sind der Ansicht, ein Weib pflege nicht an einem Klumpen Blut wahrzunehmen, hier aber streiten sie, ob, wenn die Frau rein ist, der Ort der Quelle$fn19unrein ist. 
Niddah 22a:3	R. Elie͑zer ist der Ansicht, die Frau sei rein und das Blut unrein, denn es kommt ja über die Quelle$fn20, und die Rabbanan sind der Ansicht, die Frau sei rein und der Ort der Quelle sei rein.
Niddah 22a:4	Rabba fragte R. Hona: Wie ist es, wenn jemand an einem Spänchen$fn21 Samenerguß beobachtet? Die Tora sagt: <i>von ihm</i>, nur wenn er aus seinem Leibe gekommen ist, nicht aber an einem Spänchen, oder aber: <i>von ihm</i>, wenn das Unreine nach außen gekommen ist, auch an einem Spänchen? 
Niddah 22a:5	Dieser erwiderte: Es ist ja schon der Umstand entscheidend, daß auch er selber$fn22nur dann unrein ist, wenn die Öffnung des Gliedes geschlossen wird$fn23. — 
Niddah 22a:6	Demnach$fn24erfolgt dies wegen der Berührung, somit sollte doch [der Erguß] beim Flusse nicht hinfällig machen$fn25, 
Niddah 22a:7	während gelehrt wird: $fn26<i>Dies ist das Gesetz inbetreff des Flußbehafteten, und dem der Same entgeht</i>, wie der Fluß hinfällig macht, ebenso macht der Samenerguß hinfällig!? 
Niddah 22a:8	Dieser erwiderte: Hinfällig macht er aus dem Grunde, weil [der Erguß] ohne Flußtropfen nicht möglich$fn27ist. — 
Niddah 22a:9	Demnach sollte er doch alle sieben [Tage] hinfällig$fn28machen, während gelehrt wird: <i>Dies ist das Gesetz inbetreff des Flußbehafteten &amp;c.</i>, wie der Fluß hinfällig macht, ebenso macht auch der Samenerguß hinfällig. 
Niddah 22a:10	[Man könnte glauben,] wie der Fluß alle sieben Tage hinfällig macht, mache auch der Samenerguß alle sieben Tage hinfällig, so heißt es:$fn29<i>daran zu verunreinigen</i>, du hast dabei nur das, was dabei$fn30gilt, er macht daher nur einen Tag hinfällig. 
Niddah 22a:11	Dieser erwiderte: Es ist eine Verordnung der Schrift: reiner Fluß, dem Samentropfen nicht beigemischt sind, macht alle sieben [Tage] hinfällig. Flußtropfen mit Samentropfen vermischt machen nur einen Tag hinfällig.
Niddah 22a:12	R. Jose b. R. Ḥanina fragte R. Elea͑zar: Wie verhält es sich mit geronnenem$fn31Blute; der Allbarmherzige sagt:$fn32<i>wenn ihr Blut fließt</i>, nur wenn es fließt, also nur flüssiges und nicht geronnenes, oder spricht er vom Fließen, weil dies das gewöhnliche ist, während es tatsächlich auch von geronnenem gilt!? 
Niddah 22a:13	Dieser erwiderte: Ihr habt es gelernt: Menstruationsblut und Leichenfleisch verunreinigen feucht und trocken. Jener entgegnete: Wenn flüssiges geronnen ist, ist es mir nicht fraglich, fraglich ist es mir nur, wenn es schon vorher geronnen war. — 
Niddah 22a:14	Auch das habt ihr gelernt: Wenn [eine Frau] Schelfenartiges, Haarartiges, Erdartiges oder eine Art roter Mücken ausstößt, so lege sie es ins Wasser; 
Niddah 22b:1	löst es sich auf, so ist sie unrein$fn33. — Demnach sollte sie [unrein sein], auch wenn es sich nicht auflöst!? Raba erwiderte: Wenn es sich nicht auflöst, ist es ein besonderes Geschöpf$fn34. — 
Niddah 22b:2	Gibt es denn solches? — Freilich, es wird auch gelehrt: R. Elea͑zar b. R. Çadoq sagte: Zwei Berichte brachte mein Vater von Ṭabu͑n nach Jabne. 
Niddah 22b:3	Einst ereignete es sich, daß eine Frau eine Art rote Schelfe ausstieß, und sie kamen und fragten meinen Vater, und mein Vater fragte die Weisen, und die Weisen fragten die Ärzte, und diese sagten, die Frau habe ein Geschwür in ihrem Eingeweide, von dem aus sie Schelfenartiges ausstößt. Soll$fn35sie es in Wasser tun, und wenn es sich auflöst, ist sie unrein. 
Niddah 22b:4	Ferner ereignete es sich einst, daß eine Frau etwas Rothaariges ausstieß, und sie kam und fragte meinen Vater, und mein Vater fragte die Weisen, und die Weisen fragten die Ärzte, und diese sagten, die Frau habe eine Warze in ihrem Eingeweide, von der aus sie etwas Rothaariges ausstößt. S<small>O TUE SIE ES IN</small> W<small>ASSER, LÖST ES SICH AUF, SO IST SIE UNREIN</small>. 
Niddah 22b:5	Reš Laqiš sagte: In heißes. Ebenso wird auch gelehrt: Sie tue es ins Wasser, und in heißes. R. Šimo͑n b. Gamliél sagt, sie zerreibe es mit Speichel auf dem Nagel. Welchen Unterschied gibt es zwischen ihnen? Rabina erwiderte: Ein Unterschied besteht zwischen ihnen, wenn es sich durch Zerreiben auflöst$fn36. — 
Niddah 22b:6	Dort haben wir gelernt: Wie lange müssen sie$fn37in heißem Wasser weichen? Einen Stundentag; wie ist es nun hierbei: ist ein Stundentag erforderlich oder nicht? 
Niddah 22b:7	Ist nur bei Kriechtier und Aas ein Stundentag erforderlich, weil sie hart sind, nicht aber beim Blute, das weich ist, oder gibt es hierbei keinen Unterschied. — Dies bleibt unentschieden.
Niddah 22b:8	W<small>ENN EINE</small> F<small>RAU</small> F<small>ISCHARTIGES AUSSTÖSST</small>. Sollte R. Jehuda auch hierüber streiten!? 
Niddah 22b:9	Reš Laqiš erwiderte: Auch hierüber besteht der Streit, und dies [ist die Ansicht] der Rabbanan. R. Joḥanan aber sagte: Du kannst auch sagen, die des R. Jehuda, denn R. Jehuda sagt dies nur vom Blute, weil es gerinnt und ein Klumpen wird, ein Geschöpf aber wird es nicht. — 
Niddah 22b:10	Nach der Lesart aber, nach der R. Joḥanan sagte, sie streiten, ob eine Öffnung der Gebärmutter ohne Blutung möglich$fn38ist, sollte R. Jehuda auch hierüber streiten!? 
Niddah 22b:11	Wer jene Fassung lehrte, lehrt hier wie folgt: R. Joḥanan und Reš Laqiš sagen beide, auch hierüber besteht der Streit, und dies [ist die Ansicht] der Rabbanan.
Niddah 22b:12	W<small>ENN EINE</small> F<small>RAU EINE</small> A<small>RT</small> V<small>IEH &amp;C. AUSSTÖSST</small>. 
Niddah 22b:13	R. Jehuda sagte im Namen Šemuéls: Folgendes ist der Grund R. Meírs: auch von diesen wird$fn39 [der Ausdruck] ‘bilden’ gebraucht, wie vom Menschen. — 
Niddah 22b:14	Demnach sollte, wenn eine Frau das Gebilde eines Seetieres ausstößt, (die Mutter) geburtsunrein sein, denn auch von diesem wird [der Ausdruck] ‘bilden’ gebraucht, wie vom Menschen, denn es heißt:$fn40<i>und der Herr erschuf die großen Seetiere</i>!? — 
Niddah 22b:15	Ich will dir sagen, man folgere durch [eine Vergleichung] von <i>bilden</i> mit <i>bilden</i>, nicht aber folgere man durch [eine Vergleichung] von <i>erschaffen</i> mit <i>bilden</i>. — 
Niddah 22b:16	Welchen Unterschied gibt es denn dabei, in der Schule R. Jišma͑éls wurde ja gelehrt:$fn41<i>Wenn der Priester wieder kommt</i>,$fn42<i>wenn der Priester hineingeht</i>, kommen und gehen sind$fn43dasselbe!? 
Niddah 22b:17	Und ferner ist ja durch [den Ausdruck] ‘erschaffen’ zu folgern, denn [auch vom Menschen] heißt es:$fn44<i>und Gott erschuf den Menschen in seinem Ebenbilde</i>!? — 
Niddah 22b:18	Ich will dir sagen, [das Wort] <i>erschuf</i> ist an sich nötig, und [das Wort] <i>bildete</i> ist entbehrlich, und man folgere durch das bei beiden gebrauchte [Wort] <i>bildete</i>. — 
Niddah 22b:19	Im Gegenteil, [das Wort] <i>bildete</i> ist an sich nötig und [das Wort] <i>erschuf</i> ist entbehrlich, und man folgere durch das bei beiden gebrauchte [Wort] <i>erschuf</i>!? — 
Niddah 22b:20	Vielmehr, [das Wort] <i>bildete</i> ist an beiden Stellen entbehrlich, es ist beim Menschen entbehrlich und es ist beim Vieh entbehrlich, [das Wort] <i>erschuf</i> aber ist nur beim Menschen entbehrlich, bei den Seetieren aber ist es nicht entbehrlich$fn45. — 
Niddah 22b:21	Wieso ist es beim Vieh entbehrlich: wollte man sagen, weil es heißt:$fn46<i>er machte das Getier der Erde</i>, und es heißt:$fn47<i>Gott der Herr bildete aus der Erde alles Getier des Feldes</i>, so ist es ja auch bei den Seetieren entbehrlich, denn es heißt:$fn46<i>alles Kriechtier des Erdbodens</i>, und es heißt: <i>und der Herr erschuf die großen Seetiere</i>!? — 
Niddah 22b:22	Unter Kriechtier in jenem Schriftverse sind die des Festlandes zu verstehen. — Welchen Unterschied gibt es zwischen entbehrlich an einer Stelle und entbehrlich an beiden Stellen? — 
Niddah 22b:23	Der Unterschied besteht in dem, was R. Jehuda im Namen Šemuéls im Namen R. Jišma͑éls gesagt hat: Ist die Wortanalogie$fn48 überhaupt nicht entbehrlich, so ist durch diese nichts zu folgern; ist sie an einer Stelle entbehrlich, so ist nach R. Jišma͑él durch diese zu folgern und nicht zu widerlegen, nach den Rabbanan aber zu folgern, jedoch auch$fn49zu widerlegen; und ist sie an beiden Stellen entbehrlich, so ist nach aller Ansicht durch diese zu folgern und nicht zu widerlegen. — 
Niddah 22b:24	Welchen Unterschied gibt es nach R. Jišma͑él zwischen entbehrlich an einer Stelle und entbehrlich an beiden Stellen? — Der Unterschied besteht darin: ist$fn50 eine an einer Stelle entbehrlich und eine an beiden Stellen entbehrlich, so lasse man die an einer Stelle entbehrliche 
Niddah 23a:1	und folgere durch die an beiden Stellen entbehrliche. Der Allbarmherzige machte sie daher beim Vieh an beiden Stellen entbehrlich, damit man nicht durch die an einer Stelle entbehrliche folgere.
Niddah 23a:2	R. Aḥa, der Sohn Rabas, lehrte es im Namen R. Elea͑zars erleichternd. Ist die Wortanalogie überhaupt nicht entbehrlich, so ist durch diese zu folgern und zu widerlegen; ist sie an einer Stelle entbehrlich, so ist nach R. Jišma͑él durch diese zu folgern und nicht zu widerlegen, nach den Rabbanan aber zu folgern und zu widerlegen; und ist sie an beiden Stellen entbehrlich, so ist nach aller Ansicht durch diese zu folgern und nicht zu widerlegen. — 
Niddah 23a:3	Welchen Unterschied gibt es nach den Rabbanan zwischen entbehrlich an einer Stelle und überhaupt nicht entbehrlich? — 
Niddah 23a:4	Der Unterschied besteht darin: ist eine an einer Stelle entbehrlich und eine überhaupt nicht entbehrlich, und die eine nicht zu widerlegen und die andere nicht zu widerlegen, so lasse man die überhaupt nicht entbehrliche und folgere durch die an einer Stelle entbehrliche. — 
Niddah 23a:5	Welche Widerlegung gibt es hierbei? — Es ist zu widerlegen: wohl gilt dies vom Menschen$fn51, der auch lebend verunreinigungsfähig ist.
Niddah 23a:6	Ebenso sagte auch R. Ḥija b. Abba im Namen R. Joḥanans: Folgendes ist der Grund R. Meírs: weil auch von diesen [der Ausdruck] ‘bilden’ gebraucht wird, wie vom Menschen. 
Niddah 23a:7	R. Ami sprach zu ihm: Demnach sollte eine Frau, wenn sie das Gebilde eines Berges ausstößt, geburtsunrein sein, denn es heißt<i>:</i>$fn52<i>denn siehe, er bildet die Berge und schafft den Wind</i>!? Dieser erwiderte: Kann sie etwa einen Berg ausstoßen!? Sie kann nur etwas wie einen Stein ausstoßen, und solches heißt Scholle$fn53. — 
Niddah 23a:8	Aber eine Frau sollte demnach, wenn sie etwas Windartiges ausstößt, geburtsunrein sein, denn von diesem wird [der Ausdruck] ‘erschaffen’ gebraucht, wie vom Menschen, denn es heißt: <i>und erschafft den Wind</i>!? Wolltest du sagen, es sei nicht entbehrlich, so ist es ja wohl entbehrlich, denn es könnte heißen: er bildet die Berge und den Wind, und es heißt: und erschafft den Wind!? 
Niddah 23a:9	Dieser erwiderte: Man folgere [durch Wortanalogie, wenn beide Worte sich] in der Tora befinden, nicht aber wenn eines in der Tora und eines in den Propheten sich befindet.
Niddah 23a:10	Rabba b. Bar Ḥana sagte im Namen R. Joḥanans: Folgendes ist der Grund R. Meírs: weil ihre Augen denen eines Menschen gleichen. — 
Niddah 23a:11	Demnach sollte eine Frau, wenn sie das Gebilde einer Schlange ausstößt, geburtsunrein sein, weil ihr Augenstern$fn54rund ist, wie der eines Menschen!? Wolltest du sagen, dem sei auch so, so sollte er es von einer Schlange lehren!? — 
Niddah 23a:12	Würde er es von einer Schlange gelehrt haben, so könnte man glauben, die Rabbanan streiten gegen R. Meír nur über eine Schlange, von der [der Ausdruck] ‘bilden’ nicht gebraucht wird, nicht aber über ein Tier oder ein Wild, von denen [der Ausdruck] ‘bilden’ gebraucht wird. — 
Niddah 23a:13	Dies$fn55zählt er ja unter den Leibesfehlern: dessen Augenstern rund ist, wie der eines Menschen!? — Das ist kein Einwand; eines gilt vom Schwarzen und eines gilt vom Weißen$fn56. 
Niddah 23a:14	R. Jannaj sagte: Folgendes ist der Grund R. Meírs: weil ihre Augen nach vorn gerichtet sind, wie die eines Menschen$fn57. — Bei einem Vogel sind ja die Augen nicht nach vorn gerichtet, und R. Meír sagt, sie sei unrein!? Abajje erwiderte: Dies gilt von Kauz und Eule. — Etwa nicht von anderen Vögeln, 
Niddah 23a:15	man wandte ein: R. Ḥanina b. Antigonos sagte: Die Worte R. Meírs sind einleuchtend bei Vieh und Wild, und die Worte der Weisen bei Vögeln. 
Niddah 23a:16	Bei welchen Vögeln: wollte man sagen, bei Kauz und Eule, so gilt dies wohl von Vieh und Wild deshalb, weil ihre Augen nach vorn gerichtet sind, wie bei einem Menschen, und dies ist ja auch bei Kauz und Eule der Fall; 
Niddah 23a:17	doch wohl von anderen Vögeln, demnach streitet R. Meír auch über andere Vögel!? — 
Niddah 23a:18	[Die Lehre] ist lückenhaft und muß wie folgt lauten: R. Ḥanina b. Antigonos sagte: Die Worte R. Meírs sind einleuchtend bei Vieh und Wild, und ebenso auch bei Kauz und Eule, und die Worte der Weisen bei anderen Vögeln; auch R. Meír streitet nämlich gegen sie nur über Kauz und Eule, bei anderen Vögeln aber pflichtet er ihnen bei. — 
Niddah 23a:19	Es wird auch gelehrt: R. Elea͑zar b. R. Çadoq sagte: Wenn eine Frau eine Art Vieh oder Wild ausstößt, so ist dies nach R. Meír eine Geburt und nach den Weisen keine Geburt. Wenn eine Art Vogel, so ist es zu untersuchen. 
Niddah 23a:20	Zu untersuchen ist es wohl nach R. Meír, welcher sagt, nur Kauz und Eule, andere Vögel aber nicht. 
Niddah 23a:21	R. Aḥa, Sohn des R. Iqa, erwiderte: Nein, zu untersuchen nach den Rabbanan, welche sagen, nur Kauz und Eule, andere Vögel aber nicht. — 
Niddah 23a:22	Wodurch unterscheiden sich Kauz und Eule$fn58von Vieh und Wild? — Sie haben Backen wie ein Mensch.
Niddah 23a:23	R. Jirmeja fragte R. Zera: Wie ist es nach R. Meír, welcher sagt, ein Vieh im Leibe der Mutter sei eine richtige Geburt, wenn der Vater$fn59für sie die Antrauung in Empfang genommen hat? — In welcher Hinsicht$fn60ist dies von Bedeutung? — Die Schwester verboten$fn61zu machen. — 
Niddah 23a:24	Demnach ist ein solches$fn62lebensfähig, aber R. Jehuda sagte ja im Namen Rabhs, R. Meír sage es nur deshalb, weil ein solches bei seiner Art lebensfähig$fn63 ist!? R. Aḥa b. Ja͑qob sagte: Soweit$fn64suchte R. Jirmeja, R. Zera zum Lachen zu bringen, er lachte aber nicht$fn65.
Niddah 23a:25	Der Text. R. Jehuda sagte im Namen Rabhs: R. Meír sagte es nur deshalb, weil ein solches bei seiner Art lebensfähig ist. R. Jirmeja aus Diphte sagte: 
Niddah 23b:1	Auch wir haben demgemäß gelernt: Wenn sie eine Art Vieh, Wild oder Geflügel ausgestoßen hat, so gilt dies$fn66als richtige Geburt — so R. Meír, die Weisen sagen, nur wenn etwas Menschenähnliches daran ist. 
Niddah 23b:2	Wenn [die Mutter] vorher einen Sandel, eine Nachgeburt oder eine entwickelte Eihaut ausgestoßen hat, oder [das Kind] zerstückelt herauskam, so ist der nach ihnen kommt, Erstgeborener hinsichtlich der Erbschaft, nicht aber Erstgeborener für den Priester$fn67. Wenn man nun sagen wollte, es sei lebensfähig, wieso ist der ihm folgende Erstgeborener hinsichtlich der Erbschaft!? 
Niddah 23b:3	Raba erwiderte: Tatsächlich ist es lebensfähig, nur ist es da anders, denn die Schrift sagt:$fn68<i>Erstling seiner Kraft</i>, wenn sein Herz über ihn$fn69Schmerz empfindet, ausgenommen dieses, über das sein Herz keinen Schmerz empfindet.
Niddah 23b:4	R. Ada b. Ahaba fragte Abajje: Wie verhält es sich nach R. Meír, welcher sagt, ein Vieh im Leibe eines Menschen sei eine richtige Geburt, mit einem Menschen im Leibe eines Viehs$fn70? — In welcher Hinsicht ist dies von Bedeutung? — Ob es zum Essen erlaubt ist? — 
Niddah 23b:5	Dies ist ja zu entscheiden aus einer Lehre R. Joḥanans, denn R. Joḥanan sagte, wenn man ein Vieh schlachtet und darin eine Art Taube findet, sei sie zum Essen verboten!? — 
Niddah 23b:6	Was soll dies: bei jener gibt es weder Klauen noch Klaue, bei dieser aber gibt es zwar keine Klauen, aber immerhin eine Klaue$fn71.
Niddah 23b:7	D<small>IE</small> W<small>EISEN SAGEN, WAS NICHT &amp;C</small>. R. Jirmeja b. Abba sagte im Namen Rabhs: Alle pflichten bei, daß es$fn72, wenn es der Körper eines Bockes und das Gesicht eines Menschen ist, als Mensch gelte, und wenn es der Körper eines Menschen und das Gesicht eines Bockes ist, es nichts sei, 
Niddah 23b:8	sie streiten nur über den Fall, wenn es das Gesicht eines Menschen ist, aber ein Auge dem eines Viehs gleicht. R. Meír sagt, es brauche nur vom Gesichte eines Menschen zu sein, und die Weisen sagen, es müsse das ganze Gesicht eines Menschen sein. 
Niddah 23b:9	Sie sprachen zu R. Jirmeja b. Abba: Es gibt ja eine Lehre entgegengesetzt: R. Meír sagt, das ganze Gesicht, und die Weisen sagen, vom Gesichte!? Er erwiderte ihnen: Ist es gelehrt worden, so ist es gelehrt worden$fn72.
Niddah 23b:10	R. Jirmeja b. Abba sagte im Namen R. Joḥanans: Die Stirn, die Augenbrauen, die Augen, die Backen und das Kinn, sie müssen alle vorhanden sein. Raba aber sagte im Namen Hasas: Die Stirn, eine Augenbraue, ein Auge, eine Backe und das Kinn, sie müssen alle vorhanden sein. 
Niddah 23b:11	Sie streiten aber nicht, einer nach demjenigen, welcher sagt, das ganze Gesicht, und einer nach demjenigen, welcher sagt, vom Gesichte. 
Niddah 23b:12	Man wandte ein: Unter Gesichtsform, von der sie sprechen, ist auch eine von den Gesichtspartien zu verstehen, ausgenommen das Ohr$fn73. Demnach ist auch eine ausreichend!? 
Niddah 23b:13	Abajje erwiderte: Diese Lehre spricht von der Unerläßlichkeit$fn74, nach demjenigen, welcher sagt, das ganze Gesicht. Wenn du aber willst, sage ich: tatsächlich nach demjenigen, welcher vom Gesichte sagt, und unter ‘eine’ ist von jedem$fn75eine zu verstehen.
Niddah 23b:14	Raba sagte: Ist [die Geburt] mit einem Auge erschaffen worden, oder mit einer Hüfte, so ist die Mutter, wenn an der Seite$fn76, unrein, und wenn in der Mitte, (so ist die Mutter) rein. 
Niddah 23b:15	Raba sagte: Ist die Speiseröhre durchlocht, so ist die Mutter unrein, ist die Speiseröhre geschlossen, so ist die Mutter rein$fn77.
Niddah 23b:16	Die Rabbanan lehrten: Hat sie einen stummelhaften Körper abortiert, so ist sie (die Mutter) nicht geburtsunrein. — Was heißt stummelhafter Körper? Rabbi sagte: Daß ein Lebender, wenn ihm dieses$fn78abgenommen wird, sterben muß. — 
Niddah 23b:17	Wieviel muß von einem Lebenden abgenommen werden, um sterben zu müssen? R. Zakkaj sagte: 
Niddah 24a:1	Bis zum Kniestücke$fn79. R. Jannaj sagte: Bis zum Anus. R. Joḥanan sagte im Namen des R. Jose b. R. Jehošua͑: Bis zur Nabelstelle. 
Niddah 24a:2	Die Meinungsverschiedenheit zwischen R. Zakkaj und R. Jannaj besteht darin, ob das Totverletzte$fn80lebensfähig ist. Einer ist der Ansicht, das Totverletzte sei lebensfähig, und einer ist der Ansicht, das Totverletzte sei nicht lebensfähig. 
Niddah 24a:3	Und die Meinungsverschiedenheit zwischen R. Jannaj und R. Joḥanan$fn81besteht über eine Lehre R. Elea͑zars, denn R. Elea͑zar sagte: Fehlt [einem Tiere] die Hüfte mit der ganzen [Bauch]höhlung, so ist es Aas. 
Niddah 24a:4	R. Papa sagte: Ihr Streit besteht nur über den Fall, wenn von unten nach oben, wenn aber von oben$fn82nach unten, so ist sie rein, auch wenn nur etwas [fehlt]. Ebenso sagte R. Gidel im Namen R. Joḥanans: Hat sie [eine Geburt] abortiert, deren Schädel stummelhaft ist, so ist sie (die Mutter) rein. 
Niddah 24a:5	Ferner sagte R. Gidel im Namen R. Joḥanans: Hat sie etwas wie einen Palmenstumpf$fn83abortiert, so ist sie (die Mutter) rein.
Niddah 24a:6	Es wurde gelehrt: Hat sie [eine Geburt] abortiert, deren Gesicht eingedrückt ist, so ist sie (die Mutter), wie R. Joḥanan sagt, unrein, und wie Reš Laqiš sagt, rein. 
Niddah 24a:7	R. Joḥanan wandte gegen Reš Laqiš ein: Hat sie eine ausgebildete$fn84Hand oder einen ausgebildeten Fuß ausgestoßen, so ist sie (die Mutter) geburtsunrein, und man berücksichtige nicht, es rühre vielleicht von einem formlosen Körper her. Wenn dem nun so wäre, so sollte er doch lehren: es rühre vielleicht von einem formlosen Körper her, oder einem, dem das Gesicht eingedrückt ist!? 
Niddah 24a:8	R. Papi sagte: Ist das Gesicht eingedrückt, so stimmen alle überein, daß sie unrein ist, sie streiten nur über eine, deren Gesicht platt$fn85ist, und die Lehre lautet umgekehrt: R. Joḥanan sagt, die Mutter sei rein, und Reš Laqiš sagt, die Mutter sei unrein. — 
Niddah 24a:9	Sollte doch Reš Laqiš gegen R. Joḥanan einen Einwand erheben aus jener Lehre!? — Er könnte ihm erwidern: formloser Körper und plattes Gesicht seien dasselbe.
Niddah 24a:10	Die Söhne R. Ḥijas waren auf die Dörfer gegangen, und als sie zu ihrem Vater kamen, sprach er zu ihnen: Ist euch irgend ein Rechtsfall vorgekommen? Sie erwiderten ihm: Uns wurde ein Fall von einem platten Gesichte vorgetragen, und wir erklärten [die Frau] als unrein. 
