Menachot 2a:1	<sup>i</sup> <b>J</b>EDES S<small>PEISOPFER, VON DEM DER</small> H<small>AUFE AUF EINEN ANDEREN</small> N<small>AMEN</small>$fn1<small>ABGEHOBEN WORDEN IST, IST TAUGLICH</small>$fn2, <small>NUR WIRD ES DEM</small> E<small>IGENTÜMER NICHT ALS</small> P<small>FLICHTOPFER ANGERECHNET, AUSGENOMMEN SIND DAS</small> S<small>ÜND</small>-S<small>PEISOPFER</small>$fn3 <small>UND DAS</small> E<small>IFERSUCHTS</small>-S<small>PEISOPFER</small>$fn4. 
Menachot 20a:16	Was dazu erforderlich ist, das ist das Holz, ebenso auch alles andere, wobei Holz [erforderlich ist]. – 
Menachot 20a:17	Vielleicht der Weihrauch, somit ist auch das Blut einzuschließen, denn dazu gehört das Gußopfer!? – Das Gußopfer gehört zu den Opferteilen, denn Essen und Trinken [gehören zusammen]. – Im Gegenteil, Sühne und Freude [gehören$fn119zusammen]!? – 
Menachot 20a:18	Vielmehr, der Weihrauch wird in einem Gefäße mit diesem$fn120dargebracht; mit dem Holze aber werden, wie damit das Speisopfer hergerichtet wird, auch alle anderen Opfer hergerichtet. – 
Menachot 20a:19	Vielleicht aber: wie das Speziellgenannte sich dadurch auszeichnet, daß anderes dazu erforderlich ist und erlaubt macht, ebenso auch alles andere, wobei anderes erforderlich ist und erlaubt macht, das ist nämlich der in den Schalen dargebrachte Weihrauch, der die Brote erlaubt macht, anderes aber nicht!? – 
Menachot 20a:20	Da [die Worte] <i>von deinen Speisopfern</i> zur Ausschließung des Blutes$fn121erforderlich sind, so ist zu entnehmen, daß alles andere durch die Vergleichung in einer Hinsicht zu folgern ist.
Menachot 20a:21	Der Meister sagte: <i>Von deinen Speisopfern</i>, nicht aber vom Blute. Vielleicht: <i>von deinen Speisopfern</i>, nicht aber von den Opfergliedern!? – 
Menachot 20a:22	Es ist einleuchtend, daß die Opferglieder einzubegreifen sind, 
Menachot 20a:23	denn sie gleichen jenem$fn122hinsichtlich der Benötigung von anderem, der Verbrennung, [der Herrichtung] außerhalb$fn123, des Übriggebliebenen$fn124, 
Menachot 20a:24	der Unreinheit$fn124 und der Veruntreuung$fn125. – 
Menachot 20b:1	Im Gegenteil, das Blut ist ja einzuschließen, denn es gleicht jenem hinsichtlich der Erlaubtmachung$fn126und des Untauglichwerdens bei Sonnenuntergang$fn127!? – Jene$fn128sind mehr.
Menachot 20b:2	Der Meister sagte: So könnte man glauben, auch das Holz und das Blut, die ebenfalls Opfer genannt werden. Der Autor, welcher sagt, das Holz werde Opfer genannt, ist ja Rabbi, und nach Rabbi ist ja hierfür Salz erforderlich!? 
Menachot 20b:3	Es wird nämlich gelehrt: <i>Opfer</i>, dies lehrt, daß man Holz spenden könne. Wieviel? Zwei Scheite. Ebenso$fn129heißt es:$fn130<i>und</i> <i>wir warfen das Los wegen der Opferung des Holzes</i>. Rabbi sagt, die Holz-[spende] gilt als Opfer und benötigt des Salzes und des Heranbringens$fn131. 
Menachot 20b:4	Hierzu sagte Raba: Nach der Ansicht Rabbis ist beim Holze das Abheben des Haufens erforderlich. Ferner sagte R. Papa: Nach der Ansicht Rabbis ist zum Holze Holz$fn132erforderlich. – 
Menachot 20b:5	Streiche [das Wort] Holz$fn133. – Was schließt demnach der Schriftvers aus, wenn etwa das Blut, so geht dies ja schon aus [den Worten] <i>von deinen Speisopfern</i> hervor$fn134!? – 
Menachot 21a:1	Man lasse das Holz fort und nenne das Gußopfer$fn135. Es wird nämlich gelehrt: Aber der Wein, das Blut, das Holz und das Räucherwerk benötigen nicht des Salzes. – 
Menachot 21a:2	Wer ist [der Autor dieser Lehre], wenn Rabbi, 
Menachot 21a:3	so besteht ja ein Einwand hinsichtlich des Holzes$fn136, und wenn die Rabbanan, so besteht ja ein Einwand hinsichtlich des Räucherwerkes$fn137!? – Es ist der Autor der folgenden Lehre: R. Jišma͑él, Sohn des R. Joḥanan b. Beroqa, sagte: Wie das Speziellgenannte$fn138eine Sache ist, die für die Unreinheit empfänglich ist, verbrannt wird und auf den äußeren Altar kommt, ebenso auch alles andere, das für die Unreinheit empfänglich ist, verbrannt wird und auf den äußeren Altar kommt; 
Menachot 21a:4	ausgenommen ist das Holz, das nicht verunreinigungsfähig ist, ausgenommen sind der Wein und das Blut, die nicht verbrannt werden, und ausgenommen ist das Räucherwerk, das nicht auf den äußeren Altar kommt. – 
Menachot 21a:5	Demnach wissen wir es vom Blute, weil die Schrift es ausgeschlossen hat, sonst aber würde man gesagt haben, das Blut benötige des Salzes; wenn man es salzt, verliert es ja den Charakter des Blutes!? Zee͑ri sagte nämlich im Namen R. Ḥaninas, wenn man Blut gekocht hat, begehe man wegen dessen$fn139kein Verbot; und R. Jehuda sagte im Namen Zee͑ris, wenn man Blut gesalzen hat, begehe man wegen dessen kein Verbot; 
Menachot 21a:6	und in seinem eigenen Namen sagte R. Jehuda, wenn man die Opferglieder gebraten und dann dargebracht hat, gelten sie nicht mehr als duftend$fn140. – 
Menachot 21a:7	Man könnte glauben, es sei von Gebotes wegen etwas$fn141beizufügen, so lehrt er uns.
Menachot 21a:8	Der Text. Zee͑ri sagte im Namen R. Ḥaninas: Hat man Blut gekocht, so übertritt man dabei kein Verbot. Raba saß und trug diese Lehre vor, da wandte Abajje gegen ihn ein: Wenn man Blut gerinnen läßt$fn142und es ißt, oder wenn man Talg schmilzt und ihn schlürft, so ist man schuldig!? – 
Menachot 21a:9	Dies ist kein Einwand; eines, wenn man es am Feuer gerinnen läßt, und eines, wenn man es an der Sonne gerinnen läßt; wenn am Feuer, so löst es sich nicht wieder auf, wenn aber an der Sonne, so löst es sich wieder$fn143auf. – 
Menachot 21a:10	Auch wenn an der Sonne, sollte man doch sagen, da es$fn144verdrängt worden ist, bleibe es verdrängt!? R. Mani fragte nämlich R. Joḥanan, wie es denn sei, wenn das Blut geronnen ist und man es ißt, und er erwiderte ihm, da es verdrängt worden ist, bleibe es verdrängt. Jener schwieg. 
Menachot 21a:11	Da sprach er zu ihm: Vielleicht gilt eines von außerhalb herzurichtenden Sündopfern$fn145und eines von innerhalb herzurichtenden Sündopfern. 
Menachot 21a:12	Jener erwiderte: Du hast mich einer Sache erinnert, die Rabba im Namen R. Ḥisdas gesagt hat, wenn das Blut von Sündopfern$fn146geronnen ist und man es ißt, sei man schuldig, denn der Allbarmherzige sagt:$fn147<i>er nehme, er trage auf</i>, und dieses ist zum Nehmen und zum Auftragen geeignet, wenn aber solches von innerhalb herzurichtenden Sündopfern, sei man frei, denn der Allbarmherzige sagt:$fn148<i>er tauche ein und besprenge</i>, und dieses ist zum Eintauchen und Besprengen ungeeignet. 
Menachot 21a:13	In seinem eigenen Namen aber sagte Rabba$fn149, selbst wenn man solches von innerhalb herzurichtenden Sündopfern gegessen hat, sei man schuldig, weil es bei den außerhalb herzurichtenden Sündopfern tauglich ist.
Menachot 21a:14	R. Gidel sagte im Namen Zee͑ris: Das Blut gilt, ob flüssig oder trocken, als Trennung$fn150, Man wandte ein: Blut, Tinte, Honig und Milch gelten trocken als Trennung, flüssig aber nicht!? – Dies ist kein Einwand; eines, wenn es klebrig$fn151ist, und eines, wenn es nicht klebrig ist.
Menachot 21a:15	$fn106<i>Sollst du salzen</i>; worauf deutet dies? – Auf folgende Lehre: <i>Mit Salz</i>, man könnte glauben tebonehu$fn152, so heißt es: <i>sollst du salzen</i>; wenn salzen, so könnte man glauben, mit Salzwasser, so heißt es: <i>mit Salz</i>.
Menachot 21a:16	$fn106<i>Du sollst kein Salz fehlen lassen</i>, bringe Salz, das niemals fehlt, das ist nämlich Feinsalz$fn153. Woher, daß man, wenn man kein Feinsalz findet, Grobsalz$fn153verwende? – Es heißt: <i>sollst du bringen</i>, welches es auch ist. <i>Sollst du bringen</i>, aus jedem$fn154Orte; <i>sollst du bringen</i>, selbst am Šabbath; <i>sollst du bringen</i>, selbst in Unreinheit$fn155. – 
Menachot 21a:17	Was heißt tebonehu? Rabba b. U͑la erwiderte: Er meint es wie folgt: man könnte glauben, man knete es$fn156, wie das Stroh$fn157im Lehm. Abajje sprach zu ihm: Demnach müßte es ja jetabnena [mit Stroh kneten] heißen!? Vielmehr, erklärte Abajje, man könnte glauben, man verfahre hierbei wie bei einem Bauwerke$fn158. Raba sprach zu ihm: Demnach müßte es ja jibnenu [bauen] heißen!? Vielmehr, erklärte Raba, man könnte glauben, tebonehu. – 
Menachot 21a:18	Was heißt tebonehu? R. Aši erwiderte: Man könnte glauben, man füge nur einen zu spürenden Geschmack$fn159bei, so heißt es: <i>sollst du salzen</i>. Wie verfahre man hierbei? – Man hole das Opferglied und bestreue es mit Salz, wende es um und bestreue es mit Salz, sodann bringe man es dar. 
Menachot 21a:19	Abajje sagte: Ebenso auch für den Kochtopf$fn160.
Menachot 21b:1	Die Rabbanan lehrten: Beim Salze, das sich auf einem Opfergliede befindet, gibt es eine Veruntreuung; das sich auf der Altarrampe und auf dem Altar$fn161befindet, gibt es keine$fn162Veruntreuung. Hierzu sagte R. Mathna: Hierauf deutet folgender Schriftvers:$fn163<i>du sollst sie vor den Herrn bringen, und die Priester sollen Salz auf sie streuen und sie dem Herrn als Brandopfer darbringen</i>$fn164<i>.</i>
Menachot 21b:2	Dort haben wir gelernt: Hinsichtlich$fn165des Salzes$fn166und des Holzes, daß die Priester davon genießen dürfen. Šemuél sagte: Nur für ihre Opfer, nicht aber zum Essen. 
Menachot 21b:3	Er$fn167glaubte, unter Opfer sei das Salzen ihrer Opfer$fn168, und unter Essen das Essen von Geheiligtem$fn169zu verstehen. Wenn sie davon sogar zum Salzen der Häute von den Opfern$fn170erhalten, wie sollten sie davon zum Essen von Geheiligtem nicht erhalten!? 
Menachot 21b:4	Es wird nämlich gelehrt: Es ergibt sich also, daß das Salz an drei Stellen verwandt wird: in der Salzkammer, auf der Altarrampe und auf der Höhe des Altars. In der Salzkammer, denn da salzte man die Häute der Opfer; auf der Altarrampe, denn da salzte man die Opferglieder; auf der Höhe des Altars, denn da salzte man den Haufen, den Weihrauch, das Räucherwerk, das Speisopfer der Priester, das Speisopfer des gesalbten Priesters, das Speisopfer der Gußopfer und das Vogel-Brandopfer. – 
Menachot 21b:5	Vielmehr, unter Opfer ist das Essen der Opfer zu verstehen, und unter Essen ist das Essen von Profanem zu verstehen. – 
Menachot 21b:6	Vom Profanen ist es ja selbstverständlich, wie kommt es da$fn171hinein!? – Obgleich der Meister erklärt hat:$fn172<i>sollen essen</i>, sie dürfen dazu$fn173Profanes und Hebe essen, damit sie auch satt werden, so gebe man ihnen hierzu dennoch kein Salz vom Heiligen. 
Menachot 21b:7	Rabina sprach zu R. Aši: Dies ist auch einleuchtend; wenn man sagen wollte, unter Opfer sei das Salzen derselben zu verstehen, so erhalten sie es$fn174nur deshalb, weil das Gericht es bestimmt hat, sonst aber nicht; wenn man es aber sogar Jisraéliten verabreicht, wie sollte man es Priestern nicht verabreichen!? 
Menachot 21b:8	Es wird nämlich gelehrt: Man könnte glauben, wer gesagt hat, er gelobe ein Speisopfer, müsse dazu auch das Salz vom Hause bringen, wie er den Weihrauch vom Hause$fn175bringt, und zwar wäre dies durch einen Schluß zu folgern: es heißt, daß man das Speisopfer und dazu Salz bringe, und es heißt, daß man das Speisopfer und dazu Weihrauch bringe; wie den Weihrauch vom Hause, ebenso auch das Salz vom Hause. 
Menachot 21b:9	Oder aber wie folgt: es heißt, daß man das Speisopfer und dazu Salz bringe, und es heißt, daß man das Speisopfer und dazu Holz bringe; wie das Holz von Gemeindemitteln, ebenso auch das Salz von Gemeindemitteln. 
Menachot 21b:10	Man beachte aber, womit es zu vergleichen ist; man folgere hinsichtlich einer Sache, die zu allen Opfern crforderlich$fn176ist, von einer Sache, die zu allen Opfern erforderlich$fn176ist, nicht aber folgere man vom Weihrauch, der nicht zu allen Opfern erforderlich ist. 
Menachot 21b:11	Oder aber wie folgt: man folgere hinsichtlich einer Sache, die damit im selben Gefäße$fn177dargebracht wird, von einer Sache, die damit im selben Gefäße dargebracht wird, nicht aber folgere man vom Holze, das nicht damit im selben Gefäße dargebracht wird. 
Menachot 21b:12	Daher heißt es:$fn178<i>ein ewiges Salzbündnis ist es</i>, und dort$fn179heißt es: $fn180<i>von den Kindern Jisraél, ein ewiges Bündnis</i>; wie dort von Gemeindemitteln, ebenso auch hierbei von Gemeindemitteln. 
Menachot 21b:13	R. Mordekhaj sprach zu R. Aši: R. Šiša, Sohn des R. Idi, sagte, dies$fn181sei wegen der Lehre des Ben Bokhri nötig, 
Menachot 21b:14	denn wir haben gelernt: R. Jehuda sagte: Ben Bokhri bekundete in Jabne, daß ein Priester, der den Šeqel$fn182entrichtet, kein Sünde begehe. R. Joḥanan b. Zakkaj sprach zu ihm: Nicht so, vielmehr begeht ein Priester, der den Šeqel nicht entrichtet, eine Sünde. Die Priester aber legen folgenden Schriftvers zu ihrem Vorteile aus:
Menachot 21b:15	$fn183<i>Jedes Speisopfer eines Priesters ist ein Ganzopfer, es darf nicht gegessen werden</i>; wieso dürften die Schwingegarbe, die zwei Brote und die Schaubrote, wenn sie unser$fn184wären, [von uns] gegessen werden!? 
Menachot 21b:16	Nach Ben Bokhri sollten sie ja, wenn sie von vornherein zur Entrichtung nicht verpflichtet sind, dadurch eine Sünde begehen, da sie Profanes$fn185in den Tempelhof bringen!? Vielmehr, er bringe es und übergebe es der Gemeinde$fn186. 
Menachot 21b:17	Man könnte$fn187 nun glauben, 
Menachot 22a:1	der Allbarmherzige habe es$fn188nur den Jisraéliten zuerkannt, da sie es in der Kammer$fn189haben, nicht aber den Priestern, die es nicht in der Kammer haben, so lehrt er uns.
Menachot 22a:2	Woher entnimmt es der Autor, dem es entschieden ist, daß das Holz von Gemeindemitteln anzuschaffen sei? – Es wird gelehrt: Man könnte glauben, wer gesagt hat, er gelobe ein Brandopfer, bringe auch das Holz vom Hause, wie er das Trankopfer vom Hause bringt, so heißt es:$fn190<i>auf das Holz über dem Feuer auf dem Altar</i>; wie der Altar von Gemeindemitteln errichtet ist, ebenso auch das Holz und das Feuer von Gemeindemitteln – so R. Elea͑zar b. R. Šimo͑n. 
Menachot 22a:3	R. Elea͑zar b. Šammua͑ sagte: Wie der Altar von einem Gemeinen nicht benutzt wird, ebenso Holz und Feuer, die von einem Gemeinen nicht benutzt worden sind. – Welchen Unterschied gibt es zwischen ihnen? – Ein Unterschied besteht zwischen ihnen, ob es neues [Holz] sein muß$fn191. – 
Menachot 22a:4	Altes etwa nicht, es heißt ja:$fn192<i>da sprach Aravna zu David: Mein Herr und König wolle nehmen, was ihm zusagt, und opfern; die Rinder zum Brandopfer und die Dreschwalzen und das Geschirr der Rinder zum Brennholz</i>. – Auch diese waren neu. – 
Menachot 22a:5	Was heißt Dreschwalzen? U͑la erwiderte: Ein Tribulum-Gestell. – Was ist ein Tribulum-Gestell? R. Jehuda erwiderte: Ein runder zum Dreschen dienender Bock. R. Joseph sagte: Hierauf deutet folgender Schriftvers:$fn193<i>siehe, ich mache dich zu einer neuen, scharfen Dreschwalze mit vielen Schneiden; du wirst Berge dreschen</i>.
Menachot 22a:6	<sup>ii,2</sup> <b>I</b><small>ST DER</small> H<small>AUFE MIT DEM</small> H<small>AUFEN EINES ANDEREN</small> [O<small>PFERS</small>], <small>DEM</small> S<small>PEISOPFER EINES</small> P<small>RIESTERS, DEM</small> S<small>PEISOPFER DES GESALBTEN</small> P<small>RIESTERS, ODER DEM</small> S<small>PEISOPFER EINES</small> G<small>USSOPFERS VERMISCHT WORDEN, SO SIND SIE</small>$fn194<small>TAUGLICH</small>; 
Menachot 22a:7	R. J<small>EHUDA SAGT, WENN MIT DEM</small> S<small>PEISOPFER DES GESALBTEN</small> P<small>RIESTERS ODER DEM</small> S<small>PEISOPFER EINES</small> G<small>USSOPFERS, SEIEN SIE UNTAUGLICH, DENN JENER BESTEHT AUS EINER HARTEN UND DIESE AUS EINER WEICHEN</small>$fn195M<small>ISCHUNG, UND SIE NEHMEN VON EINANDER AN</small>$fn196.
Menachot 22a:8	GEMARA. Dort haben wir gelernt: Ist das Blut$fn197mit Wasser vermischt worden, so ist es, wenn es das Aussehen von Blut hat, tauglich; ist es mit Wein$fn198vermischt worden, so behandle man ihn wie Wasser$fn199; ist es mit Blut von einem Vieh$fn200oder einem Wilde vermischt worden, so behandle man es wie Wasser. R. Jehuda sagt, Blut gehe in Blut nicht$fn201auf. 
Menachot 22a:9	R. Joḥanan sagte: Beide folgern sie es aus ein und demselben Schriftverse:$fn202<i>Er nehme vom Blute des Farren und vom Blute des Ziegenbockes</i>, und da es bekannt ist, daß das Blut des Farren mehr ist als das Blut des Ziegenbockes, so entnehmen die Rabbanan hieraus, 
Menachot 22b:1	daß Opfer einander nicht$fn203aufheben; R. Jehuda aber entnimmt hieraus, daß eine Art in derselben Art nicht aufgehe$fn204. – 
Menachot 22b:2	Wieso entnehmen die Rabbanan hieraus, daß Opfer einander nicht aufheben, vielleicht erfolgt dies$fn205aus dem Grunde, weil sie gleicher Art sind!? – 
Menachot 22b:3	Wäre dies von Dingen gleicher Art und nicht von Opfern gelehrt worden, so wäre dem so, da dies aber von Opfern gelehrt wird, so erfolgt dies aus dem Grunde, weil es Opfer sind. – 
Menachot 22b:4	Vielleicht nur dann, wenn es Dinge gleicher Art und Opfer sind!? – Ein Einwand. – 
Menachot 22b:5	Wieso entnimmt R. Jehuda hieraus, daß eine Art in derselben Art nicht aufgehe, vielleicht erfolgt dies aus dem Grunde, weil es Opfer sind!? – 
Menachot 22b:6	Wäre dies von Opfern verschiedener Art gelehrt worden, so wäre dem so, da es aber von derselben Art gelehrt wird, so erfolgt dies aus dem Grunde, weil es Dinge derselben Art sind. – 
Menachot 22b:7	Vielleicht nur dann, wenn es Dinge derselben Art und Opfer sind!? – Ein Einwand. – 
Menachot 22b:8	Wir haben gelernt: R. Jehuda sagt, wenn mit dem Speisopfer des gesalbten Priesters oder dem Speisopfer eines Gußopfers, seien sie untauglich, denn jener besteht aus einer harten und diese aus einer weichen Mischung, und sie nehmen von einander an. Was ist denn dabei, daß sie von einander annehmen, sie sind ja von der gleichen$fn206Art!? 
Menachot 23a:1	Raba erwiderte: R. Jehuda ist der Ansicht, wenn es Dinge gleicher Art sind und etwas anderes das Gleichartige$fn207aufhebt, gelte dieses als nicht vorhanden, und eine Art ist mehr als die andere und hebt diese auf.
Menachot 23a:2	Es wurde gelehrt: Hat man zum Haufen$fn208des Sünd-Speisopfers Öl getan, so ist er, wie R. Joḥanan sagt, untauglich; Reš Laqiš sagt, er sei sogar von vornherein an die Neige eines Logs$fn209zu streichen und darzubringen$fn210. – 
Menachot 23a:3	Es heißt ja aber:$fn211<i>er soll kein Öl darauf tun und keinen Weihrauch dazu geben</i>!? – Dies besagt, daß man dafür$fn212nicht wie für andere [Opfer] Öl bestimme. 
Menachot 23a:4	R. Joḥanan wandte gegen Reš Laqiš ein: Ist ein trockener$fn213mit einem [mit Öl] umgerührten vermischt worden, so werde er dargebracht; R. Jehuda sagt, er werde nicht$fn214dargebracht. Doch wohl, wenn der Haufe eines Speisopfers mit dem Haufen eines gespendeten Speisopfers vermischt worden ist!? – 
Menachot 23a:5	Nein, der des Speisopfers der Farren und Widder mit dem des Speisopfers der Lämmer$fn215. – 
Menachot 23a:6	Dies wird ja ausdrücklich gelehrt: ist der des Speisopfers der Farren und Widder mit dem des Speisopfers der Lämmer, oder ein trockener mit einem [mit Öl] umgerührten vermischt worden, so werde er dargebracht; R. Jehuda sagt, er werde nicht dargebracht!? – Dies ist eine Erklärung$fn216.
Menachot 23a:7	Raba fragte: Wie ist es, wenn das Öl vom Haufen in das Holz gedrungen$fn217ist: gleicht das, was mit dem Opfer vereinigt wird, dem Opfer$fn218oder nicht? Rabina sprach zu R. Aši: Ist dies nicht identisch mit dem Falle, worüber R. Joḥanan und Reš Laqiš streiten? 
Menachot 23a:8	Es wurde nämlich gelehrt: Wer ein nicht olivengroßes Glied, das durch einen Knochen$fn219zur Olivengröße ergänzt wird, [außerhalb] opfert, ist, wie R. Joḥanan sagt, schuldig, und wie Reš Laqiš sagt, frei. 
Menachot 23a:9	R. Joḥanan sagt, er sei schuldig, denn das, was am Darzubringenden haftet, gleicht dem Darzubringenden; Reš Laqiš sagt, er sei frei, denn das, was am Darzubringenden haftet, gleicht nicht dem Darzubringenden. – 
Menachot 23a:10	Dies ist fraglich sowohl nach R. Joḥanan als auch nach Reš Laqiš. Nach R. Joḥanan ist es fraglich, denn R. Joḥanan ist vielleicht dieser Ansicht nur hinsichtlich eines Knochens, der zur Art des Fleisches gehört, während [das Öl] nicht zur Art des Haufens gehört. 
Menachot 23a:11	Oder auch Reš Laqiš ist vielleicht dieser Ansicht nur hinsichtlich eines Knochens, der gesondert werden kann, und wenn er gesondert$fn221worden ist, nicht wieder hinaufzulegen ist, während das Öl nicht gesondert werden kann. Oder aber gibt es hierbei keinen$fn222Unterschied? – Dies bleibt unentschieden.
Menachot 23a:12	<sup>iii,1</sup> <b>S</b><small>IND ZWEI</small> S<small>PEISOPFER, VON DENEN DER</small> H<small>AUFE NOCH NICHT ABGEHOBEN WORDEN IST, MIT EINANDER VERMISCHT WORDEN, SO SIND SIE, WENN MAN IHN VON DEM EINEN BESONDERS UND VOM ANDEREN BESONDERS ABHEBEN</small>$fn223<small>KANN, TAUGLICH, WENN ABER NICHT</small>$fn224, <small>UNTAUGLICH</small>. 
Menachot 23a:13	I<small>ST DER</small> H<small>AUFE MIT EINEM</small> S<small>PEISOPFER, VON DEM DER</small> H<small>AUFE NOCH NICHT ABGEHOBEN WORDEN IST, VERMISCHT WORDEN, SO RÄUCHERE MAN SIE</small>$fn225<small>NICHT AUF; HAT MAN SIE AUFGERÄUCHERT, SO WIRD DASJENIGE, VON DEM ER ABGEHOBEN WORDEN IST, DEM</small> E<small>IGENTÜMER ANGERECHNET, UND VON DEM ER NICHT ABGEHOBEN WORDEN IST, DEM</small> E<small>IGENTÜMER NICHT ANGERECHNET</small>. 
Menachot 23a:14	I<small>ST DER</small> H<small>AUFE MIT SEINEM</small> Z<small>URÜCKBLEIBENDEN ODER MIT DEM</small> Z<small>URÜCKBLEIBENDEN EINES ANDEREN</small> [O<small>PFERS</small>] <small>VERMISCHT WORDEN, SO RÄUCHERE MAN IHN NICHT AUF; HAT MAN IHN AUFGERÄUCHERT, SO WIRD ES DEM</small> E<small>IGENTÜMER ANGERECHNET</small>.
Menachot 23a:15	GEMARA. R. Ḥisda sagte: Aas geht unter Geschlachtetem$fn226auf, weil Geschlachtetes nicht die Eigenschaft des Aases$fn227annehmen kann; 
Menachot 23a:16	Geschlachtetes geht unter Aas nicht$fn228auf, weil Aas die Eigenschaft des Geschlachteten annehmen kann, denn wenn es stinkend$fn229wird, schwindet seine Unreinheit$fn230. 
Menachot 23a:17	R. Ḥanina aber sagte: Was jenem$fn231gleich werden kann, geht nicht auf, und was jenem nicht gleich werden kann, geht$fn232auf. – 
Menachot 23a:18	Nach wessen Ansicht, wenn nach den Rabbanan, so sagen sie ja, nur Opfer gehen unter einander nicht auf, wohl aber alles andere derselben$fn233Art, 
Menachot 23a:19	und wenn nach R. Jehuda, 
Menachot 23b:1	so richtet sich ja R. Jehuda nach dem Aussehen$fn234, und beide gehören zur selben$fn235Art!? – 
Menachot 23b:2	Vielmehr, nach R. Ḥija, denn R. Ḥija lehrte: Aas und Geschlachtetes gehen unter einander$fn236auf. – 
Menachot 23b:3	Nach wessen Ansicht lehrte es R. Ḥija, wenn nach den Rabbanan, so sagen sie ja, nur Opfer gehen unter einander nicht auf, wohl aber alles andere derselben Art, und wenn nach R. Jehuda, so geht ja nach R. Jehuda eine Art unter derselben Art nicht$fn237auf!? – 
Menachot 23b:4	Tatsächlich nach R. Jehuda, und das, was R. Jehuda sagt, eine Art gehe unter derselben Art nicht auf, gilt nur von dem Falle, wenn sie dieser gleich werden kann, wenn sie dieser aber nicht gleich werden kann, geht sie wohl auf. 
Menachot 23b:5	Ihr Streit besteht in folgendem: R. Ḥisda ist der Ansicht, man richte sich nach$fn238dem Aufhebenden$fn239, 
Menachot 23b:6	und R. Ḥanina ist der Ansicht, man richte sich nach dem Aufgehenden. – 
Menachot 23b:7	Wir haben gelernt: Sind zwei Speisopfer, von denen der Haufe nicht abgehoben worden ist, mit einander vermischt worden, so sind sie, wenn man ihn von dem einen besonders und vom anderen besonders abheben kann, tauglich, wenn aber nicht, untauglich. Hierbei ist ja, wenn man den Haufen von einem abhebt, das übrige Zurückbleibendes, und das nicht abgehäufte$fn240geht im Zurückbleibenden nicht$fn241auf. 
Menachot 23b:8	Nach wessen Ansicht, wenn nach den Rabbanan, so sagen sie ja, nur Opfer$fn242gehen unter einander nicht auf, wohl aber alles andere derselben Art; wahrscheinlich also nach R. Jehuda. 
Menachot 23b:9	Einleuchtend ist nun die Ansicht desjenigen, welcher sagt, man richte sich nach dem Aufgehenden, denn das Aufgehende kann dem Aufhebenden gleich werden, wenn man nämlich den Haufen vom anderen abhebt, ist es ebenfalls Zurückbleibendes$fn243gleich jenem; 
Menachot 23b:10	nach demjenigen aber, welcher sagt, man richte sich nach dem Aufhebenden, kann ja das Zurückbleibende nicht Unabgehäuftes$fn244werden!? Es wäre also anzunehmen, daß [die Mišna] nicht die Ansicht R. Ḥijas vertritt. – 
Menachot 23b:11	Da ist es nach R. Zera zu erklären, denn R. Zera sagte: Beim Haufen heißt es <i>aufräuchern</i>$fn245und beim Zurückbleibenden 
Menachot 23b:12	heißt es <i>aufräuchern</i>, wie nun der Haufe, bei dem [der Ausdruck] <i>aufräuchern</i> gebraucht wird, einen anderen Haufen nicht aufhebt, ebenso hebt auch das Zurückbleibende, bei dem [der Ausdruck] <i>aufräuchern</i> gebraucht wird, den Haufen nicht auf. – 
Menachot 23b:13	Komm und höre: Ist der Haufe mit einem Speisopfer, von dem der Haufe noch nicht abgehoben worden ist, vermischt worden, so räuchere man sie nicht auf; hat man sie aufgeräuchert, so wird dasjenige, von dem er abgehoben worden ist, dem Eigentümer angerechnet, und von dem er nicht abgehoben worden ist, dem Eigentümer nicht angerechnet. Der nicht abgehäufte hebt also den Haufen nicht auf; 
Menachot 23b:14	nach wessen Ansicht, wenn nach den Rabbanan, so sagen sie ja, nur Opfer unter einander gehen nicht auf, wohl aber alles andere derselben Art; wahrscheinlich also nach R. Jehuda. 
Menachot 23b:15	Einleuchtend ist es also nach demjenigen, welcher sagt, man richte sich nach dem Aufhebenden, denn das Aufhebende kann dem Aufgehenden gleich werden, denn jedes Bißchen kann abgehoben werden, somit sind es Dinge derselben Art, und eine Art geht unter derselben Art nicht auf; 
Menachot 23b:16	nach demjenigen aber, welcher sagt, man richte sich nach dem Aufgehenden, kann ja der Haufe nicht Unabgehäuftes werden!? Es wäre also anzunehmen, daß [die Mišna] nicht die Ansicht R. Ḥijas vertritt. – Dies ist nach R. Zera zu erklären. – 
Menachot 23b:17	Komm und höre: Ist der Haufe mit dem Zurückbleibenden eines anderen [Opfers] vermischt worden, so räuchere man ihn nicht auf; hat man ihn auf geräuchert, so wird es dem Eigentümer angerechnet. Hierbei gleicht ja das Aufhebende nicht dem Aufgehenden, dennoch geht der Haufe im Zurückbleibenden nicht auf. 
Menachot 23b:18	Nach wessen Ansicht &amp;c. 
Menachot 23b:19	R. Zera erwiderte; Beim Haufen heißt es <i>aufräuchern</i> und beim Zurückbleibenden heißt es <i>aufräuchern</i>, wie der Haufe, bei dem es <i>aufräuchern</i> heißt, einen anderen Haufen nicht aufhebt, ebenso hebt auch das Zurückbleibende, bei dem es <i>aufräuchern</i> heißt, den Haufen nicht auf. – 
