		comma separated			Halachic/Midrashic/Mahshava/Linguistic									For placed sources	For unplaceable Sources	For unplaceable Sources			
יהושע פרק טו	Yehoshua 15:8	Yevus, Jerusalem						10	Whose Inheritance	8	yes	yes	yes	Joshua 15:8					
יהושע פרק יח	Yehoshua 18:16	Yevus						10	Whose Inheritance	9	yes	yes	yes	Joshua 18:16					
מצודת דוד יהושע פרק יח פסוק טז	Metzudat David Yehoshua 18:16	Yevus, Jerusalem						10	Whose Inheritance	10	yes	no	yes	Metzudat David on Joshua 18:16, 3					
יהושע פרק יח פסוק כח	Yehoshua 18:28	Yevus, Jerusalem						10	Whose Inheritance	11	yes	yes	yes	Joshua 18:28					
רד"ק יהושע פרק יח פסוק כח	Radak Yehoshua 18:28	Yevus, Jerusalem, Between His Shoulders	Yehudah			Benyamin	altar, Yehudah	10	Whose Inheritance	12	no	no	no	x	והיבוסי היא ירושלם - ובגורל בני יהודה אמר ג"כ כי היבוסי היא ירושלם בחלק יהודה והנה אומר כי היא לבנימן כן הוא כי לכל אחד מהם היה לו חלק בה ואמרו רז"ל כי רצועה יוצאה מחלקו של יהודה לחלקו של בנימן ובה מזבח בנוי והיה בנימן הצדיק מצטער עליה לבלעה שנאמר חופף עליו כל היום ובין כתפיו שכן ויש אומרים המזבח היה בחלקו של בנימן שנ' ובין כתפיו שכן וי"א כי בין שניהם היה המזבח והנה יהודה היה עולה גי בן הנם כתף היבוסי והיה עולה אל ראש ההר אשר על פני גי בן הנם ימה אשר בקצה עמק רפאים ומראש ההר אל מעין מי נפתוח ואמרו כי הוא עין עיטם הנזכר בדברי רז"ל וחלק בנימן היה כנגדו חלק יהודה היה עולה אל ההר וחלק בנימן היה יורד אל קצה ההר אשר בגי בן הנם אשר בעמק רפאים והיה יורד אל כתף היבוסי היא ירושלם נמצא שבין שניהם היה הגבול הזה זה עולה וזה יורד:	and the Jebusite, which is Jerusalem – In the description of the allotment of the children of Yehudah it also says “…the Jebusite, the same is Jerusalem…” (Yehoshua15:8) while it says here that the city belongs to Benyamin. Indeed, this is how it was because each of them had a portion in the city. The Sages said that a strip protruded from the portion of Yehudah into the portion of Benyamin, and on this the altar was built. Benyamin the righteous was troubled by the desire to absorb this portion, as it says “…He protects him all day long, and He dwells between his shoulders." (Devarim 33:12) There are those who say that the altar was in the portion of Benyamin, as it says “…and He dwells between his shoulders," and there are those who say that the altar was between them both. The inheritance of Yehudah went up from the valley of Ben Hinnom to the south side of the Jebusites, going up to the top of the mountain which over looked the valley of Ben Hinnom from the south at the end of Emek Refaim. From the top of the mountain it extended to the spring of Mei Neftoach, which they say is the spring of Eitam mentioned in the words of the Sages. The portion of Benyamin was opposite this – the portion of Yehudah went up to the mountain and the portion of Benyamin descended to the edge of the mountain which was in the valley of Ben Hinnom and Emek Refaim. Then it descended to the side of the Jebusites which is Jerusalem. We find then that the border lay between them, one going up and the other going down.	x		Radak
שמות רבה (וילנא) פרשת כי תשא פרשה מ סימן ד	Shemot Raba Ki Tissa 40:4	Yevus, Jerusalem	Yehudah			Eliyahu		10	Whose Inheritance	13	yes	no	yes	Shmot Rabbah 40:4					
במדבר רבה (וילנא) פרשת נשא פרשה ח סימן ד	Bamidbar Raba Naso 8:4	Jerusalem		David's reign		David, Shaul, Yonatan, The Holy One	king	10	Whose Inheritance	14	yes	no	yes	Bemidbar Rabbah 8:4					
תלמוד בבלי מסכת יומא דף יב עמוד א	Talmud Bavli Yoma 12a	Jerusalem, Between His Shoulders	Jerusalem, Sanctuary, Temple Mount, courtyard, hall, palace, holy of holies, Holy Temple, Yehudah				tribes	10	Whose Inheritance	15	yes	no	yes	Talmud Yoma 12a, 3-27					
תלמוד בבלי מסכת זבחים דף נג עמוד ב	Talmud Bavli Zevachim 53b	Between His Shoulders	Yehudah, altar			Benyamin	altar, sacrifice	10	Whose Inheritance	16	yes	no	yes	Talmud Zevachim 53b:7-54a:8					
בראשית רבה (תיאודור-אלבק) כי"ו פרשת ויחי פרשה ק ד"ה מט (כז) [[בנימין	Bereshit Raba Vayechi 49:27	The Mountain that God Desired, Ephratha, Field of the Forest	Holy Temple, Yehudah	standing at Sinai, building of the First Temple, sale of Yosef, wandering in the wilderness		The Holy One, Shlomo, Yosef, Rachel, Benyamin	Torah, Sinai, mountain, tribes	10	Whose Inheritance	17	yes	no	yes	Bereishit Rabbah 99:1			I put in brackets the first line of the translation because I don't see it in the midrash.		
אוצר המדרשים (אייזנשטיין) פנחס בן יאיר עמוד 486	Otzar Midrashim Pinchas ben Yair p.486	Yevus, Jerusalem, Moriah	Holy Temple, Mount Moriah, Yehudah	days of Yehoshua, time of the Judges, David conquers Jerusalem, David purchases the threshing floor, building of the First Temple		Yehoshua, David, Aravna, Shlomo	ark, altar, angel	10	Whose Inheritance	18	yes	no	yes	Otzar_Midrashim,_Baraita_of_Rabbi_Pinchas_Ben_Yair.1.37					yes (or wait a week)
שופטים פרק יט	Shoftim 19:10	Yevus, Jerusalem		time of the Judges				11	Yevus	1	yes	yes	yes	Judges 19:10					
מצודת דוד שופטים פרק יט פסוק י	Metzudat David Shoftim 19:10	Yevus, Jerusalem		David conquers Jerusalem		David		11	Yevus	2	yes	no	yes	Metzudat David on Judges 19:10, 					
תהלים פרק ס (תהלים פרק קח)	Tehillim 60:10-14	Yevus						11	Yevus	3	yes	yes	yes	Psalms 60:10-14					
במדבר רבה (וילנא) פרשת נשא פרשה יד	Bamidbar Raba Naso 14			days of Yehoshua, time to come 		The Holy One, Israel, Avraham, Avimelech	Edom	11	Yevus	4	yes	no	yes	Bamidbar Rabbah 14:1					
מדרש אגדה חיי שרה פרק כג סימן יח	Midrash Aggadah Chaye Sarah 23:18	Yevus		Avraham in the land		Avraham, David		11	Yevus	5	no	no	no	x	[יח] לאברהם למקנה. שעשה לו שטר וחתמו מבני חת את השטר שכתב אברהם שלא יהיו בניו יורשין יבוס, שנאמר ויאמרו (אנשי) [יושבי] יבוס (אל דוד אל) [לדוד לא] תבוא הנה (דה"א יא ה), מפני השבועה שעשה להם אברהם וחתמו השבועה בצלמון נח שת. ח' פעמים כתובים בני חת בזו הפרשה, ולמה מפני החסד שעשו עם אברהם, ולכך נקרא חת ח' פעמים: בכל באי שער עירו. מלמד שישבו כולם אבילות בעד הצדקת:	“It was to Abraham as a possession before the eyes of the sons of Heth…” (Bereshit 23:18) He made out a contract and the representatives of the sons of Heth signed this document which Avraham wrote. It said that his children would not conquer Jebus, as it says “And the inhabitants of Jebus said to David, ‘You shall not come here,’…” (Divre HaYamim I 11:5) because of the oath which Avraham made with them. And the oath was signed on idols of bronze. The phrase ‘sons of Heth’ is written eight times in this portion, why? Because of the kindness they showed toward Avraham is says Heth eight (chet) times: “…in the presence of all who had come within the gate of his city.” (Bereshit 23:18) This comes to teach us that they all mourned for the death of this righteous woman.	x		Midrash Agadah
פרקי דרבי אליעזר (היגר) - "חורב" פרק לה	Pirke d’Rebbe Eliezer – ‘Horev’ ch.35	Yevus	stronghold, Holy Temple	Avraham in the land, David conquers Jerusalem, David buys the threshing floor		Avraham, Yitzchak, Yaakov, Sarah, Adam, Eve, David, Yoav, Ornan	Cave of Machpelah	11	Yevus	6	yes	no	yes	Pirkei DeRabbi Eliezer 36					
שמואל ב פרק ה	Shmuel II 5:6-10	Yevus, Jerusalem, Zion, City of David	stronghold, Millo 	David conquers Jerusalem		David		11	Yevus	7	yes	yes	yes	II Samuel 5:6-10					
רש"י שמואל ב פרק ה פסוק ו	Rashi Shmuel II 5:6	Zion, Yevus, Jerusalem	stronghold	days of Yehoshua 		Avimelech, Yitzchak, Yaakov, Avraham		11	Yevus	8	yes	no	yes	Rashi on II Samuel 5:6, 1					
רד"ק שמואל ב פרק ה פסוק ו	Radak Shmuel II 5:6	Jerusalem, Zion, Yevus	stronghold	David conquers Jerusalem, David purchases the threshing floor, Avraham in the land		David, Israel, Shaul, Avraham, Yoav, Ornan, Yitzchak, Yaakov, Avimelech	king, Cave of Machpelah	11	Yevus	9	no	no	english only	Radak on II Samuel 5:6	(ו) וילך המלך ואנשיו - ובדברי הימים וילך דוד וכל ישראל כי כל ישראל היו עתה אנשיו וכיון שמלך על כל ישראל הלך אל ירושלם ללכוד מצודת ציון לפי שהיתה קבלה אצלם כי ציון ראש ממלכת ישראל ולא ילכוד אותה אלא מי שיהיה מלך על כל ישראל ועד היום לא נתקיימה מלכות בישראל כי שאול לא קמה מלכותו: כי אם הסירך העורים והפסחים - ת"י אלהין באעדיותך חטאיא וחיביא דאמרין לא יעול דוד הלכא, ומצאנו בדרש אמרו אנשי יבוס לאברהם כרות עמנו ברית שאין זרעך יורש את עיר היבוס ואנו מוכרין לך את מערת המכפלה ועשה כן ואנשי יבוס עשו צלמי נחשת והעמידום ברחוב העיר וכתבו עליהם ברית השבועה וכשבאו ישראל לארץ לא יכלו להכנס שם מפני השבועה שנא' ואת היבוסי יושב ירושלם לא יכלו בני ישרא' להורישם וכשמל' דוד רצה להכנס שם ולא הניחוהו שנאמר ויאמרו אנשי יבוס לא תבא הנה אמרו לו אין אתה יכול עד שתסיר הצלמים הללו שכתוב עליהם ברית השבועה שנאמר כי אם הסירך העורים והפסחים ואלו הם הצלמים שעינים להם ולא יראו אזנים להם ולא ישמעו רגליהם לא יהלכו שנאי נפש דוד לפי ששונא מלשמוע ומעבו' ע"א שנ' על כן יאמרו עור ופסח לא יבא אל הבית אמר דוד לאנשיו כל מי שיעלה בראשונה ויסיר את הצלמים יהיה לראש ועלה יואב והיה לראש שנ' ויעל יואב וג' ואחר כן קנה דוד את עיר היבסי לישראל בככר זהב בכתב לאחוז' עולם בשש מאות זהב שנאמר ויתן דוד לארונה במקום וגו', ועוד אמרו כי שני צלמים אלו היו בראש המגדל הנקרא צנור והיה אחד עור על שם יצחק והאחד היה פסח על שם יעקב ובפיהם השבועה שנשבע אברהם לאבימלך שנ' אם תשקר לי ולניני ולנכדי לפיכך לא כבשו ישראל כשכבשו את ירוש' כי עדיין היה נכד אבימלך חי ובימי דוד כבר מת ובטלה השבועה והחכם ר' אברהם א"ע פירש כי אם הסירך כמו הסיר כלומר אם תסיר למלחמתך אפי' העורים והפסחים אז ימנעוך שלא תבא הנה כי המגדל הזה חזק מאד ולא נירא אותך למלחמה:		We don't have much Radak on II Shmuel. Where I don't have the Hebrew I can only place the English because I don't know where Mike got the Hebrew -- who to attribute it to		
רלב"ג שמואל ב פרק ה פסוק ז	Ralbag Shmuel II 5:7	Jerusalem, Zion, Yevus	stronghold	David conquers Jerusalem			water	11	Yevus	10	yes	no	yes	Ralbag on II Samuel 5:7					
מצודת דוד שמואל ב פרק ה פסוק ו	Metzudat David Shmuel II 5:6		stronghold					11	Yevus	11	yes	no	yes	Metzudat David on II Samuel 5:6					
מלבי"ם שמואל ב פרק ה פסוק ו	Malbim Shmuel II 5:6	Jerusalem	stronghold, city, Yehudah	David conquers Jerusalem, time of the Judges		David, Avraham, Yitzchak, Avimelech	king, water, gate, tribes	11	Yevus	12	yes	no	yes	Malbim on II Samuel 5:6, 2					
דברי הימים א פרק יא	Divre HaYamim I 11:4-9	Yevus, Jerusalem, Zion, City of David	stronghold, Millo 	David conquers Jerusalem 		David, Yoav 		11	Yevus	13	yes`	yes	yes	I Chronicles 11:4-9					
מלבי"ם דברי הימים א פרק יא פסוק ד	Malbim Divre HaYamim I 11:4	Jerusalem	Yehudah, city	David conquers Jerusalem			tribes	11	Yevus	14	no	no	no	x	(ד) וילך דוד. כבר בארתי שבאשר התאחדו עתה שבט יהודה ובנימין למלכות אחת רצה שתהיה עיר המלוכה משותפת לשני השבטים, וירושלים היתה חציה ליהודה וחציה לבנימין, לכן הלך ללכוד את ירושלים לשומה לעיר מלכותו:	And David went – I already explained that once the tribe of Yehudah and the tribe of Benyamin were united into one kingship they desired there to be a royal city which was a partnership between the two tribes. Jerusalem was half in Yehudah and half in Benyamin, therefore he went and conquered Jerusalem and made it his royal city.	No Malbim on I Chronicles		Malbim
מלבי"ם דברי הימים א פרק יא פסוק ז	Malbim Divre HaYamim I 11:7	City of David, Zion	stronghold, Millo	David conquers Jerusalem				11	Yevus	15	no	no	no	x	(ז) וישב דוד. בשמואל אומר (ה, ט) וישב דוד במצודה ויקרא לה עיר דוד ויבן דוד סביב מן המלוא וביתה, וזה לא היה צריך עזרא להשמיענו שכבר ידענו זה מספר שמואל, רק השמיענו חדשות, כי יש הבדל בין מצד למצודה, מצד הוא ההר הגבוה שהוא חזק מצד עצמו, והמצודה הוא המבצר הבנוי על המצד. ותחלה ישב דוד רק במצודה שהיא מצודת ציון הבנויה, וקרא לה עיר דוד רק להמצודה לבדה, שישב תוך המבצר לבד, וסביב המצודה היה מקום רחב שנקרא בשם מלוא, מקום זה נשאר בלא בנינים, ולא בנה רק מן המלוא וביתה בתוך חומת המצודה, זאת יספר בספר שמואל, ועזרא הודיע שאח"כ התפשט מושב דוד, כי צר לו המצודה לשבתו עד שהרחיב ישיבתו חוץ למצודה על המצד, שהוא הר ציון מסביב: על כן קראו שמו עיר דויד. שאז קראו גם להמצד, היינו לכלל הר ציון, בשם עיר דוד, כי דוד עצמו קרא שם זה רק להמצודה, והעם נתנו אח"כ שם זה גם להמצד, היינו לכלל הר ציון:	And David dwelt in the citadel  - In Shmuel II 5:9 it says “And David dwelt in the stronghold and he called it the city of David. And David built round about from the mound and inward.” Ezra (the author of Divre HaYamim) did not have to tell us this because we already knew it from the book of Shmuel. Rather, he is telling us something new, because there is a difference between the citadel (metzad) and the stronghold (metzudah). The citadel is a high mountain which is strong in and of itself, while the stronghold is the fortress built on the citadel. At first David only dwelt on the stronghold, which is the built-up stronghold of Zion, and he called the stronghold alone the City of David because he only settled there. Around the stronghold was an open space, known as the Millo, which remained without any buildings and he built only from the Millo and inwards, within the walls of the stronghold – this is what the book of Shmuel is telling us. Ezra informed us that afterwards the settlement of David spread out because the stronghold was too confined for his dwelling. Therefore he widened the space of his settlement outside of the stronghold onto the citadel, which was mount Zion all around: therefore they called it the City of David. Because at that point they called also the citadel, meaning all of mount Zion, by the name of the City of David. David himself had applied this name only to the stronghold, but afterwards the people used it for the citadel, meaning all of mount Zion, as well.	x		Malbim
מדרש תהלים מזמור יח:ל	Midrash Tehillim 18:30	Yevus 		David conquers Jerusalem		David, Yoav, The Holy One		11	Yevus	16	yes	no	yes	Midrash Tehillim 18:23					
מלכים א פרק ח פסוק טז	Melachim I 8:16			Exodus		David 		12	David and Jerusalem	1	yes	yes	yes	I Kings 8:16					
רד"ק מלכים א פרק ח פסוק טז	Radak Melachim I 8:16	Jerusalem		David purchases the threshing floor		David, Aravna		12	David and Jerusalem	2	no	no	no	x	(טז) ואבחר בדוד - למה שהקדים לא בחרתי בעיר היה לומר ואבחר בירושלם אלא פירוש כי לא הודעתי בחירתי בירושלים עד שבחרתי בדוד להיות על עמי ישראל והראתי לו המקום הנבחר בירושלם כשנעתרתי לו בגרן ארונה באש מן השמים:	but I chose David – why does the verse speak of choosing David when it begins with ‘I chose no city’? It should have said ‘and I chose Jerusalem. What it means to say is that I didn’t make known My choice of Jerusalem until I chose David to be over My people. Then I showed him the chosen place, Jerusalem, when I answered his prayers with fire from the heavens at the threshing floor of Aravna.	No Radak on Chronicles		Radak
מצודת דוד מלכים א פרק ח פסוק טז	Metzudat David Melachim I 8:16	Jerusalem				David		12	David and Jerusalem	3	yes	no	yes	Metzudat David on I Kings 8:16, 2					
מלבי"ם מלכים א פרק ח פסוק טז	Malbim on Melachim I 8:16	Jerusalem	Holy Temple	Exodus, David conquers Jerusalem		David, Israel	festivals, tribes, heart, king, shechina	12	David and Jerusalem	4	yes	no	yes	Malbim on I Kings 8:16, 4					
מלכים א פרק יא	Melachim I 11:13	Jerusalem		splitting of the kingdom		David		12	David and Jerusalem	5	yes	yes	yes	I Kings 11:13					
מלבי"ם מלכים א פרק יא פסוק יג	Malbim Melachim I 11:13	Jerusalem, Zion		splitting of the kingdom		David, Shlomo		12	David and Jerusalem	6	yes	no	yes	Malbim on I Kings 11:13, 1-3					
במדבר רבה (וילנא) פרשת במדבר פרשה ג סימן ב	Bamidbar Raba Bamidbar 3:2	Jerusalem	Holy Temple			David, Aaron, Levi	kohen	12	David and Jerusalem	7	yes	yes	yes	Bamidbar Rabbah 3:2					
קהלת רבה (וילנא) פרשה יב ד"ה א [ז] וישב	Kohelet Raba 12:7	Jerusalem	sanctuary, Holy Temple			David	kohen, covenant	12	David and Jerusalem	8	yes	no	yes	Kohelet Rabbah 12:7, 1					
ירמיהו פרק כג	Jeremiah 23:5			time to come		David, Israel		12	David and Jerusalem	9	yes	yes	yes	Jeremiah 23:5					
מלבי"ם ירמיהו פרק כג פסוק ו	Malbim Jeremiah 23:6	The Lord is Our Righteousness, Jerusalem		Messianic era, Second Temple period, the time to come		Israel, Yehudah, David	messiah, king, ingathering	12	David and Jerusalem	10	yes	no	yes	Malbim on Jeremiah 23:6					
איכה רבה פרשה א ד"ה כי רחק ממני	Eicha Raba 1:16	The Lord is There					messiah, king	12	David and Jerusalem	11	yes	no	yes	Eichah Rabbah 1:51					
ירמיהו פרק לג	Jeremiah 33:15-16	The Lord is Our Righteousness, Jerusalem		time to come		David, Yehudah		12	David and Jerusalem	12	yes	yes	yes	Jeremiah 33:15-16					
רד"ק ירמיהו פרק לג פסוק טו	Radak Jeremiah 33:15	The Lord is Our Righteousness, Jerusalem		time to come		The Holy One	messiah, king	12	David and Jerusalem	13	no	no	no	x	(טו) צמח צדקה - זהו מלך המשיח: וזהו אשר יקרא לה ה' צדקנו - הקדוש ברוך הוא יקרא לירושל' ה' צדקנו כלומר שיושבי' יאמרו ה' צדקנו וי"ת ודין שמא דיהון קרן לה יתעבדון לנא זכון מן קדם ה' בגוה ולמעלה אמר על מלך המשיח וזה שמו אשר יקראו ה' צדקנו ושניהם עולים לענין אחד ושם פירשנוהו וא"א ז"ל פירש וזה אשר יקרא לה הקדוש ברוך הוא שהוא ה' צדקנו:	a plant of righteousness – this refers the to the king Messiah: this is the name that He shall call it, the Lord is our righteousness. The Holy One will call Jerusalem ‘the Lord is our righteousness,’ meaning that those living in Jerusalem will say ‘the Lord is our righteousness.’ And Targum Yonatan translated it - and this is the name that they will call her ‘merits will be done for us within her from before the Lord.’ Above it says in reference to the king Messiah “…and this is his name that he shall be called, The Lord is our righteousness,” (Jeremiah 23:6) and both of them are referring to the same thing as I explained there. My father and master explained it as reading ‘and this is what the Holy One, who is our righteous Lord, called her.’	no Radak on Jeremiah		Radak
מצודת דוד ירמיהו פרק לג פסוק טז	Metzudat David Jeremiah 33:16	The Lord is Our Righteousness, Jerusalem		time to come				12	David and Jerusalem	14	yes	no	yes	Metzudat David on Jeremiah 33:16, 1-2					
בראשית רבה (וילנא) פרשת חיי שרה פרשה נט	Bereshit Raba Chaye Sarah 59	Jerusalem				The Holy One, David	light	12	David and Jerusalem	15	yes	no	yes	Bereshit Rabbah 59:5					
רמב"ן דברים פרק יז פסוק טו	Ramban Devarim 17:15	The Place He Will Choose	Holy Temple				king	12	David and Jerusalem	16	yes	no	yes	Ramban on Deuteronomy 17:15					
מלבי"ם תהלים פרק קלב פסוק יא	Malbim Tehillim 132:11	Zion	Holy Temple			David	king, covenant	12	David and Jerusalem	17	no	no	no	x	(יא) נשבע ה' לדוד, ובאר שבעבור בחירות ציון, נשבע ה' לדוד שלא תסור המלכות מזרעו, וכמ"ש (ש"ב ז'), והוא כמשל אוהבו של מלך שמרוב אהבתו התאכסן המלך אצלו ויבן לו בביתו מקדש מלך בנוי לתלפיות, עד שמצא המקום ההוא חן בעיני המלך לשבת שם לעולם, וישבע לו בל יעזב המקום הזה לעולם, וע"כ על ידי המקום יתאכסן גם אצל זרעו ונשאר הברית כרות לזרעו, נמצא שהאוהב היה סבה שיבחר במקום, והמקום היה סבה שיבחר בזרע אוהבו לעולם, וז"ש פה על בחירת המקדש שהוא בעבור דוד עבדך ואחר כך אמר שאחר שבחר המקדש לעולם נשבע ה' לדוד מפרי בטנך אשית לכסא לך, כי בחר ה' בציון, שאח"כ ע"י בחירות ציון נשבע שלא תסור המלוכה מבית דוד, והנה שבועה זאת היה בה שני ענינים, שעל זרע דוד נשבע שבועה החלטית בלי שום תנאי, שעז"א שנשבע ה' לדוד אמת לא ישוב ממנה מפני בטנך אשית לכסא לך אבל על זרע זרעו היה תנאי, וז"ש.	"The Lord has sworn to David" (Tehillim 132:11) The verse is explaining that because of the choice of Zion, God has sworn to David that the kingship will never leave his descendants, as it is written (Shmuel II 7). This may be likened to the friend of a king who, because of his great love, the king stayed with as a guest. He built the king a royal palace in his house that was so beautiful that the king wanted to live there forever. He swore to him that he would never leave the place, therefore the king stayed as a guest at that place with his children as well, keeping the covenant with his descendants. We find that the friend was the reason that the place was chosen, and the place was the reason that the friend's descendants were chosen forever. This is what is written here regarding the selection of the Holy Temple, that it was “For the sake of David Your servant…” (Tehillim 132:10). Afterwards it says that since He chose the Holy Temple forever “The Lord has sworn to David…of the fruit of your body I shall seat upon your throne." (Tehillim 132:11). "For the Lord has chosen Zion" (Tehillim 132:13). For afterwards, because of the selection of Zion, He swore that the kingship would never leave the House of David. Now this oath had two elements - regarding the children of David, He took an absolute oath with no conditions whatsoever, as it says "The Lord has sworn in truth to David; he will not turn from it. One of the sons of your body will I set upon your throne." But regarding his children’s children there was a condition, as it says “If your sons keep My covenant, and this, My testimony, which I shall teach them, also their sons will sit on your throne forever." (Tehillim 132:12)	Sefaria has Malbim on Psalms only thru 119		Malbim
שמואל ב פרק ה	Shmuel II 5:7	Zion, City of David	stronghold	David conquers Jerusalem				13	City of David	1	yes	yes	yes	II Samuel 5:7					
מלבי"ם שמואל ב פרק ה פסוק ז	Malbim Shmuel II 5:7	Zion, City of David	stronghold	David conquers Jerusalem		David	gate	13	City of David	2	yes	no	yes	Malbim on II Samuel 5:7					
[רבינו] בחיי בראשית פרק כו פסוק יט	Rabbenu Bechaye Bereshit 26:19	Jerusalem, Zion, City of David, The City of the Lord	stronghold	Yitzchak in the land, destruction of the First Temple, destruction of the Second Temple, Third Temple, David conquers Jerusalem, time to come		Yitzchak, Ahasuerus, Esau, Shlomo, Cyrus, The Holy One	water	13	City of David	3	no	no	no	x	(יט) ויחפרו עבדי יצחק בנחל וימצאו שם באר מים חיים. פירש הרמב"ן ז"ל: מה שהאריכה התורה בספור הבארות הללו אין התועלת מגעת אלינו כל כך מזה ולא לכבוד גדול ליצחק, אבל טעם הספור לפי שהם רמז על העתיד, כי "באר מים חיים" רמז לבית המקדש, שכתוב: (ירמיה יז, יג) "מקור מים חיים את ה'". והבאר הראשון קרא שמו "עשק", רמז לבית ראשון שנתעשקו עמנו ועשו אתנו כמה מחלוקות וכמה מלחמות עד שהחריבוהו. ויקרא שם השני "שטנה" שם קשה מן הראשון, רמז לבית שני שכתוב בו: (עזרא ד, ו) "ובמלכות אחשורוש בתחלת מלכותו כתבו שטנה על יושבי יהודה וירושלים", וכל ימיו היו לנו לשטן עד שהחריבוהו וגלינו ממנו גלות רעה. ויש לך להתעורר בשם הבאר הזה, כי שם נמצא השטן שהוא שרו של עשו המשטין עלינו תמיד. וקרא שם הבאר הג' שיבנה במהרה בימינו "רחובות". והזכיר "ויעתק משם", ובאורו: ויעתק שכלו מן הבית השני והשתכל בבנין הבית השלישי, זהו: ויחפור באר אחרת ולא רבו עליה ויקרא את שמה רחובות, על שם שכתוב בבית שלישי העתיד: (יחזקאל מא, ז) "ורחבה ונסבה למעלה למעלה", והוא יעשה בלא ריב ומצה, והקב"ה ירחיב את גבולנו, שנאמר: (דברים יב, כ) "ואם ירחיב ה' את גבולך כאשר דבר לך", שהוא מדבר לעתיד, ע"כ. ומה שהזכיר את ה' בבאר השלישי ולא עשה כן בשתים הראשונות, יתכן לומר טעם מפני שהראשונים היו בנין בשר ודם ע"י שלמה וכורש, אבל השלישי יהיה מעשה ה' ובנין שמים, ולא ישלוט בו חרבן, לכך הזכיר בו הש"י. ומצאתי מדרש סיוע לזה, שכן דרשו רז"ל: (שמואל - ב ה, ז) "וילכד דוד את מצודת ציון היא עיר דוד", מפני מה נקראת על שמו של בשר ודם, אלא לפי שהיה גלוי וידוע לפני מלך מלכי המלכים הקדוש ברוך הוא שבשר ודם בונין אותה ובשר ודם מחריבים אותה, לכך נקרא על שמו של בשר ודם, אבל לעתיד לבא היא נקראת על שמו יתברך, שנאמר: (ישעיה ס, יד) "והלכו אליך שחוח בני מעניך והשתחוו וגו', וקראו לך עיר ה' ציון קדוש ישראל".	“And Isaac's servants dug in the valley, and they found there a well of living waters.” (Bereshit 26:19) The Ramban explains this, saying: the Torah describes the story of these wells at length not in order that we benefit so much from it, or that it reflects such glory on Yitzchak, but rather because the story is hinting at the future. The ‘well of living waters’ is a hint to the first Holy Temple, as it is written “…the source of living waters, the Lord.” (Yirmiyahu 17:13) They called the first well ‘Esek’ (Bereshit 26:20) as a hint to the first Temple when they contended (nitasku) with us and started many arguments and wars until they finally destroyed it. The second well was called ‘Sitnah’ (Bereshit 26:21) which is an even harsher name than the first as a hint to the second Temple, of which it is written “And in the reign of Ahasuerus, in the beginning of his reign, they wrote an accusation (sitnah) against the dwellers of Judea and Jerusalem.” (Ezra 4:6) As long as it stood they stood as accusers against us until they destroyed it and banished us into this awful exile. The name of this second well should arouse a reaction in you, because the Accuser (satan) is found there and he is the guardian angel of Esau who raises accusations against us continually. He called the name of the third well, may it be built speedily in our day, ‘Rechovot.’ It says “And he moved away from there…” (Bereshit 26:23), meaning that he detached his conception from the second Temple and focused it on the construction of the third Temple. This is why it says “…and he dug another well, and they did not quarrel over it; so he named it Rehovoth…” (ibid.) because it is written of the future third Temple “And it became wider and it wound higher and higher…” (Yechezkel 41:7) and it will be built without struggle or conflict. And the Holy One will broaden our boundaries, as it says “When the Lord, your God, expands your boundary, as He has spoken to you…” (Devarim 12:20) which is speaking of the future. Up to here are the words of the Ramban. The fact that it mentions Gd’s name in reference to the third House, but not in connection with the first two, is perhaps because they were buildings of flesh and blood made by Shlomo and Cyrus. But the third will be an act of Gd, a heavenly construction which will never be destroyed and that is why Gd’s name is mentioned in connection with it. I found a midrash which supports this idea. Our Sages asked on the verse “And David conquered the stronghold of Zion which is the city of David.” (Shmuel II 5:7) why was that place called by the name of flesh and blood? Since it was known and revealed before the King, king of kings the Holy One blessed be He that flesh and blood would build it and flesh and blood would destroy it, therefore it was called by the name of flesh and blood. But, in the time to come it will be called by His name, as it says “And the children of your oppressors shall go to you bent over, and those who despised you shall prostrate themselves at the soles of your feet, and they shall call you 'the city of the Lord, Zion of the Holy One of Israel.'” (Yeshayahu 60:14)	x		Rabbenu Bechaya
מלכים א פרק ב	Melachim I 2:10	City of David		Death of David		David		13	City of David	4	yes	yes	yes	i Kings 2:10					
מלכים א פרק ח	Melachim I 8:1	Jerusalem, Zion, City of David		Building of the First Temple		Shlomo	ark	13	City of David	5	yes	yes	yes	I Kings 8:1 					
רד"ק מלכים א פרק ח פסוק א	Radak Melachim I 8:1					David, Oved Edom		13	City of David	6	no	no	no	x	(א) מעיר דוד - כי שם העלהו דוד כשהביאו מבית עובד אדום:	Out of the city of David – because David had brought it up to there when he took it from the house of Oved Edom	x		Radak
מלכים א פרק יא	Melachim I 11:27	City of David	Millo			Shlomo		13	City of David	7	yes	yes	yes	I Kings 11:27					
רש"י מלכים א פרק יא פסוק כז	Rashi Melachim I 11:27	City of David	Millo	Shlomo marries Pharaoh's daughter		Shlomo, Yerovam, Pharaoh's daughter		13	City of David	8	yes	no	yes	Rashi on I Kings 11:27, 2					
