Index Title,"The Five Books of Moses, by Everett Fox"
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yehuda and Tamar 3","The episode first of all demonstrates the growth of Yehuda as a character who is central to the Yosef novella. Already in Chap. 37 he had demonstrated active leadership, albeit in a questionable cause. There he actually saved Yosef’s life, in contrast to Re’uven’s unsuccessful and ultimately self-centered rescue attempt. As the one who basically assumes responsibility, he will be made to undergo an inner development in the narrative, and again becomes the one to take charge of the youngest son (Binyamin, in Chaps. 43 and 44). The missing piece that begins to explain his nobility in this regard (Chap. 44) is the present chapter. Yehuda here learns what it is to lose sons, and to want desperately to protect his youngest. Although his failure to marry off Tamar to the youngest son leads to public humiliation (twice, actually), his response shows that he immediately accepts blame: “She is in-the-right more than I” (v.26). Such an interpretation is further confirmed by the restriction of the word “pledge” to here and 43:9. Yehuda has learned what it means to stake oneself for a principle."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yehuda and Tamar 4","Only after we have been informed of Yehuda’s change can the narrative resume with Chap. 39. True to biblical thinking, redemption may start only after the crime has been punished (e.g., the Samson story, where the hero’s hair begins to grow immediately after his imprisonment)."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yehuda and Tamar 5","Actually the chronology works out quite well. We are told via 41:46, 53–54, that about twenty years elapse between the sale of Yosef and his meetings with the brothers in Egypt; this often signifies a period in biblical parlance and could encompass a generation or a bit less. Since Yehuda was quite possibly a father already in Chap. 37, the present story could well end just before the events reported in Chap. 43—in other words, Yehuda reaches full inner maturity just in time."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yehuda and Tamar 6","The other function of this story seems to be to carry out the major theme of Genesis as we have presented it: continuity and discontinuity between the generations. What is at stake here is not merely the line of one of the brothers, but the line which (as the biblical audience must have been fully aware) will lead to royalty—King David was a descendant of Peretz of v.29. This should not be surprising in a book of origins; we noted the possible mention of Jerusalem in 14:18. Apparently a popular early theme, connected as we have noted to the power of God in history, continuity/discontinuity is repeated in somewhat similar circumstances in the book of Ruth (which contains the only other mention of “begettings” outside of Genesis and Num.3:1)."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yehuda and Tamar 7","The narrator has woven Chaps. 38 and 37 together with great skill. Again a man is asked to “recognize” objects, again the use of a kid, and again a brother (this time a dead one) is betrayed."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yosef; Rise and Fall 1",Genesis 39:1-23
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yosef; Rise and Fall 2","This chapter prefigures Yosef’s eventual rise to power and simultaneously chronicles his lowest point, literally and figuratively. The two strands of the plot are woven together into a pattern of success/authority → imprisonment → success/authority. This also mirrors the larger story, which progresses from favorite son → slavery → viceroy of Egypt. The integration takes place partly through the medium of a key word, “hand”—which also occurred four times at the end of Chap. 38 and thus acts as a further textual connector. Yosef’s success is tied six times to the phrase “in his hands” (vv.3, 4, 6, 8, 22, 23); he is thrown into prison because of the garments that he left in his mistress’s “hands” (vv.12, 13). Similarly, the movement of the chapter is mirrored in the word “eyes,” which is linked first to the theme of authority (v.4), then to the attempted seduction (v.7), and finally to authority again (v.21) (Alter)."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yosef; Rise and Fall 3","The chapter also repeats the phrase “And it was” (in one form or another) some twelve times, as a distinct stylistic pattern."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yosef; Rise and Fall 4","Yosef’s temporary downfall occurs here for reasons beyond literary balance or suspense. It is in a very real sense the punishment for the bratty behavior of his adolescence. Once again words (this time not his own) get him into trouble (vv.17, 19), as they did in 37:8. And once again a garment is displayed as proof of a fabricated crime."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, The Rise to Power; Dreams 1",Genesis 40:1-41:52
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, The Rise to Power; Dreams 2","Continued are the themes of Yosef’s success in adversity and skill in interpreting dreams (yet his father and brother, and not he, had done the interpreting in Chap. 37!). In Chap. 37 dreams had brought about his downfall; here (Chap. 40) they will help the cupbearer and in Chap. 41 ultimately save a country, his family, and himself. Yosef’s self-assurance and reliance on God, already evident in 39:9, here mean that it will not be long before he stands at the pinnacle."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, The Rise to Power; Dreams 3","Yosef’s dramatic rise to power is an old and favorite motif in folklore. The text colorfully presents Pharaoh’s dreams, in great detail, especially in his emotional retelling. All the more striking then is Yosef’s simple interpretation (41:23–27)."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Famine; The Brothers Come 1",Genesis 41:53-42:38
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Famine; The Brothers Come 2","Worldwide famine creates the backdrop for the family drama that is about to unfold. The ancients understood famine as sent by the gods, often as punishment; and the events of our text suggest that God is indeed the prime mover here. We are again presented with the characters of Chap. 37, all of whom have somehow changed. Yaakov emerges as more pitiful than ever (a shadow of the wrestler at the Yabbok), Yosef as powerful governor, not only of all Egypt but of his family’s destiny as well, and the brothers, remarkably, are repentant (42:21–22). We also see Yosef’s emotional side for the first time. He weeps in 42:24, as he will do three times again (43:30; 45:2, 14–15)."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, The Test 1",Genesis 43:1-44:34
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, The Test 2","Yosef’s testing of his brothers is masterful, not only because of the plan itself, but also because of the depth of emotion that the text evokes in its characterizations. It demonstrates how well the whole story has been integrated into the Yaakov material, for here as well as there long conversations are used to reveal complex passions."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, The Test 3","Some have questioned the morality of Yosef’s actions, seeing that the aged Yaakov might well have died while the test was progressing, without ever finding out that Yosef had survived. But that is not the point of the story. What it <i>is</i> trying to teach (among other things) is a lesson about crime and repentance. Only by recreating something of the original situation—the brothers are again in control of the life and death of a son of Rahel—can Yosef be sure that they have changed. Once the brothers pass the test, life and covenant can then continue."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Reconciliation 1",Genesis 45:1-28
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Reconciliation 2","In revealing his true identity at last, Yosef makes two points: first, that it was all part of God’s plan; and second, that the family must immediately prepare for migration to Egypt. Thus the personal story is intertwined with the national one, and the text therefore gives limited time and space to psychological details. The motif of God’s plan is stressed by the repetition of “God sent me” (vv.5, 7, 8), while the anticipated bounties of settling in Egypt are brought out by the threefold “good-things of Egypt” (vv.18, 20, 23) and by the repeated exhortation to “come” (vv.18, 19)."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Migration to Egypt 1",Genesis 45:16-47:12
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Migration to Egypt 2","Yaakov’s descent to Egypt involves three meetings: with God, with Yosef, and with Pharaoh. The first is God’s final revelation to Yaakov. God had previously forbidden Yitzhak to go to Egypt during a famine (26:1–2), but his son may now go as part of the divine plan, his people’s destiny. The blessing given to Avraham’s children (particularly to Yishmael) is repeated in 46:3, and God will be “with” Yaakov (46:4) on this journey as he has been on others."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Migration to Egypt 3","The meeting between father and long-lost son is brief but powerful, returning as it does to the “face” motif (46:30). Immediately afterward Yosef gives the family advice on how to demonstrate their usefulness to the Egyptians, and one is struck by the precariousness of their situation in even this best of circumstances."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Migration to Egypt 4","Yaakov’s brief audience with Pharaoh is both moving and pathetic. The Patriarch sums up his life in depressing terms, and it becomes clear that long life (he believes his own to be short), in addition to wealth and fertility, is considered a sign of divine favor."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Migration to Egypt 5","The actual migration is sketched in a few brief strokes. The list of names in 46:8–27 has been constructed on patterned numbers, with a total of seventy."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yosef the Life Giver 1",Genesis 47:13-26
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yosef the Life Giver 2","The events of this section are not attested historically in Egyptian records. Perhaps they have been included here to confirm Yosef’s stature as Rescuer, not only of his family but of all Egypt as well (see note to 42:2). The description of Yosef’s power is now complete: just as the brothers were ready to “become my lord’s servants” (44:9), so now are the Egyptians (47:25)."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yosef the Life Giver 3","Some have seen the episode as an ironic reversal of what is to come in Exodus, with the Egyptians’ enslavement of the Israelites; if so, this interlude may have been an amusing one to ancient Israelite audiences."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yosef the Life Giver 4",The text uses the repetition of the phrase “to/for Pharaoh” to effectively paint the legal transaction.
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yosef's Sons Blessed 1",Genesis 48:1-22
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yosef's Sons Blessed 2","Yaakov, near to death, blesses his grandsons (Rahel’s!) in moving terms, bringing full circle many of the motifs of his life. Elder and younger sons are switched by the blind Patriarch, who this time, though, is one who is fully aware of their identities. As in both literature and life, a dying man sees both past (here) and future (the next chapter) with great clarity, as in a vision."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yaakov's Testament and Death 1",Genesis 49:1-33
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yaakov's Testament and Death 2","In this ancient piece of poetry, Yaakov addresses his sons, not as they are, but as they will be. There is little resemblance, for instance, between the Binyamin as the beloved and protected youngest son of the Yosef story and the preying wolf of v.27, but the Benjaminites were later to be known for their military skills. Scholars have therefore seen the entire poem as a retrojection of Israel as it came to be on the days of the Patriarchs."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yaakov's Testament and Death 3","As in the fuller Yosef narrative, the first three sons are quickly disqualified from active leadership, paving the way for the rise of Yehuda (the tribe from which sprang David and the royal house of Israel). Despite this, Yosef still receives the richest blessing."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yaakov's Testament and Death 4","The chapter is textually among the most difficult in the Torah. Many passages are simply obscure, leaving the translator to make at best educated guesses."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yaakov's Burial 1",Genesis 50:1-14
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yaakov's Burial 2","The funeral of Yaakov seems to presage the Exodus from Egypt—here with Pharaoh’s permission and a large royal escort (including “chariots and horsemen,” who in several generations will pursue Yaakov’s descendants into the sea)."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, Yaakov's Burial 3","Interestingly, the <i>Iliad</i> also ends with an elaborate burial scene. The contrast is instructive: the Homeric epic celebrates the deeds and mourns the lost youth of a hero (Hector); Genesis reflects Yosef’s standing at court and the desire to bury Yaakov in the land of Canaan, in the family plot. Note too that Genesis has two more scenes, tending to lessen the impact of this impressive funeral sequence."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, The End of the Matter 1",Genesis 50:15-26
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, The End of the Matter 2","Drawing out the tension inherent in the Patriarchs’ family relationships to the very end, the text repeats an earlier situation in Yaakov’s life—his brother’s feelings of “grudge” and threats to kill him—in the guise of his sons’ fears toward Yosef. Here, however, there can be no question of personal vengeance, since Yosef sees the brothers’ betrayal of him as but part of a larger purpose. In his words of v.20, “God planned-it-over for good … to keep many people alive,” the text resolves two of the great hanging issues that have persisted throughout Genesis: sibling hatred and the threat to generational continuity."
"The Five Books of Moses, by Everett Fox, Genesis, Part IV; Yosef, The End of the Matter 3","Left hanging, of course, is the issue of the promised land, since the narrative concludes “in Egypt,” but these final chapters lead to the assurance that God will “take account” (vv.24–25) of the Sons of Israel, as they are soon to be termed."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 1",Exodus 1-40
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 2","T<small>HE BOOK OF</small> E<small>XODUS IS</small> I<small>SRAEL’S SECOND BOOK OF ORIGINS</small>. G<small>ENESIS HAD CONCERNED</small> itself with the beginnings of the world, of human beings and their institutions, and of the people of Israel as a tribal family. Exodus continues this thrust as it recounts the origin of the people on a religious and political level (here inseparable as concepts). A number of biblical ideas receive their fullest early treatment in this book: God’s acting directly in history; making himself “known” to both Israelites and foreigners; covenant as a reciprocal agreement between God and humans; law as an expression of total worldview; and the use of sacred structure (Tabernacle or “Dwelling”) as a vehicle for and expression of perceived truths about the world. In addition, several biblical institutions make their first appearance in Exodus: Passover, Sabbath, rudimentary leadership/government, and cult/priesthood. All this is presented in a general narrative framework, raising the question as to whether what we have here is story or history. Is Exodus a fanciful reconstruction of what happened to Moshe (Moses) and his generation, riddled with anachronisms? Or is it a faithful and reliable handing-down of eyewitness data which only the cynical or irreligious would doubt?"
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 3","For the first position there are several supports. We possess virtually no extra-biblical references to the events recorded in our book, either in Egypt or elsewhere. Then, too, there seem to be inconsistencies of time within the story (Chaps. 16 and 18 appear to presuppose laws which were given later), and patterns within the telling of the tale that are too symmetrical (the Plagues) or too stereotyped (the constant use of stylized language) to be simple reporting of fact. Finally, Exodus is lacking in the citation of personal and geographical names, especially as compared to the books that precede and follow (Genesis and Numbers)."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 4","For the second position, that of Exodus as a reliable historical record, there exist no methods of proof other than evaluation of literary form—that is, accepting that oral literature is able to preserve facts without later coloration. But even if it could be shown that Exodus is oral literature—an evaluation which is too sweeping, given the present form of the book—modern scholarship has come to cast doubt on the absolute historical reliability of oral tradition (see Vansina)."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 5","Despite these observations, there is still something unsettling about writing Exodus off as a work of fiction, however pious that fiction may have been. For the rest of the Hebrew Bible abounds in emotional references to the experience of the exodus. At every stage of biblical literature, that experience is invoked for the purpose of directing behavior (see especially Judg. 2, I Sam. 8, II Sam. 7, II Kings 17, Neh. 9, and Ps. 78; and most of Deuteronomy is rhetorically grounded in it). The entire structure and emotional force of biblical law rest upon such exhortations as “A sojourner you are not to oppress:/you yourselves know (well) the feelings of the sojourner,/for sojourners were you in the land of Egypt” (Ex. 23:9) and such situations as that of the Hebrew serf (Ex. 21:2ff.). Apparently the experience of the exodus period was crucial in forming the group consciousness of the Israelites, and ever since it has provided a model from which both later Judaism and Christianity were to draw frequently and profoundly."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 6","A hypothetical analogy, based on American history, may help to shed light on the historicity of Exodus. Imagine a book based on the following outline: first, a section on the American Revolution, with some biographical material on a few of the Founding Fathers, focusing mostly on the outbreak of the war and key battles; second, a description of the Constitutional Convention, including some of the more important speeches and discussions; third, the text of the Constitution itself; and finally, L’Enfant’s original blueprints for the building of the new capital, Washington, D.C., interspersed with accounts of the first few presidents’ inaugural addresses. What would be the underlying message of such a book? We are certainly dealing here with more than a straight journalistic description of the events, more than a legalistic discussion of constitutional law, and more than a technical presentation for architects. Such a book would actually be presenting the ideals of America’s self-image: a nation founded on the willingness to fight for particular rights against Old World tyranny, established under democratic laws based on reason and providing governmental checks and balances, and whose ideals would be embodied in the construction of a brand-new, centrally located capital city that used classically grounded forms of architecture to express grace and reason as the basis for the new society."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 7","Now this portrayal is very simplistic, but it gets its point across (and I would be willing to wager that, somewhere in this country, there exists a school textbook written along these lines). In a similar manner, although with much more weight given to God’s role in the process, the book of Exodus unfolds. The dramatic story of Israel’s deliverance from bondage, coupled with Moshe’s own early development, is only the first part of the book, and accounts for less than half of it. It is followed by several stories of desert wanderings, and then by a presentation of the covenant made between God and Israel at Sinai, against a stunning natural backdrop. The second half of the book enumerates a series of laws which constitute the covenant, and the details of construction of a portable sanctuary designed both to symbolize and actually to accommodate God’s presence among the Israelites (with the interruption of a major rebellion). So, like our theoretical American model, Exodus conveys far more than information about events. It is, rather, the narration of a worldview, a laying out of different types of texts bearing the <i>meaning</i> of Israel’s historical experience."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 8","I stress the word “experience” because that is what is at stake here. Human memory is always selective. We remember what we wish to remember, giving weight to particular emotions, sometimes over and above the facts (or, as the poet Maya Angelou puts it autobiographically, “The facts sometimes obscure the truth”). The same thing appears to be true of group memory. What a people remembers of substance is not nearly as important as how they process their experience."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 9","In our Exodus text one can perceive a characteristically Israelite process at work. The book emerges as a mix of historical recollection, mythical processing, and didactic retelling, what Buber and others have called a “saga.” What is preserved in the book of Exodus, therefore, is a Teaching (Heb. <i>Tora</i>) based on a set of experiences, which became history for ancient Israel. Hence, to understand better the workings of the book, we need to turn to its themes and its structure. This will be more fruitful than trying to find the exact location of the Sea of Reeds or Mount Sinai, or the “Lost Ark,” or Moshe’s burial site— of whose location “no man has knowledge until this day” (Deut. 34:6). These have all receded into archeological oblivion. What has survived of ancient Israel is its approach to history and to life, and its literature. In that sense, the book of Exodus is an attempt to distill history and to learn from it, using echoes from the past to shape the present and the future."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 10","When we turn to a closer consideration of the structure of Exodus, we must proceed on the assumption that a work of art stems from both artful and unconscious design. Therefore, any structuring of such a book can only be hypothetical and must not limit itself to ironclad categories."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 11","With that said, a number of potential divisions of our book present themselves. The first emerges from a close look at the subject matter of the text. Strikingly, Exodus appears to be arranged in groups of a few chapters each (bearing in mind that the chapter divisions are historically late), resulting in the following scheme:"
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 12","1. Prologue in Egypt (Chap. 1)<br>2. Moshe’s Early Life and Call (Chaps. 2–4)<br>3. Moshe’s Mission in Egypt (5:1–7:13)<br>4. The First Nine Plagues (7:14–10:29)<br>5. The Tenth Plague and the Exodus (Chaps. 11–13)<br>6. In the Wilderness I: The Deliverance at the Sea (14:1–15:21)<br>7. In the Wilderness II: Early Experiences (15:22–18:27)<br>8. Covenant at Sinai (Chaps. 19–20)<br>9. The Terms (Laws) and Conclusion of the Covenant (Chaps. 21–24)<br>10. Details of the Tabernacle (Chaps. 25–27)<br>11. Details of the Cult (Chaps. 28–31)<br>12. Rebellion and Reconciliation (Chaps. 32–34)<br>13. The Building of the Tabernacle, Priestly Vestments (Chaps. 35–39)<br>14. Conclusion (Chap. 40)"
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 13",Such a measured shifting of focus helps to maintain the flow of the text and our interest in it.
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 14","A glance through this list will also lead to the positing of larger structures. The traditions collected in Exodus fall naturally into both geographical and thematic divisions. The first part of the book takes place in Egypt (1:1–15:21), the second in the wilderness (15:22–40:38); this could alternatively be viewed as the events preceding Mount Sinai (Chaps. 1–17/18) and those that take place there (Chaps. 18/19–40). One could also combine the geographical and thematic aspects, resulting in the structure (1) Israel in Egypt (1:1–15:21), (2) Israel in the Wilderness (15:22–24:18), and (3) Tabernacle and Calf (Chaps. 25–40)."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 15","My own preference for structuring Exodus also combines these aspects, as follows:"
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 16",I. The Deliverance Narrative (1:1–15:21)
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 17",II. In the Wilderness (15:22–18:27)
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 18",III. Covenant and Law (Chaps. 19–24)
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 19",IV. The Blueprints for the Tabernacle and Its Service (Chaps. 25–31)
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 20",V. Infidelity and Reconciliation (Chaps. 32–34)
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 21",VI. The Building of the Tabernacle (Chaps. 35–40)
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 22","These divisions exhibit a great deal of overlapping. In Part I, Israel’s life in Egypt (Chap. 1) paves the way for Moshe’s early years (Chaps. 2–4), then the account of his mission before Pharaoh and the Plagues (Chaps. 5–13), and the final victory (Chaps. 14–15); Part II is anticipated by some of what happens after the exodus itself (Chap. 14), and leads to Sinai (Chap. 19); the covenant and laws of Part III naturally lead to other prescriptions, this time the building instructions for the Tabernacle (Chaps. 25–31); planning the sacred structure in Part IV is followed by the making of a forbidden construction, the Golden Calf (Chaps. 32–33); and the reconciliation between God and Israel (Chap. 34) restores Israel’s capacity to return to the actual building of the Tabernacle, and to complete it (Chaps. 35–40). So despite the presence of what must have been several very diverse traditions behind the final text of Exodus, it has been skillfully woven together to form a coherent whole. In addition to the above structures, it can be said that the book of Exodus rests on several textual backbones, inner structures and recurring themes and motifs that help to create a unified work. These may be listed by category:"
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 23","1. There are various climaxes which serve to highlight the action—the Encounter at the Bush (Chaps. 3–4), the Tenth Plague and Exodus (12:29–42), the Deliverance at the Sea (14–15:21), the Revelation at Sinai (Chaps. 19–20), the Calf Episode (Chap. 32), and Completion of the Tabernacle (Chap. 40). Anchoring these dramatic scenes, at the center of the book, is the Sinai Revelation. The Binding of Yitzhak (Isaac) in Chapter 22 of Genesis serves much the same focusing function."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 24","2. There exist three strategically placed accounts of God’s Presence accompanying the Israelites (13:21–22, 24:15–18, 40:34–38) which share a common vocabulary. Key words in these passages are “day/night,” “cloud,” “fire,” “dwell,” “Glory,” “cover,” “go up,” and “in the eyes of the Children of Israel/before the people” (it should be noted that not every passage uses all of these terms). These words chart God’s movement: first, following the Exodus; second, following the concluding of the covenant; and third, following the erection of the Tabernacle, at the end of the book. A variation of these Presence accounts occurs in Numbers 9:15–23, where it rounds out the picture—for it is at this point that the Israelites finally depart from Sinai (having spent about a year there), on their journey toward the Promised Land."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 25",3. Several leading words recur throughout the book and give it a sense of unity:
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 26","<i>serve</i>— The Israelites pass from “servitude” to Pharaoh into the “service” of God; laws are given that warn against “serving” other gods, that specify how a “serf” is to be treated, and that detail the “service” (i.e., construction and dismantling) of a sanctuary where God is to be properly “served.”"
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 27","<i>Glory</i>—Liberated from Pharaoh’s “stubbornness” (Heb. <i>koved lev</i>), the Israelites experience God’s “Glory” (Heb. <i>kavod</i>) at the Sea of Reeds, and encounter it again at Sinai (Chap. 24) and when the Tabernacle is completed (Chap. 40). When Israel falters in Chapter 32, Moses begs to see God’s “Glory” as a sign of reassurance. This is one of the central issues of the book, receiving its clearest formulation in Chap. 17:7—“Is Y<small>HWH</small> in our midst, or not?” Without the accompanying Presence, the Israelites can survive neither in Egypt nor in the wilderness. That the book ends with the “Glory” taking up residence in the Tabernacle is a sign that all is well in this regard."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 28",<i>know</i>—The Plagues and the liberation take place so that Egyptian and Israelite alike will acknowledge God as the true ruler (who “knows” the slaves’ sufferings). The book as a whole portrays a God who is “known” by his compassion toward the oppressed.
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 29",<i>see</i>—God “sees” and rescues the people early in the book (Chap. 3); they “see” his deliverance at the sea (Chap. 14) and the awesome display at Sinai (Chaps. 19-20); the Tabernacle blueprint is given to Moshe to “see” (Chaps 25ff.).
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 30","4. Aside from theme words, there are also several thematic threads that run through the book. These may be listed as well:"
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 31","<i>distinction</i>—The Israelites learn what it is to be separated out, first for oppression and later for God’s service. This process occurs during the Plagues and throughout the legal sections, which are often based on the making of distinctions (the Hebrew word for “holy,” <i>kadosh,</i> may originally have had this connotation). In general, Exodus is a book that abounds in polarities and distinctions: between God and Pharaoh, life and death, slavery and freedom, Egyptianness and Israeliteness, city and wilderness, visible gods/magic and an invisible God who is not conjurable, doubt and trust."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 32","<i>construction</i>—The Israelites are enslaved as builders of Egyptian cities; they go on to build a society, a calf-god, and a Tabernacle."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 33","<i>rebellion</i>—From the beginning, God and Moshe are often unheeded, as the Israelites seek to maintain or return to their status as dependent slaves in Egypt (Chaps. 2, 5, 14, 15–17, 32)."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 34","<i>Sabbath</i>—As a newly freed people, Israel is to adapt to a rhythm of work and sacred cessation, which celebrates both creation and freedom. The Sabbath is at issue immediately after liberation (Chap. 16) and is commanded three times (Chaps. 20, 31, 35); and the account of the Tabernacle’s completion echoes the vocabulary of God’s completed creation in Genesis 2, a passage which serves as one justification for observing the Sabbath (see Ex. 20:11)."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 35","<i>origins</i>—We are told of the beginnings of the new covenant (distinct from that concluded with Abraham), the law system, the cult/priesthood, and the sacred calendar, but with the significant omission of the monarchy."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 36","<i>covenant</i>—God establishes a relationship with the people of Israel: if they will obey him and observe his laws, he will protect them and treat them as his “firstborn son.” This form of covenant is different from the ones in Genesis, and plays a significant role in subsequent books of the Bible."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 37","<i>God in History</i>—The God of Exodus actively intervenes to rescue a people, defeating their oppressors in battle; he leads them through the wilderness, meets them, and makes a covenant with them."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 38","5. The above themes are specifically Israelite themes. There are, however, motifs in Exodus that have a more universal ring. One could term these anthropological, since they employ standard aspects of human experience to convey the overall messages of the book."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 39","<i>Fire</i> is used frequently and in varied contexts (at the Burning Bush and later back at Mount Sinai, in the desert trek, in the Tabernacle service, and at the Calf incident), usually to make a statement about God. In contrast to conventional fire gods (e.g., the Norse trickster Loki), the God of Exodus is most often associated with the more positive aspects of fire: constancy, purity, and transformation. The fire at Sinai does not destroy Moshe and the people, but rather turns them into something new. At the same time it should not be forgotten that fire is used regularly to connote anger in the Bible, especially God’s, and especially in the later wilderness narratives."
"The Five Books of Moses, by Everett Fox, Exodus, On the Book of Exodus and Its Structure 40","<i>Water</i> appears throughout Exodus, not as a backdrop but as an active medium which most often signifies life and death simultaneously. The Nile, into which the enslaved Hebrews’ babies are thrown, gently bears the infant Moshe to safety: the Nile, the giver of life in Egypt, is changed into blood, itself a major signifier of life in the Bible but useless here because it is undrinkable; the Sea of Reeds acts as a passageway of birth for the Israelites but as a graveyard for their Egyptian pursuers. The availability of water becomes a central issue in the wilderness, as an instrument for survival and for the testing of the Israelites’ faith. Finally, water creates the ritual purity necessary for the people at Sinai and their priests in the Tabernacle to approach God."
