Ii Kings 1:1,And Moav rebelled against Israel after the death of Ah’av.
Ii Kings 7:13,"Then one of his servants spoke up and said:
Now let them take five of the remaining horses, the ones that remain in it;
here, they are like the whole throng of Israel that remain in it,
here, they are like the whole throng of Israel that is done for.
Let us send them and let us see!"
Ii Kings 7:14,"So they picked two chariots of horses,
and the king sent them after the camp of Aram, saying:
Go and see."
Ii Kings 7:15,"They went after them, as far as the Jordan,
and here, the whole road was filled with garments and vessels
which Aram had thrown away in their fearful-haste.
The messenger returned and told the king."
Ii Kings 7:16,"And the people went out and despoiled the camp of Aram;
and it was that a <i>sei’a</i> of flour [went for] a <i>shekel</i>, and two <i>sei’as</i> of barley for a <i>shekel</i>, in accordance with the word of Y<small>HWH</small>."
Ii Kings 7:17,"Now the king had appointed the officer upon whose arm he leans to the town gate,
and the people trampled him at the gate, so that he died,
as the man of God had spoken,
as he had spoken when the king had come down to him."
Ii Kings 7:18,"For it was when the man of God had spoken to the king, saying:
Two <i>sei’as</i> of barley [will go] for a <i>shekel</i>, and a <i>sei’a</i> of flour for a <i>shekel</i> will go at around this time tomorrow at the gate of Shomeron—"
Ii Kings 7:19,"that the officer had answered the man of God and said:
Now here, were Y<small>HWH</small> to make hatches in the sky,
could this thing happen?
And he had said:
Here, you will see it with your eyes,
but from there you shall not eat!"
Ii Kings 7:20,"And thus it happened to him:
the people trampled him at the gate, and he died."
Ii Kings 8:1,"Now Elisha had spoken to the woman whose son he had restored to life, saying:
Arise and go, you and your household,
and sojourn where you wish to sojourn,
for Y<small>HWH</small> has proclaimed a famine
—indeed, it has come upon the land—for seven years."
Ii Kings 8:2,"So the woman arose and did in accordance with the word of the man of God;
she went, she and her household, and sojourned in the land of the Philistines, for seven years."
Ii Kings 8:3,"It was at the end of the seven years
that the woman returned from the land of the Philistines,
and she went out to cry out to the king about her house and about her fields."
Ii Kings 8:4,"Now the king had been speaking to Gehazi, the servant of the man of God, saying:
Pray recount to me all the great things that Elisha has done."
Ii Kings 8:5,"And it was, as he was recounting to the king how he had restored the dead one to life,
that here, the very woman whose son he had restored to life was crying out to the king about her house and about her fields.
So Gehazi said:
My lord king,
this is the woman and this is her son whom Elisha restored to life!"
Ii Kings 8:6,"The king inquired of the woman, and she recounted it to him;
so the king gave her over to an official, saying:
Return everything that is hers, along with all the revenue from the fields,
from the time that she left the land until now."
Ii Kings 8:7,"Elisha came to Damascus
when Ben-Hadad, king of Aram, was sick,
and it was told to him, saying:
The man of God has come here."
Ii Kings 8:8,"The king said to Hazael:
Take a gift in your hand
and go to meet the man of God.
Inquire of God through him, saying:
Will I live through this sickness?"
Ii Kings 8:9,"Hazael went to meet him,
he took a gift in his hand—namely, all the best-goods of Damascus, forty camel loads,
and he came and stood before him, and said:
Your son, Ben-Hadad king of Aram, has sent me to you, saying:
Will I live through this sickness?"
Ii Kings 8:10,"Elisha said to him:
Go, say to him:
You will live, yes, live—
but Y<small>HWH</small> has shown me that he will die, yes, die."
Ii Kings 8:11,"He kept his face still, setting it [thus] until he was ashamed,
and then the man of God wept."
Ii Kings 8:12,"Hazael said:
Why does my lord weep?
He said:
Because I know what you will do to the Children of Israel—evil:
their fortified places you will set on fire,
their young men you will kill with the sword,
their babies you will dash-to-pieces,
and their pregnant women you will split open!"
Ii Kings 8:13,"And Hazael said:
Indeed, what is your servant, a [mere] dog,
that he could do such a great thing?
Elisha said:
Y<small>HWH</small> has shown you to me as king over Aram."
Ii Kings 8:14,"He went out from Elisha and came back to his lord,
and he said to him:
What did Elisha say to you?
He said:
He said to me:
You will live, yes, live."
Ii Kings 8:15,"But it was on the morrow
that he took meshed-cloth and dipped it in water;
he spread it over his face, and he died.
And Hazael reigned as king in his place."
Ii Kings 8:16,"In year five of Yoram son of Ah’av king of Israel—Yehoshafat was king of Judah—
Yehoram son of Yehoshafat king of Judah became king."
Ii Kings 8:17,"Thirty-two years old was he at his becoming king,
and for eight years he reigned as king in Jerusalem."
Ii Kings 8:18,"He walked in the way of the kings of Israel,
as the House of Ah’av had done,
for the daughter of Ah’av was a wife for him;
and he did what was evil in the eyes of Y<small>HWH</small>."
Ii Kings 8:19,"But Y<small>HWH</small> was not willing to bring ruin upon Judah
for the sake of David his servant,
as he had said to him,
to give him a lamp for his children, for all the days [to come]."
Ii Kings 8:20,"In his days Edom rebelled from under the hand of Judah,
and they kinged themselves a king."
Ii Kings 8:21,"So Yoram crossed over to Tza’ir, and all the chariotry with him;
it was that he set out in the night
and struck Edom, who was surrounding him and the chariot commanders,
and the fighting-people fled to their tents."
Ii Kings 8:22,"And Edom has been rebelling from under the hand of Judah,
until this day.
Then Livna [too] rebelled at that time."
Ii Kings 8:23,"Now the rest of the events of Yoram, and all that he did,
are they not written in the Record of Yearly Events of the Kings of Judah?"
Ii Kings 8:24,"Yoram lay beside his fathers;
he was buried with his fathers in the City of David,
and Ahazyahu his son reigned as king in his place."
Ii Kings 8:25,"In year twelve of the years of Yoram son of Ah’av king of Israel,
Ahazyahu son of Yehoram king of Judah became king."
Ii Kings 8:26,"Twenty-two years old was Ahazyahu at his becoming king,
and for one year he reigned as king in Jerusalem;
his mother’s name was Atalyahu [grand]daughter of Omri king of Israel."
Ii Kings 8:27,"He walked in the way of the House of Ah’av:
he did what was evil in the eyes of Y<small>HWH</small>, like the House of Ah’av,
for he was a son-in-law of the House of Ah’av."
Ii Kings 8:28,"He went out with Yoram son of Ah’av to do battle with Hazael king of Aram, at Ramot-Gil’ad,
and the Arameans struck Yoram."
Ii Kings 8:29,"And Yoram the king returned to be healed in Yizre’el
from the wounds that the Arameans had struck him at Rama
when he engaged in battle with Hazael king of Aram.
And Ahazyahu son of Yehoram king of Judah went down
to see Yoram son of Ah’av in Yizre’el,
for he was sick [from his wounds]."
Ii Kings 9:1,"Now Elisha the prophet called one of the Sons of the Prophets
and said to him:
Gird up your loins,
take this flask of oil in your hand,
and go to Ramot-Gil’ad."
Ii Kings 9:2,"When you come there, look there for Yehu son of Yehoshafat son of Nimshi;
when you come, you are to take him up from the midst of his brothers
and are to bring him into a room within a room."
Ii Kings 9:3,"Then you are to take the flask of oil and you are to pour it on his head
and say: Thus says Y<small>HWH</small>:
I am anointing you as king over Israel!
Then you are to open the door and are to flee; you are not to wait."
Ii Kings 9:4,"So the lad, the prophet lad, went to Ramot-Gil’ad."
Ii Kings 9:5,"He came there, and here, the commanders of the army were sitting around;
he said:
I have a message for you, O Commander!
Yehu said:
For whom of all of us?
He said:
For you, O Commander."
Ii Kings 9:6,"He arose and entered the house,
then he poured the oil on his head
and said to him:
Thus says Y<small>HWH</small>, the God of Israel:
I anoint you as king over the people of Y<small>HWH</small>, over Israel!"
Ii Kings 9:7,"You are to strike down the House of Ah’av, your lord,
that I may avenge the blood of my servants the prophets
and the blood of all the servants of Y<small>HWH</small> at the hand of Izevel."
Ii Kings 9:8,"All the House of Ah’av will perish;
I will cut off from Ah’av he who pisses against the wall,
[even] the fettered and forsaken in Israel!"
Ii Kings 9:9,"And I will make the House of Ah’av like the House of Yorov’am son of Nevat,
and like the House of Ba’sha son of Ahiyya."
Ii Kings 9:10,"And Izevel the dogs will eat in the plot of Yizre’el,
with no one to bury [her]!
Then he opened the door and fled."
Ii Kings 9:11,"Now Yehu went out to the servants of his lord;
they said to him:
Is [all] well?
For-what-reason did this madman come to you?
He said to them:
<i>You</i> know the man and his talk!"
Ii Kings 9:12,"They said:
A lie!
Now tell us!
He said:
Like this and like that he said to me, saying:
Thus says Y<small>HWH</small>:
I anoint you as king over Israel!"
Ii Kings 9:13,"Quickly each one took his garment
and put it under him, on the steps themselves;
then they sounded a blast on the <i>shofar</i>
and said:
Yehu reigns as king!"
Ii Kings 9:14,"So Yehu son of Yehoshafat son of Nimshi bound himself [in conspiracy] against Yoram
—now Yoram had been protecting Ramot-Gil’ad, he and all Israel, from Hazael king of Aram."
Ii Kings 9:15,"But King Yehoram had returned to be healed at Yizre’el from the wounds with which the Arameans had wounded him,
when he had engaged in battle with Hazael king of Aram.—
Yehu said:
If this be your desire,
do not let any escaped-one out of the town, to go tell in Yizre’el!"
Ii Kings 9:16,"And Yehu mounted up and went to Yizre’el,
for Yoram was laid up there,
while Ahazya king of Judah had gone down to see Yoram."
Ii Kings 9:17,"Now the lookout was standing on the tower in Yezre’el;
he saw Yehu’s horde as he was coming,
and said:
I see a horde!
Yehoram said:
Take a rider and send him to meet them, that he may say: Is [all] well?"
Ii Kings 9:18,"The horse rider went to meet him and said:
Thus says the king: Is [all] well?
Yehu said:
What is it to you if [all] is well?
Turn in behind me!
So the lookout reported, saying:
The messenger coming to them does not return."
Ii Kings 9:19,"So he sent a second horse rider,
and he came to them and said:
Thus says the king: [Is all] well?
Yehu said:
What is it to you if [all] is well?
Turn in behind me!"
Ii Kings 9:20,"So the lookout reported, saying:
He came to them but does not return.
Now his driving is like the driving of Yehu son of Nimshi—
for he drives like-a-madman!"
Ii Kings 9:21,"Then Yehoram said:
Harness up!
They harnessed his chariot,
and Yehoram king of Israel went out, with Ahazyahu king of Judah, each one in his chariot;
they went to meet Yehu,
and they encountered him in the plot of Navot the Yizre’elite."
Ii Kings 9:22,"And it was, when Yehoram saw Yehu,
that he said:
Is [all] well, Yehu?
He said:
What is “well,” as long as the many whorings of Izevel your mother and her sorceries [continue]?"
Ii Kings 9:23,"Yehoram reversed his hands and fled,
and said to Ahazyahu: Treason, Ahazya!"
Ii Kings 9:24,"But Yehu filled his hand with the bow
and struck Yehoram between his shoulder-blades,
so that the arrow stuck out of his heart,
and he collapsed in his chariot."
Ii Kings 9:25,"Then he said to Bidkar his officer:
Pick [him] up! Throw him
into the plot of field of Navot the Yizre’elite,
for keep in mind—I and you were riding, each with a team, behind Ah’av his father,
when Y<small>HWH</small> pronounced this pronouncement upon him:"
Ii Kings 9:26,"Did I not see the blood of Navot and the blood of his sons yesterday?
—the Utterance of Y<small>HWH</small>;
so I will pay you back in this very plot
—the Utterance of Y<small>HWH</small>.
So-now, pick [him] up, throw him into the plot, in accordance with the word of Y<small>HWH</small>!"
Ii Kings 9:27,"Now when Ahazyahu king of Judah saw [it], he fled by the road to Bet-Ha-Gan,
and Yehu pursued after him and said:
Him too—strike him down!
… in the chariot at the ascent of Gur, which is near Yivle’am.
He fled to Megiddo, and died there."
Ii Kings 9:28,"His servants drove him to Jerusalem,
and they buried him in his burial-place, beside his fathers,
in the City of David."
Ii Kings 9:29,"In year eleven of the years of Yoram son of Ah’av, Ahazya became king over Judah."
Ii Kings 9:30,"And Yehu came to Yizre’el;
when Izevel heard,
she put kohl on her eyes and prettied her hair
and looked out through the window."
Ii Kings 9:31,"When Yehu came to the gate, she said:
Is [all] well, [you] Zimri, killer of his lord?"
Ii Kings 9:32,"He lifted up his face toward the window
and said:
Who is with me? Who?
And two [or] three officials looked out at him."
Ii Kings 9:33,"He said:
Hurl her down! And they hurled her down;
some of her blood was sprinkled on the wall and on the horses,
and he trampled her."
Ii Kings 9:34,"Then he came in, and ate and drank,
and he said:
Take care of this doomed one, and bury her,
for she is the daughter of a king."
Ii Kings 9:35,"But when they went to bury her, they could not find [anything] of her
except for the skull, the feet, and the palms of the hands."
Ii Kings 9:36,"They returned and told him,
and he said:
It is the word of Y<small>HWH</small>
that he spoke by the hand of his servant Eliyyahu the Tishbite, saying:
In the plot of Yizre’el
the dogs will eat the flesh of Izevel!"
Ii Kings 9:37,"And the corpse of Izevel will be like dung on the surface of the ground, in the plot of Yizre’el,
so that they will not [be able to] say: This is Izevel!"
Ii Kings 10:1,"Now Ah’av had seventy sons in Shomeron.
And Yehu wrote letters and sent [them] to Shomeron,
to the commanders of Yizre’el, the elders,
and to those raising Ah’av’s [sons], saying:"
Ii Kings 10:2,"So-now, when this letter comes to you,
—since with you are your lord’s sons,
and since with you are the chariotry and the horses,
and the fortified city and the weapons—"
Ii Kings 10:3,"select the best and the brightest one of your lord’s sons
and put him on the throne of his father,
and do battle for the house of your lords!"
Ii Kings 10:4,"They became exceedingly afraid, exceedingly, and said:
Here, two kings could not stand against him,
so how will we stand, we ourselves?"
Ii Kings 10:5,"[The One] Over the House, and [The One] Over the City, and the elders, and the child-rearers, sent to Yehu, saying:
We are your servants!
Now whatever you say to us, we will do!
We will not make anyone king;
what is best in your eyes, do!"
Ii Kings 10:6,"He wrote to them a second letter, saying:
If you are for me,
and to my voice you would hearken,
then fetch the heads of the men, your lord’s sons,
and bring them to me around this time tomorrow, to Yizre’el.
Now the king’s sons, seventy men,
were with the great-ones of the city, the ones rearing them."
Ii Kings 10:7,"And it was, when the letter came to them,
that they took the king’s sons
and slaughtered them, seventy men,
and put their heads in baskets;
then they sent them to him in Yizre’el."
Ii Kings 10:8,"A messenger came and told him, saying:
They have brought the heads of the king’s sons!
He said:
Put them in two piles at the entrance to the city-gate until daybreak."
Ii Kings 10:9,"Now it was at daybreak that he went out and stood
and said to all the people:
You are innocent.
—Here, I conspired against my master, and I killed him,
but who struck down all of these?"
Ii Kings 10:10,"Know, therefore,
that no word of Y<small>HWH</small> will fall to the ground
that Y<small>HWH</small> promised concerning the House of Ah’av;
Y<small>HWH</small> has done
what he promised through the hand of his servant Eliyyahu."
Ii Kings 10:11,"Then Yehu struck down all who remained of the House of Ah’av in Yizre’el,
along with all his great-ones, his intimates, and his priests,
until he had left him no survivor."
Ii Kings 10:12,"Then he arose and came, that he might go to Shomeron.
He was at a binding house for shepherds on the way,"
Ii Kings 10:13,"when Yehu came upon brothers of Ahazyahu king of Judah.
He said:
Who are you?
They said:
We are brothers of Ahazyahu;
we have come down [to see] the welfare of the sons of the king and the sons of the queen [mother]."
Ii Kings 10:14,"He said:
Seize them alive!
They seized them alive
and slaughtered them at the cistern of the binding-house,
forty-two men;
he did not leave out one of them."
Ii Kings 10:15,"He went from there and came upon Yehonadav son of Rekhav [coming] to meet him;
he blessed him [in greeting] and said to him:
Is your heart straight-and-true, as my heart is with your heart?
Yehonadav said:
It is, yes, it is!
[He said]:
Give me your hand!
He gave him his hand, and he pulled him up to him in the chariot."
Ii Kings 10:16,"He said:
Go with me, and see my zeal for Y<small>HWH</small>!
And he had him ride in his chariot."
Ii Kings 10:17,"He came to Shomeron
and struck down all who were left to Ah’av in Shomeron, until he had wiped it out,
in accordance with the word of Y<small>HWH</small> which he had spoken to Eliyyahu."
Ii Kings 10:18,"Then Yehu collected all the people
and said to them:
Ah’av served Baal a little;
Yehu will serve him much!"
Ii Kings 10:19,"So-now, all the prophets of Baal, all those serving him and all his priests, call together to me—
let no man be unaccounted for,
for I have a great sacrifice for Baal;
anyone who is unaccounted for shall not live!
—Now Yehu was acting with cunning,
in order to annihilate those serving Baal.—"
Ii Kings 10:20,"Yehu said:
Hallow an <i>atzara</i>-festival for Baal!
And they proclaimed it."
Ii Kings 10:21,"And Yehu sent throughout all Israel,
and all those serving Baal came—
there was not left one who did not come;
they came to the House of Baal, and filled the House of Baal from end to end."
Ii Kings 10:22,"Then he said to [The One] Over the Wardrobe:
Bring out apparel for all those serving Baal!
and he brought them out apparel."
Ii Kings 10:23,"And Yehu and Yehonadav son of Rekhav came into the House of Baal,
and he said to those serving Baal:
Search out and see, lest there be with you some of the servants of Y<small>HWH</small>,
rather than those serving Baal alone!"
Ii Kings 10:24,"They came in to perform sacrifices and offerings-up;
meanwhile, Yehu had placed eighty men for himself outside
and had said:
The man who lets [anyone] escape from the men whom I am bringing into your hand—
<i>his</i> life in place of his life!"
Ii Kings 10:25,"So it was, when he was finished performing the offering-up,
that Yehu said to the outrunners and to the officers:
Come in, strike them down! Let no one get away!
So they struck them down with the mouth of the sword,
and the outrunners and the officers [left them] thrown [there],
and went on to the rear-chamber of the House of Baal."
Ii Kings 10:26,"They took out the standing-pillar of the House of Baal,
and then they burned it."
Ii Kings 10:27,"And they demolished the standing-pillar of Baal,
and they demolished the House of Baal
and made it into a latrine, until today"
Ii Kings 10:28,Thus Yehu wiped out Baal from Israel.
Ii Kings 10:29,"—However, as for the sins of Yorov’am son of Nevat, which he had caused Israel to sin,
Yehu did not turn aside from [following] after them,
the golden calves that were at Bet-El, and that were at Dan."
Ii Kings 10:30,"Y<small>HWH</small> said to Yehu:
Because you have acted well, doing what is right in my eyes,
—according to all that was in my heart, you have done to the House of Ah’av—
sons of four [generations] from you shall sit on the throne of Israel."
Ii Kings 10:31,"Yet Yehu did not take care to walk according to the Instruction of Y<small>HWH</small>, the God of Israel, with all his heart;
he did not turn aside from the sins of Yorov’am, who had caused Israel to sin."
Ii Kings 10:32,"In those days, Y<small>HWH</small> began to truncate Israel:
Hazael struck them throughout the entire territory of Israel,"
Ii Kings 10:33,"from the Jordan toward the rising of the sun,
all the land of Gil’ad: the Gadite, the Re’uvenite, and the Menashite,
from Aro’er which is by Wadi Arnon, including the Gil’ad and the Bashan."
Ii Kings 10:34,"Now the rest of the events of Yehu, and all that he did, and all his mighty-deeds—
are they not written in the Record of Yearly Events of the Kings of Israel?"
Ii Kings 10:35,"Yehu lay beside his fathers;
they buried him in Shomeron,
and Yehoahaz his son reigned as king in his place."
Ii Kings 10:36,"Now the days that Yehu had reigned as king over Israel
were twenty-eight years in Shomeron."
Ii Kings 11:1,"Now when Atalya, Ahazyahu’s mother, saw that her son was dead,
she set out to annihilate all the seed of the kingdom."
Ii Kings 11:2,"But Yehosheva daughter of King Yoram, sister of Ahazyahu, took Yoash son of Ahazya
and stole him from the midst of the king’s sons who were being put to death
—him and his nurse—in the bedchamber,
and they hid him from Atalyahu, so that he was not put to death."
Ii Kings 11:3,"And he was with her in the House of Y<small>HWH</small>, in hiding, for six years,
while Atalyahu was reigning over the land."
Ii Kings 11:4,"But in the seventh year, Yehoyada sent and took the commanders of hundreds of the Carites, and of the outrunners,
and brought them to him in the House of Y<small>HWH</small>;
he cut them a covenant and had them swear [fealty] in the House of Y<small>HWH</small>,
and showed them the king’s son."
Ii Kings 11:5,"And he charged them, saying:
This is the thing that you are to do:
a third of you coming [on your watch] for the Sabbath,
those who guard the guarding of the king’s house,"
Ii Kings 11:6,"and a third at the Sur Gate,
and a third at the gate behind the Outrunners’ [Gate]—
you are to guard the guarding of the House. …"
Ii Kings 11:7,"The [other] two units among you,
all those going off-duty for the Sabbath,
are to guard the guarding of Y<small>HWH</small>’s house, over the king."
Ii Kings 11:8,"You are to encircle the king, all around, each one with his weapons in his hand,
so that whoever comes through to the rows is to be put to death.
And be with the king in his going out and in his coming in!"
Ii Kings 11:9,"So the commanders of hundreds did exactly as Yehoyada the priest had charged:
they took, each one, his fighting-men,
those coming on duty on the Sabbath and those going off-duty on the Sabbath,
and came to Yehoyada the priest."
Ii Kings 11:10,"And the priest gave to the commanders of hundreds the spear-arsenal and the bow cases that had belonged to King David
that were in the House of Y<small>HWH</small>,"
Ii Kings 11:11,"and the outrunners took a stand, each one with his weapons in his hand,
from the right shoulder of the House to the left shoulder, at the sacrificial-altar and at the House, all around the king."
Ii Kings 11:12,"Then he brought out the king’s son
and placed on him the diadem and the insignia;
they made him king—they anointed him,
and they struck their hands together and said:
May the king live!"
Ii Kings 11:13,"Atalya heard the sound of the outrunners [and] of the fighting-people,
so she came to the People in the House of Y<small>HWH</small>."
Ii Kings 11:14,"And she saw: here, the king was standing by the standing-column, as was the custom,
with the commanders and their trumpets by the king,
and all the Landed People were rejoicing and sounding a blast on the trumpets.
Then Atalyahu tore her garments and called out: Conspiracy! Conspiracy!"
Ii Kings 11:15,"And Yehoyada the priest charged the commanders of hundreds, those accountable for the army,
and said to them:
Bring her out within the rows,
and anyone who comes after her, put to death with the sword!
For the priest said [to himself]:
Let her not be put to death in the House of Y<small>HWH</small>!"
Ii Kings 11:16,"So they laid hands on her
and she came in by way of the Horses’ Entrance to the House of Y<small>HWH</small>,
and was put to death there."
Ii Kings 11:17,"Then Yehoyada cut a covenant between Y<small>HWH</small> and the king and the people,
to be Y<small>HWH</small>’s people,
and [one] between the king and the people."
Ii Kings 11:18,"And all the Landed People came to the House of Baal and demolished it:
its sacrificial-altars and its images they smashed to bits,
and Mattan, the priest of Baal, they killed in front of the altars.
Then the priest set accountable men over the House of Y<small>HWH</small>,"
Ii Kings 11:19,"and he took the commanders of hundreds and the Carites and the outrunners and all the Landed People,
and they brought the king down from the House of Y<small>HWH</small>;
they entered by way of the Outrunners’ Gate, into the House of the King,
and he took his seat on the kings’ throne."
Ii Kings 11:20,"And all the Landed People rejoiced, and the city was quiet,
while Atalyahu they put to death with the sword in the House of the King."
Ii Kings 12:1,Seven years old was Yehoash when he became king.
Ii Kings 12:2,"In year seven of Yehu, Yehoash became king,
and for forty years he reigned as king in Jerusalem;
his mother’s name was Tzivya, from Be’er-Sheva."
Ii Kings 12:3,"And Yehoash did what was right in the eyes of Y<small>HWH</small>, all his days,
as Yehoyada the priest had instructed him."
Ii Kings 12:4,"However, the sanctuaries were not removed;
the people were still offering-sacrifices and sending-up-smoke at the sanctuaries."
Ii Kings 12:5,"Yehoash said to the priests:
All the silver for holy-purposes that is brought to the House of Y<small>HWH</small>,
silver of one’s counting [in the census],
—silver of the valuation of persons,
[or] any silver that goes up in a man’s heart to bring to the House of Y<small>HWH</small>—"
Ii Kings 12:6,"let the priests take it for themselves, each one from his acquaintance,
and they themselves shall strengthen the breaches in the House,
wherever a breach is found there."
Ii Kings 12:7,"But it was in year twenty-three, that year of King Yehoash:
the priests had not strengthened the breaches in the House."
Ii Kings 12:8,"So King Yehoash called for Yehoyada the priest and for the [other] priests
and said to them:
Why are you not strengthening the breaches in the House?
Now,
do not keep silver from your acquaintances,
but rather for the breaches in the House you are to give it over."
Ii Kings 12:9,"The priests agreed not to take silver from the people,
and not to strengthen the breaches in the House."
Ii Kings 12:10,"Then Yehoyada the priest took a coffer
and bored a hole in its lid,
and gave it near the sacrificial-altar,
on the right as one entered the House of Y<small>HWH</small>;
the priests, the guardians of the threshold, would give there
all the silver that was brought to the House of Y<small>HWH</small>."
Ii Kings 12:11,"So it was, whenever they saw that there was much silver in the coffer,
that the king’s scribe and the Great Priest would go up,
they would tie up and count the silver that was found in the House of Y<small>HWH</small>."
Ii Kings 12:12,"Then they would give the silver that was measured out into the hands of those doing the work, those accountable in the House of Y<small>HWH</small>,
and they would pay it out to the carvers of wood and to the builders who were doing [tasks] in the House of Y<small>HWH</small>,"
Ii Kings 12:13,"and to the wall-builders and to the stone-cutters,
for purchasing wood and quarried stones
to strenghen the breaches in the House of Y<small>HWH</small>,
and for everything [else] that was paid out for the House, to strengthen it."
Ii Kings 12:14,"But there would not be made for the House of Y<small>HWH</small>
silver basins, snuffers, sprinkling bowls, trumpets,
any kind of vessels of gold or vessels of silver,
from the silver that was brought to the House of Y<small>HWH</small>;"
Ii Kings 12:15,"rather, to those doing the work they would give it,
so that with it they would strengthen the House of Y<small>HWH</small>."
Ii Kings 12:16,"And they did not have to reckon [exactly] with the men into whose hand they gave the silver,
to give [payment] to those doing the work,
for in trustworthy-fashion they dealt."
Ii Kings 12:17,"Silver from <i>asham</i>-offerings and silver from <i>hattat</i>-offerings was not brought into the House of Y<small>HWH</small>;
it was for the priests."
Ii Kings 12:18,"Then Hazael king of Aram went up and waged battle against Gat, and took it,
and [afterward] Hazael set his face to go up against Jerusalem."
Ii Kings 12:19,"So Yehoash king of Judah took all the hallowed things that Yehoshafat, Yehoram, and Ahazyahu, his fathers, the kings of Judah, had hallowed,
and his own hallowed things,
and all the gold that was found in the treasuries of the House of Y<small>HWH</small> and in the House of the king,
and sent [them] to Hazael king of Aram,
so that he went up away from Jerusalem."
Ii Kings 12:20,"Now the rest of the events of Yoash, and all that he did—
are they not written in the Record of Yearly Events of the Kings of Judah?"
Ii Kings 12:21,"His servants arose and conspired a conspiracy;
they struck Yoash down at Bet-Millo, which leads down to Silla."
Ii Kings 12:22,"Now it was Yozakhar son of Shim’at and Yehozavad son of Shomer his servants who struck him down, so that he died;
they buried him beside his fathers, in the City of David,
and Amatzya his son reigned as king in his place."
Ii Kings 13:1,"In year twenty-seven of the years of Yoash son of Ahazyahu king of Judah,
Yehoahaz son of Yehu became king in Shomeron,
for seventeen years."
Ii Kings 13:2,"He did what was evil in the eyes of Y<small>HWH</small>:
he walked after the sin of Yorov’am son of Nevat, who had caused Israel to sin;
he did not turn aside from it."
Ii Kings 13:3,"So Y<small>HWH</small>’s anger flared up against Israel,
and he gave them into the hand of Hazael king of Aram
and into the hand of Ben-Hadad son of Hazael, for all the days."
Ii Kings 13:4,"But Yehoahaz soothed the face of Y<small>HWH</small>,
and Y<small>HWH</small> hearkened to him,
for he saw the oppression of Israel,
for the king of Aram had oppressed them."
Ii Kings 13:5,"So Y<small>HWH</small> granted Israel a deliverer, so that they came out from under the hand of Aram,
and the Children of Israel could sit in their tents, as yesterday [and] the day-before."
Ii Kings 13:6,"However, they did not turn aside from the sins of the House of Yorov’am, who had caused Israel to sin—
in them they walked;
even an Ashera-pole stood in Shomeron."
Ii Kings 13:7,"For no fighting-people were left to Yehoahaz
except for fifty riders, ten chariots, and ten thousand foot-soldiers,
for the king of Aram had annihilated them;
he had made them like dust for trampling."
Ii Kings 13:8,"Now the rest of the events of Yehoahaz, and all that he did, and all his mighty-deeds—
are they not written in the Record of Yearly Events of the Kings of Israel?"
Ii Kings 13:9,"Yehoahaz lay beside his fathers;
they buried him in Shomeron,
and Yoash his son reigned as king in his place."
Ii Kings 13:10,"In year thirty-seven of the years of Yoash king of Judah,
Yehoash son of Yehoahaz became king of Israel in Shomeron,
for sixteen years."
Ii Kings 13:11,"And he did what was evil in the eyes of Y<small>HWH</small>:
he did not turn aside from all the sins of Yorov’am son of Nevat, who had caused Israel to sin;
in them he walked."
Ii Kings 13:12,"Now the rest of the events of Yoash, and all that he did, and his mighty-deeds when he did battle with Amatzya king of Judah—
are they not written in the Record of Yearly Events of the Kings of Israel?"
Ii Kings 13:13,"Yoash lay beside his fathers,
and Yorov’am sat on his throne,
and Yoash was buried in Shomeron, beside the kings of Israel."
Ii Kings 13:14,"Now Elisha fell sick with the sickness from which he was to die.
Yoash king of Israel went down to him
and wept upon his face, he said:
Father! Father! Israel’s chariotry and its horsemen!"
Ii Kings 13:15,"Elisha said to him:
Take a bow and some arrows.
So he took him a bow and some arrows."
Ii Kings 13:16,"He said to the king of Israel:
Have your hand mount the bow.
He had his hand mount it.
Then Elisha put his hands on the king’s hands,"
Ii Kings 13:17,"and said:
Open the east-facing window.
And he opened it.
Then Elisha said:
Shoot.
And he shot.
He said:
An arrow of victory for Y<small>HWH</small>, and an arrow of victory over Aram;
you will strike down Aram at Afek, until [they are] finished off!"
Ii Kings 13:18,"And he said:
Take the arrows.
So he took them.
Then he said to the king of Israel:
Strike the ground.
So he struck three times, and then stopped."
Ii Kings 13:19,"The man of God became furious with him and said:
Striking five or six times—
then you would have struck down Aram until [they would have been] finished off!
But now
you will strike Aram [only] three times."
Ii Kings 13:20,"Elisha died, and they buried him.
Now raiding-bands from Moav would come into the land at the coming of the year."
Ii Kings 13:21,"And [once] it was, they were burying a man,
and here, they saw such a band,
so they threw the man into the burial-place of Elisha and went off.
And [when] the man touched the bones of Elisha, he lived [again],
and he arose and stood on his feet."
Ii Kings 13:22,Now Hazael king of Aram oppressed Israel all the days of Yehoahaz.
Ii Kings 13:23,"But Y<small>HWH</small> was gracious to them
and had compassion on them
and turned his face toward them
for the sake of his covenant with Avraham, Yitzhak, and Yaakov;
he was not willing to bring them to ruin
and has not cast them out from his presence until now."
Ii Kings 13:24,"Hazael king of Aram died,
and Ben-Hadad his son reigned as king in his place."
Ii Kings 13:25,"And Yehoash son of Yehoahaz once again took the towns from the hand of Ben-Hadad son of Hazael
which he had taken from the hand of Yehoahaz his father, in battle:
three times Yehoash struck them,
and recovered the towns of Israel."
Ii Kings 14:1,"In year two of Yoash son of Yehoahaz king of Israel,
Amatzyahu son of Yoash became king of Judah."
