l,a,n,g,u,a,g,e
s,e,r,v,e,r
v,e,r,s,i,o,n,T,i,t,l,e
v,e,r,s,i,o,n,S,o,u,r,c,e
Torah.1,A<small>CKNOWLEDGMENTS</small>
"Torah, On the Name of God and Its Translation.6","Readers who are uncomfortable with the maleness of God in these texts may wish to substitute “God” for “he” in appropriate passages. While, as a translator, I am committed to reproducing the text as faithfully as I can, it is also true that the ancient Hebrews viewed God as a divinity beyond sexuality, and modern readers as well may see fit to acknowledge this."
"Torah, Guide to the Pronunciation of Hebrew Names.1","T<small>HE PRECISE PRONUNCIATION OF BIBLICAL</small> H<small>EBREW CANNOT BE DETERMINED WITH CERTAINTY</small>. The following guide uses a standard of pronunciation which is close to that of modern Hebrew, and which will serve for the purpose of reading the text aloud."
"Torah, Guide to the Pronunciation of Hebrew Names.2","<i>a</i> (e.g., Adam, Avraham, Aharon) as in father (never as in b<i>a</i>t)"
"Torah, Guide to the Pronunciation of Hebrew Names.3","<i>e</i> or <i>ei</i> (e.g., Lea, Levi, Rahel, Esav) as the <i>a</i> in c<i>a</i>pe (never as the <i>e</i> in b<i>e</i>)"
"Torah, Guide to the Pronunciation of Hebrew Names.4","<i>o</i> (e.g., Edom, Lot, Moshe) as in st<i>o</i>ne (never as in h<i>o</i>t)"
"Torah, Guide to the Pronunciation of Hebrew Names.5","<i>u</i> (e.g., Luz, Zevulun, Shur) as in B<i>u</i>ber (never as in s<i>u</i>n)"
"Torah, Guide to the Pronunciation of Hebrew Names.6","When <i>e</i> occurs in both syllables of a name (e.g., Hevel, Peleg), it is generally pronounced as the <i>e</i> in t<i>e</i>n. In such cases the first syllable is the accented one; generally speaking, Hebrew accents the last syllable."
"Torah, Guide to the Pronunciation of Hebrew Names.7","When <i>e</i> is the second letter of a name (e.g., Devora, Yehuda, Betzalel), it is often pronounced as the <i>a</i> in <i>a</i>go."
"Torah, Guide to the Pronunciation of Hebrew Names.8","<i>kh</i> (e.g., Hanokh, Yissakhar) is to be sounded like the <i>ch</i> in Johann Sebastian Ba<i>ch</i>."
"Torah, Guide to the Pronunciation of Hebrew Names.9","<i>h</i> (e.g., Havva, Het, Hur) most often indicates Hebrew <i>het</i>, pronounced less heavily than <i>kh</i> but not as English <i>h</i>. I have removed the <i>h</i> from names (e.g., Yehuda for Judah) to avoid confusion in this regard."
"Torah, Guide to the Pronunciation of Hebrew Names.10","The system for transcribing Hebrew words used in this volume follows the above model, rather than standard scholarly practice (e.g., <i>k-r-v</i> instead of <i>qrb, shr-tz</i> instead of <i>šrṣ</i>), in the interests of the general reader. For this reason, I also do not distinguish here between the Hebrew letters <i>alef</i> and <i>ayin</i> in transcription, even though technically their pronunciations differ. I have, however, added an apostrophe when the lack of one might lead the reader to mispronounce the word (e.g., Se’ir, Be’er)."
"Torah, Guide to the Pronunciation of Hebrew Names.11","Some well-known names in the text have been transcribed in their traditional English spelling. These include Canaan (Heb. <i>Kenaan</i>), Egypt (<i>Mitzrayim</i>), Israel (<i>Yisrael</i>), Jordan (<i>Yarden</i>), Pharaoh (<i>Par’o</i>), and Sinai (<i>Seenai</i>). Otherwise, I have indicated the familiar English forms of the names in the Notes, under the rubric “Trad. English. …”"
"Torah, To Aid the Reader of Genesis and Exodus.1","G<small>IVEN THE ILLUSTRIOUS PREDECESSORS THAT ANY TRANSLATOR OF</small> G<small>ENESIS AND</small> Exodus follows, I have not tried to provide here either a comprehensive commentary or an all-encompassing system of notes. Rather, I have sought to suggest some fruitful avenues for thought and discussion in the Commentary, and to provide such information in the Notes as will be helpful to the nonspecialist. Naturally, the selection of material for these purposes is entirely mine; others might single out different details and different aspects of the text."
"Torah, To Aid the Reader of Genesis and Exodus.2","Since I have espoused a “rhetorical” approach to biblical texts in my work, I have decided to limit myself largely to literary remarks in the Commentary: indicating themes and motifs as they appear and are developed in these books and elsewhere in the Bible; pointing out structural aspects of the text; and treating issues of character development in the narrative. I have by and large eschewed historical issues, and those pertaining to the origins and textual history of Genesis and Exodus. These matters, which are highly theoretical and subject to detailed and often heated scholarly discussion, are treated comprehensively in standard works such as Speiser (1964) for Genesis and Childs (1974) for Exodus (see also the volumes of the Jewish Publication Society’s <i>The Torah Commentary</i>, currently appearing). More detailed information on the ancient Near Eastern background and parallels to Genesis and Exodus can be found in Cassuto (1967, 1972/1974) and Sarna (1966, 1986). Readers whose interest is primarily archaeological will seek works such as Mazar (1990)."
"Torah, Genesis.1","<img src=""images/line.jpg"" alt=""art""/>"
"Torah, Genesis.2",G<small>ENESIS</small>
"Torah, Genesis.3","<img src=""images/line.jpg"" alt=""art""/>"
"Torah, Genesis.4",A<small>T THE</small> B<small>EGINNING</small>
"Torah, On the Book of Genesis and Its Structure.1","T<small>HE TEXT OF</small> G<small>ENESIS SEEMS TO SPEAK WITH MANY VOICES</small>. F<small>OR A BOOK WHOSE BASIC</small> arrangement is chronological, tracing the history of a single family, it exhibits a good deal of discontinuity on the surface. Here time flows uniformly, there it takes startling jumps; fragments are followed by more or less full-blown tales; genres alternate, from mythic to genealogical to folkloristic. In addition, scholars often portray Genesis as a collection of historically diverse materials that were compiled by scribes for whom deviating from received tradition was anathema. Hence the repetitions, the inconsistencies, and the irregular pacing."
"Torah, On the Book of Genesis and Its Structure.2","Is Genesis then, at best, a collection of stories related to the origins of Israel, with most of its seams still showing? Such an assessment does not do justice to what must have been a complex process of addition and growth or to the final product. An overview of the book does produce a certain scheme; at some point in the text’s history a coherent picture must have begun to emerge from the disparate materials handed down. For the modern reader, utilizing the Buber-Rosenzweig method of focusing on repeating words and key themes as the text presents them may make it possible to generalize about the organization of the book and also to speculate on its overall intent in the form in which it has come down to us."
"Torah, On the Book of Genesis and Its Structure.3","On its most obvious level Genesis is a book about origins. It seeks to link the origin of the people of Israel with that of the world, relating in the process how various human characteristics and institutions arose."
"Torah, On the Book of Genesis and Its Structure.4","On the surface this parallels much of ancient literature and folklore. All peoples are interested in their own beginnings, picturing them in a way which validates their present existence. Genesis, however, is different in that, like the rest of the Torah, it downplays the heroic element of the people’s origins and in its place stresses God’s role in them. Moreover the one great omission—the origin of God—establishes from the beginning a unique basis for a tribal chronicle. From Genesis and subsequent books we learn primarily about God’s relationship to the people and what he expects of them; almost everything else is subordinated to this purpose."
"Torah, On the Book of Genesis and Its Structure.5",Preliminarily one can speak of at least seven major themes whose recurrence establishes their importance in the book:
"Torah, On the Book of Genesis and Its Structure.6","1. <i>Origins:</i> Of the world, of humanity, and of the people of Israel.<br>2. <i>Order/Meaning in History:</i> By means of stylized or patterned chronology—reliance on certain round numbers such as 3, 7, and 40—it is suggested that human events are not random but somehow planned.<br>3. <i>Blessing:</i> From creation onward God bestows blessings on his creatures in general and on the fathers and mothers of Israel in particular.<br>4. <i>Covenant:</i> God concludes agreements with human beings.<br>5. <i>God Punishes Evildoing:</i> God is provoked to anger not by his capriciousness but by human failure to uphold justice and morality.<br>6. <i>Sibling Conflict, with the Younger Usually Emerging the Victor:</i> The order of nature (primacy of the firstborn) is overturned, demonstrating that God, not nature, is the ruling principle in human affairs.<br>7. <i>Testing:</i> God tests those who are to carry forth his mission; the result is the development of moral character."
"Torah, On the Book of Genesis and Its Structure.7","Superseding these important themes, which occur throughout the Bible in various forms, is the dominant one of <i>continuity</i>, represented by the unifying word in Genesis <i>toledot</i> (“begettings”). The word appears eleven times, often accompanied by long genealogical lists. The names may deflect attention from what is central to Genesis. The major thrust of the book would seem to be toward human fecundity, following the early divine command to “bear fruit and be many” (1:28), and pointing toward the eventual fecundity of the people of Israel (which will only be realized in the book of Exodus). Such an emphasis seems appropriate in a book about origins."
"Torah, On the Book of Genesis and Its Structure.8","Ironically, however, the undercurrent in Genesis points not to life and its continuation, but rather to its threatened extinction. In story after story the protagonist, his people, and occasionally the entire world are threatened. In at least one case (Avraham) a perfectly legal and natural solution is found—the birth of Yishmael as his heir—only to be rejected by God in favor of a more difficult one: a son born to an elderly woman."
"Torah, On the Book of Genesis and Its Structure.9","It is clear that the stress on continuity and discontinuity has one purpose: to make clear that God is in control of history. Human fertility and continuity in history come not from magical rites or from the arbitrary decisions of the gods, but from a God who bases his rule on justice. Nature disappears as a ruling factor in human affairs, replaced by a principle of morality which is unshakable precisely because it comes from a God who is beyond the rules of nature."
"Torah, On the Book of Genesis and Its Structure.10","But the result is a book which abounds in tension. From the beginnings of human history (Chap. 4) we encounter contradictions and opposites, whether on a small scale (fertility and barrenness) or a large one (promise and delayed fulfillment). Nowhere is this so clear as in the dramatic high point of the book, Chap. 22. As Avraham stands with knife upraised, the entire enterprise of Genesis hangs in the balance. But the entire book is replete with such tensions and continuity-threatening situations. There are barren wives, brothers vowing to kill brothers, cities and even a world being destroyed by an angry God. The main characters of Genesis thus emerge as survivors, above all else. Noah sets the pattern, but he is merely the first, and too passive an example. The Patriarchs must brave hostile foreigners, bitter intrafamily struggles, and long wanderings before they can find peace."
"Torah, On the Book of Genesis and Its Structure.11","While by the end of the book many of the tensions have been resolved, one conspicuously has not: God’s promise of the land of Canaan. As the book ends, “in Egypt,” we are left to ponder how this God, who keeps his promises to “those who love him” (Ex. 20:6), will bring the people back to their land—a land inhabited by someone else and in which the Children of Israel own only a burial site. Yet despite the tension, we may assume from the experiences of the Patriarchs that God will indeed “take account of” the Israelites (50:24), that he will take whatever ill has been planned against them and “plan-it-over for good” (50:20)."
"Torah, On the Book of Genesis and Its Structure.12","A word should also be said here about hero traditions. In the great epics of the ancient world the hero often stands as a lonely figure. He must overcome obstacles, fight monsters, acquire helpers (whether women, “sidekicks,” or magic objects); and his triumph in the end signals man’s triumph over his archenemy, Death. Every battle won, every obstacle hurdled, is psychologically a victory for us, the audience, a cathartic release from our own frustrating battle against death."
"Torah, On the Book of Genesis and Its Structure.13","The Bible sees things rather differently. Death is also overcome, but not only by the individual’s struggle. It is rather through the covenant community, bound together by God’s laws and his promises, that the heroic vision is lived out. Despite the triumphs of the characters in Genesis, it is really in the book of Exodus that the great battle scenes (the plagues in Egypt, the Red Sea) and meetings with the divine (Mount Sinai) take place. And it is therefore God himself who is most properly the “hero” of these stories. No major character in Genesis achieves success without depending fully on God, and the standards that are held up to them are ultimately seen as God’s own, to be imitated by imperfect humankind."
"Torah, On the Book of Genesis and Its Structure.14","The book of Genesis falls naturally into four large sections. The first, usually termed the “Primeval History” (Chaps, 11–11), begins with creation and progresses through the early generations of humanity, ending in Mesopotamia. The second (Chaps. 12 through 25:18) is the cycle of stories concerning Avraham, the father of the people of Israel. Part III (Gen. 25:19 through Chap. 36) deals in the main with stories about his grandson Yaakov. The final section (Chaps. 37–50) is the tale of Yosef and of how the Children of Israel came to live in Egypt (thus paving the way for the book of Exodus)."
"Torah, On the Book of Genesis and Its Structure.15","The following skeletal outline will lay out some of the interesting structural features of the book. There is an elemental symmetry that emerges from the four sections; further comments, especially about how the sections cohere, will be found in the explanatory material accompanying the text in this volume."
"Torah, On the Book of Genesis and Its Structure.16",I. Chosen Figure (Noah)
"Torah, On the Book of Genesis and Its Structure.17","Sibling Hatred (Kayin–Hevel), with sympathy for youngest"
"Torah, On the Book of Genesis and Its Structure.18",Family Continuity Threatened (Hevel murdered)
"Torah, On the Book of Genesis and Its Structure.19","Ends with Death (Haran, Terah; Sarai barren)"
"Torah, On the Book of Genesis and Its Structure.20",Humanity Threatened (Flood)
"Torah, On the Book of Genesis and Its Structure.21",Ends Away from Land of Israel (“In Harran”)
"Torah, On the Book of Genesis and Its Structure.22",II. Chosen Figure (Avraham)
"Torah, On the Book of Genesis and Its Structure.23","Sibling Hatred (Yishmael–Yitzhak) Implied, with sympathy for youngest"
"Torah, On the Book of Genesis and Its Structure.24","Family Continuity Threatened (Sarai barren, Yitzhak almost sacrificed)"
"Torah, On the Book of Genesis and Its Structure.25","Ends with Death (Sara, Avraham)"
"Torah, On the Book of Genesis and Its Structure.26",Rivalry Between Wives (Hagar–Sarai)
"Torah, On the Book of Genesis and Its Structure.27",Barren Wife (Sarai)
"Torah, On the Book of Genesis and Its Structure.28",Wife–Sister Story (Chaps. 12 and 20)
"Torah, On the Book of Genesis and Its Structure.29",Ends with Genealogy of Non-Covenant Line (Yishmael)
"Torah, On the Book of Genesis and Its Structure.30",III: Chosen Figure (Yaakov)
"Torah, On the Book of Genesis and Its Structure.31","Sibling Hatred (Esav–Yaakov), with sympathy for youngest"
"Torah, On the Book of Genesis and Its Structure.32",Family Continuity Threatened (Yaakov almost killed)
"Torah, On the Book of Genesis and Its Structure.33","Ends with Death (Devora, Rahel, Yitzhak)"
"Torah, On the Book of Genesis and Its Structure.34",Rivalry Between Wives (Lea–Rahel)
"Torah, On the Book of Genesis and Its Structure.35",Barren Wife (Rahel)
"Torah, On the Book of Genesis and Its Structure.36",Wife–Sister Story (Chap. 26)
"Torah, On the Book of Genesis and Its Structure.37",Ends with Genealogy of Non-Covenant Line (Esav)
"Torah, On the Book of Genesis and Its Structure.38",IV Chosen Figure (Yosef)
"Torah, On the Book of Genesis and Its Structure.39","Sibling Hatred (Brothers–Yosef), with sympathy for youngest"
"Torah, On the Book of Genesis and Its Structure.40",Family Continuity Threatened (Yehuda’s sons die; Yosef almost killed; family almost dies in famine)
"Torah, On the Book of Genesis and Its Structure.41","Ends with Death (Yaakov, Yosef)"
"Torah, On the Book of Genesis and Its Structure.42",Humanity Threatened (Famine)
"Torah, On the Book of Genesis and Its Structure.43",Ends Away from Land of Israel (“In Egypt”)
"Torah, On the Book of Genesis and Its Structure.44","There is of course great variety within this bare structure; each version of a motif has its own special characteristics and emphases. Yet the patterning observed above gives the book a general coherence, above and beyond differences. It also demonstrates a conscious hand at work, one concerned about the texture of the book as a whole and able, despite the possible rigidity of what had been handed down, to shape the received material into a plastic and breathing unity."
"Torah, On the Book of Genesis and Its Structure.45","Two general observations about Genesis will round out the picture here. First, as the book progresses there is a tendency for the style of the literature to become smoother. The abrupt changes and sometimes fragmentary nature of the material in Part I, and the vignettes built around Avraham’s life in Part II, give way to a greater coherence and concentration in Part III, and finally to a relatively flowing and psychologically complete narrative in Part IV Along with this, the characters in the latter half of the book seem to be more changeable and human, in contrast to Noah and Avraham, who often appear almost perfect models of piety."
"Torah, On the Book of Genesis and Its Structure.46","Second, contact with God becomes less and less direct as Genesis moves on. Avraham’s dreams and visions seem a far cry from Adam’s conversations with God in the garden (although see Chap. 18); Yaakov’s encounters with God are less frequent than Avraham’s; and finally, Yosef never has a conversation with God, although he receives dream interpretations from him. This process of distancing may reflect an often-observed tendency in religions to think of primeval times as a “golden age” of closeness between gods and men, as contrasted to today (whenever one is writing), when humankind finds itself tragically distant from the divine and in need of communication."
"Torah, I: the Primeval History.1",(<small>I</small>–<small>II</small>)
"Torah, I: the Primeval History.2",T<small>HE COLLECTION OF STORIES WHICH FORMS PART I OF</small> G<small>ENESIS HAS BEEN ASSEMBLED</small> for a number of purposes:
"Torah, I: the Primeval History.3","1. History is traced from the creation of the world, in a direct line, down to Avraham, father of the People of Israel. Through use of the leading-word <i>toledot</i>, “begettings,” we are meant to view him as the logical end point in God’s preliminary plan in history."
"Torah, I: the Primeval History.4","2. The nature of God, as he will appear throughout the Hebrew Bible, is firmly established. He is seen as a Creator who is beyond fate, nature, and sexuality; as an all-powerful orderer and giver of meaning to history; as a bestower of blessing to living creatures; as a giver of choice to human beings; as a just punisher of evil and, simultaneously, a merciful ruler; and as a maker of covenants. The one quality of God which does not unfold until the Patriarchal stories (Parts II-IV) is his shaping of human destiny through focusing on the People of Israel. It is portrayed as the logical outcome of the characteristics just mentioned."
"Torah, I: the Primeval History.5","3. It appears that the Mesopotamian origins of Israel are reflected in such narratives as the Creation, the Flood, and the Tower of Babel, and are transformed or repudiated in the biblical versions. What in the older culture appears arbitrary and chaotic has been changed in the Bible into stories that stress morality and order. Further, human beings in Genesis Chapters 1–11, despite their failure to five up to God’s expectations, are nevertheless considered capable of doing so, in contrast to the Mesopotamian view that humankind was created merely to be slaves to the gods."
"Torah, I: the Primeval History.6","4. Like virtually all other creation stories, Part I is concerned with the origin of the world and its institutions. Chapter 1 expounds on the origins of earth, sky, vegetation, animals, and human beings (as well as the Sabbath); Chapter 2, of sexuality, death, pain in childbirth, and work; Chapter 4, of sin, hatred, and murder, as well as of cities and crafts; Chapter 6, of giants; and Chapter 10, of nations (including the low status of the Canaanites) and languages."
"Torah, I: the Primeval History.7","In sum, Part I serves as a fitting Prologue, not only to Genesis but to the entire Bible. The reader’s chief task in interpreting it is to be able to determine the reason for the inclusion of any one section into the whole."
"Torah, .1","<i>The End</i> (34): Genesis concluded with the death of Yosef; Joshua will end with the death of the victorious general. Moshe’s passing provides the natural ending for the Torah; like that other great work of the first millennium <small>B.C.E.</small>, the <i>Iliad</i>, a funeral marks the end of the old generation and old circumstances. Israel, the narrated audience of the book of Deuteronomy, is now armed for what lies ahead, thanks to the leader’s orations that have comprised an entire book. The rhetorical force of Deuteronomy thus caps the stories, poems, and laws of Genesis through Numbers, and makes of the five books truly a “teaching” or Instruction."
"Torah, .2",34:1 So Moshe went up from the Plains of Moav
"Torah, .3","to Mount Nevo, at the top of the Pisga (Range)"
"Torah, .4",that faces Jericho;
"Torah, .5",and Y<small>HWH</small> let him see all the land:
"Torah, .6","Gil’ad as far as Dan,"
"Torah, .7","2 and all Naftali, and the land of Efrayim and Menashe,"
"Torah, .8","and all the land of Yehuda,"
"Torah, .9","as far as the Hindmost Sea,"
"Torah, .10",3 and the Negev
"Torah, .11","and the round-plain, the cleft of Jericho, the town of palms, as far as Tzo’ar."
"Torah, .12",4 And Y<small>HWH</small> said to him:
"Torah, .13",This is the land
"Torah, .14","that I swore to Avraham, to Yitzhak, and to Yaakov, saying:"
"Torah, .15",To your seed I give it!
"Torah, .16","I have let you see it with your eyes,"
"Torah, .17",but there you shall not cross!
"Torah, .18","5 So there died there Moshe, servant of Y<small>HWH</small>,"
"Torah, .19","in the land of Moav,"
"Torah, .20",at the order of Y<small>HWH</small>.
"Torah, .21",6 He buried him
"Torah, .22","in a valley in the land of Moav,"
"Torah, .23","opposite Bet Pe’or,"
"Torah, .24",and no man has knowledge of the site of his burial-place until this day.
"Torah, .25",7 Now Moshe was a hundred and twenty years old at his death;
"Torah, .26","his eye had not grown-dim,"
"Torah, .27",his vigor had not fled.
"Torah, .28",8 The Children of Israel wept for Moshe in the Plains of Moav for thirty days.
"Torah, .29",Then the days of weeping in mourning for Moshe were ended.
"Torah, .30","9 Now Yehoshua son of Nun was filled with the spirit of wisdom,"
"Torah, .31","for Moshe had leaned his hands upon him,"
"Torah, .32",and (so) the Children of Israel hearkened to him
"Torah, .33",and did as Y<small>HWH</small> had commanded Moshe.
"Torah, .34","10 But there arose no further prophet in Israel like Moshe,"
"Torah, .35","whom Y<small>HWH</small> knew face to face,"
"Torah, .36",11 in all the signs and portents
"Torah, .37","that Y<small>HWH</small> sent him to do in the land of Egypt,"
"Torah, .38","to Pharaoh and to all his servants, and to all his land;"
"Torah, .39",12 and in all the strong hand
"Torah, .40","and in all the great, awe-inspiring (acts)"
"Torah, .41",that Moshe did before the eyes of all Israel.
"Torah, .42",_____________
"Torah, .43",34:1 <b>as far as Dan:</b> The northern border of Israel.
"Torah, .44",2 <b>all the land of Yehuda:</b> The center of the country.
"Torah, .45","5 <b>at the order of</b> Y<small>HWH</small>: He dies as he has lived. It should also be noted that the literal meaning, “at the mouth of Y<small>HWH</small>,” gave rise to a Jewish tradition that, as the greatest religious figure in Israel’s history, Moshe died by a divine kiss."
"Torah, .46","6 <b>no man has knowledge:</b> Apparently to prevent worship of the dead, which was quite familiar to the Israelites from an Egyptian context."
"Torah, .47","10 <b>knew:</b> JPS: “singled out,” the likely meaning here."
"Torah, .48",12 <b>before the eyes:</b> Stressing that this is not secondhand information (Tigay).
"Torah, The Patriarchal Narratives.1","T<small>HE STORIES ABOUT THE FATHERS AND MOTHERS OF</small> I<small>SRAEL, AS A COLLECTION, ARE</small> almost contrapuntal in their richness. Life experiences are repeated and common themes recur; yet at the same time there is a remarkable variety of personalities."
"Torah, The Patriarchal Narratives.2","Two prominent themes throughout are God’s promises (of land and descendants) and his blessing. The texts revolve around the question of whether and how God will fulfill his promises, and how people will effect the transfer of the blessing. Each generation portrayed in the narratives must deal with the inherent tensions raised by these questions, since their resolution does not occur easily."
"Torah, The Patriarchal Narratives.3","The stories are also marked by each figure’s struggle to develop a concept of the religious life, of “walking in accord with God.” Each one carves out his own distinct path, to arrive at a mature understanding of what it means to be a father of the people of Israel. In order to bring about such an understanding, God apparently “tests” them in both obvious and more oblique ways, often against a backdrop of bitter sibling rivalry. One also observes a physical unsettledness about the Patriarchs’ quest; only Yitzhak is spared the wanderings that occur so regularly in the stories."
"Torah, The Patriarchal Narratives.4","Rather interestingly, although the texts purport to be about “fathers,” it is God himself who most consistently fits that role for the characters. God acts <i>in loco parentis</i> for each of the Patriarchs, always, significantly, after the loss of the human father. He first appears to Avraham after the death of Terah; to Yitzhak after that of Avraham; to Yaakov after he leaves home (and a seemingly dying father); and he helps Yosef directly, after he has left his father’s home."
"Torah, The Patriarchal Narratives.5","Numbers play an important role in the Patriarchal stories, as they did in Part I. It has been pointed out (see Sarna 1966) that the life spans of the Patriarchs fit into a highly ordered pattern. Avraham lives for 175 years, equaling 7 × 5<sup>2</sup>; Yitzhak, for 180 years, equaling 5 × 6<sup>2</sup>; and Yaakov, for 147 years, or 3 × 7<sup>2</sup>. This is unmistakably a purposeful scheme, meant to convey that human history is orderly and meaningful. Similarly an examination of the stories reveals that Avraham lives for 75 years in the lifetime of his father and 75 years in the lifetime of his son, while Yaakov spends 20 years away from his father, with Yosef roughly following suit in the next generation."
"Torah, The Patriarchal Narratives.6","Last, it should be noted that the Patriarchal stories in various details anticipate the later Exodus of the Israelites from Egypt. The specific references will be mentioned in the Notes."
"Torah, Ii: Avraham.1",<b>(12–25:18)</b>
"Torah, Ii: Avraham.2","A<small>LTHOUGH</small> A<small>VRAHAM IS THE BIOLOGICAL FATHER OF</small> I<small>SRAEL, THE DIVERSE TRADITIONS</small> about him which have been collected and connected to form a cycle of stories give evidence of much more. The cycle portrays an active <i>Homo religiosis</i> who converses with God, sometimes with an air of doubt and questioning, who proclaims God’s name at various sacred sites, who is concerned about justice and the treatment of the oppressed, and who makes dramatic life decisions without flinching. The stories thus reveal struggle, despite the fact that Avraham often appears to be the “perfect” man, always obeying God’s bidding and prospering."
"Torah, Ii: Avraham.3","Buber (1982), noting the unifying effect of the verb “see” throughout the cycle, understood Avraham as the father of the Prophets of Israel (formerly called “seers”). He also viewed the cycle as based around the series of tests that Avraham must undergo, tests quite different, we might add, from the labors of Hercules and other such ancient challenges."
"Torah, Ii: Avraham.4","Other than “see,” a number of leading-words launch the major concerns of the Patriarchs: “bless,” “seed,” and “land.” At the same time the cycle contains previously encountered motifs, albeit with interesting refinements: punishment for sin (this time, with human questioning), intimacy with God (here through visions), and sibling rivalry (with more complex results than murder). Above all we note the singling out of one man to perform the will of God, a man very different from the rather passive Noah."
"Torah, Ii: Avraham.5","Avraham stands at the core of the entire book of Genesis, as his experiences will in many ways be reflected in those who follow him. At the core of both the book and the cycle looms the disturbing Chapter 22, which brings together and resolves, for the moment, the major themes encountered so far."
"Torah, Iii: Yaakov.1",(25:19–36:43); See also 37–50
"Torah, Iii: Yaakov.2","B<small>EFORE COMMENTING ON THE</small> Y<small>AAKOV CYCLE, IT IS APPROPRIATE TO CONSIDER WHY HIS</small> father Yitzhak, the second of the Patriarchs, receives no true separate group of stories on his own."
"Torah, Iii: Yaakov.3","Yitzhak functions in Genesis as a classic second generation—that is, as a transmitter and stabilizing force, rather than as an active participant in the process of building the people. There hardly exists a story about him in which he is anything but a son and heir, a husband, or a father. His main task in life seems to be to take roots in the land of Canaan, an admittedly important task in the larger context of God’s promises in Genesis. What this means, unfortunately, is that he has almost no personality of his own. By Chapter 27, a scant two chapters after his father dies, he appears as (prematurely?) old, blind in both a literal and figurative sense, and as we will see, he fades out of the text entirely, only to die several chapters, and many years, later."
"Torah, Iii: Yaakov.4","The true dynamic figure of the second generation here is Rivka. It is she to whom God reveals his plan, and she who puts into motion the mechanism for seeing that it is properly carried out. She is ultimately the one responsible for bridging the gap between the dream, as typified by Avraham, and the hard-won reality, as realized by Yaakov."
"Torah, Iii: Yaakov.5","Avraham is a towering figure, almost unapproachable as a model in his intimacy with God and his ability to hurdle nearly every obstacle. Adding to this the fact that Yitzhak is practically a noncharacter, and that Yosef, once his rise begins, also lacks dimension as a personality, it becomes increasingly clear that it is Yaakov who emerges as the most dynamic and most human personality in the book. The stories about him cover fully half of Genesis, and reveal a man who is both troubled and triumphant. Most interestingly, he, and not Avraham, gives his name to the people of Israel."
"Torah, Iii: Yaakov.6","Distinctive themes of the cycle include physical struggle, deception, and confrontation. These are expressed through the key words of Yaakov’s name (“Heel-Holder” and “Heel-Sneak,” then Yisrael, “God-Fighter”), “deceive” and similar words, and “face.” Also recurring are the terms “love,” “bless,” “firstborn-right,” and “wages/hire” (one word in Hebrew). The cycle is structured partly around etiologies (folk explanations of place-names and personal names) and also around Yaakov’s use of stones in several of the stories."
"Torah, Iii: Yaakov.7","Continuing from the Avraham cycle are such earlier themes as wandering, sibling rivalry, the barren wife, wives in conflict, the renaming of the protagonist, God perceived in dreams and visions; and particular geographical locations such as Bet-El, Shekhem, and the Negev (Cassuto 1974)."
"Torah, Iii: Yaakov.8","Finally, it should be mentioned that the Yaakov stories are notable in the manner in which they portray the two levels of biblical reality: divine and human. Throughout the stories human beings act according to normal (though often strong) emotions, which God then uses to carry out his master plan. In this cycle one comes to feel the interpretive force of the biblical mind at work, understanding human events in the context of what God wills. It is a fascinating play between the ideas of fate and free will, destiny and choice—a paradox which nevertheless lies at the heart of the biblical conception of God and humankind."
"Torah, Iii: Yaakov.9","<img src=""images/Art_P2.jpg"" alt=""art""/>"
"Torah, Iii: Yaakov.10","<b><i>Gen. 28:12</i> And he dreamt:/Here, a ladder was set up on the earth,/its top reaching the heavens …</b>"
"Torah, Iv: Yosef.1",(37–50)
"Torah, Iv: Yosef.2","T<small>HE STORIES ABOUT THE LAST</small> P<small>ATRIARCH FORM A COHERENT WHOLE, LEADING SOME</small> to dub it a “novella.” It stands well on its own, although it has been consciously and artfully woven together into both the Yaakov cycle and the entire book."
"Torah, Iv: Yosef.3","Initially the tale is one of family emotions, and it is in fact extreme emotions which give it a distinctive flavor. All the major characters are painfully expressive of their feelings, from the doting father to the spoiled son, from the malicious brothers to the lustful wife of Potifar, from the nostalgic adult Yosef to the grief-stricken old Yaakov. It is only through the subconscious medium of dreams, in three sets, that we are made to realize that a higher plan is at work which will supersede the destructive force of these emotions."
"Torah, Iv: Yosef.4","For this is a story of how “ill”—with all its connotations of fate, evil, and disaster—is changed to good. Despite the constant threat of death to Yosef, to the Egyptians, and to Binyamin, the hidden, optimistic thrust of the story is “life,” a word that appears in various guises throughout. Even “face,” the key word of the Yaakov cycle which often meant something negative, is here given a kinder meaning, as the resolution to Yaakov’s life."
"Torah, Iv: Yosef.5","A major subtheme of the plot is the struggle for power between Re’uven and Yehuda. Its resolution has implications that are as much tribal as personal, for the tribe of Yehuda later became the historical force in ancient Israel as the seat of the monarchy."
"Torah, Iv: Yosef.6","Although many details of the narrative confirm Egyptian practices, those practices actually reflect an Egypt considerably later than the period of the Patriarchs (Redford). Of interest also is the prominence of the number five in the story, a detail that is unexplained but that gives some unity to the various sections of text."
"Torah, Iv: Yosef.7","In many ways the Yosef material repeats elements in the Yaakov traditions. A long list could be compiled, but let us at least mention here sibling hatred, exile of the hero, foreign names, love and hate, dreams, and deception—even so detailed as to duplicate the use of a goat-kid. But its focusing on a classic rags-to-riches plot, with the addition of a moralistic theme, make the Yosef story a distinctive and always popular tale, accessible in a way that the more difficult stories of the first three parts of Genesis are not."
