Index Title,Oholot
Mishnah Oholot 3:7,"VII. E<small>INE</small> H<small>ANDBREITE ZU EINER</small> H<small>ANDBREITE IN DER</small> H<small>ÖHE EINER</small> H<small>ANDBREITE KUBISCH</small><sup>19</sup><i class=""footnote"">fn965,Nicht in anderer Dimension.</i>, <small>BRINGT DIE</small> U<small>NREINHEIT</small><sup>20</sup><i class=""footnote"">fn966,Was in einem solchen Räume zusammen mit einem Leichenteile bezeltet wird, ist durch Bezeltung unrein.</i><small>HEREIN UND HÄLT DIE</small> U<small>NREINHEIT ZURÜCK</small><sup>21</sup><i class=""footnote"">fn967,Wörtl. trennt, begrenzt; eine solche hält die Unreinheit zurück, daß sie nicht nach oben steige.</i>. Z<small>UM</small> B<small>EISPIEL:</small> W<small>ENN EIN GEWÖLBTER</small> K<small>ANAL UNTER EINEM</small> H<small>AUSE EINE</small> F<small>AUSTWEITE HAT UND DER</small> A<small>USFLUSS</small><sup>22</sup><i class=""footnote"">fn968,Außerhalb des Hauses.</i><small>EINE</small> F<small>AUSTWEITE HAT, SO IST, WENN SICH DARIN EINE</small> U<small>NREINHEIT</small><sup>23</sup><i class=""footnote"">fn969,Ein Teil von einem Toten.</i><small>BEFINDET, DAS</small> H<small>AUS REIN, UND WENN EINE</small> U<small>NREINHEIT SICH IM</small> H<small>AUSE BEFINDET, WAS DARIN IST, REIN, DENN DIE</small> U<small>NREINHEIT PFLEGT HINAUSZUGEHEN UND NICHT HINEINZUGEHEN</small>. H<small>AT ER EINE</small> F<small>AUSTWEITE UND DER</small> A<small>USFLUSS KEINE</small> F<small>AUSTWEITE, SO IST, WENN EINE</small> U<small>NREINHEIT SICH DARIN BEFINDET, DAS</small> H<small>AUS UNREIN, UND WENN EINE</small> U<small>NREINHEIT SICH IM</small> H<small>AUSE BEFINDET, WAS DARIN IST, REIN, DENN DIE</small> U<small>NREINHEIT PFLEGT HINAUSZUGEHEN UND NICHT HINEINZUGEHEN</small>. H<small>AT ER KEINE</small> F<small>AUSTWEITE UND AUCH DER</small> A<small>USFLUSS KEINE</small> F<small>AUSTWEITE, SO IST, WENN EINE</small> U<small>NREINHEIT SICH DARIN</small> B<small>EFINDET, DAS</small> H<small>AUS UNREIN, UND WENN EINE</small> U<small>NREINHEIT SICH IM</small> H<small>AUSE BEFINDET, WAS DARIN IST, UNREIN</small>. E<small>INERLEI OB</small> W<small>ASSER ODER</small> K<small>RIECHTIERE DAS</small> L<small>OCH AUSGEHÖHLT HABEN, ODER</small> S<small>ALPETER ES DURCHGEFRESSEN HAT</small>. D<small>ASSELBE GILT AUCH VON EINER</small> S<small>TEINLAGE ODER EINER</small> B<small>ALKENSCHICHT</small><sup>24</sup><i class=""footnote"">fn970,In denen sich eine solche Lücke befindet.</i>. R. J<small>EHUDA SAGT, EIN</small> Z<small>ELT, DAS NICHT DURCH</small> M<small>ENSCHENHAND ERRICHTET IST, GELTE NICHT ALS</small> Z<small>ELT</small>. J<small>EDOCH PFLICHTET ER BEI</small> B<small>ERGLÖCHERN UND</small> F<small>ELSENKLÜFTEN BEI</small><sup>25</sup><i class=""footnote"">fn971,Daß sie, obgleich nicht durch Menschenhand entstanden, als Zelt gelten.</i>."
Mishnah Oholot 4:1,"<b>S</b>TEHT <small>EIN</small> S<small>CHRANK IM</small> F<small>REIEN, SO SIND, WENN EINE</small> U<small>NREINHEIT SICH IN DIESEM BEFINDET, DIE</small> G<small>ERÄTE IN SEINER</small> W<small>ANDDICKE</small><sup>1</sup><i class=""footnote"">fn972,In kleinen Löchern od. Nischen unter einer Handbreite.</i> <small>REIN, UND WENN EINE UNREINHEIT SICH IN SEINER</small> W<small>ANDDICKE BEFINDET, DIE</small> G<small>ERÄTE IN DIESEM REIN</small>. R. J<small>OSE SAGT:</small> H<small>ÄLFTE GEGEN</small> H<small>ÄLFTE</small><sup>2</sup><i class=""footnote"">fn973,Von der Mitte der Dicke aus gehört das Loch zum Inneren.</i>. S<small>TEHT ER IN EINEM</small> H<small>AUSE, SO IST, WENN DIE</small> U<small>NREINHEIT SICH DARIN BEFINDET, DAS</small> H<small>AUS UNREIN, UND WENN DIE</small> U<small>NREINHEIT SICH IM</small> H<small>AUSE BEFINDET, WAS DARIN IST, REIN. DENN DIE</small> U<small>NREINHEIT PFLEGT HINAUSZUGEHEN UND NICHT HINEINZUGEHEN</small>. G<small>ERÄTE, DIE SICH ZWISCHEN DIESEM UND DEM</small> E<small>RDBODEN, ZWISCHEN DIESEM UND DER</small> W<small>AND, ZWISCHEN DIESEM UND DEN</small> B<small>ALKEN BEFINDEN, SIND, WENN DA EINE</small> F<small>AUSTWEITE IST, UNREIN, UND WENN NICHT, REIN</small>. B<small>EFINDET SICH DA</small><sup>3</sup><i class=""footnote"">fn974,In einer der genannten Lücken.</i> <small>EINE</small> U<small>NREINHEIT, SO IST DAS</small> H<small>AUS UNREIN</small>."
Mishnah Oholot 4:2,"II. H<small>AT DIE</small> L<small>ADE DES</small> S<small>CHRANKES</small><sup>4</sup><i class=""footnote"">fn975,Wohl eine kleine Schublade in diesem.</i> <small>EINE</small> F<small>AUSTWEITE UND IHRE</small> Ö<small>FFNUNG KEINE</small> F<small>AUSTWEITE</small><sup>5</sup><i class=""footnote"">fn976,Wenn sie oben schmal ist.</i>, <small>SO IST, WENN EINE</small> U<small>NREINHEIT SICH IN DIESER BEFINDET, DAS</small> H<small>AUS UNREIN, UND WENN EINE</small> U<small>NREINHEIT SICH IM</small> H<small>AUSE BEFINDET, WAS DARIN IST, REIN, DENN DIE</small> U<small>NREINHEIT PFLEGT HINAUSZUGEGEHEN UND NICHT HINEINZUGEHEN</small>. N<small>ACH</small> R. J<small>OSE IST ES</small><sup>6</sup><i class=""footnote"">fn977,Das Haus, im ersten Falle.</i> <small>REIN, WEIL MAN</small> [<small>DIE</small> U<small>NREINHEIT</small>] <small>GETEILT HERAUSHOLEN</small><sup>7</sup><i class=""footnote"">fn978,In nicht verunreinigenden Quantitäten.</i> <small>ODER AN IHREM</small> O<small>RTE VERBRENNEN KANN</small>."
Mishnah Oholot 4:3,"III. S<small>TEHT ER IN DER</small> T<small>ÜRÖFFNUNG</small><sup>8</sup><i class=""footnote"">fn979,Des Hauses.</i> <small>SO, DASS ER NACH AUSSEN GEÖFFNET WIRD, SO IST, WENN EINE</small> U<small>NREINHEIT SICH DARIN BEFINDET, DAS</small> H<small>AUS REIN, UND WENN EINE</small> U<small>NREINHEIT SICH IM</small> H<small>AUSE BEFINDET, WAS DARIN IST, UNREIN, DENN DIE</small> U<small>NREINHEIT PFLEGT HINAUSZUGEHEN UND NICHT HINEINZUGEHEN</small>. I<small>ST SEINE</small> V<small>ORRICHTUNG</small><sup>9</sup><i class=""footnote"">fn980,Vgl. S. 627 Anm. 2.</i> <small>DREI</small> F<small>INGERBREITEN</small><sup>10</sup><i class=""footnote"">fn981,Keine volle Faustweite.</i><small>NACH HINTEN GEZOGEN, SO IST, WENN EINE</small> U<small>NREINHEIT SICH DA UNTER DEN</small> B<small>ALKEN BEFINDET, DAS</small> H<small>AUS REIN</small>. D<small>IES NUR IN DEM</small> F<small>ALLE, WENN</small> [<small>DIE</small> V<small>ORRICHTUNG</small>] <small>EINE</small> F<small>AUSTWEITE HAT, NICHT ABGENOMMEN WERDEN KANN UND DER</small> S<small>CHRANK DAS BESTIMMTE</small> G<small>RÖSSENMASS HAT</small><sup>11</sup><i class=""footnote"">fn982,Das oben Kel. Abschn. XIV normiert ist.</i>."
Mishnah Oholot 5:1,"<b>W</b>ENN <small>EIN</small> O<small>FEN IM</small> H<small>AUSE STEHT MIT DEM</small> O<small>FENROHRE</small><sup>1</sup><i class=""footnote"">fn983,Wörtl. Auge; vgl. S. 605 Anm. 9.</i> <small>NACH AUSSEN GEWÖLBT, UND DIE</small> T<small>OTENGRÄBER</small><sup>2</sup><i class=""footnote"">fn984,Die einen Toten über das Rohr getragen haben.</i> <small>ES BEZELTET HABEN, SO IST, WIE DIE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, ALLES</small><sup>3</sup><i class=""footnote"">fn985,Der Ofen u. alles andere, was im Hause ist.</i> <small>UNREIN, UND WIE DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, DER</small> O<small>FEN UNREIN UND DAS</small> H<small>AUS REIN;</small> R. A͑<small>QIBA SAGT, AUCH DER</small> O<small>FEN SEI REIN</small>."
Mishnah Oholot 5:2,"II. W<small>ENN ÜBER EINER</small> L<small>UKE ZWISCHEN DEM</small> H<small>AUSE</small><sup>4</sup><i class=""footnote"">fn986,In dem ein Toter sich befindet.</i> <small>UND DEM</small> S<small>ÖLLER EIN</small> T<small>OPF STEHT, DER EIN</small> L<small>OCH HAT, DURCH DAS</small> F<small>LÜSSIGKEITEN EINDRINGEN</small><sup>5</sup><i class=""footnote"">fn987,Cf. Kel. III,1.</i> <small>KÖNNEN, SO IST, WIE DIE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, ALLES UNREIN, UND WIE DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, DER</small> T<small>OPF UNREIN UND DER</small> S<small>ÖLLER REIN;</small> R. A͑<small>QIBA SAGT, AUCH DER</small> T<small>OPF SEI REIN</small>."
Mishnah Oholot 5:3,"III. I<small>ST ER GANZ, SO SCHÜTZT ER, WIE DIE</small> S<small>CHULE</small> H<small>ILLELS SAGT, ALLES</small><sup>6</sup><i class=""footnote"">fn988,Was im Söller ist, vor der Unreinheit.</i>; <small>DIE</small> S<small>CHULE</small> Š<small>AMMAJS SAGT, ER SCHÜTZE NUR</small> S<small>PEISEN</small>, G<small>ETRÄNKE UND</small> T<small>ONGEFÄSSE</small><sup>7</sup><i class=""footnote"">fn989,Nicht andere Geräte u. Menschen; cf. Ed. I,14.</i>. D<small>IE</small> S<small>CHULE</small> H<small>ILLELS TRAT ABER ZURÜCK UND PFLICHTETE DER</small> S<small>CHULE</small> Š<small>AMMAJS BEI</small>."
Mishnah Oholot 5:4,"IV. [B<small>EFINDET SICH DA</small>]<sup>8</sup><i class=""footnote"">fn990,Im Söller, wenn der Topf ganz ist.</i> <small>EINE</small> K<small>RUKE VOLL REINER</small> F<small>LÜSSIGKEITEN, SO IST DIE</small> K<small>RUKE SIEBENTÄGIG UNREIN, DIE</small> F<small>LÜSSIGKEITEN ABER SIND REIN</small><sup>9</sup><i class=""footnote"">fn991,Sie sind durch den Topf geschützt; die Kruke ist nur rabb. unrein u. überträgt die Unreinheit nicht auf den Inhalt.</i>; <small>SCHÜTTET MAN SIE IN EIN ANDERES</small> G<small>EFÄSS UM</small><sup>10</sup><i class=""footnote"">fn992,In diesem Raume, das schon vorher leichenunrein war.</i>, <small>SO SIND SIE UNREIN</small>. W<small>ENN DA EINE</small> F<small>RAU IN EINEM</small> T<small>ROG KNETET, SO SIND DIE</small> F<small>RAU UND DER</small> T<small>ROG SIEBENTÄGIG UNREIN, DER</small> T<small>EIG ABER REIN; LEGT SIE IHN IN EIN ANDERES</small> G<small>EFÄSS UM, SO IST ER UNREIN</small>. D<small>IE</small> S<small>CHULE</small> H<small>ILLELS TRAT ABER ZURÜCK UND PFLICHTETE DER</small> S<small>CHULE</small> Š<small>AMMAJS BEI</small>."
Mishnah Oholot 5:5,"V. S<small>IND ES</small> G<small>ERÄTE AUS</small> R<small>INDERMIST</small>, G<small>ERÄTE AUS</small> S<small>TEIN ODER</small> G<small>ERÄTE AUS</small> E<small>RDE, SO IST ALLES REIN</small>. W<small>AR ES EIN REINES</small> G<small>EFÄSS UND FÜR</small> H<small>EILIGES ODER DAS</small> E<small>NTSÜISDIGUNGSWASSER</small><sup>11</sup><i class=""footnote"">fn993,Cf. Num. 19,9.</i><small>BESTIMMT, SO IST ALLES REIN, DENN JEDER IST GLAUBHAFT</small><sup>12</sup><i class=""footnote"">fn994,Auch das irdene Gefäß war sicher rein.</i><small>HINSICHTLICH DES</small> E<small>NTSÜNDIGUNGSWASSERS</small>. W<small>EIL ES NÄMLICH REINBLEIBENDE</small> G<small>ERÄTE</small><sup>13</sup><i class=""footnote"">fn995,Wie die erstgenannten, aus Rindermist udgl.</i><small>UND REINE</small> T<small>ONGEFÄSSE</small><sup>14</sup><i class=""footnote"">fn996,Die für Heiliges bestimmt waren.</i><small>SIND, UND SIE SCHÜTZEN MIT DEN</small> Z<small>ELTWÄNDEN</small><sup>15</sup><i class=""footnote"">fn997,Im in Rede stehenden Falle.</i>."
Mishnah Oholot 5:6,"VI. Z<small>UM</small> B<small>EISPIEL:</small> S<small>TEHT ÜBER DEM</small> B<small>RUNNEN ODER DER</small> Z<small>ISTERNE IM</small> H<small>AUSE</small><sup>4</sup><i class=""footnote"">fn986,In dem ein Toter sich befindet.</i> <small>EIN</small> W<small>INZERKORB, SO IST ALLES</small><sup>16</sup><i class=""footnote"">fn998,Was sich im Brunnen befindet.</i><small>REIN; WENN ES ABER EIN FLACHER</small> B<small>RUNNEN</small><sup>17</sup><i class=""footnote"">fn999,Der keine steilen Wände hat.</i><small>ODER EIN DURCHBROCHENER</small> B<small>IENENKORB</small><sup>18</sup><i class=""footnote"">fn1000,Mehr als 40 Seá groß, sodaß er nicht verunreinigungsfähig ist.</i><small>IST UND DARÜBER EIN</small> W<small>INZERKORB STEHT, SO IST ES</small><sup>16</sup><i class=""footnote"">fn998,Was sich im Brunnen befindet.</i><small>UNREIN</small>. I<small>ST ES</small><sup>19</sup><i class=""footnote"">fn1001,Was auf einem solchen Brunnen od. Bienenkorbe liegt.</i><small>EIN GLATTES</small> B<small>RETT ODER EIN</small> D<small>ECKEL OHNE</small> L<small>EISTEN, SO IST ES</small><sup>16</sup><i class=""footnote"">fn998,Was sich im Brunnen befindet.</i><small>REIN</small>. G<small>ERÄTE</small><sup>20</sup><i class=""footnote"">fn1002,Über der Grube.</i><small>SCHÜTZEN NÄMLICH MIT DEN</small> Z<small>ELTWÄNDEN NUR DANN, WENN SIE SELBER</small> W<small>ÄNDE HABEN</small><sup>21</sup><i class=""footnote"">fn1003,Hat der Deckel keine Wände, so braucht auch die Grube keine Wände zu haben.</i>. W<small>IE GROSS MUSS DIE</small> W<small>AND SEIN?</small> E<small>INE</small> H<small>ANDBREITE</small> [<small>HOCH</small>]. I<small>ST ES NUR EINE HALBE</small> H<small>ANDBREITE DA UND EINE HALBE</small> H<small>ANDBREITE DORT</small><sup>22</sup><i class=""footnote"">fn1004,An der Grube u. am bedeckenden Geräte.</i>, <small>SO IST DIES KEINE</small> W<small>AND</small>. N<small>UR WENN ES EINE</small> H<small>ANDBREITE AN DER EINEN</small> S<small>TELLE IST</small>."
Mishnah Oholot 5:7,"VII. W<small>IE SIE INNERHALB SCHÜTZEN, SO SCHÜTZEN SIE AUSSERHALB</small>. Z<small>UM</small> B<small>EISPIEL:</small> W<small>ENN DER</small> W<small>INZERKORB AUSSERHALB</small><sup>23</sup><i class=""footnote"">fn1005,Des Zeltes, in einer Entfernung von weniger als einer Handbreite, sodaß er als mit diesem verbunden gilt.</i><small>AUF</small> P<small>FLÖCKEN SITZT UND EINE</small> U<small>NREINHEIT SICH UNTER DIESEM BEFINDET, SO SIND DIE</small> G<small>ERÄTE IM</small> W<small>INZERKORBE REIN</small>. I<small>ST ES DIE</small> W<small>AND EINES</small> H<small>OFES ODER DIE</small> W<small>AND EINES</small> G<small>ARTENS, SO SCHÜTZT ER NICHT</small><sup>24</sup><i class=""footnote"">fn1006,Dies gilt nur bei einer Zeltwand.</i>. W<small>ENN AN EINEM</small> B<small>ALKEN</small><sup>25</sup><i class=""footnote"">fn1007,Der mindestens eine Handbreite dick ist.</i>, <small>DER VON EINER</small> W<small>AND ZUR ANDEREN</small> W<small>AND REICHT, EIN</small> K<small>OCHTOPF HÄNGT UND EINE</small> U<small>NREINHEIT SICH UNTER DIESEM BEFINDET, SO SIND DIE</small> G<small>ERÄTE IM</small> T<small>OPFE, WIE</small> R. A͑<small>QIBA SAGT, REIN, UND WIE DIE</small> W<small>EISEN SAGEN, UNREIN</small>."
Mishnah Oholot 6:1,"<b>M</b>ENSCHEN <small>UND</small> G<small>ERÄTE KÖNNEX</small>N Z<small>ELTE SEIN, UM UNREIN ZU MACHEN, NICHT ABER REIN ZU ERHALTEN</small>. Z<small>UM</small> B<small>EISPIEL</small>: W<small>ENN VIER</small> [P<small>ĖRSONEN</small>] <small>DIE</small> S<small>TEINPLATTE</small><sup>1</sup><i class=""footnote"">fn1008,So nach der Lesart der alten u. neuen Ausgaben, obgleich <span dir=""rtl"">נדבך</span> sonst Steinreihe, Mauerschicht, bedeutet. Von den in manchen Texten abweichenden Lesarten (<span dir=""rtl"">נרווד ,נדבד, נרוור</span>) scheint <span dir=""rtl"">נרבד</span> (Cod. Kaufmann) die richtigste zu sein (von <span dir=""rtl"">רבד</span>, <i>betten, ein Lager bereiten</i>), gebettetes Lager, Bahre.</i> <small>TRAGEN, SO SIND, WENN EINE</small> U<small>NREINHEIT SICH UNTER DIESER BEFINDET, DIE</small> G<small>ERÄTE ÜBER DIESER UNREIN, UND WENN EINE</small> U<small>NREINHEIT SICH AUF DIESER BEFINDET, DIE</small> G<small>ERÄTE UNTER DIESER UNREIN</small>. N<small>ACH</small> R. E<small>LIE͑ZER SIND SIE REIN</small>. L<small>IEGT SIE AUF VIER</small> G<small>ERÄTEN, AUCH WENN ES</small> G<small>ERÄTE AUS</small> R<small>INDERMLST</small>, G<small>ERÄTE AUS</small> S<small>TEIN ODER</small> G<small>ERÄTE AUS</small> E<small>RDE</small><sup>2</sup><i class=""footnote"">fn1009,Die für die Unreinheit nicht empfänglich sind.</i> <small>SIND, SO SIND, WENN EINE</small> U<small>NREINHEIT SICH UNTER DIESER BEFINDET, DIE</small> G<small>ERÄTE AUF DIESER UNREIN, UND WENN EINE</small> U<small>NREINHEIT SICH AUF DIESER BEFINDET, DIE</small> G<small>ERÄTE UNTER DIESER UNREIN</small>. L<small>IEGT SIE AUF VIER</small> S<small>TEINEN ODER</small> L<small>EBEWESEN, SO SIND, WENN EINE</small> U<small>NREINHEIT SICH UNTER DIESER BEFINDET, DIE</small> G<small>ERÄTE AUF DIESER REIN, UND WENN EINE</small> U<small>NREINHEIT SICH AUF DIESER BEFINDET, DIE</small> G<small>ERÄTE UNTER DIESER REIN</small>."
Mishnah Oholot 6:2,"II. W<small>ENN DIE</small> T<small>OTENGRÄBER DURCH DIE</small> V<small>ORHALLE GEHEN UND JEMAND (VON IHNEN) DIE</small> T<small>ÜR ZUMACHT</small><sup>3</sup><i class=""footnote"">fn1010,Damit die Unreinheit nicht in das Haus dringe.</i> <small>UND SIE MIT DEM</small> S<small>CHLÜSSEL FESTHÄLT, SO IST</small> [<small>DAS</small> H<small>AUS</small>], <small>WENN DIE</small> T<small>ÜR AUCH VON SELBST ZUBLEIBEN WÜRDE, REIN, UND WENN NICHT, UNREIN</small>. D<small>ASSELBE GILT AUCH VON EINEM</small> F<small>ASSE</small> D<small>ÖRRFEIGEN UND EINEM</small> K<small>ORBE</small> S<small>TROH, DIE IN EINER</small> F<small>ENSTERNISCHE</small><sup>4</sup><i class=""footnote"">fn1011,Zwischen 2 Häusern.</i> <small>STEHEN : WÜRDEN DIE</small> D<small>ÖRRFEIGEN ODER DAS</small> S<small>TROH AUCH ALLEIN</small><sup>5</sup><i class=""footnote"">fn1012,Ohne Faß od. Korb.</i> <small>STEHEN BLEIBEN, SO SIND SIE</small><sup>6</sup><i class=""footnote"">fn1013,Die im anderen Hause befindlichen Sachen.</i> <small>REIN, WENN ABER NICHT, UNREIN</small>. H<small>AT MAN IN EINEM</small> H<small>AUSE EINE</small> S<small>CHEIDEWAND AUS</small> K<small>RÜGEN GEMACHT UND SIE MIT EINEM</small> L<small>EHMBEWURFE VERSCHMIERT, SO IST, WENN DER</small> L<small>EHMBEWURF ALLEIN STEHEN BLEIBEN WÜRDE, ALLES</small><sup>6</sup><i class=""footnote"">fn1013,Die im anderen Hause befindlichen Sachen.</i> <small>REIN, WENN ABER NICHT, UNREIN</small>."
Mishnah Oholot 6:3,"III. W<small>ENN DIE</small> W<small>AND DEM</small> H<small>AUSE DIENT</small><sup>7</sup><i class=""footnote"">fn1014,Dh. durch die das Haus gebildet wird, eine errichtete Wand; als Ggs. zu einer Wand, die von selber durch Ausschachtung der Erdmasse an beiden Seiten entsteht, von der weiter die Wendung wenn das Haus der Wand dient’ gebraucht wird.</i>, <small>SO IST SIE ALS</small> H<small>ÄLFTE GEGEN</small> H<small>ÄLFTE</small><sup>8</sup><i class=""footnote"">fn1015,In der Mitte geteilt.</i> <small>ANZUSEHEN</small>. Z<small>UM</small> B<small>EISPIEL:</small> W<small>ENN EINE</small> W<small>AND ANS</small> F<small>REIE GRENZT UND EINE</small> U<small>NREINHEIT SICH IN DIESER</small><sup>9</sup><i class=""footnote"">fn1016,In einem Wandloche eingemauert.</i> <small>BEFINDET, SO IST, WENN IN DER</small> H<small>ÄLFTE EINWÄRTS, DAS</small> H<small>AUS UNREIN, UND WAS OBEN STEHT, REIN, WENN IN DER</small> H<small>ÄLFTE AUSWÄRTS, DAS</small> H<small>AUS REIN, UND WAS OBEN STEHT, UNREIN, UND WENN</small> H<small>ÄLFTE GEGEN</small> H<small>ÄLFTE, DAS</small> H<small>AUS UNREIN, UND WAS OBEN STEHT, NACH</small> R. M<small>EÍR UNREIN UND NACH DEN</small> W<small>EISEN REIN</small>. R. J<small>EHUDA SAGT, DIE GANZE</small> W<small>AND GEHÖRE ZUM</small> H<small>ALSE</small>."
Mishnah Oholot 6:4,"IV. W<small>ENN IN EINER</small> W<small>AND ZWISCHEN ZWEI</small> H<small>ÄUSERN EINE</small> U<small>NREINHEIT SICH BEFINDET</small><sup>9</sup><i class=""footnote"">fn1016,In einem Wandloche eingemauert.</i>, <small>SO IST DAS DER</small> U<small>NREINHEIT NÄHERE</small> H<small>AUS UNREIN UND DAS DER REINEN</small> [S<small>EITE</small>] <small>NÄHERE REIN</small>; <small>IST SIE</small> H<small>ÄLFTE GEGEN</small> H<small>ÄLFTE, SO SIND BEIDE UNREIN</small>. W<small>ENN EINE</small> U<small>NREINHEIT IN EINEM VON IHNEN UND</small> G<small>ERÄTE IN DER</small> W<small>AND SICH BEFINDEN, SO SIND SIE, WENN IN DER</small> H<small>ÄLFTE ZUR</small> U<small>NREINHEIT, UNREIN, WENN IN DER</small> H<small>ÄLFTE ZUR REINEN</small> [S<small>EITE</small>] <small>REIN, UND WENN</small> H<small>ÄLFTE GEGEN</small> H<small>ÄLFTE, UNREIN</small>. W<small>ENN EINE</small> U<small>NREINHEIT SICH IM</small> E<small>STRICH ZWISCHEN DEM</small> H<small>AUSE UND DEM</small> S<small>ÖLLER BEFINDET, SO IST, WENN IN DER</small> H<small>ÄLFTE NACH UNTEN, DAS</small> H<small>AUS UNREIN UND DER</small> S<small>ÖLLER REIN, WENN IN DER</small> H<small>ÄLFTE NACH OBEN, DER</small> S<small>ÖLLER UNREIN UND DAS</small> H<small>AUS REIN, UND WENN</small> H<small>ÄLFTE GEGEN</small> H<small>ÄLFTE, BEIDES UNREIN</small>. W<small>ENN EINE</small> U<small>NREINHEIT IN EINEM VON IHNEN UND</small> G<small>ERÄTE IM</small> E<small>STRICH SICH BEFINDEN, SO SIND SIE, WENN IN DER</small> H<small>ÄLFTE ZUR</small> U<small>NREINHEIT, UNREIN, WENN IN DER</small> H<small>ÄLFTE ZUM REINEN</small> [R<small>AUME</small>], <small>REIN, UND WENN</small> H<small>ÄLFTE GEGEN</small> H<small>ÄLFTE, UNREIN</small>. R. J<small>EHUDA SAGT, DER GANZE</small> E<small>STRICH GEHÖRE ZUM</small> S<small>ÖLLER</small>."
Mishnah Oholot 6:5,"V. W<small>ENN EINE</small> U<small>NREINHEIT SICH ZWISCHEN DEN</small> B<small>ALKEN BEFINDET UND DARUNTER WIE EINE</small> K<small>NOBLAUCHSCHALE IST</small><sup>10</sup><i class=""footnote"">fn1017,Ein ganz dünner Anstrich, sodaß die Unreinheit nicht zu sehen ist.</i>, <small>SO IST, WENN DA</small><sup>11</sup><i class=""footnote"">fn1018,Wo die Unreinheit sich befindet.</i><small>EINE</small> F<small>AUSTWEITE IST, ALLES UNREIN, UND WENN DA KEINE</small> F<small>AUSTWEITE IST, SO BETRACHTE MAN DIE</small> U<small>NREINHEIT ALS VERSTOPFEND</small><sup>12</sup><i class=""footnote"">fn1019,Den ganzen Hohlraum; In diesem Falle ist die Bestimmung in Mišna IV anwendbar.</i>. I<small>ST SIE IM</small> H<small>AUSE SICHTBAR, SO IST DAS</small> H<small>AUS OB SO ODER SO UNREIN</small>."
Mishnah Oholot 6:6,"VI. W<small>ENN DAS</small> H<small>AUS DER</small> W<small>AND DIENT</small><sup>13</sup><i class=""footnote"">fn1020,Wenn die Wand durch den geschaffenen Raum entstanden ist; vgl. Anm. 7.</i>, <small>SO IST SIE ALS</small> K<small>NOBLAUCHSCHALE ANZUSEHEN</small><sup>14</sup><i class=""footnote"">fn1021,Als ganz dünn, sodaß nicht zu unterscheiden ist, auf welcher Seite die Unreinheit sich befindet.</i>. Z<small>UM</small> B<small>EISPIEL:</small> W<small>ENN EINE</small> W<small>AND ZWISCHEN ZWEI</small> G<small>RABNISCHEN ODER ZWISCHEN ZWEI</small> H<small>ÖHLEN IST, UND EINE</small> U<small>NREINHEIT SICH IN DIESEN UND DIE</small> G<small>ERÄTE IN DER</small> W<small>AND BEFINDEN, UND ETWAS WIE EINE</small> K<small>NOBLAUCHSCHALE</small> [<small>DICK</small>] <small>ÜBER DIESEN, SO SIND SIE REIN</small>. W<small>ENN DIE</small> U<small>NREINHEIT IN DER</small> W<small>AND UND DIE</small> G<small>ERÄTE IN DEN</small> R<small>ÄUMEN SICH BEFINDEN UND ETWAS WIE EINE</small> K<small>NOBLAUCHSCHALE</small> [<small>DICK</small>] <small>DARÜBER, SO SIND SIE REIN</small>. B<small>EFINDET SICH EINE</small> U<small>NREINHEIT UNTER EINER</small> S<small>ÄULE</small><sup>15</sup><i class=""footnote"">fn1022,In einem solchen Raume.</i>, <small>SO DRINGT DIE</small> U<small>NREINHEIT AUFWÄRTS UND ABWÄRTS</small>."
Mishnah Oholot 6:7,"VII. G<small>ERÄTE UNTER EINEM</small> S<small>ÄULENKAPITAL</small><sup>16</sup><i class=""footnote"">fn1023,An der Seite der Säule, wenn die Unreinheit unter der Säule ist.</i><small>SIND REIN, UND NACH</small> R. J<small>OḤANAN B</small>. N<small>URI UNREIN</small>. B<small>EFINDEN SICH DIE</small> U<small>NREINHEIT UND DIE</small> G<small>ERÄTE UNTER DEM</small> S<small>ÄULENKAPITAL, SO SIND SIE, WENN DA EINE</small> F<small>AUSTWEITE IST, UNREIN, UND WENN NICHT, REIN</small>. W<small>ENN VON ZWEI</small> W<small>ANDSCHRÄNKEN NEBENEINANDER ODER ÜBEREINANDER EINER VON IHNEN</small><sup>17</sup><i class=""footnote"">fn1024,In dem eine Unreinheit ist.</i><small>GEÖFFNET WIRD, SO IST DIESER UND DAS</small> H<small>AUS</small><sup>18</sup><i class=""footnote"">fn1025,Was sich in diesem befindet.</i><small>UNREIN UND DER ANDERE REIN</small>. M<small>AN BETRACHTE DIE</small> W<small>ANDSCHRÄNKE ALS VERSTOPFT</small><sup>12</sup><i class=""footnote"">fn1019,Den ganzen Hohlraum; In diesem Falle ist die Bestimmung in Mišna IV anwendbar.</i><small>UND</small> [<small>DIE</small> W<small>AND</small>] <small>HINSICHTLICH DES</small> H<small>INEINKOMMENS DER</small> U<small>NREINHEIT IN DAS</small> H<small>AUS ALS</small> H<small>ÄLFTE GEGEN</small> H<small>ÄLFTE</small><sup>8</sup><i class=""footnote"">fn1015,In der Mitte geteilt.</i>."
