Index Title,Major Themes.
"Major Themes., 1: Hermann Cohen’s Religion of Reason.61","As we have seen, in Cohen’s religious philosophy God has only Being but not existence. Whatever its philosophical or theological interpretation, in Judaism God is so intensely present that his existence practically conceals his Being. The genuine religious concern is much more with His existence than with His Being. His presence in history is the source of all religious problematics. It is, of course, correct to say, as Cohen does, that the revelation at Sinai has been spiritualized by the Bible itself, but it is simply not true that with this spiritualization Sinai has been placed in the heart—or, as he should have said more consistently, in the mind—of man. Notwithstanding all spiritualization, Judaism remained inseparable from Sinai as an event in space and time. Eliminate Sinai from the mountain and the desert and you have lost Judaism’s share in life and history."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.62","It is rather significant that Cohen never makes mention of the exodus. Now, any kind of rationalism may have its problem with the exodus story. It is, of course, possible to spiritualize it. But no matter what one’s personal attitude to it may be, it is not possible to eliminate the exodus from Judaism as an actual awareness of divine concern with the destiny of the Jewish people become manifest in the actuality of a historical situation. The very first of the “Ten Words” states: “I am the Eternal, your God, who has led you out from the land of Egypt.” Here lies one of the vital roots of Judaism. A religion of reason that disregards its importance in the self-understanding of Judaism and in its world view is just not drawn from the sources of Judaism. In the Introduction to which we have referred repeatedly, Rosenzweig mentions a <i>seder</i> (the Passover festive meal) that the young “Dr. phil.,” at the time completely estranged from Judaism, attended in his father’s house. The bright young man was most appreciative of his father who, in order to make his son more comfortable at the family table, went over the first part of the <i>Haggada</i> (the telling of the Passover story) in only twenty minutes “without referring to a single Jewish emotion.” It would seem to us that even at the conclusion of his intellectual return Cohen still did not know what to do with the Passover story philosophically."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.63","Cohen was convinced that in numerous ways his religion of reason was anticipated by medieval Jewish philosophy and especially by Maimonides. Cohen already made the observation in the <i>Ethik</i> that Maimonides, in true religiosity, presented us with the thought that God was an idea. His argument there was that a person is determined by life, and Maimonides dared to exclude life from the essence of God.<sup>63</sup><i class=""footnote""><i>Ethik</i>, p. 453.</i> It is surprising how a man of the philosophical genius of a Hermann Cohen could have misunderstood Maimonides so thoroughly. The author of the <i>Guide for the Perplexed</i> excluded not only life from the essence of God, but dared to go even further in a statement in which he said that God was one without oneness and existing without existence.<sup>64</sup><i class=""footnote""><i>Guide for the Perplexed</i>, I. 47.</i> This, too, of course, could be misinterpreted as meaning that he was unique and not just one, that he had Being, but not existence (<i>Dasein</i>). But quite obviously, it is not what Maimonides meant to say. He was saying that none of the terms derived from human experience apply to God. He cannot be described in human language. The “one” of our experience is part of a series, God is not. “Existence” is always created, or as Maimonides would say, it is <i>efshar hamziut</i>, it is a possibility relative to a cause; God is <i>m’huyab hamziut</i>, he is absolute and exists of his own uncreated intrinsic necessity. In the same sense does he exclude life from the essence of God. Life as a matter of human experience is created, it is relative to a cause. Not such is the “life” of God. Following his own characteristic formulation, Maimonides could have said: God has “life” without life; He is “person” without being a person."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.64","It never occurred to Maimonides to suggest that God was an idea. There is no trace of it in all his work. On the contrary, Maimonides’ God, like that of the Bible, acts in history. Maimonides, in the analysis of his theory of the negative attributes, explains omnipotence as not lacking in power to produce the universe. Cohen sees in it an affirmation of his own idea of creation as the logical category of the “ground.” He believes Maimonides says that God being self-sufficient to create the All, is the logical origin of all activity.<sup>65</sup><i class=""footnote""><i>Die Religion</i>, p. 73.</i> Nothing of the kind! Anyone who is familiar, for instance, with Maimonides discussion of the idea of creation cannot miss the fact that for Maimonides creation is an act performed by divine power and not just the logical ground for all activity of Becoming. One may recall here his argument against the Aristotelian concept of an uncreated world. According to Aristotle God is not free to as much as be able to lengthen the wing of a fly.<sup>66</sup><i class=""footnote""><i>Guide for the Perplexed</i>, II, 22.</i> One would have to say that he could not do that according to Cohen’s God-idea either. It is significant that there is no room for miracles, for direct divine intervention in the destinies of man, in the religion of reason. Now, however rationalistic one may be regarding this matter, still the truth is that with Maimonides the biblical record of the miracles was the ultimate reason for his espousing the idea of creation <i>ex nihilo</i>.<sup>67</sup><i class=""footnote"">Ibid.</i> This is true of all rationalistic Jewish philosophers of the Middle Ages. Notwithstanding their rationalism, they accepted God as reality of Being with personlike actual involvement in the world and the affairs of man."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.65","Cohen reinterpreted Maimonides’ attributes of action as a paradigm for human action. According to Cohen, as we saw, Being does not act. But undoubtedly what Maimonides means by attributes of action are actual volitional deeds of God within the space-time continuum. In innumerable passages in the <i>Guide</i> God appears as an intelligent being that acts freely and with choice and discretion. Whether one is personally able to accept the idea is irrelevant. This is Maimonides and such are the medieval Jewish philosophers."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.66","Cohen also says that the fact that in medieval Jewish philosophy the <i>muskalot rishonot</i>, the innate categories of thought, were accepted as equal in authority to the contents of revelation proves that revelation was understood as correlation by way of reason.<sup>68</sup><i class=""footnote""><i>Die Religion</i>, 96.</i> It is just not so. Because the content of revelation was true, therefore all truth, even the not revealed one, was equal in its truth value. Yet, reason remained reason and revelation was revelation. Saadia and Maimonides both believed that the contents of revelation—or part of it, according to Saadia—could be discovered by reason alone. This presented them with a serious problem: if this were so, what need was there for revelation?<sup>69</sup><i class=""footnote"">See the <i>Guide</i> and <i>Emunot Ve’Deot.</i></i> Their preoccupation with the problem proves that they did not identify revelation with correlation by way of reason but saw in it an actual event of history. Maimonides was of the opinion that as to the first two of the “Ten Words” the people and Moses were on the same level, for they express purely rational truth, which was grasped by the people by the same intellectual method as by Moses himself. This might be seen as supporting Cohen’s view of revelation. Yet, Maimonides also believed that the other eight words were revealed to Moses alone, while the people were actually hearing the divine voice, which however reached them without intelligible articulation.<sup>70</sup><i class=""footnote""><i>Guide.</i></i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.67","Finally, let us consider what Maimonides has to say about man’s love for God. “What is the way of loving Him? As man meditates on His wondrous and great deeds and creatures and beholds in them His wisdom, which is incomparable and infinite, he will be overwhelmed immediately by love and he will praise and exalt. He will greatly desire to know the Great Name, as David said: My Soul thirsteth for God, for the living God!”<sup>71</sup><i class=""footnote""><i>Hilkhot Y’sodei Hatora</i>, II. 2.</i> This is rather different from Cohen’s love of God as the love of the ethical ideal, as different as is the God-idea of the religion of reason from Maimonides’ “living” God. Rosenzweig tells us in the Introduction that when Cohen, in the early days of 1918, showed him the first pages of <i>Die Religion der Vernunft</i>, he praised it in terms similar to those in which the circle around Virgil praised the appearance of the <i>Aeneid;</i> he made special reference to Maimonides, to which Cohen answered: Yes, I have been thinking the same: “The Rambam (the traditional way of referring to Maimonides, Our teacher, Moses the Son of Maimon) will be satisfied.” How moving the blind loyalty of the disciple! How melancholy the old man’s desire to return!"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.68",<b>2.</b>
"Major Themes., 1: Hermann Cohen’s Religion of Reason.69","The universalism of the religion of reason is also applied to the people of Israel. Israel, the people of monotheism, is a universalistic people, for monotheism itself is universalistic. The one God is the originator of the one mankind. Only in monotheisn is mankind one. The purpose of Israel is to strive for the unity of a monotheistic mankind. Its goal in history is to dissolve itself into the unity of all nations. Messianism is the promise that this all-embracing unity will be achieved. Messianism is the religious concept of the guarantee of nature as a lasting correlate to continuous ethical realization which must end in the triumph of the good. The Jewish state of old was too narrow a compass for monotheistic messianism. It had to go. The state soon fell apart. It had little significance for this people, says Cohen. In the <i>Ethik</i> he even declared that the state was not just lost; it was given up by the prophets. Already there Cohen stated that the meaning of the religion of the prophets, upon which the continued existence of Judaism rests, was to prepare mankind’s union of states through the messianic idea.<sup>72</sup><i class=""footnote""><i>Die Religion</i>, pp. 173, 296; <i>Ethik</i>, p. 495.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.70","The people of Israel was needed for the establishment of monotheism. This is the meaning of the chosenness of Israel. It symbolizes God’s love of mankind.<sup>73</sup><i class=""footnote"">Ibid., p. 173.</i> The idea is also formulated somewhat differently. The election of Israel has a twofold meaning. Historically, it served the purpose of arousing the national consciousness for the historic mission. Its higher symbolic significance lies in the fact that it prepared Israel for its messianic mission, for its elevation into mankind.<sup>74</sup><i class=""footnote"">Ibid., p. 306.</i> Election and chosenness are, of course, traditional terminology. With Cohen they cannot mean a divine act in history. Since revelation is rational enlightenment, to be chosen means to recognize and accept the idea of monotheism as one’s truth and mission."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.71","How far removed Cohen’s ideas on the subject of Israel and messianism are from the way the Jewish people understood itself and its historic way one may judge by the fact that the word exile does not occur once in his discussion. Of course, if the state is an unnatural framework for monotheism, statelessness is not exile; on the contrary, one might say it is the ideal situation for the Jew.<sup>75</sup><i class=""footnote"">At a later time, Arnold Toynbee was to call the pale of enforced Jewish settlement in czarist Russia the natural condition for the Jew.</i> There is Jewish isolation, but it is enforced upon Israel from without because of the, as yet, unrealized ideal of worldwide monotheism. The isolation, the unrealized idea of mankind, brings suffering upon Israel. Israel suffers as the symbol of mankind, it suffers for the sake of mankind. And this is another aspect of its chosenness.<sup>76</sup><i class=""footnote""><i>Die Religion</i>, p. 511.</i> Cohen also says that suffering became Israel’s life force. With others it is an indication of decline and the end; but Israel’s world mission begins with its martyrdom. Suffering is a means of self-sanctification. It is a symbolical expression of reconciliation with God. Suffering is the precondition of redemption. It liberates man from the “sediments” of his empirical humanity. It is his ascent to the ideal moment in which he becomes himself. Redemption need not be postponed to the end of days; it is attached to every moment of suffering. Every moment of suffering is also a moment of redemption. Thus, suffering is no contradiction to Jewish survival; it is its very basis.<sup>77</sup><i class=""footnote"">Ibid., p. 277.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.72","In the various discussions of the subject of suffering, Cohen becomes almost poetic in its praise. He practically offers a philosophical ode to it. Yet, notwithstanding some significant words he did say about Jewish martyrology through history, one wonders whether he had a personal realization of what was involved in it for the untold masses—and not just individual saints—of the martyrs of Israel. How much understanding did he have of the vitality and staying power of the Jew and his faith, if he saw in Jewish suffering the life force that secures its survival? He does acknowledge that Israel is a priestly nation, not a nation like any other, it is a people of faith; not as Israel, but as an anticipation of mankind. Israel is unique—for the time being—because the others have not yet become what they are supposed to be, mankind. One might say, in accordance with Cohen, that Israel is a negative nation; its uniqueness is imposed upon it by the inadequacy of others. In essence, there is no such thing as a Jewish identity. His universalism is so world-estranged that he thinks it necessary to disclaim any trace of anything specifically Jewish even in Jewish martyrology. He writes: “Jewish bravery is … simply a virtue of history, of the historical man and not of the individual. And messianism breaks the backbone of nationalism so that the bravery of the Jews not be degraded to a mere national virtue. The human bravery of the Jew is as historical virtue, the virtue of bravery, human bravery, the bravery of the truth of the religious ideal of mankind.”<sup>78</sup><i class=""footnote"">Ibid., p. 517.</i> Poor Cohen! How afraid he was that he might find in his Jewish people something specifically Jewish."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.73","Cohen’s interpretation of Judaism and Israel is, of course, a philosopher’s attempt to lend scholarly dignity to the typical assimilationist ideology of German reform Jewry of his generation. We might forgive him his time-boundness. Nor is there any need, at this late hour in history, to discuss with any seriousness the assimilationist fervor of a former reform Jewry. All that is by now, at least intellectually as well as ethically, dead as the dodo. Yet, even at this hour he should be taken to task for his scholarly and philosophical inadequacies and inconsistencies."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.74","But for one vague reference to a complete dissolution of all national distinctions, Cohen sees as the goal of the messianic idea not the disappearance of all states but their organization in a union of states. In this respect, however, he did exempt Israel from the universal order to be. From the viewpoint of messianism history is the future. “The future becomes the reality of history. Therefore, only a spiritual world can fulfill this national existence,” meaning the national existence of the Jewish people.<sup>79</sup><i class=""footnote"">Ibid., p. 296.</i> Cohen understood very well that just as man does not live by bread alone, neither can he live by the spirit alone. It was for this reason that in his <i>Ethik</i> he introduced the idea of God in order to guarantee the continuity of nature, full well realizing that without nature the ethical deed was not possible. Later on, in <i>Die Religion der Vernunft</i> he very wisely stated that man required the connection with nature. “He is not just spirit of holiness.” In his “spirtualization” of religion Cohen had some trouble explaining how one could pray for such mundane things as bread to eat, clothes to wear, for health and bodily well-being. He solved the problem by the ingenious idea that the religious demands the empirical foundations of the I, as the “negative conditions” of its existence. It needs the biological and historical individual. Thus man is given care for his empirical, biological, and historical ego. Thus, he may pray for the earthly blessings of life without shame.<sup>80</sup><i class=""footnote"">Ibid., p. 445.</i> It is rather strange that having recognized all this, he still wanted only a spiritual world for Israel alone, as if man, and especially a people, could live in the realm of the purely spiritual. How little understanding he had for the essential feature of Judaism one may judge by his comment that in prayer the concept of God becomes the Kingdom of God. The praying community is the forerunner of the messianic kingdom of the future. It accepts the yoke of the Kingdom daily, thus preparing the future.<sup>81</sup><i class=""footnote"">Ibid., p. 455.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.75","It is rather strange to receive such an interpretation from a knowledgeable Jew who considers himself a socialist at that. He even makes reference to the majestic <i>Alenu</i> prayer, in which the Jew expresses his hope for the establishment of the world as a Kingdom of God. The truth is that in prayer the Jew prays for it, hopes for it, but it is not in prayer that the Kingdom is established. It is not the praying community that builds the Kingdom but the doing community, the active one, the living, historical, community. Even though a people may forsake all hedonism, all power history, even though it may seek as its goal some form of ethical and spiritual realization, it needs “nature,” it demands for its “negative condition” the empirical foundation of its spirituality, as long as it desires to remain on this earth with the goal of establishing the real world as a Kingdom of God. The entire problematic of Jewish existence, its authenticity, derives from it. Cohen’s Kingdom of God, realized in prayer is Christian, not Jewish. Reserving the spiritual world for Israel, he proved that he did not understand the historical Israel. His Israel is a construct of his private predilection."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.76","Cohen senses that his radically universalistic interpretation of messianism does not fully harmonize with the sources from which he has drawn it. He cannot help confessing that “but of course messianism is forever burdened with the providence for the believing people (<i>Glaubensvolk</i>), for the servant of God. And thus this conflict continued to remain in the prayers too. The return to Zion, the rebuilding of the Sanctuary, together with the sacrifices, is most intimately associated with messianic universalism. Therefore, the latter had inevitably to spiritualize and to broaden the former.”<sup>82</sup><i class=""footnote"">See, for instance, this author’s essay, “Jewish Universalism” in <i>History and the Idea of Mankind</i>, edited by W. Warren Wagar, University of New Mexico Press, Albuquerque, 1971.</i> This, of course, is quite an understatement for the rejection of the idea of return to Zion. More important than that many prayers of the synagogue are for return to Zion and for the restoration of Jerusalem is the fact that all the writings of the prophets are saturated wih the hope and the promises of Israel’s return to Zion. There is no biblical prophetism without the promise and the assurance of return to the ancient homeland. Universalism and affirmation of a particular Jewish destiny inseparable from the land of Israel are the main themes of the prophets. Most important of all, however, is to understand that the two are found in the Bible together most naturally, without the slightest notion of a conflict between them."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.77","It is not messianic monotheism that contradicts the idea of return to Zion, but the assimilationist interpretation of it. There is authentic universalism in messianism, as there is in it also, not as a burden but as an enthusiastic espousal, the vindication of the people of Israel, redeemed in Zion and Jerusalem. He who sees only the universalism does not understand its messianic version; he who sees only particularism does not understand Judaism and its people of Israel. The unique character of Jewish messianism lies in the fact that in it universalism and Jewish reality on empirical, biological and historical foundations, dwell together harmoniously. When one asks the question how that is possible, one is just trying the door handle to the antechamber of Judaism.<sup>82</sup><i class=""footnote"">See, for instance, this author’s essay, “Jewish Universalism” in <i>History and the Idea of Mankind</i>, edited by W. Warren Wagar, University of New Mexico Press, Albuquerque, 1971.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.78",<b>V. P<small>HILOSOPHY AND</small> R<small>ELIGION</small></b>
"Major Themes., 1: Hermann Cohen’s Religion of Reason.79",<b>1.</b>
"Major Themes., 1: Hermann Cohen’s Religion of Reason.80","We believe that our discussion of the religion of reason shows that Cohen has not developed any new philosophical insights in order to establish “reason’s share” (<i>Vernunftanteil</i>) in religion. He uses some of the basic concepts of his <i>Logik</i> for the purposes of establishing his philosophy of religion. We have seen how Being is thought as God as a <i>logical</i> requirement for the origin of Becoming—a thought which conforms to the thesis of Cohen’s <i>Logik</i> that thinking is the thinking of origins. As he also says: “All pure knowledge (<i>Erkenntnis</i>) must be variations of the principle of origin.”<sup>83</sup><i class=""footnote""><i>Logik</i>, p. 33.</i> Whatever he says about creation (that includes also revelation) as the “arch-attribute” of Being and “inherence” in it, and whatever else follows from the idea of the philosophy of religion, is the application of Cohen’s interpretation of Kant’s category of the substance as a precondition of all relational concepts. There is clear indication of that in <i>Die Religion der Vernunft</i>.<sup>84</sup><i class=""footnote""><i>Die Religion</i>, p. 69.</i> We shall quote here the relevant passage from the <i>Logik</i>. “The substance now becomes analogous to the subject. As the subject has to await its predicates if anything is to become of it, this also happens to the substance. The nimbus of the absolute is taken from it. It leads the dance of the [concept] of relation. It has to await the relations which alone can make anything of it. It has its correlate in the [concept] of inherence. The accidents and modi are within it; and only insofar as they are in it, can anything come of it. It is only the precondition for the relations, which though in need of it as precondition, have yet to develop the precondition to its contents and significance (<i>Inhalt und Gehalt</i>).”<sup>85</sup><i class=""footnote""><i>Logik</i>, p. 186.</i> In this passage is contained the gist of “the share of reason” in Cohen’s religion of reason. As the substance, so too Being as God lost its “nimbus of the absolute.” This God is nothing without its attribute of creation, which as creation of nature and creation of man in reason gives us all the other attributes. As we saw, the “arch-attribute” of creation inheres in the uniqueness of the God. Thus, this God also leads “the dance of all relation.” He is the precondition of Becoming, but it is Becoming that develops “the contents and meaning” of God as precondition, for it is through Becoming that we know what is posited by creation, the inhering fundamental attribute."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.81","Needless to say the idea of correlation which plays such an important part in the religion of reason has been lifted from here. The substance and its accidents and modi are logically related to each other. The substance is the precondition that is, in its turn, defined by the accidents and their modi that develop its contents and significance. That is the essence of the correlation that Cohen described as established by the concept of purpose. The purpose is the purely logical one of mutual dependence and definition. In the same way, Becoming is the correlate of Being; God and Nature, God and Man are in correlation. This is the ultimate meaning of the statement that correlation is neither material, nor personal, but purely logical."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.82","Even when Cohen believes that he is affirming the phrase from the daily prayers of the Jew that states of God that in his goodness he renews daily the works of creation, he is only dressing up in religious language a principle of logical thought as he understands it. In the <i>Logik</i> Cohen maintained that the law of the principle of origin has to accompany every phase of pure thinking. He gives the following example to prove his point: “If mathematics as the mathematics of science is to determine motion, which runs in restless progression, it has to fix the origin of this motion. This origin is not only valid for the beginning of the motion, but every progression of it has to emerge anew from the same origin.”<sup>86</sup><i class=""footnote"">Ibid., p. 104.</i> Since “the origin” is a principle of thought, it can, of course, not stand only at the beginning of the motion which is logically interpreted. The origin as a beginning would be an event in time. Origin as the logical principle of the mathematically formulated principle of motion has to accompany every progression of the motion anew, otherwise the progression could not endure mathematically. In the same way, Being as God as the logical requirement of Becoming has to accompany every moment of Becoming in order to render it logically conceivable. It is for this reason that Cohen says that creation is not a material relation; Becoming does not issue from Being, it does not emanate from it, it is not contained in it in a material sense. God has only logical significance for Becoming."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.83","Even in his interpretation of messianic history we find the religious formulation of Cohen’s definition of time only from the <i>Logik</i>. We had occasion to refer to his concept of time earlier. Let us consider it once more. Time according to the <i>Logik</i> is anticipation of the future. Says he: “The future contains and reveals the character of time. The past is strung and graded to the anticipated future. It did not come first. First came the future….” Or in another context: “The proper activity of time is future-oriented, which it anticipates.”<sup>87</sup><i class=""footnote"">Ibid., pp. 131, 133.</i> In much the same vein does he speak of the age of the fulfillment of the messianic ideal toward which all history is moving. History is no mere repetition of the past as with the heathens, no mere “travelogue,” but movement toward a goal—thus time becomes the future.<sup>88</sup><i class=""footnote""><i>Die Religion</i>, p. 293.</i> This future is the thread on which all past is “strung” and thus receives its position."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.84","The question arises: what is the religious value of pouring principles of logical thinking into containers marked with religious labels? This God, this creation, this revelation, this correlation, this messianic future, are they anything else but methodological requirements of logical thinking? Of course, if one fully embraces the idealistic point of view and identifies thought and reality, something might be gained from it all for religion. However, if such identification is not accepted, Cohen’s religion of reason remains a cold and soulless construct without the lifeblood of reality."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.85",<b>2.</b>
"Major Themes., 1: Hermann Cohen’s Religion of Reason.86","Cohen is so deeply wedded to his pure ethical past that one wonders whether he fully gained the objectives that he planned for when he was moving from his <i>Ethik</i> to his “religion of reason.” One of his objectives was to find a place for the individuum, the I, the person, standing by himself. It would seem to us that he established the individual human being qua individual only to lose him again to the old ethical concept of the individual as mankind. This happens in the tortuous interpretation of the idea of immortality that Cohen receives from religion."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.87","In his analysis of this idea, Cohen uses some traditional language on the subject. He speaks of the spirit that God gives and that returns to God after death. But God being unique, how can soul return to God? And would not man lose his self-identity by such return? What then is return after death? Says Cohen: “… nothing but the regaining and the affirming of the origin which was given to the spirit of man.”<sup>89</sup><i class=""footnote"">Ibid., p. 360.</i> But what does this mean? The return to the historic existence of the spirit that has God as its origin. In other words, only by returning to Becoming does the individual soul return to God, for only within Becoming does it regain and affirm God as Being, the origin of the spirit of man. The meaning of this may be put as follows: The task of the soul is self-sanctification by way of ethical realization. The task, however, is eternal. It can therefore, not end with death. But how does it continue after death? Every step in the endeavor of self-sanctification is a moment of the upswing of the spirit. At every such moment the soul is separated from its empirical being. Thus, the union with the body is transitory. The development of the soul is an infinite process because the task is infinite. The development is, therefore, not tied to the body. It is rather related to the infinite development of matter, guaranteed by messianism, as the negative condition for the infinite task of sanctification. Messianism, guaranteeing the infinite development of the human race in history, provides the “eternal” connection of the soul with matter. Such a connection is the necessary condition for the development of the soul’s potentialities (<i>Seelenanlagen</i>) by way of heredity. Because of messianic development man is freed from the limitation to the biological or even historical individual being."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.88","Thus, Cohen can write: “In the endless development of the human race towards its ideal spirit of holiness alone may the individual soul achieve its immortality. It [the soul] is always only the upswing, always only the totality of the upswings that are gathered together in the endless development.”<sup>90</sup><i class=""footnote"">Ibid., p. 362.</i> What, now, is immortality? The eternal preservation of each individual “upswing” within the infinity of messianic development in history. For this reason Cohen would interpret the biblical phrase of “coming to one’s fathers and being gathered to one’s people” as immortality, which has the meaning of the continued historical existence of the human being in the continuity of its people.<sup>91</sup><i class=""footnote"">Ibid., p. 354.</i>"
"Major Themes., 1: Hermann Cohen’s Religion of Reason.89","Since the individual soul is identical with the sum total of the “upswings” in the eternal process of messianic development as it is reached at any moment in history, Cohen calls the ethical individual the <i>Allheitsindividuum</i>, the “universal individual.” In this manner the individual does not disappear, but accomplishes its perfection in the historical development as indicated by messianism. Without such development of the human race the ethical concept of man would not be realizable.<sup>92</sup><i class=""footnote"">Ibid., p. 363.</i> In other words, immortality is the preservation of every soul, of every upswing in the process of endless self-sanctification, in the sum total of all the upswings of the human race in the course of its messianic history."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.90","All this, of course, is extremely close, and in essence identical, with the concept of man as given in the <i>Ethik</i>. Once again man has been separated from his empirical, biophysical existence and has become a sample of mankind in the process of its realization. If the function of religion is to redeem the individual soul from its failings and thus establish the I, the person, this rather forced idea of immortality has lost the person again and returned man into the womb of mankind be it even by way of the <i>Allheitsindividuum</i>, the “universal individual.” At all costs Cohen is holding on to the religious idea of immortality, but empties it of all religious contents."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.91","No less tortuous and artificial is his analysis of love, for the sake of which he invoked religion to broaden the field of ethics. As we saw, ethics could not fully approve of it. From Cohen’s ethical point of view, love was not an ideal, since it was not universal. It was always relative to a smaller group than the totality (<i>Allheit</i>) of mankind. But how was one to deal with the poor and the disadvantaged in society? Ethics could only offer honor and respect, which however could not relieve the sufferings of the poor. With the help of religion Cohen validated pity and sympathy as the proper response to human suffering, affects which were eventually sublimated into love. Is this really the love that is meant by the biblical command, “Thou shalt love Thy neighbor as thyself?” Is this really love? Does one really get to love by the roundabout way of pity and sympathy? Is love only a sociopolitical ideal, to become reality in response to the plight of the poor in society?<sup>93</sup><i class=""footnote"">Cf. also Cohen’s rather tortuous elevation of love from a “second-grade” virtue allowing it to merge with respect, the “first-grade” virtue of ethics in <i>Der Begriff</i>, pp. 83–84.</i> Cohen’s concept of immortality and love shows that to the end he was attempting to tie religion to the apron strings of ethics and thus determine the meaning of religious ideas."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.92",<b>3.</b>
"Major Themes., 1: Hermann Cohen’s Religion of Reason.93","The truth is that, there is quite a bit more in “the religion of reason” than what may claim admission on the grounds that it represents “reason’s share” in religion. There are a number of concepts of a purely religious character which forced their way into Cohen’s religious philosophy, which “reason’s share” in religion can hardly legitimize. We have discussed earlier how the religious idea of God differs for Cohen from the God-idea which he introduced into his <i>Ethik</i>. There God was a postulate that was required as the logical basis for the continuity of nature which is needed for ethical realization. Ethics cannot go beyond the postulate. Religion, however, through its trust in God, provides the reliance on the messianic realization of the ethical God-idea."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.94","Now, what he says about religion is quite correct. It does know of the trust in God and, therefore, it has confidence in the messianic future. But can Cohen’s idea of God, as it appears in the religion of reason justify such trust and confidence? We do not think so. What is given to us is Becoming. This Becoming demands for its explanation the logical ground of Being, which is identified as God. To expect of this God to guarantee the eternity of Becoming is a logical fallacy. Being can only be used insofar as Becoming requires an origin in rest. It can, however, add nothing to the nature and character of Becoming. It is from Becoming that Being is concluded and it is not from Being that Becoming derives. If Becoming does not on its own reveal its quality of eternal duration, the Being concluded from it cannot show it either. One is reminded of Kant’s argument against the cosmological proof for the existence of God. Since it is from the cosmos of man’s finite experience that one concludes the existence of God, there is no reason to assume that God of a finite world is infinite."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.95","On a number of occasions Cohen speaks of trust in God. This, of course, is a familiar religious concept; but it implies faith in a personal God. But Being as the logical ground of Becoming cannot serve as a personal God. Cohen himself warns often enough against such interpretation. The correlation is logical and not personal. There is no legitimate reason for trust in God and reliance on him in Cohen’s religion of reason, yet it was given an important function within it. It is vital for the idea of forgiveness. We have seen how important it was for Cohen to find a solution to the problem of man’s ethical failure. Ethics could not help the man who was alone with his sin. Man enters on the path of “return” by self-sanctification whose goal is God. As we saw, it was the God of the paradigm, the <i>Urbild</i>, of action."
"Major Themes., 1: Hermann Cohen’s Religion of Reason.96","Cohen is right in saying that man alone could not bring about his liberation from sin. It is essential for our understanding of God to know that God alone is the redeemer. This indeed, is the meaning of God in Judaism. What we are unable to see is how one may trust in God’s forgiveness if God is the ground of Becoming, the logically required origin of nature as well as the logically required origin of the human spirit that conceives him as the ideal norm for human action? How does a paradigm forgive, how does it redeem? A God who is not in some “personal” way involved in history cannot do it. Cohen quotes the biblical “And God said, I have forgiven according to your words.” But the God of the Bible is a personal God; he stands in a personal relation to man. He “speaks,” whatever the non-anthropomorphic meaning of the phrase may be. He communicates and “says”: I have forgiven! But the God of Cohen’s religion of reason does not act, does not communicate. He is the silent ground of the All. Forgiveness is an event that happens between God and man. But where God is only the “goal” of human endeavor, nothing is happening between the two. In vain does Cohen comment that in forgiveness God as the Good One has to perform a “personlike” deed of goodness.<sup>94</sup><i class=""footnote""><i>Die Religion</i>, p. 245.</i> The God of his religion of reason cannot do it. It is more like man, conceiving of goodness as an act worthy of the ideal of goodness, forgiving himself."
